TRAINTESTDIFFSACC:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,CAWPE-A,MV-A,PB-A
car,0.009144423829585838,0.010036191356494913,0.0036639673853587165,0.0030730726037459816,-5.575835515754468E-4,-5.962978095410132E-4,4.078616289013108E-4,-0.0040255237253207605,-5.190479061033833E-4,-9.149424979401077E-5
cardiotocography-3clases,0.0074248120300751935,0.010594990300610289,0.001589189546370632,0.0017108449088823771,-0.0015566222524295626,-0.00143054198584975,-0.006008783729568738,-0.002214221995667139,-0.0014939656108255539,3.3434575138410934E-4
cardiotocography-10clases,0.032832312648235315,0.0546369193009782,0.01140966641887028,0.0014281331492560353,-0.007302913377464693,-0.008480536184171706,-0.00970317533364012,-0.005914073654524647,-0.008111850566981719,-0.0060868231323822535
chess-krvk,-0.008089149122219337,0.09839047298620189,-0.010870600174365804,0.004656785901911534,-0.015553726868399342,-0.014817596722391302,-0.024491238400457225,-0.015524643316566722,-0.014668436126113167,-0.006327485672061779
chess-krvkp,0.0019509688859231434,0.0028900472521897016,0.0011158351552688628,0.0011162006519154961,-2.6088628498633916E-4,-2.6088628498633916E-4,-2.6088628498633916E-4,1.7793159965222202E-4,-2.6088628498633916E-4,-2.2141264714990635E-4
congressional-voting,0.06261362195070393,0.03301977198100312,0.026581547090573435,0.004031905748389934,0.002062458602855192,-0.0063832635747403275,-0.16313434518524778,-0.006239518595245134,-0.0063832635747403275,-0.011609520990994803
conn-bench-sonar-mines-rocks,0.03369702573586065,0.02954538449684078,0.01923254738788715,0.005664971490214166,1.2636769918320523E-4,1.2636769918320523E-4,0.008253968253968232,-0.004274926799198675,1.2636769918320523E-4,-0.004028355678841141
conn-bench-vowel-deterding,0.024444444444444442,0.023569023569023576,0.012861952861952871,7.40740740740753E-4,-0.006868686868686861,-0.006329966329966326,-0.004444444444444447,-0.010774410774410773,-0.007542087542087543,-0.0063973063973064015
connect-4,-0.002731022670731505,-0.0030122658247402085,-0.003176089797472807,-3.806504161744884E-4,-0.004207965155699556,-0.004409896250573498,-0.006311542002977311,-0.005610818807572667,-0.004409896250573498,-6.866262783267185E-4
contrac,0.04984292904153532,0.02999815644414947,0.022701915454528678,0.007211806131666761,-0.003088324760798622,-1.4047895580997504E-4,-0.004397065059085962,-0.003854875283446724,-0.00372619508508009,-0.005683129620411857
credit-approval,0.03358146256217233,0.03131525294618453,0.006747658735493104,0.00646032172783079,4.6993323475376104E-4,4.6993323475376104E-4,4.6993323475376104E-4,-0.002616839180893497,4.6993323475376104E-4,-0.004008715329121304
cylinder-bands,0.020182291666666668,0.010677083333333334,0.0046875,-0.009505208333333333,-0.009244791666666667,-0.011328125,-0.012760416666666666,-0.0067708333333333336,-0.011328125,-0.022526041666666666
dermatology,0.0368549928332537,0.020339624143971956,0.021251393534002242,0.003929765886287599,0.002108217869087418,0.0031971651536868762,0.00685220576524923,0.0024347029781812248,0.0019250676859372319,0.0010869565217391168
echocardiogram,0.08958041958041958,0.11491064491064493,0.09653457653457656,0.04356643356643359,0.03252525252525253,0.026340326340326348,0.02968142968142969,0.028811188811188833,0.026340326340326348,-0.01814296814296813
ecoli,0.16326482400188996,0.0864280652019844,0.11716513111268603,0.015102763997165137,0.0029577132057642527,3.850696905268106E-4,0.022331679659815733,0.007384833451452877,-0.0013985353177415486,0.0030403968816442397
energy-y1,0.01153775728188262,0.014743933177353567,0.0074445310998836,8.119991409808865E-4,3.0065669752388224E-5,8.958665355532507E-4,-0.0014494817627976738,-6.32961468470435E-5,0.0010685745933788015,-0.0032952426163914213
energy-y2,0.025907791077503902,0.02477772879861656,0.012345235269517292,0.006682716761045778,0.0012935019723531763,0.0016407265493427674,0.004337368462694876,0.0031184655205543253,0.0011207939145276254,-2.7262554677694634E-4
fertility,0.05400000000000002,0.032000000000000015,0.029333333333333354,-0.0013333333333333383,0.0020000000000000018,0.007333333333333332,-0.66,0.010666666666666661,0.007333333333333332,0.004666666666666652
flags,0.4307397959183673,0.23257511337868486,0.31378259637188205,0.01597222222222222,0.03237670068027211,0.02092545351473923,0.09919926303854873,0.029230442176870753,0.026573129251700675,0.006738945578231281
glass,0.21747487986020092,0.11776030289791757,0.12782874617737006,-0.0038561234891510273,-0.010109217999126252,-0.01807193825542451,-0.008842289209261696,-0.008393767292849892,-0.018776758409785942,-0.02694917722440661
haberman-survival,0.08371212121212122,0.06626224652540445,0.04744816586921851,0.02589712918660288,0.014009455456823883,0.019924812030075196,-0.26664388243335607,0.023795283663704717,0.019924812030075196,0.016512873091820465
hayes-roth,0.1695212793665677,0.10097931968536751,0.06168672188362766,0.011882064905974899,-0.015460749075376345,-0.010850653747981427,0.0066260353180184525,-0.02095639943741207,-0.02763973537531905,-0.022779600979319657
heart-cleveland,0.27060566448801743,0.22906753812636166,0.1543834422657952,0.03536383442265794,0.04125925925925926,0.032056644880174276,0.0553202614379085,0.021119825708061,0.02623965141612201,0.017320261437908494
heart-hungarian,0.03650793650793651,0.038775510204081626,0.019047619047619046,0.005895691609977327,-0.012244897959183683,-0.012244897959183683,-0.022222222222222237,-0.012471655328798197,-0.012244897959183683,-0.016326530612244903
heart-switzerland,0.44450907808919454,0.39579587519830783,0.30046712497796585,0.0369381279746166,0.07407015688348315,0.03952934955050238,0.05272342675832891,0.07220165697161995,0.02862682883835713,0.009307244843997892
heart-va,0.4368903557022369,0.4263726372637265,0.22040537387072043,0.013938060472713931,0.018798546521318796,0.003303663699703306,0.10834416775010833,0.02131213121312132,-0.006043937727106046,-0.014374770810414373
hepatitis,0.0796592296592296,0.05981240981240979,0.049045399045399014,0.007919857919857958,-0.00104895104895103,0.00409035409035412,-0.015495615495615475,0.0074980574980575195,0.00409035409035412,-0.012015762015761973
hill-valley,0.02882288228822882,0.01237623762376238,0.012211221122112214,-7.150715071507182E-4,-0.0060506050605060495,-5.500550055005604E-4,0.00759075907590759,0.0037953795379538136,-5.500550055005604E-4,0.005500550055005491
horse-colic,0.025543478260869574,0.02028985507246376,0.008333333333333326,0.003260869565217391,5.434782608695492E-4,5.434782608695492E-4,0.003623188405797103,9.057971014492645E-4,5.434782608695492E-4,-0.007065217391304346
ilpd-indian-liver,0.05232861020885313,0.030103641984026108,0.028615308572235553,0.02358855466114329,0.01216832211395128,0.014556952094023157,-0.23656224011046778,0.008272136703855385,0.014556952094023157,0.009931114563228665
image-segmentation,0.009321789321789327,0.014401154401154404,0.0023088023088023157,3.7518037518038765E-4,-0.0016450216450216494,-0.0013564213564213556,8.658008658008661E-5,-0.0016161616161616155,-0.0023376623376623273,-0.0015584415584415626
ionosphere,0.012372294372294384,0.01540367965367965,0.003432900432900432,-0.006641774891774891,-0.0049372294372294475,-0.0049372294372294475,-0.0083322510822511,-0.004403679653679652,-0.0049372294372294475,-0.009940476190476182
iris,0.03733333333333335,0.03422222222222223,0.025777777777777792,0.010666666666666668,0.01200000000000001,0.01200000000000001,0.012444444444444454,0.006222222222222232,0.01200000000000001,0.002222222222222218
led-display,0.10844320703191672,0.10268603857313532,0.06319124423963135,0.011038573135347314,0.003907450076804919,0.004314942823007343,0.005926779313876096,0.005478750640040964,0.0033730158730158723,0.004599761051373955
lenses,0.4435897435897437,0.3065268065268066,0.1128205128205128,-0.07132867132867136,0.04498834498834499,-0.07062937062937065,0.20419580419580416,-0.058974358974358994,-0.10396270396270399,-0.14079254079254083
letter,0.001199964921316147,0.022934123904387378,-0.0031441495406332896,0.0029332784373064264,-0.005559699724252872,-0.005502386696169485,-0.003497370047044653,-0.005435593996774413,-0.006109119993468815,-0.004235982742298224
libras,0.24222222222222223,0.15111111111111114,0.1681481481481482,-0.0020370370370370334,-0.01037037037037036,-0.012777777777777773,0.046111111111111096,-0.01518518518518518,-0.013888888888888888,-0.022592592592592598
low-res-spect,0.10426881171263197,0.05790914765633868,0.08564294631710365,6.029395074338676E-4,-0.0025805810918170507,-0.007469356486210429,0.01771932811258652,-0.008663886051526511,-0.008985926682555908,-0.011461525366019742
lung-cancer,0.5436601307189541,0.4057516339869282,0.29725490196078425,-0.0954248366013072,0.09359477124183008,0.020392156862745082,0.3266666666666667,0.030849673202614374,-0.07738562091503269,-0.08522875816993465
lymphography,0.14220395738203956,0.0992876712328767,0.10342161339421611,0.015494672754946703,0.01101369863013697,0.00258143074581428,-0.02375038051750382,-0.008292237442922394,-0.0015159817351598436,-0.002484018264840208
magic,-0.0013845075359270819,-0.0013494567122327365,-0.002127584998247456,0.0011076060287416737,-0.0033788994041359893,-0.0033788994041359893,-0.0025622152120574762,-0.00351559761654399,-0.0033788994041359893,-0.001819137749737132
mammographic,0.013662941787941781,0.009637040887040874,6.006006006004094E-5,0.0011679949179949005,-0.002170247170247197,-0.002170247170247197,-0.0016844248094248374,-0.005777604527604537,-0.002170247170247197,-0.012923596673596697
miniboone,-1.6112712733348615E-4,-2.8978157290970494E-4,-2.6671691158889715E-4,0.0018085968726190209,-0.0015078582643978876,-0.0015078582643978876,-3.514843547571663E-4,-0.0016508340847504928,-0.0015078582643978876,-1.8625205544304803E-4
molec-biol-promoter,0.1253798670465337,0.057763532763532764,0.04594017094017092,0.004748338081671418,0.013319088319088313,0.013319088319088313,0.02108262108262109,0.01657169990503325,0.013319088319088313,-0.011063627730294397
molec-biol-splice,0.0018544374319320025,0.00735189605129513,7.476344562786415E-5,0.008155373796263998,1.7950564407673842E-4,1.7961046489080036E-4,-0.0017366974525397556,0.0023978285320159515,-4.5078191086246703E-4,-4.6925657934045276E-4
monks-1,0.006354916067146288,0.00887290167865709,-9.59232613908867E-4,0.0047961630695443755,-0.008513189448441257,-0.008513189448441257,-0.0032374100719424594,-0.004676258992805745,-0.008513189448441257,-0.003717026378896889
monks-2,0.010862310815799199,-0.018080841638981174,-0.022073089700996678,0.0041517165005537145,-0.004940937615356222,-0.011540051679586568,-0.05894056847545222,-0.02123366555924696,-0.011540051679586568,-0.022012550756736818
monks-3,0.0019253910950661757,0.004572803850782196,-0.0020457280385078177,8.42358604091457E-4,-0.0034897713598074586,-0.0034897713598074586,-0.0037304452466907353,-0.0037304452466907167,-0.0034897713598074586,-0.0032490974729241745
mushroom,0.0,0.0,0.0,-8.206138191368951E-6,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.0031313077814851893,0.004411254112011479,-0.009471602845894492,-0.014274785351529167,-0.013910515568266743,-0.013910515568266743,-0.013910515568266743,-0.012464029094504177,-0.013910515568266743,-0.014196517369018835
musk-2,-0.001228825550838856,4.789495929581222E-4,-0.0026436468995595336,-0.0021400603977923278,-0.005527469969556124,-0.005527469969556124,-0.004402864300984344,-0.005868650115466393,-0.005527469969556124,-0.0031738488585062712
nursery,8.230452674897008E-5,2.057613168724104E-4,-1.6975308641974384E-4,7.716049382716084E-4,-0.0011419753086419884,-0.0011419753086419884,-0.027561728395061737,-0.0012757201646090399,-0.0011419753086419884,-1.0288065843621445E-4
oocytes_merluccius_nucleus_4d,0.010404411764705879,0.003946333741830066,-0.005645680147058822,0.0026833129084967377,-0.005747804330065369,-0.006069750816993461,-0.011168811274509811,-0.008986928104575168,-0.006069750816993461,-0.005404411764705889
oocytes_merluccius_states_2f,0.016749387254901958,0.017077461192810454,0.007734630310457517,0.0029687500000000013,0.0017274305555555537,0.0017927900326797364,-0.0019319342320261482,-9.829452614379397E-5,0.0017276858660130697,-0.0010871119281045819
oocytes_trisopterus_nucleus_2f,0.004542124542124548,-7.261884723590943E-5,-0.006437268056524067,7.050280135619184E-4,-0.011945559910548964,-0.011945559910548964,-0.013337501302490347,-0.013156675563677752,-0.011945559910548964,-0.013054880932342635
oocytes_trisopterus_states_5b,0.015281217688219877,0.010612771619336162,0.004536674120919211,0.0038564936157934214,-8.986782728576966E-4,-4.5975905932141476E-4,-0.017824961326055416,-8.145173571869243E-4,-0.0010451984193778426,0.0011742451567396729
optical,0.005577897811733793,0.0066817889019206485,0.001140888262250328,9.494097443982552E-4,-0.0017317876418047272,-0.001755318248500522,-0.0012568864701417715,-0.002063039820887088,-0.0018861465642718031,-0.0017604515850168498
ozone,0.005395349280777014,0.004895771072645058,0.004080527935392597,0.0014264007916294712,7.958172841994811E-4,0.0012422387290143776,-0.9393300547800764,0.0015308069773020498,0.0012422387290143776,8.195553863827532E-4
page-blocks,0.006294937657159091,0.008232553419074473,0.002176927161857249,8.59895420891521E-4,-7.495607668541145E-4,-6.020398579319464E-4,-0.09455670503251906,-9.678041102518834E-4,-6.873937527625921E-4,2.855916838821138E-4
parkinsons,0.020695700960796683,0.02850129742618695,0.01003927344133528,-0.004751385090118524,-0.00721649484536084,-0.009948102952521232,-0.010968511115786532,-0.01161722420927136,-0.009948102952521232,-0.015761974893050004
pendigits,0.003189567558532321,0.004226847990864868,0.0016480397425584973,6.825993253593639E-4,-5.971626769470051E-4,-5.545850532312897E-4,-3.604117551849787E-4,-4.871713099980394E-4,-5.72796662597604E-4,-3.148910082686548E-4
pima,0.023437499999999997,0.015711805555555552,0.003038194444444442,0.008159722222222218,0.0022569444444444455,0.0019097222222222248,-6.94444444444453E-4,0.0019097222222222098,0.0019097222222222248,0.0029513888888888767
pittsburg-bridges-MATERIAL,0.16289173789173794,0.0894349477682811,0.11756885090218426,0.035612535612535606,0.026139601139601138,0.024264007597340924,0.041856600189933514,0.029344729344729332,0.02483380816714149,0.021035137701804364
pittsburg-bridges-REL-L,0.1935345911949686,0.1773333333333334,0.159496855345912,0.04569811320754721,0.03249056603773588,0.014339622641509463,-0.11883018867924523,0.036289308176100654,0.009044025157232741,-0.04178616352201255
pittsburg-bridges-SPAN,0.20507246376811594,0.13550724637681158,0.13913043478260867,0.012318840579710144,-3.7007434154171884E-18,-0.007971014492753625,-0.00797101449275363,-0.00797101449275361,-0.00942028985507246,-0.042753623188405816
pittsburg-bridges-T-OR-D,0.10522875816993459,0.06732026143790848,0.06666666666666664,0.03660130718954248,0.030718954248366008,0.027450980392156838,-0.165359477124183,0.021568627450980395,0.027450980392156838,0.016339869281045753
pittsburg-bridges-TYPE,0.3765068990559187,0.2762164124909223,0.38903413217138705,0.03304284676833694,0.052759622367465474,0.02545388525780681,0.16663035584604213,0.02926652142338415,0.017175018155410293,0.007988380537400145
planning,0.1172161172161172,0.03956043956043956,0.02967032967032967,0.003296703296703311,-3.66300366300365E-4,0.005128205128205136,-0.3388278388278389,0.01868131868131869,0.005128205128205136,0.01391941391941391
plant-margin,0.3075416666666666,0.21908333333333327,0.22870833333333326,-0.01983333333333335,-0.011958333333333326,-0.027041666666666676,0.06820833333333333,-0.02720833333333333,-0.02895833333333333,-0.027666666666666662
plant-shape,0.5020416666666665,0.3900833333333334,0.4161666666666667,0.002249999999999993,-7.499999999999988E-4,-0.030916666666666662,0.15241666666666667,-0.029375,-0.027041666666666672,-0.02795833333333334
plant-texture,0.316162703379224,0.23159616186900292,0.236031914893617,0.003380997079682931,-0.008086827284105131,-0.019375938673341694,0.06488563829787235,-0.023056059657905727,-0.019632509386733436,-0.019054443053817267
post-operative,0.27185185185185184,0.10444444444444444,0.15999999999999995,-0.01703703703703704,0.005185185185185185,0.0037037037037037017,-0.35703703703703715,0.005185185185185193,0.003703703703703705,7.407407407407307E-4
primary-tumor,0.5966227055092269,0.3674528244125247,0.45506410491899646,0.021409940854487344,0.033755801280873826,0.008702839719334332,0.1691941270832568,0.016448085424243534,0.0021931596928841707,-0.015317830596475762
ringnorm,4.6846846846846E-4,0.0011801801801801792,-4.234234234234228E-4,-1.9819819819819618E-4,-0.0018378378378378153,-0.0018378378378378153,-0.0018378378378378153,-0.001675675675675666,-0.0018378378378378153,2.702702702702305E-5
seeds,0.04793650793650792,0.028253968253968257,0.015238095238095236,-0.006984126984126978,-0.006031746031746032,-0.006349206349206349,-0.0069841269841269815,-0.010793650793650784,-0.006349206349206349,-0.006031746031746025
semeion,0.02722167927700713,0.033999264396805375,0.012465006305170242,0.003961906263135754,0.0014903320722992645,0.002126366120218574,0.005864491382933993,0.0018409520807061745,7.713324926439724E-4,-0.001908785203867184
soybean,0.0908380495055165,0.05168781798433659,0.06109558108957868,0.0036680386440290443,-0.0018187274909963968,-3.429943405933833E-4,0.0054404618990453275,-6.422569027610995E-4,-0.0022048819527811236,-0.007291202195163782
spambase,6.610736352814543E-4,0.0017910423319413727,-6.868154362627481E-4,0.0023409418715240383,-8.035006833827629E-4,-8.035006833827629E-4,2.2687048479241856E-5,-0.001759531142729361,-8.035006833827629E-4,-9.055042231166118E-4
spect,0.08752753094858359,0.09868231184020657,0.0646654515075568,0.027323991797676028,0.018531176425913287,0.012221842485000392,0.01954317612212351,0.0064270524796840815,0.012221842485000392,0.0025138604085972534
spectf,0.042458758837391954,0.05265028242247412,0.02895297946358432,0.0072588186885122995,0.011010735794710647,0.008281898776792711,-0.00430179927430517,0.0020162346163917024,0.008281898776792711,-0.005302435192458777
statlog-australian-credit,0.08115942028985508,0.028599033816425135,0.02309178743961354,0.023285024154589374,0.003768115942028997,0.011594202898550728,-0.3127536231884058,0.009855072463768119,0.011594202898550728,9.661835748793201E-5
statlog-german-credit,0.037800000000000035,0.028533333333333355,0.023000000000000017,0.015866666666666678,0.00366666666666667,0.0014000000000000013,-0.011200000000000007,0.004866666666666671,0.0014000000000000013,-0.005466666666666672
statlog-heart,0.04888888888888889,0.06148148148148147,0.03703703703703703,0.02864197530864198,0.013580246913580252,0.013580246913580252,0.019506172839506182,0.012098765432098754,0.013580246913580252,-0.0012345679012345733
statlog-image,0.010331890331890333,0.011515151515151527,0.005598845598845595,0.001183261183261175,-0.0023376623376623533,-0.0025974025974026056,-0.001847041847041849,-0.0015584415584415665,-0.0023953823953824136,-6.34920634920629E-4
statlog-landsat,0.0036004159074153924,0.026493329407637194,-0.0013748823450316103,-9.63321788077313E-4,-0.004590813793721679,-0.004176007582466656,-0.006519186453566273,-0.005293217818951231,-0.004062139210749612,-0.0034410987158027964
statlog-shuttle,3.6892659707771593E-4,2.114644480925724E-4,1.574372579822477E-4,4.248838704314547E-5,-1.322529534629598E-4,-1.460370201159152E-4,-0.011754872192254648,-1.9547285071173093E-4,-1.4374514535274717E-4,-2.877376153201568E-5
statlog-vehicle,0.034086708992816475,0.04909088199350205,0.005686086023428416,0.008418656293779244,-0.006005767683090409,-0.004560866195713738,0.00274710125488092,-0.013491832841515387,-0.004023219768100383,-0.0042132403350323535
steel-plates,0.03973815863794077,0.09021890540925055,0.016740456199807185,0.005795185737279548,-0.00215582225959476,-0.0023561688049705378,-0.011816730157516785,3.6268351828494527E-4,-0.0029803539349463077,-0.004484067831161057
synthetic-control,0.023222222222222238,0.009999999999999993,0.006888888888888897,-5.555555555555573E-4,-0.0016666666666666718,-0.0013333333333333383,-8.888888888888909E-4,-4.444444444444547E-4,-0.001555555555555562,-0.0064444444444444636
teaching,0.2754853801169591,0.23008771929824562,0.09129824561403507,0.010286549707602344,-0.001953216374269003,-0.007701754385964912,0.05025730994152046,-0.015163742690058492,-0.012549707602339193,-0.03984795321637426
thyroid,0.0012222222222222283,0.0021944444444444507,5.185185185185182E-4,0.001009259259259269,1.574074074073987E-4,2.777777777777768E-4,-0.001175925925925932,4.5370370370368583E-4,2.0370370370368374E-4,2.1296296296296295E-4
tic-tac-toe,0.0025748086290883878,0.0034098816979819093,6.958942240779346E-4,0.0016005567153792755,-9.742519137091121E-4,-9.742519137091121E-4,-6.958942240778976E-5,-3.479471120389636E-4,-9.742519137091121E-4,-0.0013917884481558765
titanic,0.014768309801007354,5.04334902155068E-4,-4.951696804557834E-4,-4.075908953293091E-4,-0.004405554179396151,-0.003224038752649109,-0.001318113010211112,9.540362755621608E-4,-0.003224038752649109,-0.0043738474664905104
trains,0.5166666666666666,0.5277777777777777,0.6388888888888888,-0.25000000000000006,0.12777777777777774,0.23055555555555557,0.5944444444444443,0.1,-0.4666666666666666,-0.5277777777777777
twonorm,0.00224883629769926,0.002690255857578949,0.0015371318386022755,0.0013571074767792291,5.636523421221562E-4,5.636523421221562E-4,5.636523421221562E-4,6.268785459127235E-4,5.636523421221562E-4,-2.317019891674247E-4
vertebral-column-2clases,0.025376344086021508,0.027096774193548383,0.004731182795698926,0.003225806451612904,-0.0017204301075268934,-0.0017204301075268934,-0.009677419354838694,-0.010967741935483851,-0.0017204301075268934,-0.012043010752688177
vertebral-column-3clases,0.061720430107526876,0.06516129032258064,0.03763440860215054,0.007741935483870965,-0.0032258064516129154,-0.002365591397849472,0.005161290322580643,-0.005806451612903237,-0.0027956989247311975,-0.005161290322580651
wall-following,7.667803953148662E-4,0.0020741873055429663,-1.0111104347682032E-4,0.0031349484852805126,-6.395472819542965E-4,-6.395293655826436E-4,-0.0022300597390059445,2.7249457570648706E-4,-7.746680779392372E-4,-1.6227305723936307E-4
waveform,0.01067871637526128,0.008959190766803855,0.005411712865874044,0.00527884884461581,6.497441039590527E-4,6.497441039590527E-4,6.497441039590527E-4,9.961974927249337E-4,6.497441039590527E-4,-1.6108269243990668E-4
waveform-noise,0.012835879387074024,0.011982428583855235,0.008674812054636594,0.007835350586989436,0.0025028270671189957,0.0025561284089805404,0.0024894563983130207,0.0016493229305583241,0.0024627683940429356,-0.0010241601638656247
wine,0.03425925925925926,0.016910774410774414,0.011582491582491599,-0.0023316498316498253,-0.0034259259259259212,-0.0037962962962962937,-0.0034175084175084155,-7.996632996632853E-4,-0.0037962962962962937,-0.01263468013468012
wine-quality-red,0.06705214972512429,0.10946764539313321,0.0190923626169043,0.0013233771069371255,8.097647364353404E-4,9.446212284769274E-4,-0.55973235210373,-0.0030511672439526055,6.935253239215252E-4,-0.007505186186439868
wine-quality-white,0.021185490344438514,0.06197747753530845,0.002883893888391172,-8.97453874721262E-4,-0.005075388248549088,-0.005472219401648137,-0.5464339912579432,-0.00703594011623877,-0.004437782887602045,-0.0046661076650087304
yeast,0.11254739913965603,0.2033748974519651,0.05002551970284529,0.012654745363012473,0.00549233652102575,0.0025836958463126723,-0.006819421613947135,0.0014160256468472743,0.001993685160126298,-0.007442913665906833
zoo,0.10637100994243852,0.04204604918890631,0.11334379905808471,-0.01045264259549975,-0.00192307692307692,-0.010295656724228145,0.04475405546834117,-0.015057561486132912,-0.012454212454212455,-0.017098377812663528
