TRAINBALACC:,CAWPE-A,PB-A
primary-tumor,0.2990558340295182,0.28042495126705663
ringnorm,0.9780544308650403,0.9765690796343224
seeds,0.9253968253968256,0.9161904761904763
semeion,0.9387667948488975,0.9101370129193617
soybean,0.9370694987603199,0.9028111166879284
spambase,0.9467861580641518,0.9464986069806158
spect,0.6748484848484849,0.6218181818181818
spectf,0.7759375727929186,0.7510307477288609
statlog-australian-credit,0.5355990605990606,0.5443443443443443
statlog-german-credit,0.6792380952380951,0.6736031746031745
statlog-heart,0.8281666666666665,0.8056666666666666
statlog-image,0.9748051948051949,0.975064935064935
statlog-landsat,0.8842639140644245,0.8850368006706771
statlog-shuttle,0.8803684033223609,0.911474113729187
statlog-vehicle,0.7921302063875343,0.7594153141633092
steel-plates,0.777773579950054,0.7713353263373689
synthetic-control,0.9858888888888888,0.9555555555555555
teaching,0.5476894586894587,0.5045441595441595
thyroid,0.9645338940214959,0.9818215187591746
tic-tac-toe,0.9835386273528619,0.9826395037017075
titanic,0.7049900746762453,0.6835104137127013
trains,0.7666666666666667,0.0
twonorm,0.9767042384951625,0.9712344123101823
vertebral-column-2clases,0.8057619047619048,0.7866825396825396
vertebral-column-3clases,0.7923703703703704,0.7662222222222222
wall-following,0.9821497878092561,0.9906566057125917
waveform,0.8621659673747188,0.8483447611716676
waveform-noise,0.8627945027347963,0.8529261355423348
wine,0.9831759715380404,0.9682471264367815
wine-quality-red,0.3214149614065098,0.322031244117113
wine-quality-white,0.33049987521325097,0.331466273774424
yeast,0.49407234461765553,0.42836057047889803
zoo,0.8150000000000003,0.8207142857142858
