TRAINACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
contrac,0.011622206740297377,0.023133804798087555,0.017060981805431575,0.017282217485336742,0.01705125163353896,0.018027306780188625,0.0202350938150511,0.01770234578970818,0.018777901146548013,0.020657583926358598
credit-approval,0.014836158572088554,0.019676870435929743,0.014171479499480371,0.014876368138360279,0.015445606049536594,0.0141484997264701,0.0141484997264701,0.0141484997264701,0.0141484997264701,0.012462138753367134
cylinder-bands,0.03065045381044006,0.03426543405918519,0.0338008497873232,0.029122294732162744,0.03062898800051519,0.026303794790397815,0.025681325204515004,0.027205817439644543,0.027205817439644543,0.023251175079994878
dermatology,0.0074138974468484185,0.010012505245747054,0.008153925480521684,0.013801160327839249,0.014410026455296474,0.010773753796483985,0.011646671359572019,0.012536322214509545,0.011751965876339364,0.012717698859412598
echocardiogram,0.04021637728553365,0.038004356183119634,0.03936515876612257,0.042642753279588115,0.04303964535832311,0.06227673855352664,0.03684120011222543,0.04737264882714448,0.04737264882714448,0.04133723404288184
ecoli,0.014763027646191605,0.019577913773048877,0.01857986382486051,0.02452533316873063,0.022016791834249153,0.016872662266859625,0.020391918355465388,0.021499173429809428,0.019994276247687872,0.01801565237837254
energy-y1,0.010364407691455434,0.008864830077265188,0.012348466210100136,0.019989855554658424,0.01600720386413379,0.012760709468141977,0.012986828081230334,0.011151065833193509,0.011969532989183825,0.011726483227182574
energy-y2,0.011810378056039156,0.01105933822105555,0.010864910864459563,0.011806396582258408,0.011134188382642992,0.011942006238321127,0.012604706598511421,0.012655889340873012,0.012674450002010548,0.01580745848776629
fertility,0.027459479028301793,0.024485510611074814,0.02248882225544018,0.031043166090454443,0.02835732587947043,0.17829331380376123,0.011121068335350726,0.03409924662935613,0.03409924662935613,0.0576513500355329
flags,0.05961576094243745,0.04405425811480631,0.046591442261620104,0.06286312932408271,0.05955296562890851,0.059453404071988396,0.03954108957788576,0.05272473829632868,0.05108111404740889,0.05195266174989598
glass,0.02519556267795468,0.03877338386675511,0.02789006937915711,0.043546723729216114,0.044927780787456906,0.05824605581684293,0.03435982988406591,0.041737487705286166,0.038720915565944036,0.04241516303403408
haberman-survival,0.01987624694133718,0.03224633180076493,0.026012506758260893,0.02771625173744609,0.02394513295376995,0.2428491425819551,0.022508988592407162,0.023244044508645176,0.023244044508645176,0.020291167071887127
hayes-roth,0.036323782872250604,0.06143952346827079,0.052384935873080206,0.06584404630369625,0.061877118613098095,0.05714199546862951,0.06646210468432145,0.08084630271814017,0.059960371245764824,0.05406149638117868
heart-cleveland,0.01960139177168227,0.03898848767439761,0.025152408993194268,0.03270675466576107,0.03212046291588953,0.023221956404645555,0.026994157638562843,0.030642335841924613,0.029477354556897612,0.032598019982336926
heart-hungarian,0.02313706959906159,0.031196158250289176,0.028099494798284094,0.020318043259847627,0.023947079829801127,0.025499385200316815,0.01890072149126149,0.019609302733174468,0.019609302733174468,0.02632561835414772
heart-switzerland,0.09606645482315368,0.09925010821007349,0.06917070921373752,0.064920430947362,0.05948768126686794,0.0799275141375587,0.05632155224192202,0.062644187564171,0.06565850940782803,0.05976742980877565
heart-va,0.05272604050263167,0.0918115097719326,0.05331770983811203,0.05492234903606749,0.05212653101311794,0.04342043578083523,0.053032099840739935,0.04986356808968413,0.051500693454241825,0.05328360551073634
hepatitis,0.032878426970848064,0.04001897487801031,0.03665092409687634,0.035226829883787336,0.03615029220618889,0.06256148552812166,0.0366376979681584,0.0363188259506025,0.0363188259506025,0.04962135354253168
hill-valley,0.01598093496636317,0.03183018034138668,0.020548882607165274,0.02488904323004067,0.024062237356516504,0.022691950124669784,0.03415977652026899,0.0204088070000114,0.0204088070000114,0.01603060479332982
horse-colic,0.023931351176406213,0.02423514387136962,0.01990395451732446,0.0244589509593706,0.024593914149066944,0.025143402676034043,0.023440425211640553,0.023440425211640553,0.023440425211640553,0.023996520735501188
ilpd-indian-liver,0.019553886932142366,0.020841183328629647,0.01868637570387052,0.017553748795240406,0.017156041337805975,0.15305420269146866,0.0087650742680156,0.015918711522189,0.015918711522189,0.018310687573791458
image-segmentation,0.004794677941022325,0.0048994682257435815,0.005340786110712344,0.006315006936384582,0.006437769783004003,0.006041097697778111,0.0063092738376662955,0.006204894633111584,0.00659563743036431,0.007875468112029226
ionosphere,0.015412385842061995,0.014907329660201927,0.013923149548916101,0.016502546381183144,0.014663638183478855,0.0180950652485047,0.017484284689941707,0.017484284689941707,0.017484284689941707,0.019847885049385366
iris,0.013598888092176891,0.019853872297633236,0.020296650536196996,0.024493854625837745,0.024531367570754057,0.02582582389928014,0.024989397496310486,0.024989397496310486,0.024989397496310486,0.019620928696467907
led-display,0.013964973691709915,0.01522128692003575,0.01899787956847095,0.01846358332130136,0.018721908639600503,0.018432052030630638,0.017813839530711372,0.018922845576335123,0.018641879810294953,0.017844761354313753
lenses,0.05547792302352082,0.12343828253170228,0.15039291814464265,0.1890163425036241,0.17942521402667225,0.20502382237217434,0.1677130635977395,0.18584874203483454,0.18911682966782167,0.19698979079244444
letter,0.002056531370115693,0.0015182478560493548,0.0020090612337548795,0.011410580376144397,0.00218985351529456,0.0026002724267401166,0.003340803003666414,0.0031367069677140738,0.003645621248377029,0.004038280309450443
libras,0.017196763616170375,0.02358527246689921,0.019708569195412987,0.024575291272123153,0.02471348518966824,0.018986114439427163,0.02914027572071069,0.027453406223418932,0.026506677365168006,0.03351589004885583
low-res-spect,0.009644417420049485,0.012751900174699626,0.010581307882378934,0.012906801544436537,0.013388478983600635,0.013881366507273831,0.012621907991669826,0.013109651438996719,0.011943163984230171,0.013867697014537106
lung-cancer,0.17071706631301867,0.08709883407113854,0.16020421195292742,0.163377505951187,0.15336164989242482,0.10260962738546471,0.13794699779911124,0.14621665549733923,0.15262705905929042,0.15868231353352677
lymphography,0.03345487017673671,0.033493531441767234,0.03209590845483211,0.037718797357858005,0.03852505722525054,0.035676342196345266,0.029650676138511405,0.03220660167980176,0.031991575020676524,0.03663090211556224
magic,0.0031760972530791333,0.0032360642661389103,0.003152994435483067,0.0037538394484591124,0.0031505205392041873,0.002864383679228485,0.003462232488579873,0.00314791954353778,0.00314791954353778,0.003014316729101059
mammographic,0.015423590140511317,0.016119644902664418,0.014084057373303625,0.015673376579320424,0.0157024739572474,0.01633729255516977,0.016043796818315227,0.016043796818315227,0.016043796818315227,0.018661856463221854
miniboone,0.002987212178416064,0.0028203607372907498,0.0031434250871431677,0.004520923827639582,0.002901145674473545,0.0037477186040821213,0.0033803958496040746,0.0033803958496040746,0.0033803958496040746,0.0011051573218230403
molec-biol-promoter,0.04209717740870252,0.051175563620825266,0.04714616273981981,0.06641283377661343,0.06137314776023904,0.05478606845363275,0.051436548881490136,0.05250395515006516,0.05250395515006516,0.06675757251730867
molec-biol-splice,0.007081380755889754,0.008379137443382914,0.007441469938373253,0.016396766427929102,0.007760680583260486,0.008961800504165536,0.008979954477290442,0.008704943251084427,0.008895147808296639,0.010800274218736292
monks-1,0.03881525503625957,0.04380521130466444,0.03906028361913198,0.04810442441384142,0.04918476738627897,0.060183461383835804,0.02760147698019583,0.02130146947951901,0.02130146947951901,0.020618500583171395
monks-2,0.02087149761076009,0.025869551918715095,0.0252145328971398,0.023254107424986726,0.025884358211089573,0.02879974457102565,0.0038639044169790937,0.01836378522849424,0.01836378522849424,0.002263035179747867
monks-3,0.010170503324043113,0.009974183290061174,0.010662348687986276,0.01730438378854809,0.011546639529774236,0.012836805094201448,0.021366805027144543,0.021366805027144543,0.021366805027144543,0.023119535980934774
mushroom,7.511781797868829E-5,9.33158596232238E-5,7.511781797868829E-5,0.0021428702583313718,0.002132262287577747,8.511715993152057E-5,0.0029092526902327054,0.0029092526902327054,0.0029092526902327054,0.0055405988128333855
musk-1,0.019412867074990493,0.029466152062096677,0.021957803148584934,0.01953109672952012,0.020181907400147046,0.019998561350495058,0.018486864824995713,0.018486864824995713,0.018486864824995713,0.02392895006556524
musk-2,0.001957751264393959,0.002155255711880845,0.002257115503808423,0.003514905839556073,0.0020741250635522824,0.00202657868763089,0.0022726761294087463,0.0022726761294087463,0.0022726761294087463,0.004148059060064899
nursery,0.0013753319560010809,0.0010742882345141675,0.0013836957292838853,0.006687476800001453,0.0020471722291006723,0.005364962641245553,0.002379396861050968,0.001912040422867396,0.0019442670559074186,0.003292174141027905
oocytes_merluccius_nucleus_4d,0.010228792372534311,0.016708838451755262,0.012934140047576514,0.011544019851468242,0.01300110423490121,0.016292787702762383,0.013051990705246963,0.013755400617552333,0.013755400617552333,0.014983702834411533
oocytes_merluccius_states_2f,0.007584185862881336,0.010020373700445985,0.010315907907624208,0.009710166994667955,0.009210338000872668,0.011015109801691082,0.008958598575763362,0.00903326713609187,0.00941744438346741,0.00973925030051367
oocytes_trisopterus_nucleus_2f,0.016309382941889463,0.01575035762499203,0.015587182980730876,0.014833223269389701,0.01613483254178093,0.017544483519709494,0.01657479673172854,0.01657479673172854,0.01657479673172854,0.013896925785533422
oocytes_trisopterus_states_5b,0.008347060026776763,0.010303488193364624,0.008866671194973646,0.009699223086510621,0.00782345482781734,0.01651489581923727,0.008647621119264613,0.008817694093969734,0.00863702098167206,0.009925553656046762
optical,0.0012798204722842385,0.001274116635749711,0.0010195676686536954,0.0024553017150813266,0.0015373317737253456,0.0016111741462216814,0.0017524040112939835,0.0017633013524154975,0.001381889815883893,0.0023330343214738457
ozone,0.0017426007436702623,0.0017060589514359258,0.001305700157530441,0.0024303253147311596,0.0021488690325015053,1.0586274101406941E-17,9.633104234549849E-4,0.002546431310911301,0.002546431310911301,0.004326381943404928
page-blocks,0.002681129515082955,0.002505227537235412,0.002836933834939755,0.002340489617618436,0.002723210426973118,0.42396105639087484,0.003507006598400522,0.003164974407021083,0.0032359368744631738,0.0034453192928561604
parkinsons,0.01693987291253092,0.021941780029407065,0.025216163185960434,0.03001781615647861,0.035023304738950205,0.034923754415661576,0.030502266212126487,0.03188279600442584,0.03188279600442584,0.028437907296416903
pendigits,7.129741618346634E-4,7.793443971238258E-4,6.804968518265735E-4,0.002433048087000422,0.0011092566368219859,0.00118811928040494,9.97223773601455E-4,0.001024637818536424,0.001180479803858587,0.001400991693801486
pima,0.014682629249974601,0.011437156611019506,0.011247474816817725,0.012341914733750953,0.013711905169990228,0.01527076913865857,0.016389540805431337,0.013965381433815328,0.013965381433815328,0.014291179789775394
pittsburg-bridges-MATERIAL,0.030587716149499147,0.037088672282030825,0.03246854823515214,0.03862146238818479,0.035134626091966915,0.04030190258160194,0.024818253874158258,0.034431923693636006,0.030781661945053773,0.03901568089599017
pittsburg-bridges-REL-L,0.060571986241507565,0.0539092468557271,0.050632777535106054,0.06132633643248131,0.05314910710639358,0.13458493024211837,0.05630785658008729,0.059654175793947335,0.057997225458805694,0.05531934458268168
pittsburg-bridges-SPAN,0.06915483651191112,0.07805514634524462,0.07454167223764696,0.05758712220875906,0.056688716566979554,0.08645532723760485,0.04754243264734405,0.0535802872808937,0.052742405076621285,0.06329843841692226
pittsburg-bridges-T-OR-D,0.03492406104163612,0.03120872257859691,0.031637656084649995,0.046438705875824306,0.04269550689761693,0.3445660712286123,0.03204706486889713,0.04477202324161101,0.04477202324161101,0.036222239383767785
pittsburg-bridges-TYPE,0.06130301342895198,0.04651477260309655,0.04968002278126223,0.05747842297221189,0.0578348282500103,0.08349657214468661,0.05442985788717568,0.06409412973779424,0.06795283217108458,0.06628041736522848
planning,0.029946691721794694,0.019979905151988973,0.01951601013095864,0.024376513803475167,0.015365657132947238,0.044514577016934585,0.0020063097344511505,0.013515338458425903,0.013515338458425903,0.020269584060545683
plant-margin,0.2098420485623117,0.0077427199770932,0.004011477785428766,0.010759585408412329,0.009136182331050917,0.008020716710601623,0.00909362224403683,0.009083741950104696,0.010310899823604818,0.01454753405654844
plant-shape,0.024138013136149373,0.012224257493376354,0.004646250496708182,0.020101439946706174,0.016378306457439165,0.006889548347807834,0.01298042292494142,0.014193412042292679,0.015919212801105986,0.01506713901711004
plant-texture,0.019802432611315444,0.00881769409199714,0.003232639655840522,0.012605663637040554,0.011340465440091003,0.008676904907339404,0.011826661845897505,0.010899411291031154,0.010879156677854739,0.014134381801488788
post-operative,0.05717933519134906,0.052354794904131426,0.0385931098182493,0.05321506682877007,0.04143036441772435,0.10547923570155095,0.016913875446830835,0.03853423394900451,0.03853423394900451,0.059652272736961415
primary-tumor,0.03711179985049458,0.029175692714217986,0.03484396390095069,0.02392936358895283,0.0274214331574245,0.02684746602626498,0.025235195539208836,0.024228509091482248,0.02299355601862472,0.02908658828323686
ringnorm,0.004419473931360956,0.004722325896383815,0.003970676205813572,0.0069642872712535496,0.0051944627987078225,0.005183783880964846,0.004257492650779811,0.004257492650779811,0.004257492650779811,0.00435552004907123
seeds,0.014236367974926856,0.017629177992726914,0.018290936127234203,0.020370074185654903,0.024454323098604923,0.023586254756833906,0.021861168873408606,0.021958716065591133,0.021958716065591133,0.02006063735034552
semeion,0.006643803240520483,0.0063245632390509544,0.008173441071934705,0.01005233412602746,0.010594566688212256,0.009738317093847943,0.009395562109289908,0.009317420681642999,0.010477203703971311,0.00925295106688827
soybean,0.009215434519600118,0.009369517248935795,0.009731306468182767,0.011823719467388891,0.011250157431716066,0.010850189114762692,0.011480682439807186,0.010959605554200889,0.01134520856168792,0.01549954357175284
spambase,0.0040336244007916616,0.005402130800624755,0.004509729177936005,0.005341457591145843,0.005268799702933092,0.005509954882509657,0.00583433817910278,0.00583433817910278,0.00583433817910278,0.005649386157553035
spect,0.037576291273835945,0.04400105571416715,0.037765417245230644,0.03997508274713725,0.04438542993065502,0.04302471620562397,0.04337821294334734,0.04464993776789061,0.04464993776789061,0.04633778473062796
spectf,0.02556873883634159,0.031075115379159017,0.025415799140050013,0.03903054261997462,0.0340485270808833,0.055732333059112606,0.026115638222875475,0.03588728121004248,0.03588728121004248,0.033653091604735105
statlog-australian-credit,0.014227117482426192,0.015900632273145237,0.008376046659144029,0.013721261357901042,0.014452384222188924,0.020855724953347657,8.844306568967264E-4,0.007710287711964102,0.007710287711964102,0.006837365872458958
statlog-german-credit,0.01448979030174371,0.013162992357974393,0.013771367931786734,0.012911903088983849,0.013367313023613407,0.030894406739992445,0.012367737042006922,0.014162440207947167,0.014162440207947167,0.01595467718689198
statlog-heart,0.02777962247315959,0.02842262715157368,0.02823561950648059,0.0270771584254332,0.0288793906512858,0.027492074072854786,0.026421702541636966,0.026421702541636966,0.026421702541636966,0.02823003481932644
statlog-image,0.003986986864976102,0.003914471309396314,0.004461813116808659,0.0053946403625985415,0.0047968339022843465,0.004061920686185981,0.003940358920691854,0.004144965942219283,0.003867971612158338,0.00907660999858666
statlog-landsat,0.003971087075663006,0.005980445649305598,0.004289765166992813,0.004601026395236317,0.004949413894834345,0.004538415214121511,0.005864108989192084,0.0035824921104249613,0.003536989232007484,0.0049183296805652725
statlog-shuttle,7.508127801640422E-5,1.0243298087745569E-4,8.749159655922581E-5,3.5672852558201937E-4,1.6249160429586922E-4,0.3144360944940233,2.501446670533485E-4,1.894212549678886E-4,1.9537146938492696E-4,0.014226750119667876
statlog-vehicle,0.012974482431108273,0.027772417957596485,0.013157013172215357,0.014309640993001723,0.013305552409900032,0.015695794849977945,0.01422731260346451,0.01511168786271615,0.016092941976819024,0.018140317143156674
steel-plates,0.009956779509867491,0.030244132432247658,0.012176356538726226,0.012985187124496861,0.013296513680655321,0.014792391996888114,0.01236456069398325,0.012848145960653,0.013544571081345786,0.01187504587981363
synthetic-control,0.002413245696001967,0.004192068165532388,0.0053018707992465225,0.006877880216371422,0.006189844605901727,0.00536770533248599,0.006413786237104772,0.006473247826259931,0.006546815395771365,0.008438796255851005
teaching,0.051953412670609087,0.07375912611024223,0.050418427979746785,0.06509409634759779,0.06883671241230478,0.055180650726132145,0.06649940703986687,0.07382143379023104,0.07107278660759392,0.06911371051276954
thyroid,0.0012628297177308214,9.703274731434425E-4,0.0013361307924513427,0.009051577333305126,0.004045777151203665,0.002801321045983087,0.006929044226679071,0.004292749670127724,0.004384169828258716,0.004712775089280785
tic-tac-toe,0.001956372455347881,0.0011608630830219856,0.001956372455347881,0.0055298343607030325,0.003915304770250422,0.0029191540690985175,0.0035923429407271517,0.0035923429407271517,0.0035923429407271517,0.0038351546908931815
titanic,0.0069968577132051984,0.008832320157118496,0.007341692343797803,0.007980752470372105,0.008708574535905459,0.009384243487800193,0.008094624204299699,0.00981877199356289,0.00981877199356289,0.008329903350349353
trains,0.0,0.04564354645876383,0.15256428831468238,0.3432434878537726,0.2856732318616829,0.08643647591044011,0.3057166068079405,0.27543069720987384,0.34956869977454935,0.35314677356328905
twonorm,0.0017713139034653863,0.0019270226862179258,0.001692914774652507,0.0017255494368923676,0.001962786524045792,0.0017279819135530214,0.0017279819135530214,0.0017279819135530214,0.0017279819135530214,0.0016399838754369508
vertebral-column-2clases,0.025545585476512044,0.03216151662174481,0.02999794667262711,0.030105408050873528,0.03415553956097325,0.036288118418623096,0.039213749293444206,0.03939876102589631,0.03939876102589631,0.03263113889546425
vertebral-column-3clases,0.018494020046888316,0.024254403750316872,0.021663121863027254,0.021239363289518157,0.021003790921606747,0.023619819431211598,0.0234725084255503,0.02354272309613724,0.023881687959501383,0.03340275283628753
wall-following,0.0020580798240863586,0.0015694406472223645,0.0020781467311201955,0.02126479984003795,0.003334482007515569,0.004270690310114414,0.005763986437378168,0.00531242168499847,0.006090217552374776,0.00984085326854184
waveform,0.005135241137212542,0.004991899207304681,0.004773646172115967,0.005109964362445531,0.005686307412125281,0.005118871275928696,0.005101168181723056,0.005137391183140354,0.005094001067894587,0.005349288488339659
waveform-noise,0.005196593870536476,0.005796965542878227,0.00520508735569836,0.005543718176168495,0.005553884864814249,0.005329571100304454,0.005333092478702263,0.005340593546115558,0.0053618496553970866,0.0057530632937581785
wine,0.011324383616419076,0.010732195176157363,0.012085239201380072,0.0170606863327306,0.01627253171163787,0.013976088633144954,0.014841392544144164,0.014213032991942853,0.014023797779176297,0.018512695932948398
wine-quality-red,0.015402211548046541,0.03925476775639927,0.010961588608620057,0.013679700805407528,0.01301330207662129,0.04618920905847087,0.010096914321080999,0.01172383194926799,0.01092199749571674,0.012342731411512738
wine-quality-white,0.006867998513752603,0.00953591172986362,0.005951926313300681,0.010034843711911757,0.007915666106880824,0.017678719711552403,0.0056173594306317695,0.005654060730321792,0.005784755339589975,0.005885617950767302
yeast,0.015512226511178846,0.05499896788451883,0.017625166535295143,0.017961630764674365,0.0186290958560601,0.02414674259061108,0.015271010483564202,0.015965032243195246,0.015416957547024062,0.01582859599429924
zoo,0.01667755416646688,0.029395638424488082,0.018095573201548407,0.02705503102985799,0.027580760831006048,0.022832750632129317,0.028703491578489726,0.028527831084744736,0.030286008927651913,0.02870349157848973
