TRAINACC:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
breast-tissue,0.8807692307692307,0.8608974358974361,0.883974358974359,0.6769230769230768,0.6794871794871794,0.7749999999999999,0.6826923076923078,0.6538461538461537,0.6467948717948716,0.6269230769230769
car,0.9736577829277713,0.9802626496716882,0.9669756662804172,0.9616840478949402,0.9606411741985322,0.9491695635380457,0.932985708767864,0.9377365778292778,0.9310158362302048,0.8397837002703749
cardiotocography-3clases,0.9384494664155679,0.949654739485248,0.9331450094161957,0.9242937853107343,0.9240112994350284,0.9083490269930948,0.9167922159447581,0.9172944130571247,0.9165411173885752,0.8880728185812929
cardiotocography-10clases,0.8821069182389938,0.91062893081761,0.8660377358490566,0.8339937106918239,0.8363522012578616,0.8266352201257863,0.825251572327044,0.8275471698113209,0.8252201257861635,0.7845597484276728
chess-krvk,0.7793401787412058,0.8760862331241681,0.7748954173797298,0.7430642707739114,0.728710306141852,0.6917855105533371,0.5868487355010458,0.679599258414147,0.5431807377828484,0.2843815364137669
chess-krvkp,0.9923606762680023,0.9936756418284282,0.9917553746608224,0.9913587977457731,0.9896263828010855,0.9890836986015447,0.9856814861198081,0.9856814861198081,0.9856814861198081,0.9497182216656231
congressional-voting,0.6456221198156681,0.6196620583717359,0.6162826420890938,0.603072196620584,0.6029185867895546,0.41874039938556057,0.6079877112135179,0.607373271889401,0.607373271889401,0.5938556067588326
conn-bench-sonar-mines-rocks,0.8550161812297734,0.8524271844660193,0.8446601941747571,0.8197411003236242,0.8245954692556634,0.8184466019417473,0.8006472491909382,0.8006472491909382,0.8006472491909382,0.7514563106796115
conn-bench-vowel-deterding,0.9884848484848483,0.9861952861952862,0.9851851851851853,0.9676094276094278,0.9703703703703703,0.9554208754208754,0.9311784511784513,0.9323232323232324,0.9169023569023568,0.7338047138047138
connect-4,0.8531095190163224,0.8533818856454893,0.8524345234570826,0.8441391832948466,0.8314228195867132,0.8201274991611898,0.7544526022855114,0.8058835139242504,0.8058835139242504,0.753775633055046
contrac,0.573015873015873,0.5541496598639456,0.5485260770975057,0.5395918367346938,0.5360997732426304,0.5271201814058956,0.5295238095238095,0.5312471655328799,0.5290249433106575,0.500045351473923
credit-approval,0.8714147286821705,0.8694767441860465,0.8616279069767442,0.8591085271317828,0.857267441860465,0.8576550387596898,0.8576550387596898,0.8576550387596898,0.8576550387596898,0.8557170542635659
cylinder-bands,0.7533854166666667,0.7440104166666667,0.7391927083333333,0.7341145833333333,0.7319010416666667,0.7149739583333333,0.7260416666666667,0.722265625,0.722265625,0.7026041666666667
dermatology,0.9934065934065934,0.9873626373626373,0.9886446886446886,0.9727106227106224,0.9717948717948715,0.9752747252747249,0.9741758241758237,0.972344322344322,0.9743589743589739,0.9657509157509154
echocardiogram,0.8794871794871798,0.8764102564102567,0.8605128205128207,0.8338461538461542,0.8302564102564106,0.8061538461538464,0.8415384615384619,0.8312820512820517,0.8312820512820517,0.8343589743589747
ecoli,0.9407630522088353,0.9114457831325302,0.9232931726907629,0.8654618473895584,0.8600401606425703,0.8704819277108437,0.8572289156626505,0.8580321285140562,0.8546184738955823,0.8508032128514055
energy-y1,0.9583115752828545,0.9626631853785902,0.9521322889469105,0.9375108790252392,0.9138381201044387,0.9135770234986944,0.9030461270670148,0.8982593559617058,0.8969538729329851,0.8632724107919929
energy-y2,0.9231505657093123,0.9276762402088772,0.9142732811140123,0.9087032201914708,0.9053959965187119,0.9025239338555265,0.9026979982593559,0.9027850304612707,0.9027850304612707,0.8564838990426457
fertility,0.9066666666666667,0.8973333333333332,0.893333333333333,0.8586666666666666,0.8539999999999998,0.16666666666666677,0.8793333333333332,0.8459999999999999,0.8459999999999999,0.8206666666666667
flags,0.8743055555555556,0.7697916666666667,0.7725694444444445,0.5399305555555555,0.5597222222222222,0.6447916666666667,0.5201388888888889,0.5038194444444445,0.48506944444444444,0.4190972222222222
glass,0.8479365079365082,0.8031746031746035,0.7914285714285718,0.6885714285714286,0.6911111111111111,0.6752380952380953,0.6806349206349207,0.6726984126984127,0.6688888888888889,0.5866666666666666
haberman-survival,0.7953947368421056,0.7703947368421052,0.7594298245614036,0.755921052631579,0.7489035087719299,0.4583333333333334,0.7469298245614034,0.75,0.75,0.749561403508772
hayes-roth,0.8632911392405062,0.8556962025316455,0.8016877637130801,0.7172995780590717,0.7261603375527427,0.7337552742616034,0.6565400843881857,0.6713080168776372,0.5835443037974682,0.36244725738396627
heart-cleveland,0.8406666666666666,0.7915555555555555,0.732,0.58,0.5773333333333334,0.6182222222222221,0.5942222222222223,0.5822222222222222,0.5802222222222223,0.5762222222222223
heart-hungarian,0.8444444444444444,0.834920634920635,0.8244897959183672,0.8102040816326529,0.8056689342403629,0.7968253968253969,0.8031746031746031,0.8029478458049885,0.8029478458049885,0.7938775510204082
heart-switzerland,0.6841530054644809,0.6726775956284156,0.6114754098360656,0.38032786885245906,0.3814207650273225,0.3480874316939891,0.42131147540983604,0.3748633879781421,0.36721311475409835,0.31366120218579224
heart-va,0.7053872053872053,0.6673400673400672,0.5252525252525253,0.31548821548821554,0.32626262626262625,0.3966329966329966,0.32760942760942763,0.3121212121212121,0.30370370370370375,0.30336700336700334
hepatitis,0.8606060606060606,0.8411255411255412,0.8316017316017316,0.8125541125541126,0.8064935064935067,0.758008658008658,0.8077922077922078,0.8025974025974026,0.8025974025974026,0.7995670995670995
hill-valley,0.6766776677667766,0.8795379537953796,0.6722222222222222,0.6508250825082508,0.644939493949395,0.6605060506050605,0.5818481848184817,0.5892189218921892,0.5892189218921892,0.5498349834983499
horse-colic,0.8548913043478262,0.8568840579710147,0.8443840579710145,0.8346014492753618,0.8275362318840579,0.8201086956521738,0.8253623188405796,0.8253623188405796,0.8253623188405796,0.8219202898550724
ilpd-indian-liver,0.738946162657503,0.7239404352806414,0.7199312714776632,0.7178694158075601,0.7154639175257732,0.35544100801832773,0.7159221076746849,0.7123711340206185,0.7123711340206185,0.7071019473081329
image-segmentation,0.9698989898989898,0.9760461760461763,0.9649350649350651,0.9534199134199132,0.9539105339105339,0.9524386724386722,0.9489177489177487,0.9501875901875904,0.947734487734488,0.8619336219336221
ionosphere,0.919809523809524,0.9232380952380954,0.9095238095238097,0.8956190476190478,0.8893333333333333,0.8982857142857142,0.8885714285714286,0.8885714285714286,0.8885714285714286,0.8681904761904763
iris,0.988888888888889,0.9773333333333335,0.9786666666666668,0.9591111111111112,0.957777777777778,0.9573333333333335,0.9564444444444447,0.9564444444444447,0.9564444444444447,0.9493333333333333
led-display,0.8133736559139784,0.788239247311828,0.7781586021505374,0.7301747311827956,0.7256048387096773,0.7279569892473119,0.7258064516129031,0.7264784946236557,0.7249327956989245,0.7243279569892471
lenses,0.9818181818181818,0.8303030303030301,0.7484848484848484,0.7060606060606059,0.7303030303030302,0.7727272727272727,0.7181818181818181,0.6909090909090908,0.6818181818181818,0.712121212121212
letter,0.9405850762200206,0.9687014243303648,0.9397945228326495,0.9349077687714735,0.9392007738750456,0.9135061209513327,0.8992794956469528,0.9044697955235331,0.8856532906367792,0.8106841455685648
libras,0.9607407407407407,0.8907407407407406,0.9368518518518517,0.7862962962962964,0.792962962962963,0.8550000000000001,0.7762962962962963,0.7842592592592595,0.7731481481481483,0.6807407407407405
low-res-spect,0.9583333333333328,0.9381313131313133,0.9458333333333332,0.8935606060606063,0.8890151515151516,0.9111111111111115,0.8863636363636366,0.8854797979797981,0.8814393939393941,0.8791666666666668
lung-cancer,0.8111111111111112,0.9000000000000002,0.4755555555555557,0.47777777777777775,0.4977777777777778,0.7933333333333334,0.47777777777777797,0.43333333333333335,0.4000000000000001,0.38
lymphography,0.8899543378995431,0.8707762557077625,0.8684931506849315,0.7954337899543379,0.7977168949771689,0.7547945205479449,0.7954337899543378,0.7986301369863011,0.7922374429223743,0.7977168949771689
magic,0.8625902558710131,0.8628531370487206,0.8617525411847179,0.8594987732211707,0.8544023834560112,0.8329793200140205,0.8407570977917982,0.8392218717139852,0.8392218717139852,0.7895793901156679
mammographic,0.8363888888888888,0.8350694444444444,0.8303472222222221,0.8282638888888888,0.8205555555555555,0.8150694444444445,0.8147222222222222,0.8147222222222222,0.8147222222222222,0.7999305555555555
miniboone,0.9106825975304086,0.911564740918434,0.9103586494646143,0.9046234360023168,0.9031518301527991,0.8892077111941483,0.8941781611846658,0.8941781611846658,0.8941781611846658,0.8488956548927946
molec-biol-promoter,0.8660256410256412,0.8506410256410256,0.832692307692308,0.808974358974359,0.7967948717948722,0.7967948717948719,0.7858974358974359,0.7852564102564102,0.7852564102564102,0.7589743589743587
molec-biol-splice,0.91758678377248,0.9312630698452529,0.9157465495608531,0.8954203262233374,0.8920535340861566,0.8651610204935173,0.8574236721037224,0.8591593475533249,0.8564408197406944,0.8291300710999582
monks-1,0.9140287769784171,0.9212230215827338,0.9105515587529976,0.8931654676258991,0.8959232613908873,0.8594724220623502,0.7752997601918467,0.7675059952038371,0.7675059952038371,0.6661870503597122
monks-2,0.7645555555555555,0.7470000000000001,0.7425555555555555,0.7292222222222219,0.7263333333333333,0.6906666666666664,0.6578888888888887,0.6738888888888891,0.6738888888888891,0.6558888888888885
monks-3,0.968110709987966,0.9702767749699155,0.9652226233453668,0.9555956678700358,0.9542719614921776,0.9470517448856797,0.8842358604091454,0.8842358604091454,0.8842358604091454,0.7637785800240676
mushroom,0.9999753815854259,0.9999589693090432,0.9999753815854259,0.9994091580502216,0.9983998030526833,0.9999671754472346,0.9977186935827997,0.9977186935827997,0.9977186935827997,0.9553504021007715
musk-1,0.8956399437412095,0.9016877637130805,0.8870604781997188,0.8786216596343179,0.8781997187060476,0.871448663853727,0.8696202531645569,0.8696202531645569,0.8696202531645569,0.8012658227848101
musk-2,0.987578330301193,0.9883565797453,0.9871538306044069,0.9845461896098645,0.9748433393976145,0.9763088740650897,0.9691934505761065,0.9691934505761065,0.9691934505761065,0.945047503537497
nursery,0.9877726337448561,0.9932973251028809,0.9871193415637862,0.9805915637860083,0.9720010288065843,0.8818106995884775,0.9504372427983541,0.952150205761317,0.952067901234568,0.906764403292181
oocytes_merluccius_nucleus_4d,0.840392156862745,0.8354248366013073,0.8315032679738563,0.828235294117647,0.8216339869281045,0.7856862745098041,0.8130065359477127,0.8086274509803922,0.8086274509803922,0.7539869281045752
oocytes_merluccius_states_2f,0.9347712418300652,0.9328758169934638,0.9256862745098038,0.92078431372549,0.9201307189542481,0.9105882352941175,0.9187581699346404,0.918627450980392,0.9177124183006534,0.910718954248366
oocytes_trisopterus_nucleus_2f,0.8271794871794875,0.8207326007326011,0.8190476190476195,0.814578754578755,0.8139926739926744,0.8000000000000005,0.8027106227106232,0.8027106227106232,0.8027106227106232,0.7431501831501833
oocytes_trisopterus_states_5b,0.9435164835164837,0.9455677655677657,0.9384615384615386,0.9336263736263738,0.9321611721611723,0.9145787545787548,0.9295970695970698,0.9292307692307694,0.9290842490842492,0.9000732600732603
optical,0.9924528301886795,0.9922154978046754,0.9896523080574345,0.9850955262845615,0.9840512637949449,0.9846920612317551,0.9836596653613384,0.9836715319805388,0.982686602586923,0.9781060875756497
ozone,0.9736122073138643,0.9727703235990525,0.9720336753485921,0.9699815837937381,0.9695080242041565,0.028413575374901332,0.9712707182320438,0.9694290976058929,0.9694290976058929,0.9619310707708499
page-blocks,0.976026812918952,0.9793540524070691,0.9733333333333333,0.9693967093235833,0.9674223034734919,0.6374649603900061,0.9638025594149907,0.9660085313833027,0.9654478976234002,0.9497745277269958
parkinsons,0.9350515463917527,0.9302405498281788,0.9226804123711342,0.9044673539518903,0.8958762886597941,0.8742268041237117,0.889347079037801,0.8786941580756016,0.8786941580756016,0.8316151202749145
pendigits,0.9931185144729654,0.99516960980642,0.9924267249226287,0.990764002670065,0.9893804235693915,0.9886036774076098,0.9874082165179927,0.9882274409854969,0.9870319800958798,0.974974209600097
pima,0.7788194444444444,0.7719618055555557,0.7717881944444447,0.7676215277777777,0.7630208333333334,0.7588541666666668,0.763888888888889,0.7682291666666665,0.7682291666666665,0.7650173611111108
pittsburg-bridges-MATERIAL,0.9506410256410253,0.9217948717948717,0.9358974358974358,0.8467948717948718,0.8423076923076922,0.8608974358974358,0.8596153846153846,0.8455128205128204,0.8403846153846152,0.8314102564102566
pittsburg-bridges-REL-L,0.8199999999999998,0.802,0.7853333333333334,0.6866666666666666,0.6839999999999999,0.508,0.6746666666666666,0.6599999999999999,0.6546666666666666,0.6613333333333333
pittsburg-bridges-SPAN,0.7942028985507246,0.7811594202898553,0.7384057971014494,0.6630434782608696,0.6608695652173914,0.6376811594202898,0.6717391304347824,0.6557971014492755,0.6543478260869566,0.6463768115942028
pittsburg-bridges-T-OR-D,0.9215686274509806,0.912418300653595,0.9117647058823531,0.8758169934640526,0.8725490196078435,0.5797385620915033,0.8797385620915036,0.870588235294118,0.870588235294118,0.8633986928104579
pittsburg-bridges-TYPE,0.8405228758169938,0.7725490196078435,0.839869281045752,0.5607843137254902,0.5549019607843138,0.7045751633986929,0.5856209150326797,0.5503267973856208,0.5431372549019607,0.5209150326797386
planning,0.7534798534798538,0.7333333333333336,0.7304029304029306,0.7021978021978021,0.7021978021978023,0.317948717948718,0.7139194139194138,0.704029304029304,0.704029304029304,0.695970695970696
plant-margin,0.8967499999999998,0.9245833333333333,0.9879166666666667,0.7941666666666667,0.79075,0.89375,0.7939999999999999,0.7881666666666667,0.7807499999999999,0.7013333333333333
plant-shape,0.16366666666666668,0.8930833333333333,0.9795833333333335,0.616875,0.6123750000000001,0.8475416666666667,0.6267499999999999,0.6174583333333336,0.608125,0.4973333333333334
plant-texture,0.9540258656654151,0.9230705047976638,0.9880684188569043,0.7969128076762619,0.798456403838131,0.883270755110555,0.7978723404255319,0.7975385899040468,0.7917396745932418,0.7025448477263246
post-operative,0.777777777777778,0.7562962962962967,0.743703703703704,0.6511111111111112,0.6622222222222223,0.27925925925925926,0.7066666666666667,0.6533333333333334,0.6533333333333334,0.6214814814814814
primary-tumor,0.8932515337423312,0.756237218813906,0.7905930470347649,0.43190184049079744,0.4341513292433537,0.6333333333333333,0.47034764826175857,0.4435582822085889,0.4390593047034764,0.3881390593047034
ringnorm,0.934945945945946,0.9433873873873874,0.9277747747747749,0.9195945945945946,0.921,0.9246756756756757,0.8707297297297296,0.8707297297297296,0.8707297297297296,0.7606756756756755
seeds,0.9733333333333334,0.966031746031746,0.9615873015873017,0.9460317460317461,0.9390476190476191,0.9339682539682541,0.9314285714285716,0.9317460317460319,0.9317460317460319,0.9174603174603176
semeion,0.9676754939050021,0.9620008406893653,0.9499369482976039,0.9296343001261035,0.9301807482135352,0.9345943673812525,0.9255149222362337,0.9286254728877681,0.9240016813787304,0.9261454392601933
soybean,0.9673529411764703,0.9567647058823527,0.9554901960784312,0.9137254901960783,0.9138235294117647,0.9245098039215687,0.9115686274509801,0.9127450980392154,0.9102941176470587,0.8928431372549019
spambase,0.9395652173913044,0.942159420289855,0.9373913043478261,0.9330289855072461,0.9316956521739129,0.9299420289855075,0.9278260869565218,0.9278260869565218,0.9278260869565218,0.9070289855072465
spect,0.748989898989899,0.7325757575757577,0.7171717171717172,0.697979797979798,0.695959595959596,0.6952020202020203,0.7030303030303032,0.7002525252525255,0.7002525252525255,0.7073232323232326
spectf,0.8779448621553886,0.8814536340852132,0.868922305764411,0.8531328320802004,0.8563909774436088,0.7937343358395991,0.8576441102756893,0.8521303258145363,0.8521303258145363,0.8448621553884712
statlog-australian-credit,0.693719806763285,0.6837681159420292,0.6787439613526572,0.6716908212560389,0.6638647342995169,0.33207729468599034,0.6785507246376813,0.6736231884057972,0.6736231884057972,0.6731400966183578
statlog-german-credit,0.7683333333333333,0.7616666666666667,0.7592666666666666,0.7562,0.7497333333333336,0.6985333333333335,0.7427333333333334,0.7543333333333334,0.7543333333333334,0.7570000000000001
statlog-heart,0.8498765432098766,0.839753086419753,0.8387654320987653,0.8333333333333334,0.8237037037037037,0.8306172839506174,0.8293827160493825,0.8293827160493825,0.8293827160493825,0.8325925925925926
statlog-image,0.9797691197691198,0.9833766233766232,0.9764790764790764,0.9677344877344877,0.968975468975469,0.9668398268398269,0.9659451659451658,0.9665223665223667,0.966060606060606,0.9182683982683983
statlog-landsat,0.9126451077943615,0.9289386401326699,0.9079187396351575,0.9018967661691542,0.9003524046434495,0.8927031509121062,0.8921538142620231,0.8943200663349918,0.8921952736318411,0.8572346600331676
statlog-shuttle,0.9997746971055474,0.9997494080051498,0.9997356139503871,0.9991240775225876,0.9981814837804908,0.35721314113617025,0.9977561670919833,0.9981251580568775,0.9979722739499278,0.9638722210727176
statlog-vehicle,0.8394154818325433,0.8454186413902052,0.8175355450236966,0.7997630331753556,0.8002369668246447,0.8063981042654029,0.7743285939968403,0.7814375987361768,0.7760663507109007,0.697788309636651
steel-plates,0.7868937048503611,0.8117303061575506,0.767389060887513,0.745889232886137,0.7452700378396975,0.715892672858617,0.7364637082903337,0.7399036807705538,0.7373925008599932,0.70374957000344
synthetic-control,0.9986666666666666,0.992444444444444,0.9941111111111111,0.9871111111111114,0.9866666666666666,0.9886666666666666,0.9858888888888887,0.9858888888888888,0.9831111111111108,0.9775555555555556
teaching,0.6973333333333334,0.6737777777777778,0.6044444444444446,0.528,0.5284444444444444,0.5586666666666666,0.5124444444444444,0.5115555555555557,0.5066666666666667,0.49866666666666665
thyroid,0.9943240740740739,0.9954814814814815,0.9941759259259259,0.9853796296296294,0.9683148148148149,0.9858981481481479,0.9627500000000001,0.965759259259259,0.9655555555555553,0.9645833333333332
tic-tac-toe,0.9981906750173974,0.9992345163535145,0.9981906750173974,0.9863604732080721,0.9832985386221292,0.9876826722338201,0.9834377174669447,0.9834377174669447,0.9834377174669447,0.9827418232428669
titanic,0.791151515151515,0.787969696969697,0.7858484848484849,0.7836666666666667,0.7821818181818181,0.7816666666666667,0.7759999999999998,0.7791212121212122,0.7791212121212122,0.7761818181818183
trains,1.0,0.9916666666666667,0.95,0.5833333333333334,0.6833333333333333,0.9666666666666667,0.6083333333333333,0.65,0.525,0.5166666666666667
twonorm,0.9785437505632152,0.9780661440028838,0.9777237091105705,0.9775975488870865,0.9763900153194556,0.9772370911057042,0.9772370911057042,0.9772370911057042,0.9772370911057042,0.9774533657745337
vertebral-column-2clases,0.8688172043010753,0.8537634408602148,0.84752688172043,0.8443010752688171,0.8400000000000002,0.8249462365591399,0.8423655913978492,0.8419354838709675,0.8419354838709675,0.8111827956989248
vertebral-column-3clases,0.9012903225806453,0.890752688172043,0.8707526881720431,0.8535483870967742,0.8466666666666666,0.850967741935484,0.8404301075268815,0.8440860215053764,0.8436559139784945,0.7950537634408601
wall-following,0.9917613983620585,0.9925192519251925,0.9917247280283584,0.973878498961007,0.9623273438454958,0.9584036181395917,0.910512162327344,0.9071140447378071,0.8959907101821293,0.7104388216599438
waveform,0.8710417500333466,0.8696945444844605,0.8687341603307991,0.8675603574763239,0.8610377484327064,0.8654928638121915,0.8655062024809923,0.8655195411497931,0.8654928638121915,0.8664665866346539
waveform-noise,0.8678137921835399,0.8671468587434973,0.865012671735361,0.8630385487528344,0.8576630652260903,0.8606776043750833,0.8607576363878884,0.8606909430438843,0.8606109110310791,0.8604108309990663
wine,0.9909090909090907,0.9878787878787877,0.9863636363636361,0.9708333333333331,0.9712121212121211,0.9689393939393939,0.9674242424242423,0.968560606060606,0.9678030303030302,0.9655303030303027
wine-quality-red,0.6504177109440266,0.6616959064327486,0.6257727652464493,0.6026733500417711,0.6072263993316624,0.07314118629908102,0.6016290726817044,0.6006265664160398,0.6015455304928989,0.5834168755221386
wine-quality-white,0.6192071924805885,0.6214548426644871,0.611565181855333,0.5928620079008309,0.6041275030649774,0.055019752077373654,0.5608636425555104,0.5760523089497342,0.5701675521046179,0.5270126685737639
yeast,0.679341452413171,0.7316193053676138,0.6377086152458277,0.6041948579161027,0.6017591339648173,0.5922868741542625,0.6013982859720345,0.6006765899864683,0.5998646820027065,0.5899864682002707
zoo,0.98843537414966,0.9557823129251698,0.9836734693877552,0.9312925170068026,0.9312925170068026,0.9653061224489794,0.9272108843537413,0.9251700680272107,0.9238095238095237,0.9272108843537412
