TRAINACCRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
contrac,1.0,2.0,3.0,4.0,5.0,9.0,7.0,6.0,8.0,10.0
credit-approval,1.0,2.0,3.0,4.0,9.0,6.5,6.5,6.5,6.5,10.0
cylinder-bands,1.0,2.0,3.0,4.0,5.0,9.0,6.0,7.5,7.5,10.0
dermatology,1.0,3.0,2.0,7.0,9.0,4.0,6.0,8.0,5.0,10.0
echocardiogram,1.0,2.0,3.0,6.0,9.0,10.0,4.0,7.5,7.5,5.0
ecoli,1.0,3.0,2.0,5.0,6.0,4.0,8.0,7.0,9.0,10.0
energy-y1,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
energy-y2,2.0,1.0,3.0,4.0,5.0,9.0,8.0,6.5,6.5,10.0
fertility,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.5,7.5,9.0
flags,1.0,3.0,2.0,6.0,5.0,4.0,7.0,8.0,9.0,10.0
glass,1.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
haberman-survival,1.0,2.0,3.0,4.0,8.0,10.0,9.0,5.5,5.5,7.0
hayes-roth,1.0,2.0,3.0,6.0,5.0,4.0,8.0,7.0,9.0,10.0
heart-cleveland,1.0,2.0,3.0,8.0,9.0,4.0,5.0,6.0,7.0,10.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,9.0,6.0,7.5,7.5,10.0
heart-switzerland,1.0,2.0,3.0,6.0,5.0,9.0,4.0,7.0,8.0,10.0
heart-va,1.0,2.0,3.0,7.0,6.0,4.0,5.0,8.0,9.0,10.0
hepatitis,1.0,2.0,3.0,4.0,6.0,10.0,5.0,7.5,7.5,9.0
hill-valley,2.0,1.0,3.0,5.0,6.0,4.0,9.0,7.5,7.5,10.0
horse-colic,2.0,1.0,3.0,4.0,5.0,10.0,7.0,7.0,7.0,9.0
ilpd-indian-liver,1.0,2.0,3.0,4.0,6.0,10.0,5.0,7.5,7.5,9.0
image-segmentation,2.0,1.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
ionosphere,2.0,1.0,3.0,5.0,6.0,4.0,8.0,8.0,8.0,10.0
iris,1.0,3.0,2.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
led-display,1.0,2.0,3.0,4.0,8.0,5.0,7.0,6.0,9.0,10.0
lenses,1.0,2.0,4.0,8.0,5.0,3.0,6.0,9.0,10.0,7.0
letter,2.0,1.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
libras,1.0,3.0,2.0,6.0,5.0,4.0,8.0,7.0,9.0,10.0
low-res-spect,1.0,3.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0
lung-cancer,2.0,1.0,7.0,6.0,4.0,3.0,5.0,8.0,9.0,10.0
lymphography,1.0,2.0,3.0,7.0,5.5,10.0,8.0,4.0,9.0,5.5
magic,2.0,1.0,3.0,4.0,5.0,9.0,6.0,7.5,7.5,10.0
mammographic,1.0,2.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
miniboone,2.0,1.0,3.0,4.0,5.0,9.0,7.0,7.0,7.0,10.0
molec-biol-promoter,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.5,8.5,10.0
molec-biol-splice,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
monks-1,2.0,1.0,3.0,5.0,4.0,6.0,7.0,8.5,8.5,10.0
monks-2,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.5,7.5,10.0
monks-3,2.0,1.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
mushroom,1.5,4.0,1.5,5.0,6.0,3.0,8.0,8.0,8.0,10.0
musk-1,2.0,1.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
musk-2,2.0,1.0,3.0,4.0,6.0,5.0,8.0,8.0,8.0,10.0
nursery,2.0,1.0,3.0,4.0,5.0,10.0,8.0,6.0,7.0,9.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,9.0,6.0,7.5,7.5,10.0
oocytes_merluccius_states_2f,1.0,2.0,3.0,4.0,5.0,10.0,6.0,7.0,8.0,9.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0,4.0,5.0,9.0,7.0,7.0,7.0,10.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0
optical,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,9.0,10.0
ozone,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.5,7.5,9.0
page-blocks,2.0,1.0,3.0,4.0,5.0,10.0,8.0,6.0,7.0,9.0
parkinsons,1.0,2.0,3.0,4.0,5.0,9.0,6.0,7.5,7.5,10.0
pendigits,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
pima,1.0,2.0,3.0,6.0,9.0,10.0,8.0,4.5,4.5,7.0
pittsburg-bridges-MATERIAL,1.0,3.0,2.0,6.0,8.0,4.0,5.0,7.0,9.0,10.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,5.0,10.0,6.0,8.0,9.0,7.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.0,8.0,9.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.5,7.5,9.0
pittsburg-bridges-TYPE,1.0,3.0,2.0,6.0,7.0,4.0,5.0,8.0,9.0,10.0
planning,1.0,2.0,3.0,8.0,7.0,10.0,4.0,5.5,5.5,9.0
plant-margin,3.0,2.0,1.0,5.0,7.0,4.0,6.0,8.0,9.0,10.0
plant-shape,10.0,2.0,1.0,6.0,7.0,3.0,4.0,5.0,8.0,9.0
plant-texture,2.0,3.0,1.0,8.0,5.0,4.0,6.0,7.0,9.0,10.0
post-operative,1.0,2.0,3.0,8.0,5.0,10.0,4.0,6.5,6.5,9.0
primary-tumor,1.0,3.0,2.0,9.0,8.0,4.0,5.0,6.0,7.0,10.0
ringnorm,2.0,1.0,3.0,6.0,5.0,4.0,8.0,8.0,8.0,10.0
seeds,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.5,7.5,10.0
semeion,1.0,2.0,3.0,6.0,5.0,4.0,9.0,7.0,10.0,8.0
soybean,1.0,2.0,3.0,6.0,5.0,4.0,8.0,7.0,9.0,10.0
spambase,2.0,1.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
spect,1.0,2.0,3.0,8.0,9.0,10.0,5.0,6.5,6.5,4.0
spectf,2.0,1.0,3.0,6.0,5.0,10.0,4.0,7.5,7.5,9.0
statlog-australian-credit,1.0,2.0,3.0,8.0,9.0,10.0,4.0,5.5,5.5,7.0
statlog-german-credit,1.0,2.0,3.0,5.0,8.0,10.0,9.0,6.5,6.5,4.0
statlog-heart,1.0,2.0,3.0,4.0,10.0,6.0,8.0,8.0,8.0,5.0
statlog-image,2.0,1.0,3.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
statlog-landsat,2.0,1.0,3.0,4.0,5.0,7.0,9.0,6.0,8.0,10.0
statlog-shuttle,1.0,2.0,3.0,4.0,5.0,10.0,8.0,6.0,7.0,9.0
statlog-vehicle,2.0,1.0,3.0,6.0,5.0,4.0,9.0,7.0,8.0,10.0
steel-plates,2.0,1.0,3.0,4.0,5.0,9.0,8.0,6.0,7.0,10.0
synthetic-control,1.0,3.0,2.0,5.0,6.0,4.0,8.0,7.0,9.0,10.0
teaching,1.0,2.0,3.0,6.0,5.0,4.0,7.0,8.0,9.0,10.0
thyroid,2.0,1.0,3.0,5.0,6.0,4.0,10.0,7.0,8.0,9.0
tic-tac-toe,2.5,1.0,2.5,5.0,9.0,4.0,7.0,7.0,7.0,10.0
titanic,1.0,2.0,3.0,4.0,5.0,6.0,10.0,7.5,7.5,9.0
trains,1.0,2.0,4.0,8.0,5.0,3.0,7.0,6.0,9.0,10.0
twonorm,1.0,2.0,3.0,4.0,10.0,7.5,7.5,7.5,7.5,5.0
vertebral-column-2clases,1.0,2.0,3.0,4.0,8.0,9.0,5.0,6.5,6.5,10.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,6.0,5.0,9.0,7.0,8.0,10.0
wall-following,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
waveform,1.0,2.0,3.0,4.0,10.0,8.5,7.0,6.0,8.5,5.0
waveform-noise,1.0,2.0,3.0,4.0,10.0,7.0,5.0,6.0,8.0,9.0
wine,1.0,2.0,3.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
wine-quality-red,2.0,1.0,3.0,5.0,4.0,10.0,6.0,8.0,7.0,9.0
wine-quality-white,2.0,1.0,3.0,5.0,4.0,10.0,8.0,6.0,7.0,9.0
yeast,2.0,1.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0
zoo,1.0,4.0,2.0,5.5,5.5,3.0,7.0,9.0,10.0,8.0
