TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
ProximalPhalanxTW,0.030390148689350565,0.027768843692946233,0.03040709917929463
RefrigerationDevices,0.02363122379790057,0.026573938394374174,0.030063500270781682
ScreenType,0.022763552234763968,0.019149529236700002,0.016568199548253656
ShapeletSim,0.09067118819016376,0.11547005383792516,0.1638351428204233
ShapesAll,0.011230346818116136,0.010347722030151458,0.010508920980709605
SmallKitchenAppliances,0.019566907189446408,0.017135922698918074,0.021024585741921602
SonyAIBORobotSurface1,0.10172634120423393,0.09073580705136502,0.09779427449531462
SonyAIBORobotSurface2,0.06264891836409117,0.06326777690570537,0.06334888275742102
StarlightCurves,0.008827871422001674,0.00885577608123338,0.008568223748569217
Strawberry,0.003835086037849806,0.0035271195690813706,0.003508260159445821
SwedishLeaf,0.010617925403926512,0.01201582425647667,0.01236794253028467
Symbols,0.07611710037868089,0.08425265840143112,0.08296252376702527
SyntheticControl,0.013662601021279459,0.013316080792141324,0.013375889939478875
ToeSegmentation1,0.059263923627095115,0.08928193752274921,0.09785413141243837
ToeSegmentation2,0.061243036516671186,0.0840275468896905,0.08711105246694405
Trace,0.022565308952328025,0.02605396031274574,0.029261247341518682
TwoLeadECG,0.05465310693330859,0.05510163943513736,0.061409603683369555
TwoPatterns,0.010477349725746028,0.011348590077563359,0.010499222231989742
UWaveGestureLibraryAll,0.00513715825757046,0.005207462850013266,0.005203455549124151
UWaveGestureLibraryX,0.01459497980194588,0.013427290608403046,0.013466490063794204
UWaveGestureLibraryY,0.013707920351804341,0.014478325158943168,0.01522879531889822
UWaveGestureLibraryZ,0.015924882431262513,0.01570996292127423,0.014981236589603156
Wafer,0.007406605134840506,0.007433872097720902,0.007535393318066183
Wine,0.03428867261051717,0.03845523381344946,0.03890910500508184
WordSynonyms,0.033037718801501824,0.030547151553148924,0.03244877638945054
Worms,0.047472803987237924,0.04957769912409071,0.05039543773569026
WormsTwoClass,0.03028021483690585,0.03389194702503462,0.030872681461183955
Yoga,0.020566150361687106,0.021115327215605717,0.021573578388590083
