TRAINAUROC:,CAWPE-S,PB-S
nursery,0.9984229446859069,0.9815407002514609
oocytes_merluccius_nucleus_4d,0.8755018332869163,0.7799608976144018
oocytes_merluccius_states_2f,0.9768241358148727,0.9721064495995951
oocytes_trisopterus_nucleus_2f,0.8807337874947208,0.8119712452471498
oocytes_trisopterus_states_5b,0.9757519144568655,0.9543683540911653
optical,0.9993337089783682,0.9979082346725716
ozone,0.8580520203387803,0.8634405933146805
page-blocks,0.9884023536591603,0.9580793420031993
parkinsons,0.9412290715372914,0.8551560121765608
pendigits,0.9994127084086426,0.9984424026749197
pima,0.8262000000000014,0.825226865671643
pittsburg-bridges-MATERIAL,0.8969609223291712,0.8785514165321863
pittsburg-bridges-REL-L,0.7466701315480385,0.7354233615221989
pittsburg-bridges-SPAN,0.7447421419160546,0.7404498400150572
pittsburg-bridges-T-OR-D,0.7615800865800865,0.7463203463203463
pittsburg-bridges-TYPE,0.7570978431339632,0.7471444834405008
planning,0.40061143984220954,0.41684418145956653
plant-margin,0.9943572180134681,0.9920674978956229
plant-shape,0.9791527251683502,0.9708125000000002
plant-texture,0.9901024221312584,0.9847312386837734
post-operative,0.4263554346887681,0.4604122420789088
primary-tumor,0.7922333029136636,0.7703749502528258
ringnorm,0.9744137063669468,0.818467304623341
seeds,0.991537414965986,0.9775464852607708
semeion,0.9944143934282366,0.9909997679931526
soybean,0.9914825861595272,0.9886396131601958
spambase,0.9781466719030293,0.9538341816024349
spect,0.7288469106650926,0.7322943722943723
spectf,0.8391800605637081,0.8625669694852084
statlog-australian-credit,0.5347783681117002,0.5102243268909923
statlog-german-credit,0.773662222222223,0.7755041269841282
statlog-heart,0.8907111111111121,0.8968666666666677
statlog-image,0.9980090952818225,0.9906216275307188
statlog-landsat,0.9884091071287531,0.9807949616900115
statlog-shuttle,0.9999525168141719,0.9911841741191335
statlog-vehicle,0.941836965746381,0.8904511576023839
steel-plates,0.9182319982426648,0.8937299448973234
synthetic-control,0.9998280000000002,0.9991462222222223
teaching,0.6722135040682938,0.6365797234449334
thyroid,0.996542786966509,0.9898281005469092
tic-tac-toe,0.9991531621694446,0.9664992237319886
titanic,0.7370336200649099,0.6652685509027341
trains,0.625,0.5583333333333333
twonorm,0.9967383957659413,0.9976925814446019
vertebral-column-2clases,0.9180825396825398,0.8669015873015874
vertebral-column-3clases,0.9582531490015361,0.9254210906298002
wall-following,0.9969846984436516,0.8753225733488255
waveform,0.9691483193637611,0.9686973056728647
waveform-noise,0.968477370996604,0.9682988247020441
wine,0.997004165440179,0.988944372949797
wine-quality-red,0.7695556434015154,0.7469358530553414
wine-quality-white,0.7784162926679542,0.6982345103013278
yeast,0.8336624845723345,0.8262905430971844
zoo,0.9903453074810961,0.9823347433833757
