TRAINTESTDIFFSNLL:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
trains,0.04532740124001012,-0.08411313907246717,-0.010589550506636085
twonorm,0.02274837340834535,0.022481959211631007,0.022180997560393323
vertebral-column-2clases,0.02592179252393857,0.023592742920694985,0.023485147438829488
vertebral-column-3clases,-0.0012233752785009544,0.0038647746157980073,0.00464529505289837
wall-following,0.0011290486802772648,0.012378003851749147,0.014686901017037558
waveform,0.027479696455884103,0.02515090223922507,0.024260625444083257
waveform-noise,0.012182422830192906,0.011569004028536082,0.011317061093606147
wine,0.08018779997650903,0.08896860267744315,0.08660901918183739
wine-quality-red,0.006451190589287307,0.0067214748758701965,0.006514621833782027
wine-quality-white,0.014870823055720057,0.015115673304945062,0.01520688987440922
yeast,-0.0038182301716223424,-0.003506146676649591,-0.0034379068559045713
zoo,0.0713590176960965,0.08516580975777079,0.08908555798687527
