TRAINTESTDIFFSNLLSTDDEVS:,CAWPE-S,PB-S
plant-margin,0.08414535143918107,0.10003415982328519
plant-shape,0.1211467378927056,0.11726980112765716
plant-texture,0.10137697296983873,0.12107529112973374
post-operative,0.12778874184301298,0.4703975040349856
primary-tumor,0.28966624927883666,0.36440794700210727
ringnorm,0.01856553025645782,0.013970886843633967
seeds,0.09787823074051215,0.1639031178362155
semeion,0.06449088025644588,0.13485008057520698
soybean,0.09021480596229729,0.1382186997427107
spambase,0.019819050573582506,0.03177298462727156
spect,0.11879983832384693,0.15460304195609226
spectf,0.11840809351447686,0.09861064610634998
statlog-australian-credit,0.030325072590258923,0.03367718180306627
statlog-german-credit,0.035264084946767305,0.04590350268244431
statlog-heart,0.13947410733908258,0.16144228247868475
statlog-image,0.024264956478468422,0.03805117508555725
statlog-landsat,0.020688491951218736,0.02645210788132543
statlog-shuttle,0.0020291425581563825,0.021742939568813537
statlog-vehicle,0.0577629701317388,0.0875222988849338
steel-plates,0.06380398594005397,0.06402358297095129
synthetic-control,0.022878195516974918,0.07771771324958787
teaching,0.161080348057123,0.14907925538106112
thyroid,0.007121921632187642,0.018526160600025827
tic-tac-toe,0.01826074068964002,0.04283152910874767
titanic,0.028350313763485013,0.028179751991195448
trains,1.9572918703990754,7.20693818296823
twonorm,0.008603642208458493,0.01154779719913948
vertebral-column-2clases,0.09230155921020491,0.09935520883426116
vertebral-column-3clases,0.09136137419752645,0.13755780263163442
wall-following,0.013902218091155561,0.026605551646945832
waveform,0.01579261050832794,0.020251831703234784
waveform-noise,0.02002870010495799,0.030332524915280705
wine,0.07374953004926972,0.18742134934716573
wine-quality-red,0.045963605377412224,0.03963399880736078
wine-quality-white,0.03003100346899425,0.028474332222705883
yeast,0.0701189862785071,0.07987778770686789
zoo,0.22911517215403637,0.38852946712693875
