TRAINTESTDIFFSNLL:,CAWPE-S,PB-S
hill-valley,0.0024318080181311985,0.010114533585286922
horse-colic,-0.005226749632364184,0.03543745170461317
ilpd-indian-liver,-0.004522479354053166,0.03719993128350854
image-segmentation,7.860346998085253E-4,0.01084703423452248
ionosphere,0.0364753945949754,0.019235303354876755
iris,-0.01688458532260542,0.03447340386390453
led-display,-0.018278096008510845,-0.011495644656093073
lenses,0.09233759219282828,1.09990216396586
letter,0.01889273746055128,0.016180471254140964
libras,0.03703306283119677,0.09858429296476956
low-res-spect,0.08563866509302763,0.4359385496255346
lung-cancer,0.20718135011838815,1.3265444514770108
lymphography,0.157169722831849,0.5929198228448418
magic,0.004214454609630576,0.0019255851852573317
mammographic,0.01473058881915407,0.012793155581610116
miniboone,7.509845286945094E-4,0.0022819370550455223
molec-biol-promoter,-0.025021182225698484,1.2698985201232396
molec-biol-splice,0.0013541674976454106,0.01065202496295011
monks-1,0.04799013355922031,-0.003321368201945796
monks-2,0.004871261318330652,0.003552765925985024
monks-3,0.03675543579409758,0.0020987309263709878
mushroom,0.001589958520575188,0.0037998905723008107
musk-1,0.03513241398999756,0.041754043396411186
musk-2,0.008219834625386089,0.0018737606948170736
nursery,0.01173968884388279,0.005559954111185681
oocytes_merluccius_nucleus_4d,4.4250575551261215E-4,-2.225121550838242E-4
oocytes_merluccius_states_2f,0.012376558002532546,0.0077446671144758596
oocytes_trisopterus_nucleus_2f,0.017683796256650255,0.02035121083742616
oocytes_trisopterus_states_5b,-7.542008328595344E-4,0.12100761808068675
optical,0.004427707148618717,0.013820968526632423
ozone,0.0031773571672957302,0.015200949360967504
page-blocks,1.305496910457717E-4,-0.0011590757973297533
parkinsons,0.020756745096586753,0.020207705039658568
pendigits,0.0022234965878079626,0.009086874529771676
pima,0.0022857853325542097,-0.002090118766551067
pittsburg-bridges-MATERIAL,-0.06574516292993624,0.6213765873595009
pittsburg-bridges-REL-L,-0.04834584058333594,0.07536438116463663
pittsburg-bridges-SPAN,0.15681107380236461,0.2341843589771833
pittsburg-bridges-T-OR-D,-0.024879496668808457,2.194855609345335
pittsburg-bridges-TYPE,0.029102078182919728,0.27407321236659643
planning,0.018558798602340505,0.08695727932466638
plant-margin,0.12443724454603024,0.11364070448334314
plant-shape,0.10228123088279736,0.10815460167185371
plant-texture,0.08941719572023987,0.1432151102859898
post-operative,0.09198459579126388,0.7238998469914394
primary-tumor,0.03876470647522929,0.3747533978526535
ringnorm,-0.006237564025281036,0.00354183535478196
seeds,0.003410564766699835,0.06655932527753722
semeion,0.005391178913483989,0.0017776479707387678
soybean,0.03218258326637919,0.04771278070795292
spambase,0.005905292834845385,0.010008494285289634
spect,0.0026468372532371665,-0.008585644095591287
spectf,-0.002503450532135663,0.0018065650979471085
statlog-australian-credit,0.0038455112086364244,0.001965177412832782
statlog-german-credit,0.01537538829106064,0.021822531410557226
statlog-heart,-0.008394698144429726,-0.01875249403992426
statlog-image,0.005787372504031566,0.005318352959857427
statlog-landsat,0.00842084054276935,0.006091827380667053
statlog-shuttle,6.029251341527511E-4,0.0046738535427187445
statlog-vehicle,0.02036261604799753,0.024270520219198125
steel-plates,0.014129015621024395,-0.0068128458063236785
synthetic-control,0.009486569033652019,0.012439611042703691
teaching,0.02344296383036785,0.06099729015405724
thyroid,7.701874106043051E-4,0.004931797309134721
tic-tac-toe,0.004380440387809958,0.007197798583119032
titanic,0.003184890404453851,-5.872373860662638E-4
trains,0.13660214495433554,3.53750376512697
twonorm,4.652232666692661E-4,-1.2153888493455593E-4
vertebral-column-2clases,0.009123708429179958,0.007878270819815956
vertebral-column-3clases,0.0036321107149111242,-0.018393350774986227
wall-following,-0.003547331958444936,-0.006527514525050345
waveform,0.006121315173190496,0.004951321512043638
waveform-noise,0.002881033191398591,0.002025019008974662
wine,0.030122558318042024,0.12530006410036568
wine-quality-red,0.017670394598173975,0.020108989796547374
wine-quality-white,0.017150991020605362,0.004694956037194246
yeast,0.003456059914291417,0.0064733930251320865
zoo,0.11144498711020348,0.22682916824470134
