TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
lenses,0.23549252287037348,0.22957869721814078,0.23639957748797638
letter,4.036760320344208E-4,4.049807776821977E-4,4.1033385143893447E-4
libras,0.010765521651896561,0.010752037841097998,0.010561841794305553
low-res-spect,0.007376501040377493,0.007283132751330786,0.007457657552492876
lung-cancer,0.18846571048460797,0.18154824742167347,0.19512929107040666
lymphography,0.04919214162448011,0.05183354760495419,0.05348340509788401
magic,0.004847357330832021,0.005028269666344094,0.005103388006360876
mammographic,0.0230359950701612,0.0233248435586557,0.023426054335879395
miniboone,0.0014564910368894874,0.0016022375091984808,0.0016643031463213543
molec-biol-promoter,0.07190716623556699,0.07177538209782829,0.07454423667420679
molec-biol-splice,0.0055340933216471155,0.005716482990648439,0.005861188684775271
monks-1,0.04839424230005818,0.04881844353958659,0.0505735136934039
monks-2,0.038598365063821784,0.03817237053180824,0.03912129749383534
monks-3,0.014868578266755883,0.015601097642234019,0.0169728206731274
mushroom,6.390054948341284E-7,7.900856117647683E-6,9.511921894292575E-6
musk-1,0.02434076311255459,0.026088457081276564,0.026038259849726863
musk-2,0.0031025136999192605,0.003174313743575159,0.0031908243012931875
nursery,3.4840119030160577E-4,6.434681695166715E-4,7.779544983863557E-4
oocytes_merluccius_nucleus_4d,0.02158508234635509,0.022202393014093443,0.02265038382632291
oocytes_merluccius_states_2f,0.0069189087650499605,0.006517990743545887,0.006506360301347054
oocytes_trisopterus_nucleus_2f,0.02290962607266352,0.02324712491410158,0.023793782348001554
oocytes_trisopterus_states_5b,0.01028026575796259,0.01035610482479126,0.010492823523474871
optical,3.5439541352387755E-4,3.563330912941156E-4,3.55830596008435E-4
ozone,0.05596186503694419,0.054294140283696724,0.05372314359884835
page-blocks,0.003552122088257307,0.0035745828036867424,0.00358271570945222
parkinsons,0.036045567900960494,0.03787616524160031,0.039543620044759316
pendigits,3.519811327814109E-4,3.49973634072986E-4,3.512272515505435E-4
pima,0.031744411030637285,0.03317931757527162,0.03363404358429911
pittsburg-bridges-MATERIAL,0.06892270910356306,0.06838584588846124,0.06833429596233372
pittsburg-bridges-REL-L,0.07221216122383711,0.07374278029590912,0.0738490018641418
pittsburg-bridges-SPAN,0.08126192503246621,0.07926631422074176,0.08164414813889227
pittsburg-bridges-T-OR-D,0.18238096106185006,0.18897210609380208,0.1871928157246069
pittsburg-bridges-TYPE,0.07122758715655246,0.0685368622304439,0.06944049661686649
planning,0.11718885429336676,0.11649173349576238,0.11431783719458205
plant-margin,0.0011992653090830857,0.0011899202696385896,0.0011782540689584313
plant-shape,0.003190254778507291,0.0032523826112734523,0.0032107304058267335
plant-texture,0.0021938604523879415,0.0021049378774897678,0.002151418086759267
post-operative,0.14257083164852977,0.14121290238604914,0.14040354386957668
primary-tumor,0.02701754197422231,0.027325801382006954,0.02679468179204858
ringnorm,0.005001694114285546,0.005270912241201932,0.005454185335227598
seeds,0.008844555057925203,0.007953309071029674,0.00798463430678299
semeion,0.00219492963043318,0.0021849432106915275,0.0023009111568255964
soybean,0.0034948043705625457,0.0034253502120609497,0.0034481052913573973
spambase,0.003616678331068966,0.003698219286832106,0.00374199942978328
spect,0.06329648492230401,0.06370077477217505,0.0640168484889658
spectf,0.062349237210849,0.0627403442420341,0.06313188258876806
statlog-australian-credit,0.04654638567648038,0.047519233481822576,0.0469915087220078
statlog-german-credit,0.02898187439232356,0.025099639467003915,0.0251423147343262
statlog-heart,0.041227979273918386,0.04440094231163251,0.04512853409082649
statlog-image,8.677967508439321E-4,8.670364650045475E-4,8.692033112471509E-4
statlog-landsat,0.0010650350181340006,0.0010964502995941068,0.0011066082786999807
statlog-shuttle,4.5007323280471564E-5,4.5299043478160465E-5,4.527411185369231E-5
statlog-vehicle,0.009318355193390795,0.009370052522099787,0.009636977746018268
steel-plates,0.008514941973135664,0.008546692463497282,0.008515606439490415
synthetic-control,4.953435279964218E-4,3.263908445363831E-4,4.7654117791946625E-4
teaching,0.058865172200705494,0.05584664198327904,0.053416065419748124
thyroid,0.002941001613936631,0.0030657379249449624,0.0031104663167427827
tic-tac-toe,0.0025830362283237296,0.0025473892194116097,0.0025360271872139173
titanic,0.029651016687645682,0.026907642132062943,0.027426661443443377
trains,0.4295847622672233,0.38656599627537463,0.3985526176260831
twonorm,6.550184960559211E-4,7.142641829492653E-4,8.402697522686444E-4
vertebral-column-2clases,0.03758412241174245,0.03900465095540458,0.0396404114855472
vertebral-column-3clases,0.015646675333476665,0.0158370849708565,0.016126284495587152
wall-following,9.796393365304689E-4,0.001014663210546783,0.001625562403075206
waveform,0.0027181387592779237,0.0024781691719863567,0.0025805491482736673
waveform-noise,0.0033529170637770066,0.0033117949283592804,0.003340449818516807
wine,0.006864163125164717,0.003470835930346138,0.003533648651805351
wine-quality-red,0.018983883601610442,0.01876391399190669,0.018644080459864414
wine-quality-white,0.009291405556552407,0.009483057934556125,0.00935629903090714
yeast,0.013964475082688613,0.013963649219473868,0.014112661541119143
zoo,0.010304539332317796,0.01026384274022958,0.010296701454049925
