TRAINNLLRANKS:,SMM5-S,ES-S,CAWPE-S,SMLRE-S,WMV-S,RC-S,SMLR-S,MV-S,PB-S,NBC-S
monks-1,3.0,1.0,2.0,4.0,7.0,8.0,6.0,9.0,10.0,5.0
monks-2,9.0,1.0,2.0,8.0,5.0,7.0,10.0,6.0,3.0,4.0
monks-3,1.0,4.0,5.0,2.0,7.0,8.0,3.0,9.0,10.0,6.0
mushroom,4.0,5.0,9.0,1.5,6.0,7.0,1.5,8.0,10.0,3.0
musk-1,6.0,1.0,2.0,7.0,4.0,3.0,9.0,5.0,10.0,8.0
musk-2,1.0,4.0,8.0,2.0,5.0,7.0,3.0,6.0,10.0,9.0
nursery,1.0,7.0,8.0,3.0,4.0,5.0,2.0,6.0,9.0,10.0
oocytes_merluccius_nucleus_4d,9.0,1.0,2.0,8.0,3.0,5.0,10.0,4.0,6.0,7.0
oocytes_merluccius_states_2f,1.0,4.0,5.0,2.0,8.0,7.0,3.0,9.0,6.0,10.0
oocytes_trisopterus_nucleus_2f,9.0,1.0,2.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
oocytes_trisopterus_states_5b,1.0,4.0,5.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
optical,1.0,2.0,6.0,9.0,4.0,3.0,8.0,5.0,7.0,10.0
ozone,7.0,5.0,4.0,6.0,2.0,1.0,8.0,3.0,9.0,10.0
page-blocks,1.0,4.0,7.0,3.0,5.0,8.0,2.0,6.0,9.0,10.0
parkinsons,7.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,9.0,10.0
pendigits,1.0,5.0,6.0,8.0,2.0,3.0,7.0,4.0,10.0,9.0
pima,9.0,1.0,2.0,8.0,5.0,6.0,10.0,4.0,3.0,7.0
pittsburg-bridges-MATERIAL,2.0,5.0,4.0,1.0,7.0,6.0,3.0,9.0,10.0,8.0
pittsburg-bridges-REL-L,2.0,5.0,4.0,1.0,8.0,7.0,3.0,9.0,6.0,10.0
pittsburg-bridges-SPAN,1.0,5.0,4.0,2.0,9.0,8.0,3.0,10.0,6.0,7.0
pittsburg-bridges-T-OR-D,5.0,2.0,1.0,3.0,7.0,4.0,6.0,8.0,10.0,9.0
pittsburg-bridges-TYPE,1.0,6.0,5.0,3.0,8.0,7.0,2.0,9.0,10.0,4.0
planning,9.0,1.0,2.0,7.0,6.0,8.0,10.0,5.0,3.0,4.0
plant-margin,2.0,6.0,4.0,9.0,5.0,3.0,10.0,7.0,8.0,1.0
plant-shape,2.0,7.0,6.0,10.0,4.0,3.0,9.0,5.0,8.0,1.0
plant-texture,2.0,7.0,6.0,10.0,4.0,3.0,9.0,5.0,8.0,1.0
post-operative,2.0,5.0,4.0,1.0,7.0,6.0,3.0,8.0,10.0,9.0
primary-tumor,1.0,9.0,8.0,2.0,6.0,5.0,4.0,7.0,10.0,3.0
ringnorm,2.0,1.0,3.0,8.0,5.0,6.0,9.0,7.0,10.0,4.0
seeds,1.0,4.0,5.0,2.0,6.0,7.0,3.0,8.0,9.0,10.0
semeion,1.0,2.0,3.0,8.0,4.0,5.0,7.0,6.0,9.0,10.0
soybean,1.0,3.0,6.0,10.0,4.0,2.0,9.0,5.0,8.0,7.0
spambase,6.0,1.0,2.0,7.0,3.0,5.0,8.0,4.0,9.0,10.0
spect,9.0,2.0,1.0,8.0,5.0,6.0,10.0,7.0,3.0,4.0
spectf,7.0,2.0,3.0,8.0,5.0,4.0,9.0,6.0,1.0,10.0
statlog-australian-credit,9.0,1.0,2.0,8.0,6.0,7.0,10.0,5.0,3.0,4.0
statlog-german-credit,9.0,1.0,2.0,8.0,4.0,6.0,10.0,5.0,3.0,7.0
statlog-heart,8.0,2.0,3.0,7.0,5.0,4.0,9.0,6.0,1.0,10.0
statlog-image,1.0,5.0,6.0,8.0,3.0,2.0,7.0,4.0,10.0,9.0
statlog-landsat,1.0,2.0,3.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0
statlog-shuttle,1.0,4.0,8.0,3.0,5.0,6.0,2.0,7.0,9.0,10.0
statlog-vehicle,1.0,4.0,5.0,2.0,7.0,8.0,3.0,9.0,10.0,6.0
steel-plates,1.0,5.0,4.0,3.0,6.0,8.0,2.0,7.0,9.0,10.0
synthetic-control,1.0,3.0,5.0,7.0,9.0,8.0,4.0,10.0,6.0,2.0
teaching,2.0,4.0,3.0,1.0,8.0,9.0,6.0,10.0,5.0,7.0
thyroid,1.0,4.0,8.0,3.0,5.0,7.0,2.0,6.0,9.0,10.0
tic-tac-toe,1.0,4.0,8.0,2.5,5.0,6.0,2.5,7.0,10.0,9.0
titanic,9.0,1.0,2.0,8.0,5.0,7.0,10.0,6.0,3.0,4.0
trains,2.0,6.0,5.0,1.0,7.0,8.0,3.0,9.0,10.0,4.0
twonorm,8.0,2.0,3.0,7.0,4.0,5.0,9.0,6.0,1.0,10.0
vertebral-column-2clases,8.0,1.0,2.0,7.0,5.0,4.0,10.0,6.0,3.0,9.0
vertebral-column-3clases,1.0,4.0,5.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
wall-following,1.0,5.0,6.0,3.0,7.0,8.0,2.0,9.0,10.0,4.0
waveform,1.0,4.0,6.0,2.0,7.0,8.0,3.0,9.0,5.0,10.0
waveform-noise,1.0,5.0,6.0,2.0,7.0,8.0,3.0,9.0,4.0,10.0
wine,1.0,4.0,8.0,2.0,5.0,6.0,3.0,7.0,10.0,9.0
wine-quality-red,1.0,5.0,4.0,2.0,8.0,9.0,3.0,7.0,6.0,10.0
wine-quality-white,1.0,5.0,4.0,2.0,7.0,9.0,3.0,8.0,6.0,10.0
yeast,1.0,3.0,4.0,2.0,8.0,9.0,5.0,7.0,6.0,10.0
zoo,4.0,6.0,7.0,1.0,8.0,5.0,2.0,9.0,10.0,3.0
