TRAINNLLSTDDEVS:,SMM5-S,ES-S,CAWPE-S,SMLRE-S,WMV-S,RC-S,SMLR-S,MV-S,PB-S,NBC-S
cardiotocography-10clases,0.027807980661897692,0.027423343338117422,0.028907826072860143,0.028965556935814884,0.0374833190737831,0.03802636862034347,0.031114815481650727,0.037653073927301495,0.029556192476917497,0.08946723044945436
chess-krvk,0.01427050255430524,0.06993167186904821,0.012087656925202419,0.015942225717811634,0.015652876674563186,0.01947832405801204,0.016681486323003675,0.0157956976033898,0.00745103105652866,0.026149813408783175
chess-krvkp,0.010204943786631034,0.018169135005755614,0.005221469362049711,0.01162748236194368,0.005203141459625908,0.0052065542526716505,0.012548828163650142,0.005262987479876124,0.01565250834887671,0.024182081678321178
congressional-voting,0.12647845957547518,0.027731840011311838,0.023695249659364134,0.17776004057574196,0.2761580958727067,0.28844684162912604,0.11419007324899311,0.27698795996698894,1.3334981924357596,0.018361881396169857
conn-bench-sonar-mines-rocks,0.2668226230687053,0.1275744810037757,0.10834994667839574,0.23997878379246962,0.1177177784610468,0.11810543437848747,0.23458350334899808,0.11422741575096561,0.15113033841529905,0.13386441489384174
conn-bench-vowel-deterding,0.024862206154742,0.06331082877636185,0.024505217355165795,0.06236479497447252,0.0316709365640188,0.03186861463556188,0.05721128868585554,0.03419360397444121,0.068052360671115,0.04462296549220612
connect-4,0.010882680247281305,0.00827243319775313,0.003336884746917966,0.01104259155420352,0.00989785382105029,0.011964078887322286,0.011503049285583797,0.009761697105229974,6.872434255746653E-4,0.011638901830959444
contrac,0.07413341202212956,0.0211954080352613,0.020338524984464226,0.05509050438651396,0.04938144025972558,0.0481840968969798,0.06091087848193339,0.04990404883351837,0.023539744056061077,0.0464887994704465
credit-approval,0.13065441969457323,0.032008942056217043,0.034554053887468045,0.09851209291866768,0.06504202612733001,0.06499755227767484,0.09409862387654946,0.06514932095396944,0.030799399891084565,0.07036149424916205
cylinder-bands,0.22752248215298917,0.04906824392176225,0.04799448634386337,0.20351901330132158,0.09624387623561088,0.09635069945178572,0.22443764258782564,0.09555278585495695,0.04044212963604277,0.04714048568478998
dermatology,0.0285281840588678,0.0377247208330885,0.03352792199591413,0.0399301303090768,0.04037211382480873,0.039866478759235484,0.037538191981053994,0.04034063887723897,0.0760282877927123,0.06785929808411634
echocardiogram,0.2523489250559143,0.10813014927281601,0.10782423279398984,0.2670367451759434,0.21450599520998298,0.2036431634453007,0.26138465420705387,0.2162084542499519,0.13459643368270494,0.14446199531014806
ecoli,0.07297943021858992,0.08378176100553211,0.08204355226669828,0.0689567429568489,0.09032799765915599,0.09176856815731059,0.07111872727014713,0.09045224821374563,0.07692283458905748,0.17462211985525194
energy-y1,0.03157059369995326,0.03931913754845777,0.030474516405202462,0.037130803409005375,0.051087766377145155,0.053785711910393795,0.0411372638894873,0.05042638182188405,0.29146366561452214,0.11455307826762869
energy-y2,0.03515669563868903,0.025825602440312057,0.023907823825158665,0.025312999459339094,0.05104307845622046,0.05153129213816169,0.027704979456698683,0.05090006033584042,0.0344988495558818,0.08365624459153367
fertility,0.16258379045753682,0.09789098807022008,0.09858578322015936,0.18233094074792397,0.15304961057550437,0.1161327269220182,0.14932577977612274,0.15519908374847233,1.7071476096663538,0.32337910252736773
flags,0.1296202085174642,0.24792491389537513,0.20716168954152003,0.12538457662953423,0.19925583794630353,0.198691002435913,0.1244212248989066,0.19637460962190875,0.5215057304405161,0.18173218518320977
glass,0.08648155857449095,0.13528808797407582,0.12652318413619001,0.07308924401182494,0.19064627712547894,0.18231266637974114,0.08239554053475376,0.18868465623911226,0.21199459614513244,0.15183720567639652
haberman-survival,0.21411564315707882,0.03767820342297295,0.034928836167247956,0.13197827969047865,0.15601778350642537,0.15645177828511217,0.17272304487485204,0.15606498316963888,0.03323496028685397,0.1042554152431484
hayes-roth,0.15711055299662796,0.11106034905346368,0.15025771851187866,0.09170603041999217,0.22560558322998364,0.22102828008772665,0.15160179388988781,0.20692009461935515,0.04631272521606235,0.13179179193365548
heart-cleveland,0.10879655620531242,0.1122525407951997,0.08955665673487723,0.055217891520768364,0.17572572336934894,0.1824839962700811,0.06704343595556368,0.17511353795975498,0.0964777695353628,0.13034261600930838
heart-hungarian,0.20714249078191987,0.05545545311428514,0.05349661206079092,0.15363014213776882,0.13610426371965428,0.1346599853431583,0.18658064546060601,0.13610638648717086,0.05601845556428933,0.07637771113566931
heart-switzerland,0.1512705922698608,0.22402370819380346,0.2193993681381409,0.1781805619048749,0.3168689504397432,0.3036675338769591,0.12927754267376887,0.3157900658948648,0.45930505544335437,0.14071295218439664
heart-va,0.16015554746236474,0.18682446086934043,0.150551085514751,0.0948009514261869,0.2831100462812626,0.2814237258337353,0.1073368140668623,0.28305963502024273,0.10398361168459853,0.09859704618224814
hepatitis,0.2657259931899887,0.1410109315095633,0.0929508530874831,0.21831275508643128,0.1597097192268904,0.16635079500434366,0.24336213600325912,0.15905208891779862,0.3329308575550878,0.1673831185854691
hill-valley,0.21135239746680712,0.02841083048114697,0.012854099996067292,0.106113408176653,0.17226191032137694,0.24251954715328003,0.13644458051157948,0.16844522474551546,0.02944996717354251,0.028222199602516075
horse-colic,0.16092135530589394,0.05320897630178635,0.050277787973017185,0.15890417181133695,0.09598837584440813,0.09563948861529052,0.13216225799503417,0.09661301641891472,0.2593120719599674,0.09043766126130601
ilpd-indian-liver,0.13838545730210064,0.028008385219231244,0.022385441754311387,0.1298378092294251,0.14653185766559954,0.15837436194380727,0.1240775346737001,0.14637052401580475,0.08404014921384763,0.04153975412201417
image-segmentation,0.013371899713466178,0.023527061098235588,0.020996053719599457,0.020938727330077206,0.020127201078871265,0.020187053094450406,0.01992059493989828,0.020060878097487606,0.03440127647623298,0.05775601542757665
ionosphere,0.09898466894374074,0.045521800341758054,0.03949013241472121,0.10233824199129164,0.05748198707009771,0.05665794284752656,0.09244971300480287,0.05754589051776768,0.08298664671879581,0.08843702688629339
iris,0.04819881103268163,0.057383250444755535,0.05026755235840774,0.05387181978419093,0.09158809531099073,0.09136029330935719,0.06352739779877796,0.09169629374382099,0.042620155815092396,0.20382502798654614
led-display,0.0768983882177599,0.06251719211256147,0.05873132350447085,0.047180708879357186,0.09552300473315899,0.0949833201536261,0.047268163819461896,0.09563844787687284,0.05626952023254315,0.11891936994241886
lenses,0.5004310376015013,0.6719145888508707,0.5902180842130833,0.2261474163595525,0.9283972307053026,0.9221187621667767,1.0574584512228404,0.9139441050614645,2.406701883958327,0.5109218520716693
letter,0.005865270171084325,0.05313189875884756,0.009827902148774884,0.013695403863050059,0.009701454249846893,0.01002352270163526,0.015173526377114829,0.010014390938153823,0.011921333489356445,0.021644510691760547
libras,0.08104815745172042,0.12082372205832077,0.11634730540646332,0.08522114024090557,0.13007445994880718,0.1287041802125482,0.08785143351093803,0.13145068733073986,0.1474358937936155,0.07643954038762417
low-res-spect,0.04229540958177093,0.05532285537934773,0.0531677534264199,0.04457728233845813,0.052170464905112804,0.05223868436736666,0.051357258376638126,0.052430871561127544,0.08763139258479864,0.102888750949297
lung-cancer,0.15437492378185566,0.7711300349542907,0.9987119591481256,0.6372121985829329,0.9595156890128699,0.9722766530468682,0.6555984273783229,0.9739992523692712,1.922934999631335,0.25270802512295365
lymphography,0.10395405994147107,0.08300425373048395,0.08732653577026821,0.07595339533820708,0.10163050887522698,0.10099107625675098,0.09537867237406057,0.10230426292983084,0.1212463789223553,0.13490606878355108
magic,0.02148746672716046,0.009393687699417995,0.006462647630225934,0.021089285760443704,0.01620889611821324,0.017129823780296916,0.020935883051605653,0.016183792583818798,0.0058235961584541295,0.01734421132830893
mammographic,0.10703444215369155,0.03414046398235693,0.034593911358275074,0.10241263853299493,0.08142714414909566,0.08140686820735563,0.09351814095873595,0.08147955628177894,0.043734074830608184,0.08597093644209211
miniboone,0.018727195295608956,0.013801175582736818,0.007233067240019081,0.019835088864680918,0.011650847085699122,0.011926131682034404,0.020872342578628737,0.011600916737051397,0.0029554330104276296,0.025374909236997232
molec-biol-promoter,0.33980574244227973,0.19949263505177542,0.1548343812530345,0.27952525799378464,0.2087407659978981,0.2100676552850573,0.31305052059240346,0.2089235429205902,1.3113548346343598,0.14085374209521104
molec-biol-splice,0.04131865275073284,0.04948476920098499,0.020742144457161594,0.026302137809548067,0.027358527913094358,0.02748626338197129,0.031441193562777504,0.02771522484560341,0.02693389883433229,0.05990344394700594
monks-1,0.2908666030629716,0.09240168853756331,0.0922278176677856,0.2577332934407631,0.1365682529087299,0.1381574673228715,0.259360283231036,0.12548344189368082,0.025175832745150735,0.19938789853477987
monks-2,0.17177382474026787,0.03943562739580283,0.034398026488995544,0.13858674413544675,0.11015812845076947,0.12680795267019349,0.16742449843700796,0.10795263668208753,0.007222478797194151,0.05190796935205361
monks-3,0.06622857704600622,0.05201003597681702,0.02981898582255907,0.06753214207164628,0.044258396062374236,0.04442966653747473,0.07079799528822887,0.04613673593927314,0.040790138035021475,0.08530201832505556
mushroom,6.196173078980697E-4,0.009025341631156645,0.0033027401820250294,4.987823113783807E-4,0.003900439265284363,0.003907467181922262,4.987823113783807E-4,0.0041921932999346755,0.01802344293748836,2.2402956793049074E-4
musk-1,0.19565524969232156,0.061171411285643566,0.05778500956722236,0.12890143737793658,0.06986087299107208,0.06980747555468414,0.14579981290660374,0.06987196518444261,0.08414134140543779,0.09554528266281759
musk-2,0.014310897926888725,0.015120212418408135,0.005131617363544987,0.012999468395575786,0.0054869824220650865,0.0055638664227850385,0.01498724694528783,0.00545953759193209,0.010961859693391585,0.016671210014103877
nursery,0.003724952090998349,0.023448361609396874,0.004512581037506828,0.007039803115459833,0.004604442789746137,0.0045525664486241344,0.00712876383633419,0.004719286250255187,0.006816878611573315,0.04175609813504948
oocytes_merluccius_nucleus_4d,0.11094668731965471,0.02471838009010891,0.022343927342710963,0.06791918135362777,0.05068690846181262,0.0538403626586913,0.08588268991590792,0.0504361529318855,0.026908275593974938,0.03687945540569805
oocytes_merluccius_states_2f,0.025039648772372518,0.022316802306762924,0.021675529264104137,0.020273565816034934,0.028104605208174017,0.028086051879534828,0.021467411031271245,0.02817568232577921,0.02388600576916955,0.07791060658689228
oocytes_trisopterus_nucleus_2f,0.1045823746299469,0.02977951607954256,0.027876087319950567,0.10829430273414588,0.060541073852210615,0.0603787980530771,0.10349889499205286,0.06100484368266284,0.024119485014982442,0.05452699473978351
oocytes_trisopterus_states_5b,0.0313116475244463,0.03565314779008185,0.030281336579984927,0.027908519164250595,0.03588884543024038,0.03574103110206551,0.02878405943558606,0.03597927903037526,0.28784611086014256,0.08164949861253913
optical,0.005267376187286662,0.010700859815506879,0.007189870922178192,0.012192426203123531,0.00809551045587974,0.00810691208645893,0.010684682563464044,0.008188420726524483,0.038680006055901425,0.02368350940640029
ozone,0.011328231437534532,0.016909366220460135,0.014384737460345581,0.01157086893797056,0.014257869325415482,0.012819596208380435,0.008669849046002112,0.0142421836792327,0.030096796549953814,0.3377007791044987
page-blocks,0.008475013317690938,0.01015546117344292,0.010675852947550505,0.008740131735897057,0.012779026700126052,0.013797991562856092,0.009425815106037226,0.012791607455560107,0.013961879260907266,0.3669094992601815
parkinsons,0.14569341939526292,0.06378206582199886,0.05919794005344092,0.11248075613920525,0.0801456050139583,0.07936394968243918,0.1674353235547772,0.07975641413616755,0.06536723388224816,0.15285214075930612
pendigits,0.003369197748849768,0.011077748218623054,0.004467527271836413,0.007003828591665298,0.003398180157999645,0.0033900270100788803,0.008186084891306473,0.003408988516245085,0.009276085767183164,0.016770873050781124
pima,0.07594271989716937,0.02750896332105696,0.028558978510150285,0.0974926582198311,0.0872731342093671,0.08820488070136413,0.07468323278366955,0.0874713253116834,0.02463080458357878,0.03991191748224702
pittsburg-bridges-MATERIAL,0.10082159832612772,0.15370246145489966,0.13836433559191755,0.09856794218005632,0.17989293424334227,0.17884209934548925,0.12112791267025214,0.17931169025256158,0.9871622302119786,0.1898438948256739
pittsburg-bridges-REL-L,0.2376693362284338,0.1551634395190022,0.14760964265582463,0.25766157263617645,0.22230188545336507,0.21468740544506165,0.22911263712785163,0.22109176052575436,0.16865069340202427,0.2044440918654974
pittsburg-bridges-SPAN,0.21351553039226726,0.1493295436690715,0.134624263470288,0.21121348525704697,0.24526654661064898,0.2433234700031163,0.2689384312836445,0.24260671833738742,0.1490947017385204,0.19786794223443158
pittsburg-bridges-T-OR-D,0.20722591792188355,0.12986910923484335,0.12185482867098013,0.23189576531646386,0.19667039187490987,0.1903680647846187,0.210074036402076,0.19728735478123643,3.725419153181205,0.45155191355396584
pittsburg-bridges-TYPE,0.12934538392821993,0.2639363551172213,0.26562824384980865,0.17612286181734174,0.34421632082537573,0.33773719312994016,0.14557649084449648,0.3477194352478835,0.32044607867186353,0.3099012436936443
planning,0.13266657020920655,0.038498719985594586,0.031190898308042808,0.19884603303271645,0.12333306365426472,0.10281013140103551,0.12958630726956516,0.12474097941625141,0.09788179558852957,0.02055633495991518
plant-margin,0.050648604421898356,0.06043633489182703,0.051440534363579773,0.40417378431257184,0.05644615771228244,0.055383637709681535,0.058205190095669546,0.05425947901167245,0.052841343322648164,0.030858078387145663
plant-shape,0.07854520835053296,0.08099926734658693,0.07777946436416237,0.1709137206196056,0.07205134811781931,0.06695193830466964,0.03419425500809388,0.07155882547186902,0.06539101110791669,0.03292911100158684
plant-texture,0.08601546350471721,0.07695742292655369,0.06102714582084536,0.10917009628586105,0.05447473398067844,0.053819889244631144,0.051569831818810204,0.0544492110321583,0.06482302110920889,0.03687808986843264
post-operative,0.11676965872270291,0.09117108411688613,0.07211575703542039,0.13836145428449642,0.20507760226838956,0.15479511213471037,0.09925434018072056,0.21085187795278687,0.35649345177568353,0.14909724846817132
primary-tumor,0.06330298635425338,0.14766774266452695,0.13682466620012565,0.07436216377933967,0.1615501418028589,0.16223674711610037,0.05068303738792599,0.15958391104849712,0.1882300993492501,0.09686783482967921
ringnorm,0.031356243951989084,0.03454503752577402,0.010325643852729476,0.029345306904237218,0.012960129530400363,0.013070133780356158,0.026365290006602447,0.012726617042101528,0.006895702058194459,0.024389129219497947
seeds,0.06004872491742463,0.0629165242446603,0.04954405408499835,0.04532646752200417,0.06953441525913441,0.07035886133626917,0.06613794799149529,0.06906358766455006,0.06640640304177187,0.18339294764795244
semeion,0.021147950793542186,0.04576577600423573,0.03883000546488737,0.036832032114077054,0.03910616975482188,0.0393628084480392,0.03492117658847914,0.039745898536642996,0.07901480841753937,0.09041934013896386
soybean,0.03137761984448672,0.056826499557390664,0.04889428895822316,0.06297752248966038,0.05225772074313434,0.05110831694992761,0.06447452683087433,0.05196305242305348,0.07826620936313347,0.07578255513514887
spambase,0.0358701485161483,0.011645223672766153,0.011852581336292497,0.026783266021256608,0.016723331514231114,0.017000420081678763,0.02994460174149507,0.016912831181232837,0.020950572578497608,0.0332377361136153
spect,0.29216700994206946,0.07271021884762689,0.06489265951652265,0.24950657405827031,0.18234989431315432,0.18277898678157817,0.250762370508331,0.1830990357444459,0.06577196590639509,0.06403281561279002
spectf,0.20633876611761576,0.09131274999823237,0.07935285670562307,0.16977642587330805,0.11186134475400318,0.105699183716142,0.16876090628993193,0.11281970083866263,0.09695785954118465,0.13089605728451115
statlog-australian-credit,0.10558019829368409,0.017332874144992426,0.01648444755637158,0.09446806008330964,0.07557052261651316,0.07311293502829794,0.05561694981671617,0.0749990628173249,0.0190114991137248,0.02185193689871442
statlog-german-credit,0.08740226925694972,0.023150907233032914,0.022200488238500637,0.09621220760357796,0.06344153094895898,0.06621852090824726,0.09144188306706363,0.06355910959080564,0.023656299122843373,0.030718955111045457
statlog-heart,0.18872624428644896,0.06069833127631035,0.060570142290256083,0.18445669322177943,0.10407020155903064,0.103685576069635,0.18748451352303083,0.10480411488744598,0.06597137881819705,0.08158730750702087
statlog-image,0.013289532025419682,0.02030894140834858,0.01626290030781109,0.018766991286531306,0.017263269947937417,0.017523715274758107,0.01800463366618072,0.01721986393193805,0.015824020273074103,0.04679806267760641
statlog-landsat,0.0203148609314809,0.011743830952766541,0.009044021692056441,0.01060975189793048,0.016635554766331787,0.016852938771943948,0.010348376913125411,0.016606197294993883,0.011772850574552941,0.03934156065791957
statlog-shuttle,3.035169085592724E-4,0.006120419484632683,0.0011918515137453892,0.0019452133311702955,0.004246314974208939,0.004698215865177147,0.0022456072511888056,0.004799312933613004,0.021011180698317165,0.4682992651352447
statlog-vehicle,0.0617206080796011,0.03109272042874367,0.029213429744304117,0.02942006277993891,0.05362792943950061,0.05299209774498327,0.026488628191301315,0.05403929361544801,0.047097898972203005,0.08011791976523273
steel-plates,0.07598678343172964,0.038653927971710765,0.0365887972013596,0.03176542971241297,0.05205060224072373,0.05290447114248186,0.03373861992901174,0.05200617361285304,0.03212130401597963,0.07644975336567925
synthetic-control,0.015138106611658224,0.028029410948804196,0.01374854703897749,0.029440699296355392,0.019040252050350988,0.018761332189839705,0.02748953367264286,0.022074664707670704,0.05257014707953304,0.0436359042500033
teaching,0.27000264203776775,0.10121551683276718,0.09041884526812075,0.19688180643943703,0.21773910403934632,0.22046868901521988,0.19098870593168127,0.21424845659074418,0.08112629530649763,0.18114727266827127
thyroid,0.004832017186781485,0.014523041678185127,0.007790747081003216,0.006111977576640044,0.008959999175598851,0.009564519145288582,0.005917951560155918,0.009108734883084616,0.018294056297843357,0.06739721674429743
tic-tac-toe,0.0077081308712660425,0.014406080174765867,0.012086043411826558,0.012990313103510032,0.011314507030757906,0.011405508979869373,0.012990313103510032,0.011778120473491934,0.021593937344799776,0.02377010972790154
titanic,0.05864660584326766,0.012569450543207435,0.012925297343452219,0.04645913521568323,0.054446696473966744,0.05448177058186395,0.04874883716281818,0.05439323796607411,0.014099792139095468,0.08990371821197582
trains,0.30307314848619193,1.0831941352351198,1.6924300783251063,0.0,1.8505554985436194,2.1525500681505965,0.3051285766293646,2.0739630033666225,7.098277075158011,0.13790061207639087
twonorm,0.012795430636487,0.007922327384090953,0.005612773085441478,0.011761524319010211,0.008806185541325237,0.008808977460990146,0.011240954103692646,0.009004886909029626,0.0050263251569910685,0.023810772705245106
vertebral-column-2clases,0.21355247036838512,0.05638100988204519,0.05787683210417392,0.1696226875640397,0.11186607576176759,0.11203577700617254,0.19918636590624364,0.11198886396654577,0.07052018318541085,0.1250818146061842
vertebral-column-3clases,0.0613440837031665,0.060863293580433166,0.061000987642281915,0.0550232359397706,0.13940073677948894,0.13928827804590774,0.05436603079730725,0.13999960008160836,0.11345872349489801,0.12288931884175747
wall-following,0.007836634247778395,0.06780586442865771,0.0072267156085969765,0.012802169234473892,0.009020998932287343,0.009140690139482235,0.012280776217855394,0.010710024070042122,0.013130768948251085,0.027909221852298802
waveform,0.0116434433612748,0.010178115290458117,0.009337042539400134,0.008634947621208568,0.016975307738829604,0.01679869665731927,0.008630334444377899,0.017046269970214117,0.009791584311529686,0.03657687069522636
waveform-noise,0.013732673896728496,0.019032268291718592,0.011643751514956922,0.01290625074304669,0.02111488720772664,0.021099372891524304,0.012649077797087295,0.021000002166438003,0.01475054604830008,0.048023279166460264
wine,0.03680244780740156,0.045421538996313814,0.04588837752104148,0.04757414462933126,0.04944306038314662,0.04921357458838171,0.04674899914308214,0.0498154412199792,0.13386882297100067,0.1356651502508844
wine-quality-red,0.08619536502928425,0.029767199466568205,0.030656636144059817,0.029781809668115757,0.0745757812587755,0.07806663950322341,0.024505460526751933,0.07422000350159667,0.024267692575961612,0.21958447328185488
wine-quality-white,0.02935452881037965,0.02370805651264794,0.015615677506353983,0.015702907150428377,0.03373893242956991,0.03560726551682923,0.014153879002938543,0.032526764278323975,0.018448004149915414,0.16805201515420778
yeast,0.1370315842079387,0.03318794828566897,0.03381587218435254,0.028215395839584972,0.07728017779667225,0.07809688059092518,0.03295238121980319,0.07740058456859014,0.03576730824734766,0.10122246722427594
zoo,0.08478646041785526,0.13231677774253203,0.1352792132657329,0.12520386173393375,0.14385075744042933,0.1342265548274887,0.12307914733372714,0.14292419570947507,0.2809538859777586,0.09023441693801429
