TRAINTESTDIFFSACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
ilpd-indian-liver,0.020628756139277258,0.008272136703855385,0.006894820254515222
image-segmentation,4.3290043290043675E-4,-0.0016161616161616155,-0.0014718614718614575
ionosphere,-1.948051948051921E-5,-0.004403679653679652,-0.0059339826839826856
iris,0.010666666666666677,0.006222222222222232,0.005777777777777789
led-display,0.008424005803038056,0.005478750640040964,0.005542754736303127
lenses,0.03543123543123542,-0.058974358974358994,-0.10303030303030306
letter,-0.004345688129387182,-0.005435593996774413,-0.005965289589658573
libras,-0.0014814814814814762,-0.01518518518518518,-0.02185185185185186
low-res-spect,-0.006889115877879933,-0.008663886051526511,-0.010048518896833513
lung-cancer,0.21607843137254903,0.030849673202614374,-0.06196078431372549
lymphography,0.02572298325722982,-0.008292237442922394,-0.014697108066971103
magic,-0.0015878023133543806,-0.00351559761654399,-0.0034840518752190667
mammographic,-0.0014017382767382883,-0.005777604527604537,-0.005779481404481412
miniboone,-1.8625205544304803E-4,-0.0016508340847504928,-0.0018574214816160024
molec-biol-promoter,0.04349477682811017,0.01657169990503325,0.009449192782526114
molec-biol-splice,0.0013489914665375377,0.0023978285320159515,0.006303425858665912
monks-1,-0.0014388489208633152,-0.004676258992805745,-0.006115107913669071
monks-2,-0.00888962716869694,-0.02123366555924696,-0.021141380583241044
monks-3,8.423586040914643E-4,-0.0037304452466907167,-0.003249097472924167
mushroom,0.0,0.0,0.0
musk-1,-0.008503551483266555,-0.012464029094504177,-0.014160031542585416
musk-2,-0.005403648369688407,-0.005868650115466393,-0.005939449069224708
nursery,-1.0288065843621445E-4,-0.0012757201646090399,-0.0014300411522633763
oocytes_merluccius_nucleus_4d,-0.00519556781045752,-0.008986928104575168,-0.008728809232026144
oocytes_merluccius_states_2f,0.0017961090686274457,-9.829452614379397E-5,-2.9386233660131007E-4
oocytes_trisopterus_nucleus_2f,-0.009860934106010695,-0.013156675563677752,-0.013013361547278387
oocytes_trisopterus_states_5b,0.00109024454757497,-8.145173571869243E-4,-8.877774304469972E-4
optical,-0.0016714582732562174,-0.002063039820887088,-0.0020155986730494087
ozone,0.0017938541742468228,0.0015308069773020498,0.0015570743794559767
page-blocks,-5.0433357415021385E-6,-9.678041102518834E-4,-0.0010167284731245581
parkinsons,0.001413142576618276,-0.01161722420927136,-0.012325548776211533
pendigits,-3.779413809974893E-4,-4.871713099980394E-4,-5.053829193643462E-4
pima,0.005121527777777779,0.0019097222222222098,-0.001215277777777753
pittsburg-bridges-MATERIAL,0.04152421652421653,0.029344729344729332,0.02357549857549857
pittsburg-bridges-REL-L,0.07417610062893083,0.036289308176100654,0.01666666666666671
pittsburg-bridges-SPAN,0.05217391304347827,-0.00797101449275361,-0.021014492753623173
pittsburg-bridges-T-OR-D,0.039869281045751624,0.021568627450980395,0.018954248366013077
pittsburg-bridges-TYPE,0.052251270878721834,0.02926652142338415,0.014342774146695707
planning,0.0358974358974359,0.01868131868131869,0.020512820512820513
plant-margin,-0.020166666666666673,-0.02720833333333333,-0.02933333333333333
plant-shape,-0.023208333333333327,-0.029375,-0.030125
plant-texture,-0.01812755527743013,-0.023056059657905727,-0.024557206925323323
post-operative,0.046666666666666655,0.005185185185185193,0.006666666666666669
primary-tumor,0.04713150386343877,0.016448085424243534,0.00505492083318026
ringnorm,-8.46846846846842E-4,-0.001675675675675666,-0.001693693693693684
seeds,-0.0034920634920634908,-0.010793650793650784,-0.009206349206349202
semeion,0.0034386296763345963,0.0018409520807061745,0.0019644808743169207
soybean,0.0030798033499113957,-6.422569027610995E-4,-0.0012347796261361547
spambase,8.647783887283378E-6,-0.001759531142729361,-0.0017743262223733865
spect,0.04370395686185162,0.0064270524796840815,-6.531480215690536E-4
spectf,0.010784423745931974,0.0020162346163917024,5.180862604271679E-4
statlog-australian-credit,0.02280193236714977,0.009855072463768119,0.007246376811594206
statlog-german-credit,0.016133333333333347,0.004866666666666671,0.0026000000000000025
statlog-heart,0.028888888888888877,0.012098765432098754,0.009629629629629618
statlog-image,3.4632034632034643E-4,-0.0015584415584415665,-0.0016161616161616192
statlog-landsat,-0.0031897537012050745,-0.005293217818951231,-0.005272719966492486
statlog-shuttle,-2.877376153201568E-5,-1.9547285071173093E-4,-2.3341046484380844E-4
statlog-vehicle,-0.007310575576023119,-0.013491832841515387,-0.014210930281081401
steel-plates,0.0026762773552132563,3.6268351828494527E-4,7.704901323752455E-4
synthetic-control,6.666666666666598E-4,-4.444444444444547E-4,-0.0010000000000000046
teaching,0.0176140350877193,-0.015163742690058492,-0.02046783625730993
thyroid,8.05555555555552E-4,4.5370370370368583E-4,2.4999999999999095E-4
tic-tac-toe,0.00146137787056367,-3.479471120389636E-4,-2.783576896311701E-4
titanic,0.002410315690969648,9.540362755621608E-4,8.327415847851794E-4
trains,0.2138888888888889,0.1,0.044444444444444474
twonorm,7.800731030002191E-4,6.268785459127235E-4,5.097297669634515E-4
vertebral-column-2clases,0.005591397849462361,-0.010967741935483851,-0.01268817204301074
vertebral-column-3clases,0.005376344086021497,-0.005806451612903237,-0.006881720430107541
wall-following,6.98201003684118E-5,2.7249457570648706E-4,2.5569349818006885E-4
waveform,0.0022768910309692264,9.961974927249337E-4,7.960214606967645E-4
waveform-noise,0.0025429497402052986,0.0016493229305583241,0.001449296231887398
wine,0.0014562289562289666,-7.996632996632853E-4,-0.0015572390572390423
wine-quality-red,4.1567714542286585E-4,-0.0030511672439526055,-0.0027196580715208845
wine-quality-white,-0.004393982012018024,-0.00703594011623877,-0.006450255549569832
yeast,0.006697423509004549,0.0014160256468472743,0.002262141535965208
zoo,-0.004853479853479862,-0.015057561486132912,-0.015698587127158558
