TRAINNLLSTDDEVS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
miniboone,0.0019442443813314908,0.0018693090357780535,0.001917895009738503
molec-biol-promoter,0.0707918763310747,0.09561073618182603,0.0691829222858996
molec-biol-splice,0.015543920800650401,0.06976965110473586,0.013310799318141971
monks-1,0.020849201227941136,0.03480736510635294,0.02109848852487336
monks-2,0.02483653167179443,0.02899308827293271,0.026279730816170705
monks-3,0.02149039415238022,0.03711163450798147,0.020212518577919607
mushroom,0.0014053289698660553,0.0014074206840844706,0.0013990944423468545
musk-1,0.036199245104375465,0.03600529857816749,0.03624488118545847
musk-2,0.003200283028481834,0.003348879118420741,0.003227192161846725
nursery,0.009574480516476296,7.053925255691593E-4,0.009586844210529086
oocytes_merluccius_nucleus_4d,0.024984677600764917,0.025595670224835734,0.024932989866534184
oocytes_merluccius_states_2f,0.02224070586994118,0.03617012118636829,0.022252102777757046
oocytes_trisopterus_nucleus_2f,0.024249554335390736,0.024265415012991582,0.023916913558993003
oocytes_trisopterus_states_5b,0.027697341516499056,0.027611693016206865,0.027694854614453243
optical,0.005264622748255311,0.0054227450247934916,0.005341809209620709
ozone,0.04316348542218319,0.04010525182384483,0.04371881163807099
page-blocks,0.008153777443644507,0.014760995050779435,0.008185194956682053
parkinsons,0.04353729634576289,0.043511429490439846,0.04283457815490096
pendigits,0.0065478139678897766,0.00653171653417098,0.006548505514132541
pima,0.032626904974295406,0.03023454618668009,0.03176449133192785
pittsburg-bridges-MATERIAL,0.1223338788929835,0.131248438195977,0.12252897103394286
pittsburg-bridges-REL-L,0.13909266545348162,0.13595112280289823,0.13164719137687567
pittsburg-bridges-SPAN,0.12184049826926249,0.12029563753708286,0.11549694356612776
pittsburg-bridges-T-OR-D,0.10608229675010108,0.13144829917042627,0.1105206393530108
pittsburg-bridges-TYPE,0.19497632343175192,0.20040637751650484,0.1891117557019344
planning,0.038311091265944494,0.10829066073536238,0.02780504615993396
plant-margin,0.035584771351146495,0.08406652789319442,0.041760773386876344
plant-shape,0.04992447371932745,0.060275980682501167,0.051427494131276515
plant-texture,0.04040507326505812,0.10541143978287855,0.046334745583240015
post-operative,0.07960672691418541,0.118428092559015,0.07328016598345587
primary-tumor,0.11971864547412585,0.1342869056403119,0.1229863095151956
ringnorm,0.005906679567172097,0.01716837527999213,0.0058739608993380816
seeds,0.05011976781039703,0.0523798691026092,0.05002878133329995
semeion,0.024548164012324458,0.027596397992057722,0.024912422201490533
soybean,0.03029589834868622,0.0299284355479284,0.03019001689918609
spambase,0.008848418363904757,0.012202973430667365,0.008777762734944728
spect,0.06488126203436377,0.22595765896413902,0.060334869081623846
spectf,0.05881113094601095,0.06235817360502497,0.057329309925390044
statlog-australian-credit,0.017534109300375935,0.015611225720913615,0.016196546420264447
statlog-german-credit,0.02991611412001039,0.09501190398796741,0.029175234864564203
statlog-heart,0.06582852912465673,0.07792007891522762,0.06593218773313433
statlog-image,0.012764300518824238,0.016745480364074913,0.011576216823425207
statlog-landsat,0.010034163718712876,0.02326966863153608,0.009889839757628634
statlog-shuttle,0.0038258612894867526,0.004048075681919449,0.0024755268074119876
statlog-vehicle,0.021846190411302282,0.02835997419677878,0.022171987905950267
steel-plates,0.0283726379009222,0.04172598962121293,0.02854050593266334
synthetic-control,0.02522158659712879,0.025297238266815236,0.026003686123549617
teaching,0.1244587872285412,0.25119114863271597,0.11831672825386225
thyroid,0.0044634746988098115,0.01424194564556319,0.004255229005196936
tic-tac-toe,0.01607822806572009,0.04228074421758498,0.016252266550749992
titanic,0.012884345195535976,0.014135939892717104,0.013185832982755547
trains,0.20048809971209786,0.11938976919759418,0.17112580831242372
twonorm,0.02321680982694444,0.02387356046215174,0.0235447341314211
vertebral-column-2clases,0.05942819680468497,0.11281135118129434,0.05889053190799996
vertebral-column-3clases,0.05881304559937381,0.07046614499377661,0.058949008846402175
wall-following,0.005988898885582328,0.02383046908347662,0.004760816536383734
waveform,0.015319838123208482,0.01734875527773821,0.015885002997567788
waveform-noise,0.015294185710640357,0.015496150891067506,0.01563342119294225
wine,0.039614123921772756,0.04099603345538536,0.04066008277555041
wine-quality-red,0.02929319254754954,0.030866979510235013,0.0296596874529919
wine-quality-white,0.013846397120431314,0.02060275013943284,0.015003468494257587
yeast,0.03805705191812868,0.03710454402240838,0.037428418992352934
zoo,0.08654738395596441,0.08672455131958484,0.08787795369582278
