TRAINTESTDIFFSNLLSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
nursery,0.011579444777929639,0.013182987985913873,0.013543821446256142
oocytes_merluccius_nucleus_4d,0.04156279953506354,0.03722972451107374,0.036154887582891065
oocytes_merluccius_states_2f,0.043383791661772635,0.04066728857919797,0.040728663694993915
oocytes_trisopterus_nucleus_2f,0.04849580361721579,0.047518165076309696,0.047127249033007045
oocytes_trisopterus_states_5b,0.060871800353368116,0.06058836173733179,0.06072817779218487
optical,0.013224594561917042,0.013340867951292457,0.013547428686401713
ozone,0.0266811073087987,0.025357872128361332,0.025318765980811737
page-blocks,0.019480987258149816,0.019563746308970516,0.019588566557185837
parkinsons,0.10982863353593408,0.11095369106659299,0.11374545586572307
pendigits,0.008334811585706835,0.008440630821540843,0.008506450357295144
pima,0.05231121620137815,0.05120349891608721,0.051821077142807564
pittsburg-bridges-MATERIAL,0.36921432442460883,0.28093186134987186,0.28114668456093556
pittsburg-bridges-REL-L,0.2885314543590262,0.26165771898379214,0.2575861731637232
pittsburg-bridges-SPAN,0.26698059546251984,0.24074092643181905,0.239549904357285
pittsburg-bridges-T-OR-D,0.5217777910076979,0.23485485055998676,0.23419671119473817
pittsburg-bridges-TYPE,0.46080568606356814,0.4338955409479708,0.4310076094694539
planning,0.061068751726501676,0.05226097989951646,0.057743690628539665
plant-margin,0.08485102311197068,0.08414579987074557,0.07734161359027523
plant-shape,0.12100026662314026,0.12114762346946728,0.12037801363873055
plant-texture,0.10866001527913824,0.10137609908657476,0.10410071136275816
post-operative,0.21494186818540947,0.12778824432740743,0.1394487949385699
primary-tumor,0.2864473059062195,0.2896710945193759,0.2961762547299535
ringnorm,0.026850895022296897,0.018565536249348348,0.016509253880025287
seeds,0.10221404521635322,0.0978780119572195,0.09752670067383148
semeion,0.06812677165225382,0.06449110446107331,0.06449187051923014
soybean,0.09202385733758775,0.0902146683252511,0.0907922474836535
spambase,0.019300867506116735,0.01981826862375318,0.020060769226251298
spect,0.1206458300596323,0.11879985020121256,0.12049441324239746
spectf,0.11654966640398821,0.11840783759143685,0.12384865462697586
statlog-australian-credit,0.03124286690919249,0.030325086019910293,0.03335715900928902
statlog-german-credit,0.041178706904915895,0.03526408937272302,0.035627262944307764
statlog-heart,0.13824760574864117,0.13947392883796736,0.14174432019619382
statlog-image,0.02441371735925992,0.024264872321428002,0.024083541165169194
statlog-landsat,0.020486213822449688,0.020687531538038435,0.02072475771702173
statlog-shuttle,0.0011660819767788095,0.002029141923337084,0.0026254867785725916
statlog-vehicle,0.061155624651978324,0.05776298807697782,0.057640669160695004
steel-plates,0.06396233828096456,0.06380514417661486,0.06367469307122212
synthetic-control,0.024827295717339687,0.022878197410049927,0.026583752882930474
teaching,0.16301007674255552,0.16108018368132954,0.1443771504401983
thyroid,0.007045360274451707,0.007121856348979635,0.007172204708239081
tic-tac-toe,0.018877518193241294,0.0182607414352127,0.019165212048433897
titanic,0.028289769176642134,0.028350320198787388,0.028357396442608502
trains,1.731963006086993,1.9572919022653794,1.9048705791932479
twonorm,0.010437718114649509,0.008603642137108387,0.008721407570182303
vertebral-column-2clases,0.09184682816311161,0.09230160506832227,0.0920453259101257
vertebral-column-3clases,0.09284439963030615,0.09136127127915208,0.08945458826777722
wall-following,0.012367322306422159,0.01390222475949667,0.01587568477989061
waveform,0.01944103579081744,0.015792611093607446,0.01607981227046336
waveform-noise,0.02350970717137864,0.020028696613527183,0.019784725634671717
wine,0.10389826121433623,0.07374950138131715,0.07372382516202293
wine-quality-red,0.04595828493443741,0.04596465847931002,0.04620879233460827
wine-quality-white,0.029556161047593385,0.030031016707543635,0.029346300437568865
yeast,0.07223170208653912,0.07011793073276901,0.0698470816569107
zoo,0.2831189823296661,0.22911545589814875,0.22945084868003943
