TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-A,PB-A
hepatitis,0.0863351232509707,0.08508538406940766
hill-valley,0.03949985843827415,0.03388304347500648
horse-colic,0.028619776800159306,0.039701333562476314
ilpd-indian-liver,0.04008114547939725,0.040749470389189295
image-segmentation,0.008536945306859728,0.009056082395982814
ionosphere,0.032601663041871114,0.03217855587265451
iris,0.034438387800221126,0.03606436703456873
led-display,0.03405056323664142,0.03563893920288217
lenses,0.2600987657895291,0.23962313084746859
letter,0.0032541593089737892,0.0029363471246666053
libras,0.051332465313632204,0.04761071507708993
low-res-spect,0.08985465372893572,0.07536103934958262
lung-cancer,0.22181580665060197,0.24611281777196395
lymphography,0.18626832444092997,0.13668187446435412
magic,0.005294438374659967,0.005633014364923568
mammographic,0.027480290834899102,0.030611488441885024
miniboone,0.0022847577132973584,0.0014252460211000586
molec-biol-promoter,0.06165717298528578,0.08009896931652824
molec-biol-splice,0.010325724116622697,0.008971962840148607
monks-1,0.013230168005914957,0.01310592771939604
monks-2,0.057521139240196376,0.055250056445661784
monks-3,0.015335482861834003,0.013474239340434693
mushroom,0.0,0.0
musk-1,0.031052490040759093,0.04058736477824568
musk-2,0.010707812678589954,0.012539469141578621
nursery,0.004257909035256002,0.0024581596843238967
oocytes_merluccius_nucleus_4d,0.031333426516511484,0.030449140199516958
oocytes_merluccius_states_2f,0.033210881337940354,0.04046623921631664
oocytes_trisopterus_nucleus_2f,0.022470471747853143,0.028461522354314886
oocytes_trisopterus_states_5b,0.06164200815543827,0.0785107595267246
optical,0.002895756357821287,0.0032116251349712786
ozone,0.030978360801974955,0.032298812600499285
page-blocks,0.03990956200805403,0.035787758645988016
parkinsons,0.07768877144973294,0.08381821206785496
pendigits,0.001531705027517035,0.0017546995074375646
pima,0.03096947358023775,0.043488687200014954
pittsburg-bridges-MATERIAL,0.1342879016078068,0.15155731079598617
pittsburg-bridges-REL-L,0.10668170978830319,0.13057675112151257
pittsburg-bridges-SPAN,0.08229157599550026,0.09060106596034054
pittsburg-bridges-T-OR-D,0.1744313738350516,0.17312968259974976
pittsburg-bridges-TYPE,0.09706988491559433,0.08647773941723116
planning,0.044386474867842744,0.07132074721426232
plant-margin,0.021652335556643105,0.026784849466060842
plant-shape,0.02403470461358052,0.024232804366627978
plant-texture,0.019406024871509074,0.023874764884937564
post-operative,0.047926238470554175,0.06541013405137173
primary-tumor,0.04183028232190112,0.048718904292749596
ringnorm,0.0033942493234227072,0.0041844583711952614
seeds,0.0367354468317258,0.036543377766309
semeion,0.012991343746747206,0.01904607275993162
soybean,0.020354302154626448,0.029272588021156974
spambase,0.006802810930332381,0.006099515400655711
spect,0.0566857429017463,0.06058881764663778
spectf,0.07101912947581329,0.0816505706421334
statlog-australian-credit,0.024001962218363926,0.038204508854314964
statlog-german-credit,0.033441239839621745,0.03364238620174103
statlog-heart,0.058507948832858196,0.05220700642438386
statlog-image,0.007848068997150594,0.007783688874118858
statlog-landsat,0.008463691333973749,0.008386526609576391
statlog-shuttle,0.056116722848100264,0.05202792407046706
statlog-vehicle,0.021469891821091575,0.027073763995414807
steel-plates,0.024932800069131,0.02784782778570935
synthetic-control,0.011768303859705297,0.01968980391048133
teaching,0.08535224704140988,0.11113783925124159
thyroid,0.012022360401863106,0.00897332959831959
tic-tac-toe,0.011277815519537134,0.010686403291533107
titanic,0.01828440747805835,0.01729220730190178
trains,0.2898341446717838,0.10795320872760074
twonorm,0.004114687713929332,0.004227314743819117
vertebral-column-2clases,0.062195312004211155,0.06568080384197197
vertebral-column-3clases,0.060332788841508625,0.055623508888100075
wall-following,0.005726519099992148,0.00497149656764158
waveform,0.009989605459497243,0.010515905611454173
waveform-noise,0.010088840124953763,0.008920413153183511
wine,0.022750768674095326,0.025361617346135148
wine-quality-red,0.0259390694117117,0.030842547873675824
wine-quality-white,0.014488489538940759,0.017272233402842188
yeast,0.052866362896542014,0.036993339708622015
zoo,0.12004117415964966,0.08956861340323992
