TRAINTESTDIFFSBALACC:,CAWPE-A,PB-A
lenses,-0.17175925925925922,-0.2793650793650793
letter,-0.005453408889714891,-0.0042351801641038024
libras,-0.015185185185185194,-0.02259259259259262
low-res-spect,-0.13691329560655474,-0.08460497287160068
lung-cancer,0.017910052910052935,-0.09129629629629629
lymphography,-0.17031728079377564,-0.09827651018445668
magic,-0.004766335465724732,-0.0022240345652264995
mammographic,-0.005449327730066093,-0.012728282563510433
miniboone,-0.0021951345086492252,-2.2984041555736598E-4
molec-biol-promoter,0.01657169990503326,-0.011063627730294378
molec-biol-splice,0.0025131057138107924,-8.600050203191323E-4
monks-1,-0.004676258992805782,-0.0037170263788968926
monks-2,-0.02981260289056849,-0.022391053604399427
monks-3,-0.003607108047897526,-0.003192007797270946
mushroom,0.0,0.0
musk-1,-0.010642287552638737,-0.013553006927578255
musk-2,-0.018059162849410542,-0.010381102164534858
nursery,-0.0036316474776679096,-2.129525942452711E-4
oocytes_merluccius_nucleus_4d,-0.014577666374741498,-0.00905032707323464
oocytes_merluccius_states_2f,0.0026419757835945633,0.004041010252563149
oocytes_trisopterus_nucleus_2f,-0.014501768146903715,-0.014079306742338179
oocytes_trisopterus_states_5b,-0.0014235974128037898,-3.2837435914008967E-4
optical,-0.002054690434606691,-0.0017409917846034036
ozone,0.00879601984140977,0.009666610402800497
page-blocks,-0.021556863342607643,-0.009867139876477589
parkinsons,-0.025556121189682854,-0.021773057303879243
pendigits,-4.5643845098511935E-4,-3.0481064524091975E-4
pima,0.0019283582089552312,0.003940298507462688
pittsburg-bridges-MATERIAL,0.040847578347578316,0.04214387464387466
pittsburg-bridges-REL-L,0.02225367829942993,-0.05424786723806331
pittsburg-bridges-SPAN,-0.028072390572390565,-0.06014309764309763
pittsburg-bridges-T-OR-D,0.038528138528138564,0.017478354978355003
pittsburg-bridges-TYPE,-0.023167388167388146,-0.029613997113997103
planning,0.020384615384615393,0.011282051282051278
plant-margin,-0.02720833333333333,-0.027666666666666662
plant-shape,-0.029375,-0.02795833333333334
plant-texture,-0.023119047619047584,-0.019142857142857128
post-operative,0.004745370370370384,0.011921296296296293
primary-tumor,-0.0014891395154553067,-0.027011556669451414
ringnorm,-0.001690386467557492,2.8870519809624333E-5
seeds,-0.010793650793650815,-0.006031746031746051
semeion,0.001912527755882169,-0.0018304809999606041
soybean,-0.005187816745787706,-0.014690265897995373
spambase,-0.0017518746765751677,-7.416261390120638E-4
spect,0.010462315462315467,0.005672105672105676
spectf,-0.006699444278060647,-0.015534840770689829
statlog-australian-credit,0.00821205821205818,0.0012551012551012522
statlog-german-credit,-0.00357142857142857,-0.005999999999999979
statlog-heart,0.011666666666666669,-0.001611111111111115
statlog-image,-0.0015584415584415665,-6.349206349206216E-4
statlog-landsat,-0.007258624759376734,-0.004354964613751478
statlog-shuttle,-0.031003894598737147,-0.007786710182044217
statlog-vehicle,-0.01330900658344258,-0.004265460171697514
steel-plates,-0.0047204782209325745,-0.008264471803359215
synthetic-control,-4.444444444444436E-4,-0.006444444444444452
teaching,-0.01444729344729347,-0.03960968660968663
thyroid,0.004030115339105067,4.345196174934599E-4
tic-tac-toe,-5.491615022389928E-4,-0.001536497427409315
titanic,8.083261907113578E-4,-0.0035891639963704517
trains,0.10000000000000007,-0.5277777777777777
twonorm,6.265637572755E-4,-2.3171788452935882E-4
vertebral-column-2clases,-0.014555555555555537,-0.011158730158730146
vertebral-column-3clases,-0.009259259259259248,-0.007629629629629645
wall-following,-7.761450849382474E-5,-4.562354793940071E-4
waveform,9.604646824387627E-4,-1.8670178233793911E-4
waveform-noise,0.0016876539830114649,-0.0010460957632080954
wine,-9.563340023109879E-5,-0.012246700723712216
wine-quality-red,-0.010797661672631683,-0.006125049382710396
wine-quality-white,-0.011481690984397185,-0.007313333410871595
yeast,-0.06187410927734197,-0.02656363254959197
zoo,-0.058095238095238096,-0.06282312925170072
