TRAINTESTDIFFSBALACCRANKS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
ilpd-indian-liver,1.0,3.0,4.0,10.0,2.0,6.0,7.5,7.5,9.0,5.0
image-segmentation,2.0,1.0,3.0,5.0,4.0,9.0,6.0,10.0,8.0,7.0
ionosphere,2.0,1.0,3.0,9.0,8.0,6.0,6.0,6.0,4.0,10.0
iris,1.0,2.0,3.0,4.0,8.0,6.0,6.0,6.0,9.0,10.0
led-display,1.0,2.0,3.0,5.0,4.0,9.0,7.0,10.0,6.0,8.0
lenses,1.0,2.0,4.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0
letter,3.0,1.0,4.0,5.0,2.0,9.0,8.0,10.0,7.0,6.0
libras,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
low-res-spect,1.0,4.0,2.0,3.0,6.0,5.0,8.0,9.0,10.0,7.0
lung-cancer,1.0,2.0,4.0,3.0,10.0,5.0,7.0,8.0,6.0,9.0
lymphography,1.0,4.0,2.0,3.0,9.0,5.0,7.0,8.0,10.0,6.0
magic,3.0,2.0,5.0,6.0,1.0,8.0,8.0,8.0,10.0,4.0
mammographic,1.0,2.0,4.0,5.0,3.0,7.0,7.0,7.0,9.0,10.0
miniboone,3.0,6.0,5.0,1.0,2.0,8.0,8.0,8.0,10.0,4.0
molec-biol-promoter,1.0,2.0,3.0,4.0,9.0,7.0,7.0,7.0,5.0,10.0
molec-biol-splice,4.0,2.0,9.0,5.0,1.0,7.0,6.0,8.0,3.0,10.0
monks-1,2.0,1.0,4.0,5.0,3.0,9.0,9.0,9.0,7.0,6.0
monks-2,1.0,8.0,10.0,3.0,2.0,4.0,5.5,5.5,9.0,7.0
monks-3,2.0,1.0,4.0,9.0,3.0,7.0,7.0,7.0,10.0,5.0
mushroom,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0
musk-1,2.0,1.0,3.0,7.5,4.0,7.5,7.5,7.5,5.0,10.0
musk-2,2.0,1.0,4.0,6.0,3.0,8.0,8.0,8.0,10.0,5.0
nursery,2.0,1.0,5.0,10.0,3.0,7.0,7.0,7.0,9.0,4.0
oocytes_merluccius_nucleus_4d,1.0,2.0,8.0,4.0,3.0,5.0,6.5,6.5,10.0,9.0
oocytes_merluccius_states_2f,1.0,2.0,4.0,3.0,8.0,7.0,6.0,5.0,10.0,9.0
oocytes_trisopterus_nucleus_2f,1.0,3.0,4.0,5.0,2.0,7.0,7.0,7.0,10.0,9.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,5.0,4.0,7.0,6.0,10.0,9.0,8.0
optical,2.0,1.0,3.0,5.0,4.0,6.0,8.0,9.0,10.0,7.0
ozone,1.0,2.0,3.0,10.0,5.0,9.0,7.5,7.5,6.0,4.0
page-blocks,2.0,1.0,3.0,4.0,5.0,9.0,7.0,8.0,10.0,6.0
parkinsons,2.0,1.0,3.0,4.0,8.0,5.0,6.5,6.5,10.0,9.0
pendigits,2.0,1.0,3.0,6.0,4.0,10.0,8.0,9.0,7.0,5.0
pima,1.0,2.0,8.0,3.0,4.0,9.0,6.5,6.5,10.0,5.0
pittsburg-bridges-MATERIAL,1.0,3.0,2.0,4.0,5.0,8.0,10.0,9.0,7.0,6.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.0,5.0,6.0,7.5,7.5,9.0,10.0
pittsburg-bridges-TYPE,2.0,3.0,1.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0
planning,1.0,2.0,4.0,3.0,6.0,10.0,8.5,8.5,5.0,7.0
plant-margin,1.0,3.0,2.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0
plant-shape,1.0,3.0,2.0,4.0,5.0,6.0,10.0,7.0,9.0,8.0
plant-texture,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,10.0,7.0
post-operative,1.0,3.0,4.0,2.0,10.0,6.0,7.5,7.5,9.0,5.0
primary-tumor,1.0,3.0,2.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0
ringnorm,2.0,1.0,5.0,8.5,4.0,8.5,8.5,8.5,6.0,3.0
seeds,1.0,2.0,3.0,9.0,8.0,4.0,6.5,6.5,10.0,5.0
semeion,2.0,1.0,3.0,4.0,5.0,8.0,6.0,9.0,7.0,10.0
soybean,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
spambase,4.0,3.0,8.0,2.0,1.0,6.0,6.0,6.0,10.0,9.0
spect,2.0,1.0,3.0,5.0,4.0,6.0,7.5,7.5,9.0,10.0
spectf,2.0,1.0,3.0,4.0,8.0,5.0,6.5,6.5,9.0,10.0
statlog-australian-credit,1.0,2.0,3.0,10.0,4.0,8.0,5.5,5.5,7.0,9.0
statlog-german-credit,1.0,2.0,5.0,3.0,4.0,6.0,8.5,8.5,7.0,10.0
statlog-heart,2.0,1.0,3.0,5.0,4.0,7.0,7.0,7.0,9.0,10.0
statlog-image,2.0,1.0,3.0,7.0,4.0,8.0,10.0,9.0,6.0,5.0
statlog-landsat,2.0,1.0,5.0,3.0,4.0,9.0,8.0,7.0,10.0,6.0
statlog-shuttle,1.0,3.0,2.0,4.0,5.0,7.0,9.0,8.0,10.0,6.0
statlog-vehicle,2.0,1.0,4.0,5.0,3.0,9.0,8.0,6.0,10.0,7.0
steel-plates,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
synthetic-control,1.0,2.0,3.0,6.0,5.0,9.0,7.0,8.0,4.0,10.0
teaching,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
thyroid,2.0,1.0,6.0,5.0,3.0,9.0,8.0,7.0,4.0,10.0
tic-tac-toe,2.0,1.0,4.0,5.0,3.0,8.0,8.0,8.0,6.0,10.0
titanic,1.0,4.0,5.0,3.0,2.0,10.0,8.5,8.5,6.0,7.0
trains,4.0,3.0,1.0,2.0,8.0,6.0,5.0,9.0,7.0,10.0
twonorm,2.0,1.0,3.0,7.5,4.0,7.5,7.5,7.5,5.0,10.0
vertebral-column-2clases,2.0,1.0,3.0,4.0,5.0,7.0,7.0,7.0,10.0,9.0
vertebral-column-3clases,2.0,1.0,3.0,4.0,5.0,8.0,6.0,7.0,10.0,9.0
wall-following,3.0,1.0,6.0,4.0,2.0,9.0,8.0,10.0,5.0,7.0
waveform,1.0,2.0,3.0,7.5,4.0,7.5,7.5,7.5,5.0,10.0
waveform-noise,1.0,2.0,3.0,7.0,4.0,6.0,5.0,8.0,9.0,10.0
wine,1.0,2.0,3.0,6.0,5.0,7.0,8.5,8.5,4.0,10.0
wine-quality-red,2.0,1.0,4.0,3.0,5.0,8.0,7.0,6.0,10.0,9.0
wine-quality-white,3.0,1.0,4.0,2.0,7.0,5.0,10.0,8.0,9.0,6.0
yeast,1.0,2.0,3.0,4.0,5.0,6.0,9.0,8.0,10.0,7.0
zoo,2.0,4.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0,10.0
