TRAINTESTDIFFSBALACC:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
chess-krvkp,0.0019324855575552635,0.002896632909042825,0.001117986371637647,-2.688802424721174E-4,0.0011165084273924374,-2.688802424721174E-4,-2.688802424721174E-4,-2.688802424721174E-4,1.680775147674544E-4,-2.3674549614366807E-4
congressional-voting,0.06254161523211013,0.036712739560343634,0.029189110836793465,0.002018728413072483,0.0014554420878065688,0.0020140525442960485,-0.006636772278956121,-0.006636772278956121,-0.007055885983615787,-0.008574140575318903
conn-bench-sonar-mines-rocks,0.03441455370026799,0.029891774891774876,0.019496495567924134,0.008246237889095006,0.006192924139352696,-5.786178107606843E-4,-5.786178107606843E-4,-5.786178107606843E-4,-0.004920634920634896,-0.004185606060606073
conn-bench-vowel-deterding,0.024444444444444418,0.023569023569023562,0.012861952861952871,-0.004444444444444436,7.407407407407751E-4,-0.006868686868686887,-0.006329966329966352,-0.007542087542087561,-0.01077441077441077,-0.006397306397306405
connect-4,-0.004989631306315949,-0.004867588542440068,-0.005543249309849881,0.007424261840827702,-0.002983838972497314,-0.007648867786358131,-0.006817171927316424,-0.006817171927316424,-0.010757080755787988,-3.814385805819757E-4
contrac,0.05089367144594461,0.026576460787473322,0.01814212993552032,0.00943938835707715,0.0016823853852592774,-0.007146271389209756,-0.003910702985068642,-0.006878826696496402,-0.007474460430971606,-0.006794652087705832
credit-approval,0.030943809960257845,0.03064258979743466,0.005970955235179902,-9.433331677903464E-4,0.004922918797986183,-9.433331677903464E-4,-9.433331677903464E-4,-9.433331677903464E-4,-0.0038329073101555458,-0.004965105290886796
cylinder-bands,0.020448717948717946,0.010794871794871782,0.0037863247863247794,-0.005384615384615373,-0.009294871794871798,-0.014106837606837608,-0.017491452991452973,-0.017491452991452973,-0.013393162393162395,-0.02446581196581195
dermatology,0.051782232900512544,0.025201584456960816,0.025307137605524756,0.00828444842692158,0.004892359333219568,0.0018357228195938103,0.00284229390681006,0.0012801672640382566,9.730187176423895E-4,4.1379359390115354E-4
echocardiogram,0.10358946608946608,0.11558441558441555,0.10153318903318902,0.04583333333333335,0.047763347763347765,0.033026695526695536,0.02702020202020204,0.02702020202020204,0.029094516594516603,-0.018524531024531016
ecoli,0.41408668769472523,0.15574672625713973,0.3473505437010676,0.14319192234923664,-0.002923817941164682,-0.03651411249797037,-0.05633525935765067,-0.06849813867704298,-0.020272931930845745,-0.039589109092472166
energy-y1,0.014065785734583695,0.018911622620062504,0.00871183417006094,0.0014184111647879804,9.907854714617933E-4,0.001353051687663783,0.0022746887268057956,0.0025168134886804842,9.673676233778424E-4,-0.00435929820129877
energy-y2,0.030498770857345932,0.02885003633635631,0.013970513773171793,0.0048113130897089644,0.006810387964729703,6.969220460336804E-4,0.0010997530957112275,4.701646764191788E-4,0.003317523618781178,-0.0010514786816081163
fertility,0.12424242424242422,0.08055555555555555,0.055050505050505044,0.016035353535353514,0.008838383838383838,0.0011363636363636354,0.00896464646464646,0.00896464646464646,-0.003535353535353536,-0.002146464646464652
flags,0.5632081807081807,0.2807593101343101,0.4099954212454212,0.22183938746438744,0.010411070411070405,0.02249783781033782,0.004162978225478223,0.00519192612942613,0.007154049654049655,-0.006024623524623546
glass,0.31312412976886667,0.16331453634085208,0.1943473266499582,0.06436148240972801,-0.021741390513320323,-0.017930126241529763,-0.028669822704910426,-0.032577276524644955,-0.025660563445651145,-0.03297282558247472
haberman-survival,0.08998498093388012,0.07274248275826627,0.04497726583618554,-0.0055270998427430695,0.02651579507261571,0.009355452088022777,0.008242422373654835,0.008242422373654835,0.02338378017945792,0.015476139085031817
hayes-roth,0.1798337542087543,0.08867213804713803,0.058800505050505034,0.007241161616161618,0.0027041245791245374,-0.025016835016835028,-0.02158249158249161,-0.043337542087542084,-0.032962962962963,-0.041271043771043826
heart-cleveland,0.4113533435054239,0.3336246296169778,0.2138563230170117,0.17866463477893418,0.014831388743392574,0.034347227599260115,0.016703483561446263,0.012397450398406888,5.951305544801694E-4,0.0029738815128580952
heart-hungarian,0.03705004683527366,0.03841161514786565,0.015167937909808641,-0.017650207413354737,0.002826843302555859,-0.012866318747490961,-0.012866318747490965,-0.012866318747490965,-0.015375351264552395,-0.015783487220661054
heart-switzerland,0.36391666666666667,0.3269444444444446,0.22566666666666665,0.31233333333333335,0.028277777777777773,0.05124999999999998,0.020361111111111118,0.017166666666666663,0.04002777777777779,0.0046111111111111075
heart-va,0.43262710622710626,0.4127167277167278,0.2000754578754579,0.20293626373626372,0.020932112332112333,0.021143101343101357,0.003332844932844936,-0.0058730158730158685,0.021352380952380966,-0.010903052503052506
hepatitis,0.11178223603031899,0.0784791997179622,0.05856303983782825,0.08232251454257003,0.01649590163934422,-0.0011711175744756293,0.0026116032081790587,0.0026116032081790587,0.004691631411951306,-6.301780363123862E-4
hill-valley,0.028822882288228817,0.012376237623762354,0.012211221122112188,0.007590759075907601,-7.150715071507145E-4,-0.006050605060506028,-5.500550055005345E-4,-5.500550055005345E-4,0.0037953795379537915,0.005500550055005485
horse-colic,0.025633874239350905,0.02258282623394186,0.009043272481406357,0.010885733603786337,0.005628803245436109,1.2677484787019245E-4,1.2677484787019245E-4,1.2677484787019245E-4,-7.014874915483545E-4,-0.009051724137931028
ilpd-indian-liver,0.052215639113229476,0.019667543801579944,0.01552418465069068,-0.011050612707239216,0.025492537917236713,0.008191005781367226,0.0061665158803713115,0.0061665158803713115,0.005501723009253116,0.009872548803271692
image-segmentation,0.00932178932178931,0.014401154401154404,0.0023088023088022897,8.658008658007551E-5,3.75180375180395E-4,-0.001645021645021616,-0.0013564213564213371,-0.002337662337662283,-0.0016161616161615895,-0.0015584415584415404
ionosphere,0.01305163412464297,0.015545693449454508,0.002843183733670466,-0.010452369246617011,-0.010336189539729371,-0.006904352203024774,-0.006904352203024774,-0.006904352203024774,-0.005880536826333275,-0.012904141499274236
iris,0.03733333333333335,0.03422222222222226,0.0257777777777778,0.012444444444444461,0.010666666666666677,0.012000000000000018,0.012000000000000018,0.012000000000000018,0.006222222222222232,0.0022222222222222326
led-display,0.1084792130456309,0.10310527554026121,0.06353757849367987,0.005576580890254239,0.010391436910031556,0.003527201693056333,0.0038931685891635905,0.003017919076076599,0.0052207625796933865,0.0038596652845535187
lenses,0.5087962962962963,0.3829365079365079,0.11435185185185186,0.35582010582010576,-0.17810846560846555,-0.01058201058201058,-0.1871031746031746,-0.23485449735449732,-0.17175925925925922,-0.2793650793650793
letter,0.001200737871719922,0.023009737065963175,-0.00314949359628367,-0.0035148727302103575,0.0029545741188272802,-0.005596023944431927,-0.005538902949191401,-0.00614197043361346,-0.005453408889714891,-0.0042351801641038024
libras,0.24222222222222223,0.15111111111111106,0.16814814814814813,0.046111111111111124,-0.002037037037036989,-0.010370370370370353,-0.012777777777777747,-0.013888888888888866,-0.015185185185185194,-0.02259259259259262
low-res-spect,0.5357830398746627,0.19001129655771376,0.5063376773798394,0.257008875538063,-0.08069004812509993,-0.025831653507802543,-0.10263783016950034,-0.11256594718702674,-0.13691329560655474,-0.08460497287160068
lung-cancer,0.5425396825396824,0.40076719576719577,0.29634920634920636,0.3216402116402116,-0.10714285714285708,0.08293650793650796,0.009285714285714302,-0.0814814814814815,0.017910052910052935,-0.09129629629629629
lymphography,0.3212962234461055,0.09128245476003148,0.26847495410437977,0.1165760774543229,-0.16582480986100184,-0.03654706486580995,-0.13634889413410262,-0.15842714616662293,-0.17031728079377564,-0.09827651018445668
magic,-0.002085034021523598,-0.00205116090398495,-0.0028884556121675582,-0.003458575762231645,8.929243482160953E-4,-0.004699696617919613,-0.004699696617919613,-0.004699696617919613,-0.004766335465724732,-0.0022240345652264995
mammographic,0.013470100092792748,0.0093441888024222,-2.6701798262961004E-4,-0.0014348820611204535,0.001134268589164859,-0.0019191785382211854,-0.0019191785382211854,-0.0019191785382211854,-0.005449327730066093,-0.012728282563510433
miniboone,-1.9999546627595953E-4,-4.148182678209526E-4,-3.68712516576671E-4,0.008064365844945283,0.0022666430340584206,-0.0020807648193510997,-0.0020807648193510997,-0.0020807648193510997,-0.0021951345086492252,-2.2984041555736598E-4
molec-biol-promoter,0.12537986704653373,0.057763532763532785,0.04594017094017097,0.021082621082621107,0.0047483380816714365,0.013319088319088327,0.013319088319088327,0.013319088319088327,0.01657169990503326,-0.011063627730294378
molec-biol-splice,0.0019176117990765869,0.0077352001189730886,-2.772853246188737E-4,0.0012097035846147703,0.01074880570336858,5.602473137914103E-4,5.603659586040217E-4,-4.4590559787701285E-5,0.0025131057138107924,-8.600050203191323E-4
monks-1,0.006354916067146299,0.008872901678657097,-9.592326139088706E-4,-0.003237410071942452,0.004796163069544368,-0.008513189448441276,-0.008513189448441276,-0.008513189448441276,-0.004676258992805782,-0.0037170263788968926
monks-2,0.012117005648620635,-0.02593812220740416,-0.03322052602644984,0.010498559096459666,0.011213447868861604,-0.006192919121064607,-0.016046506495474008,-0.016046506495474008,-0.02981260289056849,-0.022391053604399427
monks-3,0.0020528752436647204,0.004752332219437494,-0.0019580200501252976,-0.0035209551656920192,8.676204399888514E-4,-0.0033373363965469266,-0.0033373363965469266,-0.0033373363965469266,-0.003607108047897526,-0.003192007797270946
mushroom,0.0,0.0,0.0,0.0,-8.512087163770055E-6,0.0,0.0,0.0,0.0,0.0
musk-1,0.005568136828099135,0.006085058897694754,-0.007676361952855692,-0.0127517386376006,-0.010642064103458611,-0.0127517386376006,-0.0127517386376006,-0.0127517386376006,-0.010642287552638737,-0.013553006927578255
musk-2,-0.004454476285065045,-5.760285064137319E-4,-0.008970139513313968,-0.01328054509668356,-0.005611882631576829,-0.01734764241297507,-0.01734764241297507,-0.01734764241297507,-0.018059162849410542,-0.010381102164534858
nursery,6.130531631725574E-4,6.142160882392278E-4,-4.0402676998761987E-4,-0.034895595792287834,5.908347570456515E-4,-0.0019376711863417716,-0.0019376711863417716,-0.0019376711863417716,-0.0036316474776679096,-2.129525942452711E-4
oocytes_merluccius_nucleus_4d,0.01014613081765852,0.00179539286165743,-0.009012313704332213,-0.0061461708434566295,-4.757962712601834E-4,-0.00850836065865399,-0.008514506606921712,-0.008514506606921712,-0.014577666374741498,-0.00905032707323464
oocytes_merluccius_states_2f,0.02790948449363058,0.027376775342933583,0.013968772345033086,0.016536959501033874,0.009169699832365518,0.009626221845109884,0.009658539991123124,0.009857970190553322,0.0026419757835945633,0.004041010252563149
oocytes_trisopterus_nucleus_2f,0.0023686243020344944,-0.001318646456885512,-0.00828418048369191,-0.010034148015697483,1.4736620076929072E-4,-0.012720169350720685,-0.012720169350720685,-0.012720169350720685,-0.014501768146903715,-0.014079306742338179
oocytes_trisopterus_states_5b,0.0639153970420871,0.029468670084750712,0.02525849787314695,0.002998214349740151,0.006708268658569649,-8.537723827162225E-5,0.0017481413743467122,-0.0032602998629096213,-0.0014235974128037898,-3.2837435914008967E-4
optical,0.005594482467484677,0.006695924463930533,0.0011471390190314734,-0.0012492491549931928,9.462830555689269E-4,-0.0017238042358774797,-0.0017472420659151,-0.0018788735331934554,-0.002054690434606691,-0.0017409917846034036
ozone,0.02049844742777318,0.018767994186860964,0.010533142618337581,-0.04602821165321166,0.00934089423884306,4.764911014911E-4,0.0038905388925697744,0.0038905388925697744,0.00879601984140977,0.009666610402800497
page-blocks,0.04504528635557945,0.048208369706718705,0.011027117840848588,0.0038578512899857366,-0.0018161632057347333,-0.020440021439082644,-0.0183314162624071,-0.01942900850076871,-0.021556863342607643,-0.009867139876477589
parkinsons,0.02150540951910811,0.03139629355382776,0.0041543255584351015,-0.011263575219054689,-0.020076154922045366,-0.016966709860545496,-0.018814790818215497,-0.018814790818215497,-0.025556121189682854,-0.021773057303879243
pendigits,0.0031899813238957186,0.004239343021928799,0.0016555968305184317,-3.287555916333007E-4,6.837431980349436E-4,-5.600497840737758E-4,-5.223965919128475E-4,-5.407962199764471E-4,-4.5643845098511935E-4,-3.0481064524091975E-4
pima,0.026945273631840794,0.013451741293532334,0.0022179104477611953,0.010604975124378106,0.008690547263681596,0.0021373134328358336,0.002620895522388078,0.002620895522388078,0.0019283582089552312,0.003940298507462688
pittsburg-bridges-MATERIAL,0.3193162393162393,0.18223646723646725,0.2270726495726496,0.14766381766381761,0.04724358974358974,0.03738603988603991,0.03158831908831908,0.031851851851851826,0.040847578347578316,0.04214387464387466
pittsburg-bridges-REL-L,0.21873196097052305,0.19260000771438682,0.16619046954014274,0.08910632154096206,0.022465025896398434,0.028978661740099648,0.0057277659401842465,0.002095852586048669,0.02225367829942993,-0.05424786723806331
pittsburg-bridges-SPAN,0.19448653198653199,0.1380050505050505,0.1206228956228956,0.008585858585858586,-0.005808080808080803,-0.016961279461279462,-0.025883838383838367,-0.02735690235690234,-0.028072390572390565,-0.06014309764309763
pittsburg-bridges-T-OR-D,0.17510822510822507,0.14512987012987014,0.13073593073593073,0.10838744588744588,0.07126623376623377,0.05384199134199134,0.04994588744588747,0.04994588744588747,0.038528138528138564,0.017478354978355003
pittsburg-bridges-TYPE,0.42409331409331413,0.30608465608465607,0.4289610389610389,0.2252501202501202,-0.016552429052429016,0.02242123617123616,-0.019815416065416057,-0.031747835497835476,-0.023167388167388146,-0.029613997113997103
planning,0.12551282051282053,0.05384615384615386,0.035769230769230775,0.041666666666666664,0.01346153846153847,-2.564102564102555E-4,0.008974358974358982,0.008974358974358982,0.020384615384615393,0.011282051282051278
plant-margin,0.3075416666666666,0.21908333333333327,0.22870833333333326,0.06820833333333333,-0.01983333333333335,-0.011958333333333326,-0.027041666666666676,-0.02895833333333333,-0.02720833333333333,-0.027666666666666662
plant-shape,0.5020416666666665,0.3900833333333334,0.4161666666666667,0.15241666666666667,0.002249999999999993,-7.499999999999988E-4,-0.030916666666666662,-0.027041666666666672,-0.029375,-0.02795833333333334
plant-texture,0.31616666666666665,0.23159523809523808,0.23604166666666673,0.06484523809523814,0.0033095238095238694,-0.00816071428571424,-0.01944642857142852,-0.019666666666666627,-0.023119047619047584,-0.019142857142857128
post-operative,0.19641203703703708,0.08460648148148149,0.05891203703703705,0.11018518518518519,0.004745370370370376,0.006481481481481482,0.006365740740740747,0.006365740740740747,0.004745370370370384,0.011921296296296293
primary-tumor,0.6743045112781954,0.4000434419381787,0.5313695349484824,0.25236313004734057,0.001421331105541613,0.022638401559454173,-0.008362155388471177,-0.012822751322751324,-0.0014891395154553067,-0.027011556669451414
ringnorm,4.65882915821203E-4,0.0011679313590729008,-4.295122947114982E-4,-0.0018474794984243907,-2.26795271001042E-4,-0.0018474794984243907,-0.0018474794984243907,-0.0018474794984243907,-0.001690386467557492,2.8870519809624333E-5
seeds,0.047936507936507985,0.0282539682539683,0.01523809523809527,-0.0069841269841270075,-0.006984126984126974,-0.0060317460317460435,-0.006349206349206367,-0.006349206349206367,-0.010793650793650815,-0.006031746031746051
semeion,0.027360534683319462,0.034145390806255796,0.012545760836548429,0.0059610189518768284,0.004052119170614202,0.0015892432240884658,0.002229138009201289,8.647988920492196E-4,0.001912527755882169,-0.0018304809999606041
soybean,0.12857578255525115,0.05773234704997991,0.07355453255815575,0.007949299760894025,0.00119651774241147,-0.0037879194521706293,-0.0027206444476975586,-0.004988613998275826,-0.005187816745787706,-0.014690265897995373
spambase,0.0011755679496802673,0.002057489210603869,-5.420335007458347E-4,0.0021842536294346218,0.0031427734591536398,-5.333552575734091E-4,-5.333552575734091E-4,-5.333552575734091E-4,-0.0017518746765751677,-7.416261390120638E-4
spect,0.09051004551004553,0.09770229770229773,0.0715828615828616,0.02884837384837387,0.032672882672882674,0.022211677211677237,0.015898545898545925,0.015898545898545925,0.010462315462315467,0.005672105672105676
spectf,0.047308741805597125,0.06479651259525473,0.0219123323683072,0.01736963828158797,9.604505673688053E-4,0.012841918738145138,0.007198179761072831,0.007198179761072831,-0.006699444278060647,-0.015534840770689829
statlog-australian-credit,0.03717756217756216,0.023687148687148663,0.015838915838915817,-0.021640871640871636,0.013692538692538688,0.003172403172403149,0.010756910756910758,0.010756910756910758,0.00821205821205818,0.0012551012551012522
statlog-german-credit,0.04433333333333332,0.022095238095238095,0.011920634920634924,0.021523809523809504,0.012857142857142855,1.4285714285714086E-4,-0.003698412698412727,-0.003698412698412727,-0.00357142857142857,-0.005999999999999979
statlog-heart,0.04944444444444445,0.05900000000000002,0.036333333333333356,0.019333333333333334,0.027666666666666676,0.012944444444444451,0.012944444444444451,0.012944444444444451,0.011666666666666669,-0.001611111111111115
statlog-image,0.010331890331890319,0.011515151515151527,0.005598845598845566,-0.0018470418470418748,0.0011832611832611603,-0.0023376623376623533,-0.0025974025974026095,-0.002395382395382399,-0.0015584415584415665,-6.349206349206216E-4
statlog-landsat,0.0038456943546717175,0.03084564900558602,-0.002436944608115806,1.0404691914752683E-4,-6.841435644804402E-4,-0.006267977451751298,-0.005698547316929791,-0.0054828376935010525,-0.007258624759376734,-0.004354964613751478
statlog-shuttle,0.09821779742720821,0.04221906107934917,0.04376401531464276,0.024592535766761972,0.012714662004834261,-0.01391726823916225,-0.028053482295934948,-0.024917248222768806,-0.031003894598737147,-0.007786710182044217
statlog-vehicle,0.03388880641857962,0.048867076414909796,0.005693062945342091,0.002594376535147417,0.008390189277616433,-0.005925706102239488,-0.004561668606516015,-0.004072226020324813,-0.01330900658344258,-0.004265460171697514
steel-plates,0.040322180584483815,0.08600767218868045,0.014429667037783703,0.011506772681923131,0.005422194097754011,-0.003540733543155868,-0.003986285495231364,-0.004717812965509675,-0.0047204782209325745,-0.008264471803359215
synthetic-control,0.023222222222222255,0.010000000000000005,0.006888888888888892,-8.888888888888761E-4,-5.555555555555424E-4,-0.0016666666666666275,-0.0013333333333332938,-0.0015555555555555026,-4.444444444444436E-4,-0.006444444444444452
teaching,0.2766025641025641,0.23058689458689458,0.09190313390313389,0.05128490028490028,0.010541310541310519,-0.0013361823361823344,-0.0072350427350427555,-0.01189173789173791,-0.01444729344729347,-0.03960968660968663
thyroid,0.00574865828646773,0.012590789155744627,0.0019146990655063607,0.003254900965912914,0.004319146119256615,5.313264869354018E-4,0.0012273398633734593,0.0012577233365033838,0.004030115339105067,4.345196174934599E-4
tic-tac-toe,0.002630329625210104,0.004259530133312802,5.324813631522855E-4,-1.475550765361766E-4,0.0025921577684540065,-0.0012170086095179334,-0.0012170086095179334,-0.0012170086095179334,-5.491615022389928E-4,-0.001536497427409315
titanic,0.023543429973805076,0.0015439162385518937,0.001390233920426768,0.007866167798334111,0.009343565603964876,-0.005308270961515515,-0.004238823965080992,-0.004238823965080992,8.083261907113578E-4,-0.0035891639963704517
trains,0.5166666666666666,0.5277777777777777,0.6388888888888888,0.5944444444444443,-0.24999999999999997,0.12777777777777782,0.23055555555555565,-0.4666666666666666,0.10000000000000007,-0.5277777777777777
twonorm,0.0022478364796102803,0.002690257009664565,0.001536650025838108,5.631692885494551E-4,0.001356976040717691,5.631692885494551E-4,5.631692885494551E-4,5.631692885494551E-4,6.265637572755E-4,-2.3171788452935882E-4
vertebral-column-2clases,0.026412698412698426,0.02785714285714284,0.005412698412698428,0.004206349206349184,-7.619047619047414E-4,-0.0017936507936507807,-0.0017936507936507807,-0.0017936507936507807,-0.014555555555555537,-0.011158730158730146
vertebral-column-3clases,0.07429629629629629,0.07762962962962967,0.04214814814814819,0.01200000000000001,0.008740740740740782,-0.00614814814814814,-0.003999999999999989,-0.004370370370370369,-0.009259259259259248,-0.007629629629629645
wall-following,0.0014584465674088777,0.004046019969746787,-1.9675707236765556E-4,1.6284841769899084E-4,0.0037972423184200834,-0.001016793944199279,-0.001016398167236976,-0.0013361094839668074,-7.761450849382474E-5,-4.562354793940071E-4
waveform,0.010595988615045467,0.00887258935023966,0.005354925174529127,6.041574469814237E-4,0.005206377677323822,6.041574469814237E-4,6.041574469814237E-4,6.041574469814237E-4,9.604646824387627E-4,-1.8670178233793911E-4
waveform-noise,0.012900852726093892,0.012056320649012036,0.008732997916999153,0.0025249332042489767,0.0079068213449163,0.0025381155844661383,0.0025917924497372105,0.0024980460924732273,0.0016876539830114649,-0.0010460957632080954
wine,0.035106732348111645,0.01647752843155139,0.010873471994161665,-0.0031017758316608914,-0.0019249832755579824,-0.003110594173812568,-0.0034192361491212114,-0.0034192361491212114,-9.563340023109879E-5,-0.012246700723712216
wine-quality-red,0.09571555442252005,0.1452163463902797,0.04194793537145246,0.057415300725903624,-0.002291010611810035,-0.0055116951759299464,-0.00470288254199571,-0.0035324977669049036,-0.010797661672631683,-0.006125049382710396
wine-quality-white,0.0279208119982195,0.08877438758971154,0.012575563821868477,0.03225970330749579,-0.009429430923501814,-0.006751717971730849,-0.013156537290930042,-0.011244423621258992,-0.011481690984397185,-0.007313333410871595
yeast,0.29647659455997405,0.2519919689549021,0.13972843464166118,0.040829833361255195,-0.008131688201327859,-0.019048884117506597,-0.06169023664918964,-0.060248898189611676,-0.06187410927734197,-0.02656363254959197
zoo,0.2622902494331066,0.06823129251700678,0.2625510204081632,0.10269841269841272,-0.04746031746031747,-0.03317460317460322,-0.050000000000000024,-0.05730158730158731,-0.058095238095238096,-0.06282312925170072
