TRAINTESTDIFFSBALACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
hill-valley,0.03471095215304074,0.02834003007168135,0.028349471310259708,0.02840241648909461,0.04039897417781044,0.03170406509637495,0.03543805357702833,0.03543805357702833,0.03949985843827415,0.03388304347500648
horse-colic,0.03953600175509577,0.0464029114810803,0.03796836205823839,0.0317631911956443,0.040348913819162,0.03345973278630041,0.03345973278630041,0.03345973278630041,0.028619776800159306,0.039701333562476314
ilpd-indian-liver,0.04345095374550765,0.046664797173650574,0.0455650513029052,0.07158806766819409,0.04008945494465541,0.02211266300031284,0.037662267486332925,0.037662267486332925,0.04008114547939725,0.040749470389189295
image-segmentation,0.00791132628811385,0.009917322702012881,0.008416802288662227,0.00840763524592914,0.008018422238522342,0.008001210918074594,0.007822611839945193,0.00835768112848652,0.008536945306859728,0.009056082395982814
ionosphere,0.030291414471537145,0.03510387025346377,0.033193459455006014,0.032834661208220595,0.032788077052083565,0.028397591904318478,0.028397591904318478,0.028397591904318478,0.032601663041871114,0.03217855587265451
iris,0.04406891155357984,0.03164619221140962,0.03944959763435029,0.03188741369223236,0.03967685564108151,0.031190921166557303,0.031190921166557303,0.031190921166557303,0.034438387800221126,0.03606436703456873
led-display,0.02837928541641523,0.027421237464728222,0.029680059361513286,0.033413842971409556,0.03347923373068799,0.03425584432051228,0.03370853331897886,0.03419284945322755,0.03405056323664142,0.03563893920288217
lenses,0.17619186560808264,0.2315207045769636,0.21416435380642254,0.21303427307268422,0.24255408224187203,0.18867694195279647,0.27909325214401903,0.26927294306129174,0.2600987657895291,0.23962313084746859
letter,0.002633893575446381,0.0024257386235847517,0.0029743331745997192,0.0034972515909315596,0.006067311743995978,0.003669518768076548,0.0035681074099186546,0.003748406433258603,0.0032541593089737892,0.0029363471246666053
libras,0.03970409923365248,0.039131699561867454,0.034244672604893986,0.046278029601960494,0.04730910045895268,0.05118296908813681,0.04863286322303395,0.0491249525405525,0.051332465313632204,0.04761071507708993
low-res-spect,0.06735923167393132,0.08342146848753416,0.07790774736191657,0.108196596378291,0.10128113818209472,0.07127427433993164,0.10054971631663279,0.09016242543686415,0.08985465372893572,0.07536103934958262
lung-cancer,0.1833047909598212,0.1284134601158385,0.16152702858823406,0.15495033415946677,0.2363324637514279,0.17998796548079907,0.19624011958206602,0.23127659501995632,0.22181580665060197,0.24611281777196395
lymphography,0.21006319545658297,0.16705284359285844,0.17856570110025058,0.15726624226996322,0.1642053833790548,0.13577886234627248,0.18524127929547074,0.18978612910296122,0.18626832444092997,0.13668187446435412
magic,0.005461795737791065,0.005781852268924441,0.005643032998983552,0.005273431393359912,0.006722328647785767,0.0055136276194519985,0.0055136276194519985,0.0055136276194519985,0.005294438374659967,0.005633014364923568
mammographic,0.023449717480288776,0.02637441084052985,0.025766473323791686,0.02615300789939176,0.0270035667107922,0.026691745656005673,0.026691745656005673,0.026691745656005673,0.027480290834899102,0.030611488441885024
miniboone,0.0013134193048968683,0.001350455490247146,0.0013695610105664972,0.00197743996562206,0.004245916606788417,0.0020860213956395077,0.0020860213956395077,0.0020860213956395077,0.0022847577132973584,0.0014252460211000586
molec-biol-promoter,0.11825218254136503,0.08716681077965549,0.06357500599042563,0.06490168950533284,0.07224423923164398,0.06721003622868492,0.06721003622868492,0.06721003622868492,0.06165717298528578,0.08009896931652824
molec-biol-splice,0.009078135957205332,0.00809951892989799,0.008958613964606437,0.010702796800612884,0.01388845906121539,0.010752312919471714,0.01100048251154686,0.011333567331777952,0.010325724116622697,0.008971962840148607
monks-1,0.010590343534107448,0.009481079879920131,0.01235050124694356,0.015503497833465637,0.029380506580806057,0.018426337513151182,0.018426337513151182,0.018426337513151182,0.013230168005914957,0.01310592771939604
monks-2,0.0862131394662951,0.08066062116960024,0.07653259022541924,0.05225532517835184,0.04936117141125296,0.02806505892752268,0.044306040328424945,0.044306040328424945,0.057521139240196376,0.055250056445661784
monks-3,0.012825900525916421,0.01389584451197735,0.012989430763626722,0.015418842887496608,0.014259021085453008,0.015811361657101425,0.015811361657101425,0.015811361657101425,0.015335482861834003,0.013474239340434693
mushroom,0.0,0.0,0.0,0.0,4.6622621510470295E-5,0.0,0.0,0.0,0.0,0.0
musk-1,0.031607479545560674,0.032933939011703356,0.02934520508504416,0.02740150936098577,0.02856189139943288,0.02740150936098577,0.02740150936098577,0.02740150936098577,0.031052490040759093,0.04058736477824568
musk-2,0.007380003614731389,0.008730986329332594,0.009517253101082895,0.0073514393860032775,0.01381471658482877,0.01103484519859717,0.01103484519859717,0.01103484519859717,0.010707812678589954,0.012539469141578621
nursery,0.001612631484938427,0.0013481119036114096,0.0020341288368979026,0.006554088423068797,0.004459652031141254,0.0033465448416660245,0.0033465448416660245,0.0033465448416660245,0.004257909035256002,0.0024581596843238967
oocytes_merluccius_nucleus_4d,0.029991039021429897,0.038740601202444866,0.03610925387215358,0.033473422050717655,0.03411745843544305,0.030600008564937897,0.03274577223301267,0.03274577223301267,0.031333426516511484,0.030449140199516958
oocytes_merluccius_states_2f,0.03396368567883657,0.03901337526406659,0.03462642585441144,0.035492844868002076,0.03836875167549161,0.03957249601047154,0.03963508315072849,0.03931222142153091,0.033210881337940354,0.04046623921631664
oocytes_trisopterus_nucleus_2f,0.02433170867889054,0.029833246166706157,0.025981199907815875,0.01950157621050045,0.02214639925939112,0.020610484179073255,0.020610484179073255,0.020610484179073255,0.022470471747853143,0.028461522354314886
oocytes_trisopterus_states_5b,0.06740990651895973,0.06746467174453397,0.0718036257810716,0.06234862316233335,0.06390415958866247,0.0742246182572132,0.07362029092686925,0.07536420739873233,0.06164200815543827,0.0785107595267246
optical,0.007265087493088014,0.002873547022328065,0.0030955679647303516,0.002863058720718847,0.002496254681413777,0.0029119545578283955,0.0029532049225761167,0.002979249724744667,0.002895756357821287,0.0032116251349712786
ozone,0.03174425075749092,0.03994983555281744,0.030754152420274822,0.03715943462492727,0.03269031675339123,0.0025342796769749986,0.02710074647140974,0.02710074647140974,0.030978360801974955,0.032298812600499285
page-blocks,0.04230278417075894,0.036619250983035215,0.03849605966961764,0.05274663086177359,0.035623595867284405,0.03659404614983222,0.03713402114537713,0.03734248206950972,0.03990956200805403,0.035787758645988016
parkinsons,0.0583907137491759,0.0628086454622412,0.060403785212550326,0.07052452048313612,0.07373665637592629,0.08464983947658701,0.08336114051323999,0.08336114051323999,0.07768877144973294,0.08381821206785496
pendigits,0.0014624249987672878,0.0015765613669447803,0.0015580874565795687,0.0017223880324933449,0.002045091004504334,0.0016380968593761249,0.0017474418395188825,0.001667299567279368,0.001531705027517035,0.0017546995074375646
pima,0.03842290390950238,0.03467723144478393,0.029508836690680995,0.02675352005100093,0.028754093146984107,0.033973207818045026,0.03324101319183861,0.03324101319183861,0.03096947358023775,0.043488687200014954
pittsburg-bridges-MATERIAL,0.12314332817011053,0.1203007057231511,0.14705206543290425,0.1198608201309114,0.14358697339457266,0.11058065132560438,0.13408935066944,0.13846505115623226,0.1342879016078068,0.15155731079598617
pittsburg-bridges-REL-L,0.12695535982021092,0.11904339444333613,0.08442157359115512,0.09935511425868511,0.11219445139144049,0.08473761885320884,0.1162344160941011,0.11546008004514417,0.10668170978830319,0.13057675112151257
pittsburg-bridges-SPAN,0.11543598193020338,0.09936185153414369,0.10434652908132111,0.09602797340179527,0.09739458500564603,0.08612879508568815,0.09616432518121855,0.09587037625179949,0.08229157599550026,0.09060106596034054
pittsburg-bridges-T-OR-D,0.14396209220482142,0.14804809334160565,0.15573725466018157,0.1589387137542609,0.1421923461583561,0.12101326355697524,0.1634793504232963,0.1634793504232963,0.1744313738350516,0.17312968259974976
pittsburg-bridges-TYPE,0.12958063581788165,0.10456560528709237,0.1056355633562057,0.08051834100739652,0.1019664434044229,0.07861507501040688,0.10130824110473555,0.0970348920646358,0.09706988491559433,0.08647773941723116
planning,0.08106541206829597,0.09203097337968341,0.0618703747918361,0.0526204114950687,0.03652624394368163,0.0014044168141158055,0.03966722077140181,0.03966722077140181,0.044386474867842744,0.07132074721426232
plant-margin,0.05709422351863106,0.0302805369757577,0.04605736131835167,0.013624756140388609,0.01956623734084203,0.020362245673072866,0.01777639893778834,0.018954583120300173,0.021652335556643105,0.026784849466060842
plant-shape,0.05720829618419737,0.03972553103599692,0.04542179397399547,0.02029930495384498,0.02165163050322715,0.025540704497074792,0.02157817916535021,0.022080581589562647,0.02403470461358052,0.024232804366627978
plant-texture,0.05763751671726789,0.02836121611706295,0.026955989300995836,0.01441129633710585,0.02670643988822989,0.01745055281735354,0.017352179929652878,0.019328356281805643,0.019406024871509074,0.023874764884937564
post-operative,0.14329308797524068,0.10463847227945236,0.1013979230435119,0.1898793908626154,0.060831300410114836,0.020967268493806878,0.0440441909429391,0.0440441909429391,0.047926238470554175,0.06541013405137173
primary-tumor,0.054799607895345846,0.0678910818957022,0.05405346786251525,0.04712789371545992,0.037034602057773355,0.03983415173244832,0.04188674993999645,0.041626680758203714,0.04183028232190112,0.048718904292749596
ringnorm,0.0031600506750286655,0.0035242991750815598,0.0033837452554404722,0.0032075990673144446,0.003645793557001877,0.0032075990673144446,0.0032075990673144446,0.0032075990673144446,0.0033942493234227072,0.0041844583711952614
seeds,0.050425251325872424,0.04306523705719017,0.041671240659100314,0.03906270150728647,0.04055547789884778,0.03910671433001994,0.039014630891746976,0.039014630891746976,0.0367354468317258,0.036543377766309
semeion,0.014270411703582791,0.012848391397537656,0.015177778004471754,0.015039172380018685,0.01374695640660946,0.0135856953629233,0.01347568639340218,0.01365396738117693,0.012991343746747206,0.01904607275993162
soybean,0.038482037652707066,0.0253668437017656,0.03382482157631253,0.02538563561710467,0.02456630397936415,0.022249362770245914,0.02014200770431428,0.022289811921769764,0.020354302154626448,0.029272588021156974
spambase,0.006743691716348706,0.007106085819974885,0.007018973127989317,0.007094405482091864,0.007797091461876079,0.007062720432637982,0.007062720432637982,0.007062720432637982,0.006802810930332381,0.006099515400655711
spect,0.06640982487125303,0.07615538393023355,0.07092807237029058,0.05434618019405768,0.0742098875547813,0.05540698655521203,0.059848748414668126,0.059848748414668126,0.0566857429017463,0.06058881764663778
spectf,0.08834383617883848,0.11296003071056832,0.07879353629122594,0.059595894479679966,0.06868601449328501,0.06993915413262078,0.0669100571439584,0.0669100571439584,0.07101912947581329,0.0816505706421334
statlog-australian-credit,0.03777949999029453,0.026513122381725023,0.019694465700409454,0.029197039662257403,0.02387903111002201,0.007327973689972492,0.021157278620592846,0.021157278620592846,0.024001962218363926,0.038204508854314964
statlog-german-credit,0.048768932619064745,0.04019765070321919,0.03454981373478515,0.03125628250242585,0.03444317064478811,0.030706271787084783,0.034905160277328304,0.034905160277328304,0.033441239839621745,0.03364238620174103
statlog-heart,0.05202109307924664,0.06113172762653911,0.05911771489629304,0.05708701431205819,0.05780068806017696,0.057438428359093435,0.057438428359093435,0.057438428359093435,0.058507948832858196,0.05220700642438386
statlog-image,0.007099397189878764,0.007837357379513299,0.008316082499361107,0.00803468522475886,0.007508333089271832,0.00838547015527316,0.00834173798723842,0.008203263969428004,0.007848068997150594,0.007783688874118858
statlog-landsat,0.008918923675454282,0.013001455380300436,0.009500977046235128,0.008700655652781124,0.009498154906878935,0.00921916285905243,0.008686271776846118,0.008937479433614653,0.008463691333973749,0.008386526609576391
statlog-shuttle,0.08004082390061451,0.06238014459107817,0.07393302145211084,0.03137966041061537,0.05419288266348396,0.06402289335877048,0.05018476878671174,0.06250776854060414,0.056116722848100264,0.05202792407046706
statlog-vehicle,0.023522407615412758,0.02960662924940123,0.020660254972487514,0.01695285086155594,0.019127024907309758,0.0196173651962003,0.018226503957370514,0.018431022575465483,0.021469891821091575,0.027073763995414807
steel-plates,0.03253567556762987,0.037299899186913336,0.02524388530683796,0.028069547463685264,0.024963071967362273,0.025062997917986978,0.025587096002014535,0.02421097938499757,0.024932800069131,0.02784782778570935
synthetic-control,0.0426559193839844,0.010540925533894636,0.010896002055425036,0.011035759823928916,0.010174091252906947,0.011703554164296802,0.011332657180641552,0.011735701607038726,0.011768303859705297,0.01968980391048133
teaching,0.10808774148015292,0.08383820547350358,0.07405394899177149,0.06735954704539165,0.08060133180743911,0.08383151844424144,0.08889770053555346,0.0876229251604704,0.08535224704140988,0.11113783925124159
thyroid,0.011678264517188897,0.010720093242005778,0.010461114255156017,0.00695902384681491,0.010250048350974516,0.013966982891188334,0.01309945616844637,0.013018335001810008,0.012022360401863106,0.00897332959831959
tic-tac-toe,0.009648082819145752,0.008898698207657525,0.010070486751018405,0.00906499127002034,0.010119553466595448,0.010573716065879262,0.010573716065879262,0.010573716065879262,0.011277815519537134,0.010686403291533107
titanic,0.04808613324815786,0.018888644252835526,0.0187470977580579,0.01797131543772568,0.017347115566905782,0.01722393294352308,0.017575605258709628,0.017575605258709628,0.01828440747805835,0.01729220730190178
trains,0.20223843141639142,0.10795320872760074,0.18090520227304369,0.17877474285968528,0.36945128619827977,0.21745362536097415,0.23436076478694082,0.20128894996822438,0.2898341446717838,0.10795320872760074
twonorm,0.004098321034830161,0.0048031517713579275,0.004375860589112685,0.003959716319110476,0.0038747999756055876,0.003959716319110476,0.003959716319110476,0.003959716319110476,0.004114687713929332,0.004227314743819117
vertebral-column-2clases,0.05303587193139114,0.06389080796853942,0.05348873140301144,0.06759245566684968,0.05799887024657292,0.06791001982482579,0.06791001982482579,0.06791001982482579,0.062195312004211155,0.06568080384197197
vertebral-column-3clases,0.04715375548917989,0.04757887254967033,0.04456108576655419,0.05058230524686323,0.05683262703226123,0.06120594058857292,0.05968670867829809,0.06073898075511432,0.060332788841508625,0.055623508888100075
wall-following,0.004850043913547246,0.0043961907287921745,0.005086508082255095,0.0051747328686978025,0.011401233778222731,0.006376563729493932,0.0063277277485658855,0.006433610235573913,0.005726519099992148,0.00497149656764158
waveform,0.011732182744488851,0.010499482114534844,0.009562776614621417,0.009908362197095403,0.010054016035726358,0.009908362197095403,0.009908362197095403,0.009908362197095403,0.009989605459497243,0.010515905611454173
waveform-noise,0.012738772728507907,0.013990314666933311,0.013927691669439884,0.009506711999659809,0.012300462735901215,0.009549855930145174,0.009539366836640504,0.009503445817185529,0.010088840124953763,0.008920413153183511
wine,0.06342801091028934,0.016374595737034803,0.01778967684192426,0.021466647913021907,0.023016425728400566,0.021469543572461513,0.021638674848055206,0.021638674848055206,0.022750768674095326,0.025361617346135148
wine-quality-red,0.041724824948610933,0.0648563946989784,0.03864099144499961,0.06068166369211895,0.024845374592100726,0.016070564189207607,0.023438120942619472,0.02106998378892264,0.0259390694117117,0.030842547873675824
wine-quality-white,0.023185931494647906,0.03978617883195153,0.02300849527677361,0.055319103269663446,0.013768735711022264,0.011923011195310048,0.014857246209565621,0.019813828308192817,0.014488489538940759,0.017272233402842188
yeast,0.05379344191675517,0.06667091041703087,0.05924794674826475,0.04999496490137754,0.06110996530591582,0.04628569506795538,0.050206929168861235,0.047697968348823956,0.052866362896542014,0.036993339708622015
zoo,0.06379940803848934,0.11341177248058253,0.08813914686405641,0.08946311513224994,0.10649399093149295,0.09754779997068143,0.10539441836859463,0.1064040084601811,0.12004117415964966,0.08956861340323992
