folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,median ,mean,diff,abs(diff)
blood,2.177111,3.624265,10.880472,4.274651,3.286029,4.20299,2.651967,7.822406,3.107125,4.204497,1.982094,2.877506,2.665786,3.437618,18.871434,10.531268,3.616942,2.51506,9.342826,2.988633,3.001967,2.661408,2.933588,27.666411,3.156555,2.329537,12.810679,4.086545,8.587838,9.065155,,,3.52728,6.045345433,-2.518065433,2.518065433
breast-cancer,9.433338,10.84444,3.192887,2.746533,2.887808,10.89688,11.46608,3.374275,3.279743,3.060243,4.81989,2.653074,5.233261,21.46963,6.94686,3.479296,17.568226,3.741572,2.183139,8.660975,2.506836,3.221805,3.865955,2.302515,3.514804,13.290807,16.875812,5.329688,12.813366,14.291986,,,4.3429225,7.1983908,-2.8554683,2.8554683
breast-cancer-wisc,2.766735,25.037004,13.501713,9.288298,8.175551,14.832822,4.855597,33.300308,5.400233,4.303653,5.727802,3.302668,3.441501,9.561347,7.210158,3.758893,3.233239,3.751235,5.850716,3.421435,3.362383,3.123576,23.706573,5.366345,2.724294,3.055084,5.897564,11.351098,4.433256,4.18829,,,5.110971,7.930979033,-2.820008033,2.820008033
breast-cancer-wisc-diag,12.081032,15.949519,11.669274,7.805443,10.204137,12.039878,11.314641,11.592897,13.456691,7.628747,10.032506,10.122447,15.264964,9.661868,7.369598,10.443415,10.923643,19.434464,14.310955,8.74841,10.928126,12.850915,8.811477,11.850031,15.629443,13.706848,9.924489,12.910265,12.258765,19.147281,,,11.6310855,11.93573897,-0.304653467,0.304653467
breast-cancer-wisc-prog,7.683151,9.657914,20.320788,22.138352,4.804997,8.551908,10.766595,21.113851,5.137353,11.950547,14.653287,9.487413,22.896196,25.760749,27.341708,5.059125,13.799114,11.316683,5.73329,17.189404,7.205202,8.876766,13.715161,7.865235,11.373609,7.074175,10.150887,6.896111,4.309506,4.650634,,,9.9044005,11.91599037,-2.011589867,2.011589867
breast-tissue,9.110946,2.364265,1.651564,6.210307,7.2491,2.010486,2.09928,3.662098,1.663371,1.898752,2.804917,2.299885,1.631436,3.176628,1.651167,4.881791,1.643849,1.652212,3.717297,1.728594,3.461012,1.730255,4.244423,2.663785,1.795034,1.605246,1.688733,1.715419,1.773248,2.345961,,,2.054883,2.871035367,-0.816152367,0.816152367
car,15.232557,11.807428,29.527344,15.174123,6.009511,6.8856,6.480817,5.909932,6.729098,7.099367,6.93447,6.939388,11.919568,6.389409,5.956684,8.938404,9.879201,7.095966,21.837062,22.645713,48.491046,6.473851,9.638638,26.99916,11.290102,69.305239,17.711529,12.482124,19.579524,13.000747,,,10.5846515,15.1454534,-4.5608019,4.5608019
cardiotocography-10clases,78.709193,37.810872,52.291822,52.191219,125.648145,54.927329,39.798585,83.261772,105.741211,119.931318,71.159504,58.797533,52.127367,73.664241,105.331027,39.995824,30.620775,35.841245,85.22753,34.201955,117.158999,65.247094,34.448268,55.768955,34.61195,35.663949,33.342536,44.060615,51.314332,48.736535,,,52.2415205,61.92105667,-9.679536167,9.679536167
cardiotocography-3clases,33.403279,29.688085,34.074868,34.244296,37.691015,41.768272,33.144407,22.727986,20.340766,33.000691,34.501922,37.47104,38.783011,42.018823,35.241786,83.333079,67.993932,51.515566,48.258792,21.205855,59.398089,35.897354,57.557965,38.942164,31.034751,22.858247,71.165297,57.44245,84.349345,40.662921,,,37.5810275,42.6572018,-5.0761743,5.0761743
chess-krvk,671.209774,553.003869,731.859586,868.404189,704.382948,916.41476,719.94049,778.910016,1006.167403,895.309187,628.553899,835.635798,657.892286,1035.090876,692.231003,594.673367,607.40808,668.658777,1081.287003,671.642188,724.930419,645.245573,688.11316,657.28309,541.513958,586.539091,642.159876,678.310534,567.720319,579.864393,,,674.976361,721.0118637,-46.03550273,46.03550273
chess-krvkp,43.360754,47.495001,42.741113,24.372343,43.463701,30.051081,22.859941,19.923155,36.650634,20.407989,21.636959,17.907724,53.212795,22.568264,19.623153,46.902415,41.348067,39.196684,47.002444,36.168054,86.136013,21.482306,29.867957,23.536852,26.905846,28.91289,20.690699,28.450933,18.802143,53.318415,,,29.3904235,33.83321083,-4.442787333,4.442787333
congressional-voting,4.765352,3.554509,2.971314,4.274503,2.944408,10.710863,4.835394,5.449534,5.344354,3.722018,4.779165,4.305148,10.514463,7.14499,8.248848,6.287922,3.468058,11.918309,4.637644,3.493061,5.630394,3.237745,4.861537,6.319636,8.735642,8.884399,16.180606,35.834493,34.630406,11.159022,,,5.396944,8.294791233,-2.897847233,2.897847233
conn-bench-sonar-mines-rocks,24.139242,19.640031,13.419008,16.893264,12.602757,11.428835,18.177333,11.025295,9.713319,8.604701,24.945404,12.906593,11.068424,13.066368,11.276967,12.658995,16.717178,11.630531,10.466411,9.201743,8.900597,20.127592,20.286924,11.041449,9.905308,12.478996,10.963561,8.909576,9.385098,11.434967,,,11.532749,13.43388223,-1.901133233,1.901133233
conn-bench-vowel-deterding,50.112755,52.671724,26.208442,27.32799,66.752765,23.484094,26.813358,47.620141,32.918459,23.194451,24.652715,25.977749,23.397896,31.058376,23.061208,23.712086,24.183336,24.162801,23.413297,23.907888,25.491882,24.013272,32.721071,28.766101,33.150963,24.01104,23.946528,23.048084,25.302533,30.392672,,,25.3972075,29.84918923,-4.451981733,4.451981733
connect-4,18076.0179,11955.99548,10030.73836,5505.209895,5512.645277,13582.76585,11518.92155,14055.64127,8226.714897,17746.58959,9602.638655,6032.615182,11230.02254,8556.847721,10871.67559,8182.053584,11800.53238,14925.50877,11955.83311,5901.315323,10484.769,5020.235164,13978.87911,13323.56276,9850.505846,11692.31019,9746.902195,13175.08175,10904.83306,12392.88045,,,11067.4278,10861.34141,206.0863856,206.0863856
contrac,17.521567,18.105435,16.561794,16.324832,17.055253,18.473981,21.832586,18.222043,25.642129,19.968496,30.115118,21.879951,42.897456,33.056261,22.586974,16.240087,34.814075,22.779932,20.447371,59.054019,60.758714,35.15062,20.702314,35.346078,38.405131,51.375406,17.073838,15.878157,46.868998,44.847964,,,22.2334625,28.66621933,-6.432756833,6.432756833
credit-approval,8.846221,8.382567,7.012216,8.001777,7.263224,9.599465,18.626,12.044858,9.367953,6.893957,13.008039,13.116322,8.15315,11.922991,19.091598,7.335725,11.174942,14.290209,9.402071,8.415971,8.27712,7.523932,7.746501,9.606407,7.166053,8.764844,8.428766,10.958984,35.326357,7.269783,,,8.8055325,10.76726677,-1.961734267,1.961734267
cylinder-bands,13.820771,13.783368,26.147871,17.379546,21.308494,23.072159,27.410616,11.964738,27.597411,38.750015,15.961878,17.514763,13.819275,12.687255,14.870118,27.070464,33.758788,14.706246,15.793279,20.38873,18.168768,14.25398,19.008927,14.722806,15.660183,16.247121,22.359278,14.155003,18.469951,14.668841,,,16.8133335,19.18402143,-2.370687933,2.370687933
dermatology,16.093166,6.494288,10.271921,10.529214,4.588223,6.13308,5.155509,10.275923,6.138593,15.572679,6.824002,6.655426,7.024524,5.268393,10.549308,5.360074,15.460683,12.088672,11.608543,8.212439,5.729622,4.702207,10.178195,5.448544,11.010454,15.272264,7.605012,14.345154,10.072582,10.193351,,,9.1425105,9.162068167,-0.019557667,0.019557667
echocardiogram,1.860256,1.735958,4.231765,1.90686,1.786778,2.565494,6.310239,2.525004,1.941549,2.528731,2.539261,1.678796,1.273772,2.268208,1.749725,1.245535,1.564069,1.611377,14.581086,2.873797,2.202192,2.261887,1.906922,1.961868,1.534985,1.992928,1.657115,1.624035,4.890501,1.760774,,,1.9242355,2.685715567,-0.761480067,0.761480067
ecoli,8.188991,2.280612,5.290136,8.366582,2.900172,3.172615,7.480351,2.697979,8.809786,3.902041,3.51917,7.145922,2.712545,3.004018,16.198334,2.852614,3.009788,3.041886,6.816456,4.908683,2.825705,2.964881,2.692756,3.442847,7.800237,4.852014,5.82068,15.727292,3.033499,6.850098,,,3.7106055,5.410289667,-1.699684167,1.699684167
energy-y1,3.348014,6.464721,7.154245,3.843034,7.351603,5.231767,45.168244,22.881762,3.935569,9.748157,5.126334,4.302655,4.611948,5.958013,3.833152,27.025891,4.600493,8.625881,4.069516,7.796973,17.316004,6.190392,3.716524,8.232966,3.831888,9.74137,4.873391,5.783425,5.025789,3.967148,,,5.507596,8.6585623,-3.1509663,3.1509663
energy-y2,18.525251,22.811653,5.207735,3.965734,15.080092,4.983099,9.392936,3.965119,3.482641,3.24085,4.426548,5.966064,5.286846,4.049139,3.153651,3.112958,4.696013,11.013573,3.128078,8.622567,4.994555,3.146338,14.092165,3.560116,13.548061,7.542565,13.355507,3.842615,11.804019,12.073095,,,5.101145,7.735652767,-2.634507767,2.634507767
fertility,1.062597,4.337347,2.924298,2.516158,9.180948,1.545828,1.213636,1.171124,1.164516,1.456824,3.79854,1.408061,1.139048,1.336056,1.833438,1.824776,1.667675,1.640357,2.236462,1.059036,1.521679,1.384838,1.449739,1.62133,4.068538,1.124409,1.694898,1.209746,1.503809,2.633193,,,1.5337535,2.090963467,-0.557209967,0.557209967
flags,39.340844,19.774998,10.030255,10.568572,4.558353,12.713944,4.466599,6.061098,19.718911,4.848612,63.752888,5.098544,4.538395,48.203226,5.766994,13.386077,3.408368,4.35962,4.271299,7.302342,7.883812,4.382358,3.601394,8.016871,5.43524,14.847878,4.169577,10.576319,4.834927,14.668171,,,6.68172,12.35288287,-5.671162867,5.671162867
glass,3.22185,3.221985,3.466961,3.671549,3.15577,4.21784,5.121806,5.275401,3.341417,3.961587,5.689468,3.39667,9.273562,3.306158,3.548186,3.256608,4.347696,3.620776,3.436367,6.366618,3.889924,12.561108,7.525662,13.669566,3.641055,2.903861,3.106909,5.672867,3.713456,5.752101,,,3.6925025,4.911159467,-1.218656967,1.218656967
haberman-survival,1.811778,1.696133,1.533563,5.506738,1.030954,2.404008,2.815138,2.75841,2.523767,1.258796,5.809085,1.60276,2.492633,2.414517,2.379422,12.211074,3.237459,4.794422,2.123313,13.742984,1.496621,2.528323,1.513255,3.050425,3.386535,2.079206,2.766708,1.298951,17.159636,1.590312,,,2.453575,3.7005642,-1.2469892,1.2469892
hayes-roth,1.353408,5.633209,1.552892,3.358742,1.263954,6.433734,2.599094,3.040318,1.941877,2.672361,1.951577,4.97846,1.465729,2.037808,1.240566,1.053886,4.428714,1.434958,2.742688,1.229864,1.658354,2.060545,1.543228,1.045543,5.020194,1.899743,3.187189,1.313783,1.311394,1.424956,,,1.92081,2.429292267,-0.508482267,0.508482267
heart-cleveland,4.850405,9.742903,14.887831,3.780558,4.203666,11.016285,12.648505,9.841111,5.430553,13.986427,17.187301,9.153053,12.606424,6.241699,6.012071,4.018263,4.025873,5.247276,8.625814,4.166761,3.829443,3.500634,10.164689,28.873303,23.729715,49.534709,13.148518,4.600879,4.570251,5.356954,,,7.4337565,10.4993958,-3.0656393,3.0656393
heart-hungarian,8.735791,13.005208,3.216463,23.678496,7.955004,6.246491,19.251066,4.148584,31.803711,3.556818,3.065692,3.976112,8.019667,2.471005,5.429693,9.199005,3.172683,12.382499,5.24988,3.386131,27.204319,5.035762,2.837178,4.827803,3.317079,8.318165,19.221083,3.428389,8.646638,2.767982,,,5.3397865,8.785146567,-3.445360067,3.445360067
heart-switzerland,1.999643,11.333173,2.426239,2.689797,2.327696,2.136063,2.080204,2.033052,2.44634,20.413247,3.453627,2.558765,2.831067,2.212289,2.611985,1.956645,5.637473,2.591184,1.889359,1.876738,2.126098,2.407003,2.639845,2.297446,2.377688,2.125462,6.129333,2.114789,1.918925,2.466701,,,2.3923455,3.470262533,-1.077917033,1.077917033
heart-va,9.450827,3.616647,3.502771,9.607327,23.904596,8.683288,5.362523,4.809054,4.556309,3.901941,5.052252,3.480234,5.330579,5.789131,3.651617,4.492494,3.061936,3.525074,5.742397,4.122424,9.163858,5.087826,3.712107,7.070075,3.945121,5.899361,4.570061,3.112833,3.423381,10.114513,,,4.6895575,5.9247519,-1.2351944,1.2351944
hepatitis,2.859495,2.032092,2.312473,9.70192,2.057873,2.514258,2.232363,2.783969,2.725522,6.912614,7.956763,2.631534,10.521759,1.875181,24.76195,11.975031,2.649102,1.837656,2.373725,2.303314,3.135129,2.54327,2.712304,2.053888,2.483733,3.018442,2.475686,2.318517,2.768205,1.794772,,,2.587402,4.344084667,-1.756682667,1.756682667
hill-valley,69.694488,22.221794,30.870223,23.543772,25.334134,22.765527,25.209512,24.319986,16.510928,29.283607,19.034646,22.925826,21.959957,16.13904,27.168297,47.954757,22.479933,18.964966,28.10219,26.201035,17.85895,17.55739,18.616518,26.025442,22.023449,22.156009,16.194779,22.488332,14.944038,22.924509,,,22.6269295,24.71580113,-2.088871633,2.088871633
horse-colic,17.837563,12.137702,10.270572,7.32265,6.022637,8.306228,7.613645,6.484039,8.00806,7.426612,15.928369,10.697338,6.963593,5.940726,18.210783,7.512811,11.366637,12.13913,11.218135,7.135595,18.272426,7.139534,5.074555,5.906465,14.10731,11.604518,6.709947,20.219018,15.227804,11.56276,,,9.2884,10.4789054,-1.1905054,1.1905054
ilpd-indian-liver,7.349076,3.525207,6.093029,10.624869,11.33285,5.652853,4.995052,6.672423,3.801743,3.920668,3.506418,5.657694,4.029299,5.822159,7.959116,3.398607,4.407405,5.216764,13.70811,3.828017,3.396442,2.059377,10.633614,4.264693,11.00261,6.132808,2.679732,13.052121,9.830186,10.606734,,,5.6552735,6.505322533,-0.850049033,0.850049033
image-segmentation,39.539286,39.896326,37.126457,41.592483,46.719147,58.52044,47.725094,48.202617,62.490638,67.900467,56.492521,43.577375,47.176418,43.135019,77.167416,41.096208,43.565743,39.858366,46.722299,45.348176,40.928493,68.613151,42.496618,117.341787,98.623108,61.815681,53.433756,65.165197,54.621529,40.940803,,,46.9493585,53.92775397,-6.978395467,6.978395467
ionosphere,10.945112,12.514684,16.472595,14.96975,28.453695,9.730175,12.38063,7.366643,9.969629,8.482711,14.695401,9.338536,10.96107,7.923378,9.052536,10.016477,12.479832,9.783551,11.471121,11.074358,11.648307,9.578319,17.287189,13.835628,18.840884,34.901433,19.755606,10.926146,33.89579,9.667099,,,11.2727395,13.94727617,-2.674536667,2.674536667
iris,1.518644,1.069669,1.07549,1.979554,1.130171,1.239767,1.206551,1.139546,1.182278,1.58026,6.095355,1.221622,1.146021,1.124021,14.73848,0.972865,5.504814,1.618708,1.260819,3.654875,1.000099,1.0791,3.234665,1.340419,1.222441,1.094122,1.014847,1.881881,1.379604,1.084796,,,1.2220315,2.159716133,-0.937684633,0.937684633
led-display,18.009447,5.560996,6.90748,17.86509,15.494772,10.895962,5.99949,5.234331,8.849267,7.278453,6.362622,17.921505,5.320538,6.138422,17.937632,6.551422,17.447284,16.855518,13.161663,33.528297,6.147608,10.637564,13.149087,21.645521,7.938762,8.657163,14.667076,8.763698,5.900175,9.533207,,,9.191237,11.6786684,-2.4874314,2.4874314
lenses,0.998227,4.282469,1.574063,4.12744,0.52067,0.480634,2.677839,0.476786,0.51557,0.456719,0.768201,0.497043,1.381687,0.60473,0.525322,4.421502,0.505683,0.467236,0.478144,0.763437,0.600008,3.530338,4.651683,0.693558,0.637244,0.630288,0.464903,0.824627,0.454674,7.81287,,,0.633766,1.5607865,-0.9270205,0.9270205
letter,350.679971,352.583376,415.141065,369.473678,386.121764,376.078344,381.643366,413.876196,362.956098,318.645126,446.457248,410.746437,408.899385,394.633925,498.4984,369.822463,314.44183,361.146936,417.848437,519.866484,387.543353,341.982403,378.279436,515.613257,352.9331,370.050409,380.107225,442.038013,377.687815,318.247309,,,379.1933305,391.1347616,-11.94143113,11.94143113
libras,71.957148,55.089811,48.324761,53.554766,58.3333,63.387825,53.240946,53.640069,75.85891,69.638034,126.040294,52.359118,56.305596,55.927042,107.270629,53.909591,61.289776,117.508402,66.433087,63.060366,66.393966,109.893707,64.925162,48.651295,105.728652,55.128072,75.857472,63.070175,66.509238,65.422725,,,63.229,69.49033117,-6.261331167,6.261331167
low-res-spect,59.873866,57.389489,65.964277,45.354658,60.245336,44.87743,45.748466,43.123549,49.731631,44.177592,52.801558,54.293663,65.968405,71.295323,58.641006,49.084304,61.652663,52.407692,70.589701,51.471249,57.70203,50.591779,60.486335,56.467662,50.524254,60.772235,56.19166,59.25901,61.421741,50.089891,,,56.329661,55.60661517,0.723045833,0.723045833
lung-cancer,47.643886,7.014074,1.043653,13.098391,28.395159,1.512766,1.57127,2.270907,1.001025,2.740606,2.195562,6.107722,1.134963,2.934566,1.750318,1.206795,1.134272,1.534201,1.664417,1.105664,2.75891,11.129153,1.046947,2.239294,1.200886,3.047945,1.162885,7.610479,1.333866,1.069671,,,1.7073675,5.322008433,-3.614640933,3.614640933
lymphography,2.280147,23.961956,2.616718,7.850349,12.581931,2.117748,3.53571,3.854933,4.87619,13.089677,1.984703,2.424944,2.591524,4.209945,8.523377,15.490294,11.203352,2.186275,2.157353,2.259096,2.487991,2.981146,3.015428,10.473981,2.624678,3.540685,1.812498,1.936504,2.537072,2.173142,,,2.802912,5.445978233,-2.643066233,2.643066233
magic,319.762482,364.120734,284.6694,295.124872,284.766674,271.878853,304.687391,315.534187,304.549592,308.671111,319.420241,330.786429,296.716847,278.685813,361.934206,318.846575,299.966703,305.608569,326.912818,301.445938,294.758353,298.399663,311.965142,403.597817,370.168633,334.261161,323.234877,314.628634,324.432315,320.129662,,,313.296888,316.3221897,-3.025301733,3.025301733
mammographic,3.412367,4.08049,6.594913,3.495723,3.78702,3.645795,10.134372,10.772981,8.087484,9.312319,6.343884,4.647499,3.362217,19.865165,37.515942,9.751307,8.529196,5.483146,4.730359,5.403641,4.353148,15.194152,23.613907,5.871064,23.272358,41.275279,3.822906,7.247889,11.439744,8.016834,,,6.921401,10.4354367,-3.5140357,3.5140357
miniboone,43265.81682,24961.12459,25805.70125,36893.51517,30855.51471,26020.94417,20013.48523,19872.84658,19744.37622,29005.03389,25047.04061,27363.19624,18524.71735,26276.56606,22251.44127,20171.94813,28972.66155,32187.13565,28272.21583,22312.03128,37796.64853,26424.62837,24175.38688,21287.9083,25021.98526,28684.62778,32884.7582,22882.14581,31834.60727,29647.768,,,26148.75512,26948.59257,-799.8374505,799.8374505
molec-biol-promoter,6.86138,6.657428,6.132366,2.820259,5.015232,2.728108,6.357568,2.075707,3.848895,3.264049,2.634065,3.135376,3.875455,3.353357,3.200995,2.525731,2.430845,6.632077,3.24857,2.952906,2.95554,3.640849,2.425471,2.951038,2.531038,3.015484,3.129292,3.944481,2.322119,2.452218,,,3.132334,3.6372633,-0.5049293,0.5049293
molec-biol-splice,54.115841,54.331137,49.825345,58.977239,58.732224,53.76626,56.652363,51.65482,50.513562,50.4556,49.119338,85.160483,57.517869,64.740515,54.486391,54.236323,57.000558,53.741951,59.949739,63.690657,60.04441,59.188463,57.56746,61.369335,57.351527,65.823095,56.029703,60.293001,54.742318,58.064116,,,57.1760425,57.63805477,-0.462012267,0.462012267
monks-1,4.137738,1.786815,3.246711,9.872826,1.917551,7.052222,20.068153,15.632625,7.761868,16.945536,3.290752,2.360091,13.845873,13.907517,3.435995,15.237436,3.804184,2.798245,2.880918,2.881358,5.778284,1.54689,5.398206,2.070464,10.586997,26.333226,5.12306,1.601404,4.474526,13.776602,,,4.798793,7.651802433,-2.853009433,2.853009433
monks-2,1.522708,12.857366,0.686867,6.602417,4.07574,8.189466,7.996852,1.523108,3.448149,2.599334,1.528606,1.80829,4.692026,4.15536,6.955213,2.063672,4.56265,5.193917,8.07023,1.78059,2.951992,9.674718,1.683236,3.286491,3.333642,10.483814,7.154519,3.812173,5.790784,32.100264,,,4.11555,5.6861398,-1.5705898,1.5705898
monks-3,2.587046,11.580422,2.203217,13.899801,6.116738,11.388028,2.12503,11.414865,4.99495,2.427041,2.478461,2.006607,2.594705,4.760157,2.251263,2.165972,1.966809,3.912385,3.475566,2.365113,2.410587,3.643206,2.459635,2.26615,15.862882,2.59038,4.488514,3.996579,2.61014,2.494911,,,2.5925425,4.651238667,-2.058696167,2.058696167
mushroom,41.517909,64.861417,36.092024,38.155613,70.7076,67.998469,103.486985,104.552189,37.5303,65.299469,76.578633,124.668598,109.538461,38.562357,57.898391,46.778875,37.564781,64.421391,34.334579,32.734651,38.503069,37.318958,66.621972,35.806905,37.168601,34.004653,59.218618,60.960673,65.66968,40.810931,,,52.338633,57.6455584,-5.3069254,5.3069254
musk-1,50.297064,45.420446,47.296326,55.417577,54.807875,58.190684,59.42584,51.654615,61.694616,53.112211,71.016144,76.332938,65.212781,55.520691,56.174209,65.713435,88.09405,59.354342,56.943828,52.881209,75.820591,93.387181,51.472716,49.272993,58.883164,74.452266,49.112156,62.510019,51.68419,65.14405,,,57.567256,60.54334023,-2.976084233,2.976084233
musk-2,809.393143,813.869163,818.429699,818.884323,807.134004,864.346564,941.752178,809.113865,831.620235,842.825997,727.819732,852.473696,776.41461,731.886909,750.6151,756.745903,889.865241,865.34547,866.626612,899.639753,928.081295,805.815411,844.569093,925.157851,772.996685,884.339163,893.821984,928.204711,712.557372,927.398601,,,837.223116,836.5914788,0.631637233,0.631637233
nursery,45.921962,47.988994,60.819029,54.539997,43.380015,40.374636,43.509747,45.605784,42.400108,48.197262,42.119952,43.920689,43.413533,42.522609,42.987976,43.825719,43.227558,42.516051,44.692685,40.56714,45.487527,41.034083,45.566631,43.265078,44.387554,45.034981,43.092972,46.138072,46.401766,42.985928,,,43.667733,44.86420127,-1.196468267,1.196468267
oocytes_merluccius_nucleus_4d,51.103635,70.617675,96.446483,102.899553,86.803398,57.352473,54.685067,69.375595,58.396122,83.741357,58.534507,46.013735,60.034479,61.305681,60.800464,68.534357,60.257796,58.360541,58.746532,42.838636,46.819729,52.332156,41.842709,51.136205,50.783026,57.413846,44.314469,53.777915,60.749144,58.540771,,,58.4653145,60.81860187,-2.353287367,2.353287367
oocytes_merluccius_states_2f,50.406293,30.497116,64.296847,47.779349,39.815211,39.476179,29.462908,26.058753,20.861181,20.320315,31.317175,102.500233,56.297663,43.691748,59.666653,51.034446,27.014367,45.432568,28.967925,20.339401,32.832392,91.268222,23.736702,53.266371,50.893748,33.359286,36.468405,32.946446,24.230997,23.97503,,,34.9138455,41.27379767,-6.359952167,6.359952167
oocytes_trisopterus_nucleus_2f,87.541199,218.283563,160.204243,33.717556,31.376,36.784065,40.30541,60.27482,90.214885,27.386148,44.993968,38.664067,27.464313,107.239799,98.729116,82.572961,32.437118,61.857772,25.233445,66.850778,37.167562,87.062371,44.199584,78.756538,41.001923,97.087211,96.126685,79.725989,53.139917,40.388569,,,56.7073685,67.55958583,-10.85221733,10.85221733
oocytes_trisopterus_states_5b,27.491919,54.224098,35.015222,62.430594,38.143089,70.412694,36.121242,72.460692,96.951946,35.732416,60.922665,74.47472,41.149863,69.440338,102.956708,49.342488,31.808481,76.321973,31.130125,70.399817,63.988974,69.685674,23.830525,53.021175,69.795178,34.70618,68.945224,35.68448,67.193744,39.931947,,,57.5733815,55.4571397,2.1162418,2.1162418
optical,234.358211,189.628532,211.753564,186.348602,188.579921,181.421919,196.820275,177.118457,203.97053,195.966921,188.408975,219.869782,208.117457,245.928945,198.431031,207.806838,199.585976,206.722596,208.579416,191.519306,256.085506,344.086723,255.682548,262.761456,191.829139,211.555753,204.826302,314.655702,229.078447,212.245031,,,207.264717,217.4581287,-10.1934117,10.1934117
ozone,50.155933,53.341559,51.828799,50.775564,50.52467,48.511274,52.589474,54.231301,51.510488,46.836924,48.858721,54.527084,57.92593,58.489202,53.513722,48.657503,55.024507,48.786518,54.822788,39.523455,52.959589,57.613282,42.593289,47.508991,50.808004,64.944962,55.034861,47.211126,43.749765,49.607346,,,51.159246,51.41555437,-0.256308367,0.256308367
