TRAINNLLSTDDEVS:,CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
letter,0.009827902148774884,0.011980056433067435,0.009939031158452695
libras,0.11634730540646332,0.11505347129757866,0.1171344577655636
low-res-spect,0.0531677534264199,0.12304324214521786,0.05470707224545549
lung-cancer,0.9987119591481256,1.297844852188821,0.7140211271261206
lymphography,0.08732653577026821,0.20095640616794838,0.0870449581984083
magic,0.006462647630225934,0.006840856552746775,0.006297229184473243
mammographic,0.034593911358275074,0.03437680638517597,0.03480498546239447
miniboone,0.007233067240019081,0.007663606164473738,0.007041425760336577
molec-biol-promoter,0.1548343812530345,0.16176683894235833,0.15602980866309968
molec-biol-splice,0.020742144457161594,0.02362663396215672,0.019764128405718263
monks-1,0.0922278176677856,0.09422218879676168,0.062533229349858
monks-2,0.034398026488995544,0.0335045524337833,0.031290514079181354
monks-3,0.02981898582255907,0.05740692306735338,0.030301474214584456
mushroom,0.0033027401820250294,0.011701846449131057,0.0041753921353448985
musk-1,0.05778500956722236,0.062209824931940896,0.05880889562693711
musk-2,0.005131617363544987,0.005572998966306385,0.005078670939890338
nursery,0.004512581037506828,0.004774911199408056,0.004709921257413822
oocytes_merluccius_nucleus_4d,0.022343927342710963,0.026207725884713606,0.021873525590137857
oocytes_merluccius_states_2f,0.021675529264104137,0.022155325019305935,0.021801606621745566
oocytes_trisopterus_nucleus_2f,0.027876087319950567,0.026554971808781382,0.027758024709896092
oocytes_trisopterus_states_5b,0.030281336579984927,0.03116990195665408,0.03029832950425999
optical,0.007189870922178192,0.013045321497108932,0.00761339057220916
ozone,0.014384737460345581,0.014624313096523388,0.014337791160037574
page-blocks,0.010675852947550505,0.010823356943767558,0.01069725397492438
parkinsons,0.05919794005344092,0.06816461719489404,0.058013028375043324
pendigits,0.004467527271836413,0.005099669653926156,0.004491176622827844
pima,0.028558978510150285,0.026197315305975688,0.029026947225245184
pittsburg-bridges-MATERIAL,0.13836433559191755,0.3040165531428067,0.13866057926844944
pittsburg-bridges-REL-L,0.14760964265582463,0.1736871378063391,0.14974723791728142
pittsburg-bridges-SPAN,0.134624263470288,0.14463235537420965,0.13014364334882042
pittsburg-bridges-T-OR-D,0.12185482867098013,0.7692192849258518,0.12198105037221986
pittsburg-bridges-TYPE,0.26562824384980865,0.32312999887496935,0.26245243378068367
planning,0.031190898308042808,0.04129910108901338,0.03488062593149404
plant-margin,0.051440534363579773,0.06479285448562458,0.04783922724966767
plant-shape,0.07777946436416237,0.08176538739503277,0.07784452026790452
plant-texture,0.06102714582084536,0.07513088537991824,0.061662977154537155
post-operative,0.07211575703542039,0.17477029430265875,0.08305202047769278
primary-tumor,0.13682466620012565,0.15414129081355388,0.1360659994439841
ringnorm,0.010325643852729476,0.016595173150753914,0.008372302819113171
seeds,0.04954405408499835,0.05840832578324244,0.04854877609335664
semeion,0.03883000546488737,0.07073280757118726,0.04028279953371143
soybean,0.04889428895822316,0.04794303639061763,0.04889758716810466
spambase,0.011852581336292497,0.010909058406608862,0.01220273129729425
spect,0.06489265951652265,0.06712284018693526,0.06726459338567985
spectf,0.07935285670562307,0.07958721564894497,0.08371869000141666
statlog-australian-credit,0.01648444755637158,0.014242057447923638,0.018963926578703594
statlog-german-credit,0.022200488238500637,0.022822540423240317,0.02266240206843711
statlog-heart,0.060570142290256083,0.06204533668959852,0.06270087831867184
statlog-image,0.01626290030781109,0.01712006546125797,0.015934518192787614
statlog-landsat,0.009044021692056441,0.009318064303221022,0.00919037078203111
statlog-shuttle,0.0011918515137453892,0.001775953055604172,0.0022749920988161
statlog-vehicle,0.029213429744304117,0.03563820333781395,0.029638380629056126
steel-plates,0.0365887972013596,0.036570960268322905,0.03654795894854137
synthetic-control,0.01374854703897749,0.03585032169569132,0.016541166078942016
teaching,0.09041884526812075,0.09746252105514755,0.09179215206862647
thyroid,0.007790747081003216,0.00661975171032949,0.008096401562143963
tic-tac-toe,0.012086043411826558,0.013332617888943072,0.012778730884733825
titanic,0.012925297343452219,0.012915639009569315,0.013011719588901826
trains,1.6924300783251063,1.5219445728357863,1.681346600081736
twonorm,0.005612773085441478,0.012379573240759481,0.005916026222374013
vertebral-column-2clases,0.05787683210417392,0.0647912644346204,0.05821945598123262
vertebral-column-3clases,0.061000987642281915,0.05764393012505219,0.06258520415493386
wall-following,0.0072267156085969765,0.023083817797223582,0.00802451551659966
waveform,0.009337042539400134,0.009717301982963533,0.009982095771450138
waveform-noise,0.011643751514956922,0.016261162512342033,0.011328768489203233
wine,0.04588837752104148,0.08746832015658561,0.0457572588579269
wine-quality-red,0.030656636144059817,0.03014306548796512,0.03123486857557593
wine-quality-white,0.015615677506353983,0.0156617442581541,0.01563762034228919
yeast,0.03381587218435254,0.038190255462174375,0.03435905290152154
zoo,0.1352792132657329,0.18422632747079692,0.1345965312544773
