TRAINTESTDIFFSNLL:,PB-A,CAWPE-A
soybean,0.03855633095948145,0.021363999329645864
spambase,0.006605617348441531,0.007930477667806968
spect,0.02986186285636184,-0.0734005871708526
spectf,0.014799165348121772,-0.019414857558091074
statlog-australian-credit,-0.010291245855003687,-0.015953375392815758
statlog-german-credit,0.03798535190580502,-0.014135352702600957
statlog-heart,-0.018208092591296507,-0.016191991189311965
statlog-image,0.006105540432171858,0.011883074355190693
statlog-landsat,0.023053336899601394,0.013067480398209355
statlog-shuttle,2.7569895839261993E-4,0.0032013823800832847
statlog-vehicle,0.026039054823294494,0.028800583417262486
steel-plates,0.03520118947804954,0.013939073315350355
synthetic-control,0.02520895549175538,0.05482119902830533
teaching,0.06503739151708864,-0.012462795779949553
thyroid,-0.0021756912532276923,0.003946747981578771
tic-tac-toe,0.011097307920507992,0.03443142772417863
titanic,0.005610704214457581,0.007027069217243975
trains,0.5871693205166806,-0.08411313907246717
twonorm,2.596145403764053E-4,0.022481959211631007
vertebral-column-2clases,0.0626025638148076,0.023592742920694985
vertebral-column-3clases,0.006620886091176577,0.0038647746157980073
wall-following,7.680902548548274E-4,0.012378003851749147
waveform,0.012353309060075887,0.02515090223922507
waveform-noise,0.005564432676749898,0.011569004028536082
wine,0.05235705641562178,0.08896860267744315
wine-quality-red,0.05942986695605631,0.0067214748758701965
wine-quality-white,0.03931971626273001,0.015115673304945062
yeast,0.030991539688820617,-0.003506146676649591
zoo,0.053625583591209273,0.08516580975777079
