TRAINTESTDIFFSACC:,CAWPE-A,PB-A
led-display,0.005478750640040964,0.004599761051373955
lenses,-0.058974358974358994,-0.14079254079254083
letter,-0.005435593996774413,-0.004235982742298224
libras,-0.01518518518518518,-0.022592592592592598
low-res-spect,-0.008663886051526511,-0.011461525366019742
lung-cancer,0.030849673202614374,-0.08522875816993465
lymphography,-0.008292237442922394,-0.002484018264840208
magic,-0.00351559761654399,-0.001819137749737132
mammographic,-0.005777604527604537,-0.012923596673596697
miniboone,-0.0016508340847504928,-1.8625205544304803E-4
molec-biol-promoter,0.01657169990503325,-0.011063627730294397
molec-biol-splice,0.0023978285320159515,-4.6925657934045276E-4
monks-1,-0.004676258992805745,-0.003717026378896889
monks-2,-0.02123366555924696,-0.022012550756736818
monks-3,-0.0037304452466907167,-0.0032490974729241745
mushroom,0.0,0.0
musk-1,-0.012464029094504177,-0.014196517369018835
musk-2,-0.005868650115466393,-0.0031738488585062712
nursery,-0.0012757201646090399,-1.0288065843621445E-4
oocytes_merluccius_nucleus_4d,-0.008986928104575168,-0.005404411764705889
oocytes_merluccius_states_2f,-9.829452614379397E-5,-0.0010871119281045819
oocytes_trisopterus_nucleus_2f,-0.013156675563677752,-0.013054880932342635
oocytes_trisopterus_states_5b,-8.145173571869243E-4,0.0011742451567396729
optical,-0.002063039820887088,-0.0017604515850168498
ozone,0.0015308069773020498,8.195553863827532E-4
page-blocks,-9.678041102518834E-4,2.855916838821138E-4
parkinsons,-0.01161722420927136,-0.015761974893050004
pendigits,-4.871713099980394E-4,-3.148910082686548E-4
pima,0.0019097222222222098,0.0029513888888888767
pittsburg-bridges-MATERIAL,0.029344729344729332,0.021035137701804364
pittsburg-bridges-REL-L,0.036289308176100654,-0.04178616352201255
pittsburg-bridges-SPAN,-0.00797101449275361,-0.042753623188405816
pittsburg-bridges-T-OR-D,0.021568627450980395,0.016339869281045753
pittsburg-bridges-TYPE,0.02926652142338415,0.007988380537400145
planning,0.01868131868131869,0.01391941391941391
plant-margin,-0.02720833333333333,-0.027666666666666662
plant-shape,-0.029375,-0.02795833333333334
plant-texture,-0.023056059657905727,-0.019054443053817267
post-operative,0.005185185185185193,7.407407407407307E-4
primary-tumor,0.016448085424243534,-0.015317830596475762
ringnorm,-0.001675675675675666,2.702702702702305E-5
seeds,-0.010793650793650784,-0.006031746031746025
semeion,0.0018409520807061745,-0.001908785203867184
soybean,-6.422569027610995E-4,-0.007291202195163782
spambase,-0.001759531142729361,-9.055042231166118E-4
spect,0.0064270524796840815,0.0025138604085972534
spectf,0.0020162346163917024,-0.005302435192458777
statlog-australian-credit,0.009855072463768119,9.661835748793201E-5
statlog-german-credit,0.004866666666666671,-0.005466666666666672
statlog-heart,0.012098765432098754,-0.0012345679012345733
statlog-image,-0.0015584415584415665,-6.34920634920629E-4
statlog-landsat,-0.005293217818951231,-0.0034410987158027964
statlog-shuttle,-1.9547285071173093E-4,-2.877376153201568E-5
statlog-vehicle,-0.013491832841515387,-0.0042132403350323535
steel-plates,3.6268351828494527E-4,-0.004484067831161057
synthetic-control,-4.444444444444547E-4,-0.0064444444444444636
teaching,-0.015163742690058492,-0.03984795321637426
thyroid,4.5370370370368583E-4,2.1296296296296295E-4
tic-tac-toe,-3.479471120389636E-4,-0.0013917884481558765
titanic,9.540362755621608E-4,-0.0043738474664905104
trains,0.1,-0.5277777777777777
twonorm,6.268785459127235E-4,-2.317019891674247E-4
vertebral-column-2clases,-0.010967741935483851,-0.012043010752688177
vertebral-column-3clases,-0.005806451612903237,-0.005161290322580651
wall-following,2.7249457570648706E-4,-1.6227305723936307E-4
waveform,9.961974927249337E-4,-1.6108269243990668E-4
waveform-noise,0.0016493229305583241,-0.0010241601638656247
wine,-7.996632996632853E-4,-0.01263468013468012
wine-quality-red,-0.0030511672439526055,-0.007505186186439868
wine-quality-white,-0.00703594011623877,-0.0046661076650087304
yeast,0.0014160256468472743,-0.007442913665906833
zoo,-0.015057561486132912,-0.017098377812663528
