TRAINTESTDIFFSACCSTDDEVS:,CAWPE-A,PB-A
teaching,0.08512201656683295,0.11089971144184464
thyroid,0.001680155082478337,0.0017759259592194441
tic-tac-toe,0.008225307721173853,0.007913340747170176
titanic,0.014827433126257,0.012938150907530008
trains,0.28983414467178387,0.10795320872760074
twonorm,0.004115025904527106,0.004227907736043379
vertebral-column-2clases,0.05360852728005689,0.05460549331785952
vertebral-column-3clases,0.04650318481872863,0.04223474974356897
wall-following,0.002882104183729468,0.0020366256150979767
waveform,0.009995457061478476,0.010570877777853163
waveform-noise,0.010098339798527683,0.008939406792172231
wine,0.025453319023510165,0.0276945718237995
wine-quality-red,0.022933685266455464,0.02353511648739985
wine-quality-white,0.013123308972886525,0.01478081787823793
yeast,0.029634681764991542,0.0294122615288531
zoo,0.050936378938747695,0.043458134008602226
