TRAINTrainTimesSTDDEVS:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
pittsburg-bridges-REL-L,0.6477192523656045,1.6473594335931292,6.149852815732456
pittsburg-bridges-SPAN,0.5560534167675356,1.756433167320741,7.716529504006765
pittsburg-bridges-T-OR-D,2.0758601596203072,2.1196941874421085,7.05715582057404
pittsburg-bridges-TYPE,0.7914775938769181,3.679861316727144,12.628602820399504
planning,0.6260623155792924,2.1391264733450233,10.210654791166323
plant-margin,10.425212586382322,92.21357643081043,50.138933411852314
plant-shape,8.910087270751829,23.189400075510125,23.926035451235816
plant-texture,9.939125056892673,63.279974497575395,23.694511707513016
post-operative,0.5477225575051661,3.0255615988615645,13.832703212348608
primary-tumor,1.0482607379429243,11.242622101811389,21.358596751013717
ringnorm,2.635740206617793,10.743830092544803,45.43891946667362
seeds,3.96667149618174,2.6120850877693718,36.321742324911135
semeion,12.101106627461615,33.29257277980857,57.10068743672992
soybean,2.5961952709797216,14.52152583731056,23.140252037689997
spambase,3.390487029742272,14.448322497387222,21.619914191669967
spect,1.1919268665368752,2.9703515794846784,13.586208355213179
spectf,0.507416263404925,3.3569279880928904,9.30480039253006
statlog-australian-credit,0.8087168778415269,4.675197457259728,21.2313203903394
statlog-german-credit,6.106431506790725,7.1567828128206505,35.827829034611256
statlog-heart,0.6288102248298566,5.403702434442518,23.0680153748287
statlog-image,4.959722832448669,17.33539996521635,51.50623218624119
statlog-landsat,9.317206922011886,21.295512451563887,56.008825248768844
statlog-shuttle,44.013699539193894,77.43672982788453,279.7377692415343
statlog-vehicle,1.0034423509719619,21.33598223497185,24.390996077552316
steel-plates,2.042367343994731,62.91107572022483,28.502792764960752
synthetic-control,1.5196036990935662,24.83379232778011,25.26232486275292
teaching,0.5560534167675354,3.0782888215639406,8.622078049116551
thyroid,7.1232176637428015,13.564871806487403,27.87236921248786
tic-tac-toe,0.844182254113956,6.2005746860094835,35.17256310538512
titanic,1.8270005567822796,10.646028885668251,23.64023941376715
trains,0.546672273590534,4.651164728681767,6.834664854852864
twonorm,2.7080128015453204,14.869895531019989,17.900266484884664
vertebral-column-2clases,0.6746646676632053,1.936046451423355,7.431217161794367
vertebral-column-3clases,0.7760791522613608,8.055554234376958,7.636045796241588
wall-following,3.927650287590431,15.685999321453627,34.21381383989901
waveform,3.2307787040406772,16.55325783124235,32.67782474224772
waveform-noise,1.0938700673013828,9.373231633986638,28.6331533587268
wine,0.4901325178535611,1.2685406585123125,11.396712572986317
wine-quality-red,1.917853205941537,11.545213468056298,28.104157666810075
wine-quality-white,4.288986162119268,30.073396805188118,46.13783696707075
yeast,2.324284588981029,16.662332769853485,43.01815975800821
zoo,0.5208304597621877,3.3314937452609215,17.135061856543917
