TRAINACCSTDDEVS:,CAWPE,MLP,SVML,NN,C4.5,Logistic
chess-krvkp,0.0022286709835063357,0.0025140355182321794,0.005878980164903468,0.005845422290749868,0.0024487412490942985,0.004187124171573085
congressional-voting,0.016224472267795442,0.021617642237578272,0.019428602385706976,0.024901854536601473,0.014746709305708006,0.02252181628134366
conn-bench-sonar-mines-rocks,0.03188069033919873,0.03485957992117719,0.04155208393179992,0.0513484983324497,0.04382735574778377,0.037448756478943745
conn-bench-vowel-deterding,0.0074365869234116234,0.01616683997778285,0.02044908714205333,0.005127246981311319,0.022925653535353543,0.01756156585890354
connect-4,0.00233447042759196,0.0025890087234586474,5.405121257470445E-6,0.001671563186509362,0.0033793443905653026,2.773862294069773E-4
contrac,0.017177747484958355,0.017739866000543003,0.020657583926358598,0.015295806290585412,0.024083474737743582,0.018403887163870043
credit-approval,0.015217529943544169,0.020944196610021133,0.012462138753367134,0.016282888008321728,0.019711394748884663,0.011750886689764557
cylinder-bands,0.030242897728423004,0.030940910354235716,0.023251175079994878,0.02903574355789997,0.036476208543871326,0.02078880725844577
dermatology,0.014410026455296474,0.013944984921698322,0.012717698859412598,0.012101110068536059,0.01976776024019018,0.013951204530821484
echocardiogram,0.04505318899709994,0.0633272297377135,0.04133723404288184,0.07064379765446377,0.05914901289727867,0.046362628276306064
ecoli,0.021929468466837628,0.022506769589874995,0.01801565237837254,0.023514650780327984,0.03644396618726591,0.020837076679695775
energy-y1,0.01612328797480858,0.015899391827416398,0.011726483227182574,0.019462535368060228,0.012783715850120845,0.012633580553207105
energy-y2,0.01119734765358781,0.015600887910015678,0.01580745848776629,0.01501191306008363,0.015170020908050409,0.011630872994467975
fertility,0.029524974816772253,0.04936376818270058,0.0576513500355329,0.07995400976912238,0.023094010767585032,0.0384109658671918
flags,0.061454578916429484,0.04638217410162397,0.05195266174989598,0.04300560614573041,0.06831669296734796,0.046819757784821725
glass,0.04596469457350833,0.03625696079641565,0.04241516303403408,0.04807553504515325,0.05356038930228978,0.033693418285164325
haberman-survival,0.02296844772411801,0.029033858581331173,0.020291167071887127,0.023939938218281165,0.029581307105335602,0.02358401201980482
hayes-roth,0.06181011253317285,0.06983486095575794,0.05406149638117868,0.06133902049993994,0.07992527363606206,0.045782920619438526
heart-cleveland,0.029684591425039347,0.040188572109802256,0.032598019982336926,0.03811389800250143,0.029767082198813286,0.0245407368472584
heart-hungarian,0.024018054011044586,0.03629388314605914,0.02632561835414772,0.02835577231984329,0.024785359904708107,0.02500649522562026
heart-switzerland,0.0593967393348859,0.07235733759653314,0.05976742980877565,0.050479052028924436,0.051409801455901405,0.057695153087134125
heart-va,0.05120380436136782,0.05388765303007617,0.05328360551073634,0.04794877607789333,0.04841247161842584,0.05536894871004088
hepatitis,0.03486171783328911,0.04005529084320576,0.04962135354253168,0.036244018814637485,0.0398320316975211,0.046947317434131344
hill-valley,0.024116223660998293,0.008268824492678635,0.01603060479332982,0.025990196857487345,0.0068510236291099156,0.01610968026734762
horse-colic,0.02437552526821403,0.036067217014150374,0.023996520735501188,0.03941579621145271,0.026612771937265533,0.02424144699086363
ilpd-indian-liver,0.016510966302964517,0.01123540828641646,0.018310687573791458,0.03142287904789257,0.022372745782742218,0.013478965833574183
image-segmentation,0.006505669390466039,0.009821596231357834,0.0077783736588806,0.008802153814921616,0.006544491420539919,0.007253378584312492
ionosphere,0.01696127144597478,0.022765827447440667,0.019847885049385366,0.02869856769845427,0.02313784940448243,0.023319623330528713
iris,0.024531367570754057,0.025587353197979685,0.019620928696467907,0.0273812308117492,0.02267432820708039,0.02534663897402757
led-display,0.019031787707152047,0.018117589153399352,0.017846463118183907,0.015613277834059323,0.02183924078792517,0.018119265293263492
lenses,0.1871983498606695,0.19502699221056585,0.19698979079244444,0.1535186245446287,0.11349521013867901,0.2008105547098374
letter,0.0021601195530748974,0.005336696522258437,0.004194860767916467,0.002268186783154207,0.0038572033050308942,0.004421454051654493
libras,0.0257159440272015,0.03017380239663835,0.03351589004885583,0.027563670374369267,0.03951826057625275,0.037264943745485425
low-res-spect,0.013508045983478047,0.014656332627417924,0.013867697014537106,0.02038460247825784,0.023178499886577532,0.020298662952971818
lung-cancer,0.1492595603215481,0.13457278317662505,0.15868231353352677,0.16561353095305403,0.18474379069195726,0.1460593486680443
lymphography,0.0385921838460266,0.04627754043149051,0.03663090211556224,0.042891039393422134,0.05278964851702,0.03144414700969732
magic,0.0031456658971381625,0.005830527771657592,0.003014316729101059,0.002675084964603575,0.0038329017831049456,0.0028559743300225586
mammographic,0.015535904990367683,0.02294560172603028,0.018661856463221854,0.018117525542986443,0.01677125350488626,0.015266235626098882
miniboone,0.0028961691652666572,0.011025083619607735,0.0011051573218230403,0.0010647375909645144,0.001114795196671423,0.010174986308425416
molec-biol-promoter,0.06095615857352344,0.05639191688056663,0.06675757251730867,0.048370017294604335,0.0980168762630923,0.05464622857268609
molec-biol-splice,0.007812040212125373,0.011089499165983877,0.010800274218736292,0.012972495435958076,0.008170518614811627,0.009215156226543684
monks-1,0.04861127665865462,0.04618108117506389,0.020618500583171395,0.02833321951285588,0.05306548973781385,0.019185556705713324
monks-2,0.02512395833159585,0.025740873967147897,0.002263035179747867,0.0250781664336341,0.028673526756468157,0.010249131664306297
monks-3,0.01092260505004176,0.034483882126693795,0.023119535980934774,0.0379453400373947,0.013050337337285606,0.02228817011911412
mushroom,0.002132262287577747,0.003404481782554083,0.0055405988128333855,1.7920532786672676E-4,3.327073561593606E-4,0.006716045560330943
musk-1,0.019139503784572045,0.021414269597922368,0.02392895006556524,0.04392399309568617,0.035279206294028406,0.03245217407414013
musk-2,0.0020268915358619913,0.002043636660789007,0.004148059060064899,0.007843039793914578,0.0037852445562279926,0.003813614678834865
nursery,0.002066257826817698,0.0037812352302574142,0.003292174141027905,0.002454101382979347,0.0014603106295017177,0.0034382492810431206
oocytes_merluccius_nucleus_4d,0.01312290026747802,0.01642125326410474,0.014983702834411533,0.016231917459014988,0.01829066986761729,0.015864020003743744
oocytes_merluccius_states_2f,0.00916705383776418,0.011675153115200766,0.00973925030051367,0.01335174854193569,0.015803595522865234,0.009541449337431689
oocytes_trisopterus_nucleus_2f,0.01608589513526743,0.019234612293964934,0.013896925785533422,0.0238049567621663,0.022860154677640486,0.016095556541655266
oocytes_trisopterus_states_5b,0.007844716180983575,0.015711357335055534,0.009925553656046762,0.017360606683147872,0.016178646694015645,0.008868236500166346
optical,0.0015324440366709395,0.0022097702251342626,0.002434208383522828,0.0022450858864537415,0.0066980732368197874,0.007026926686708724
ozone,0.0021178228674031165,0.0038420760902434254,0.004326381943404928,0.006212900475836424,0.003843939276469146,0.004981992814499306
page-blocks,0.002677688565430766,0.003587492544006418,0.0034453192928561604,0.004275915857713478,0.003190000473712624,0.0034376171526214784
parkinsons,0.03508429215626419,0.04028404504224477,0.028437907296416903,0.027832198683749965,0.03779961002030672,0.04076785977109847
pendigits,0.0010825077132109832,0.002264106401002738,0.0015728970273634973,9.092863362651124E-4,0.0019504519393282176,0.0024671683107847808
pima,0.013931851057862609,0.019251164628650046,0.014291179789775394,0.02332732057902731,0.019723174994524164,0.011344086596390985
pittsburg-bridges-MATERIAL,0.03561528626767896,0.04667040724993647,0.03901568089599017,0.03069176809809565,0.048894463603151674,0.04842271752882405
pittsburg-bridges-REL-L,0.0523647683611533,0.08372093765778575,0.05531934458268168,0.05002987613163885,0.06366579406033772,0.04630731924968182
pittsburg-bridges-SPAN,0.05574174451103361,0.07060073859099729,0.06329843841692226,0.08645532723760482,0.06651221706583112,0.053351690559098185
pittsburg-bridges-T-OR-D,0.04536037992423378,0.05593541008775236,0.036222239383767785,0.05955150178843011,0.0485053029038906,0.03844176610616164
pittsburg-bridges-TYPE,0.061129759158538126,0.06628041736522848,0.06628041736522848,0.057324448886416156,0.0750599478179821,0.0656203942379667
planning,0.015455726234571398,0.042486813431345125,0.020269584060545683,0.054902092588414796,0.028568513565700282,0.02681413930146132
plant-margin,0.008992333899801402,0.010792584725517387,0.01454753405654844,0.016055366220761168,0.01943083815136053,0.014137372518404474
plant-shape,0.016397156415236987,0.019389200394911165,0.01506713901711004,0.015992095748737303,0.018848686652012316,0.019754964456805666
plant-texture,0.011545873619290135,0.011239277251325048,0.014134381801488788,0.014053901590768051,0.014694039909114179,0.012280750008385258
post-operative,0.041134748649696115,0.07281561903129925,0.059652272736961415,0.06269117207884888,0.03107277331329327,0.0418732638859931
primary-tumor,0.0243060576329872,0.032131010900262956,0.02908658828323686,0.028625575148009404,0.03314959115940691,0.02845504570699095
ringnorm,0.004946809085456643,0.006143249919667407,0.00435552004907123,0.003965852158382764,0.006005162776055233,0.0044328188407024615
seeds,0.023825938512479813,0.026643589983723813,0.02006063735034552,0.021729625171816574,0.028333252841252096,0.022776724065880227
semeion,0.010652377247885172,0.010184295372215161,0.00925295106688827,0.010614474582018873,0.016792811342140817,0.0142027692853535
soybean,0.011237777125808646,0.01832943702201374,0.01549954357175284,0.01543622542087295,0.014485845395412407,0.023673493948171545
spambase,0.0053050277703821334,0.013820123242742946,0.005649386157553035,0.00776163140178997,0.005447630989469804,0.004996489652738493
spect,0.04512024402230842,0.04474955434200301,0.04633778473062796,0.039674436107992934,0.04529462172192093,0.05023153908939108
spectf,0.033761047036391746,0.0352515404780749,0.033653091604735105,0.022228481048522968,0.050027560027161494,0.03970398800542141
statlog-australian-credit,0.014254581349363289,0.02629986965624125,0.006837365872458958,0.007851772682214079,0.03662244932057585,0.010775706710741554
statlog-german-credit,0.013302665880951465,0.01691139859085729,0.01595467718689198,0.019041515442443844,0.017760086983322248,0.01327360183775025
statlog-heart,0.02912403886887855,0.03721201747654439,0.02823003481932644,0.027020032325207187,0.04291684375972349,0.030069111905477022
statlog-image,0.0047968339022843465,0.006402809907956463,0.00907660999858666,0.006998739102662129,0.007281536330812173,0.006577781564256059
statlog-landsat,0.005000480433331354,0.005788487648667204,0.0049183296805652725,0.004261498302235956,0.006687845545397619,0.0049038016094850295
statlog-shuttle,1.7072875175570368E-4,2.1163008887007108E-4,0.014226750119667876,1.4340159787157094E-4,1.2989734804215442E-4,0.0012172594733828855
statlog-vehicle,0.01325208500705448,0.01665563244523467,0.018140317143156674,0.020599467061984022,0.02148290912743548,0.016674223055555482
steel-plates,0.013120237228761681,0.016398941266680886,0.01187504587981363,0.013439140249077832,0.015740970545458526,0.012295609885535378
synthetic-control,0.006189844605901727,0.006555588025116031,0.008438796255851005,0.010384682698002213,0.024285708919582562,0.03368701255402168
teaching,0.0693866579495284,0.06628858306835897,0.06911371051276954,0.058353745744390915,0.07329361515840589,0.07705962926412502
thyroid,0.0040126272946984,0.0036081503728500226,0.004712775089280785,0.0019213645758690066,0.001360306145059705,0.005271648992411305
tic-tac-toe,0.003915304770250422,0.005072445246279647,0.0038351546908931815,0.0020031852712405645,0.016202224583746413,0.003609038660143646
titanic,0.008708574535905459,0.01151405153410921,0.008329903350349353,0.007985928538463735,0.009176659320256018,0.008502873077655144
trains,0.3321819194149599,0.3420904296658495,0.35314677356328905,0.2520034664968654,0.0,0.3695484974316943
twonorm,0.001962786524045792,0.003282988568967728,0.0016399838754369508,0.0018793516781089267,0.006311568138233837,0.0016324880579119821
vertebral-column-2clases,0.03513054276360532,0.036146110694107426,0.03263113889546425,0.04191694065366891,0.0356442930450581,0.02989570061774338
vertebral-column-3clases,0.021346091607626693,0.030531471488496685,0.03340275283628753,0.041911804158345174,0.033527845169898644,0.02162665100475314
wall-following,0.003351127703098323,0.008880812488092846,0.00984085326854184,0.0077064882851806205,0.0020489346809261346,0.006108615052561176
waveform,0.005661150260838177,0.0065976005443797985,0.005349288488339659,0.005219282978540569,0.009302728577710735,0.004482782330484048
waveform-noise,0.005502729802140809,0.006630437644570627,0.0057530632937581785,0.006204313119576296,0.006714199204446773,0.005957247615654301
wine,0.015701549684248955,0.01817283607811057,0.018512695932948398,0.019780187521148702,0.034725032342510086,0.025441970509354806
wine-quality-red,0.013611247142264953,0.017523734191969037,0.012342731411512738,0.014187506514036934,0.016716717909138097,0.012421667505098226
wine-quality-white,0.007525048704409137,0.008770869070292566,0.005885617950767302,0.013232855822730974,0.009094082061186967,0.007294099455821899
yeast,0.018698561783794167,0.015037684063825177,0.01582859599429924,0.020706789521682947,0.024072845842134965,0.019055515177736317
zoo,0.027580760831006048,0.03292171909106763,0.02870349157848973,0.03460199503892735,0.031127880299642183,0.03965024433406438
