TRAINTESTDIFFSNLLSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
chess-krvkp,0.021593398094143727,0.02573597860502955,0.02241970163494613,0.015348719943990015,0.011042758147487569,0.01103208305308911,0.03952638623570173,0.011050579167035305,0.011844651978757415,0.010176072678884622
congressional-voting,0.3804875108515147,0.24469399404569525,0.19304951692294445,0.2878971871268869,0.17750298836179632,0.2888863834072483,0.06035804279451232,0.2872137470450174,0.09098637879885182,0.0427264307469461
conn-bench-sonar-mines-rocks,0.3841772797599195,0.29900050421612656,0.2847332775636994,0.20882361250480935,0.24183949578845207,0.24152157625210982,0.42449129165827904,0.24195047510463005,0.21007513667275843,0.0918768651349688
conn-bench-vowel-deterding,0.04486022057486364,0.06063992590223948,0.05296391788290566,0.07245610143149542,0.06648650255663759,0.06627163475915195,0.16403974268264424,0.06633121526214275,0.08091452787705618,0.04832758407141716
connect-4,0.018228056619480248,0.01810393164567297,0.01975782399921408,0.018827514152842218,0.019209899786903642,0.019096740001383113,0.02428043448629314,0.01911355473236396,0.00439728523660222,0.005110966099720218
contrac,0.11318845312542508,0.11517601312504959,0.11254536888025768,0.10749768349606056,0.11136925464557444,0.11450851040370269,0.09042200105086574,0.11516855333662528,0.0961603988480696,0.03931291820684144
credit-approval,0.5072215837586471,0.2193453006066421,0.2323492425955335,0.12464563975867841,0.14391426172440652,0.14396818740009515,0.2866040026438749,0.14412493594491393,0.17316297151051202,0.07826710587297081
cylinder-bands,0.2643434867923142,0.29744855816720106,0.2659460736998744,0.1406001725746611,0.16809501079940944,0.16853237957062256,0.21034255082140788,0.16828641521734236,0.18490782138221976,0.06925444511927491
dermatology,0.10509067726988326,0.07340194174572427,0.07244116971273803,0.07390028798003033,0.08335916313094408,0.08364419154602952,0.18372245778758306,0.08376300853940595,0.08849477432456997,0.04688551765472859
echocardiogram,0.42796145411222614,0.6347729253755646,0.42757263293251857,0.31151761341285467,0.3868046148628385,0.39754770418193225,0.6538884175752137,0.39985908698409894,0.34453059566225125,0.17964646323024158
ecoli,0.187398498816269,0.14429289907010476,0.14935530617878776,0.15852768489088098,0.17635414459589605,0.1743215094160965,0.3262924308370421,0.17418870786229945,0.23446293876278276,0.12823865105054774
energy-y1,0.07842494124600137,0.07269237785402635,0.06932757109430884,0.0855716356955794,0.09543184586864568,0.09444611585767491,0.23079886678849384,0.09411149346076887,0.10410316574306913,0.08145166686379104
energy-y2,0.06492804823569547,0.06818777293077373,0.07247951694325716,0.07970080371927087,0.08834969852555052,0.08835140729236174,0.16643680779111825,0.08837067941849391,0.10067316612415111,0.07129311838409737
fertility,0.3141653875884813,0.2759314737519019,0.2252971048887765,0.15523171126228544,0.10144100666766266,0.15897141868480125,0.3111704675090032,0.1639154416010238,0.33204004007518484,0.08299178390305052
flags,0.26165922634317973,0.215380245116719,0.22461069002395637,0.24228638997548113,0.31155284470187017,0.3093174397010689,0.4990724122574746,0.3097193395169256,0.3478008756454085,0.2061846432510462
glass,0.23905053327337644,0.19360405140725276,0.23791080543054585,0.19832094277959486,0.22992728275739605,0.22012478128717647,0.37181069115859,0.2210521638552231,0.2152305856422782,0.1442423622668543
haberman-survival,0.5166098098697707,0.31677911041217344,0.2475257929672479,0.13735555143077757,0.16636926669894214,0.20213708273725767,0.2938689542458152,0.20257742999320036,0.3560623214377978,0.07042180002493946
hayes-roth,0.568909707847889,0.2590417911610238,0.513692965381082,0.19200560727617502,0.25197993000039837,0.26250588007270453,0.38301674017237836,0.2552640346708181,0.2311385827377653,0.12516138749512964
heart-cleveland,0.1432744623231581,0.22301954729195073,0.1493311181914321,0.17199264429181257,0.21070149129857937,0.23751980983208434,0.356377882952745,0.23941420717664613,0.3146601459702879,0.12956288240221875
heart-hungarian,0.2923707535974438,0.36080522660609304,0.3059906398535554,0.1799402683674999,0.2426703622183213,0.2435973446368436,0.3789863487465343,0.24384278211910743,0.3149814544479732,0.12394008405832675
heart-switzerland,0.6325861550445716,0.33771356185063206,0.3203368462354848,0.3804835031263365,0.412379701146475,0.4454241575948332,0.46048469787638086,0.45783305876221697,0.5663199850500046,0.3226941689823733
heart-va,0.3168280264295495,0.22560480295285829,0.30208680327720266,0.3067670739553401,0.3817458612721363,0.38256621638555377,0.2554273925078624,0.3903404093005266,0.42797964975150365,0.21359369386479543
hepatitis,0.3047516953339414,0.3521616736242602,0.32996261195659365,0.21530363279747552,0.2258643437881418,0.23282900779425297,0.46083443338229363,0.23417309315253415,0.30083235056653845,0.13043480814102829
hill-valley,0.2304807222961939,0.1881777996759669,0.18824048950012714,0.23694776707366755,0.22102953915508697,0.2235733476393804,0.030240759197702288,0.22512002331758643,0.08689240277868107,0.023420892206673184
horse-colic,0.23789659471926727,0.28111960902498906,0.22057639508896418,0.11635084880628649,0.1365276039861425,0.13592928240409283,0.23021224763753187,0.1359650694435538,0.2005378658845856,0.07839404909169244
ilpd-indian-liver,0.24309108025386444,0.22179272321549556,0.2150145251358269,0.11918544955839139,0.10226148182904789,0.1289275234228711,0.13189862200325048,0.128982345090611,0.19170147831873383,0.04527870060311284
image-segmentation,0.0403639336811937,0.0356071864388242,0.02525034762254065,0.039203845911780597,0.04181352609109576,0.04155083012358769,0.10186925870302958,0.04181886064009636,0.0421527239281766,0.027023814210853637
ionosphere,0.16463671186050868,0.18149949818947553,0.1743691519337152,0.09515890764603735,0.11418027226280231,0.113813547230511,0.2568161774661865,0.11358419490928634,0.141038415464208,0.061057491259146605
iris,0.16495471658756072,0.17163383938580234,0.15181591438528608,0.15805560955837072,0.17797127691280884,0.1776774776249711,0.4420170261038148,0.17805664288114553,0.1974353312745357,0.09090559514049107
led-display,0.10074960957872106,0.13134593212824314,0.0891513108583747,0.16637023076849336,0.21341984460233746,0.21392955593011612,0.423231017797038,0.21407620133485003,0.1387970278334607,0.13038202950050196
lenses,0.8976450895682102,0.835007759769357,1.308812697118673,0.6693412067112959,0.5831697202591244,0.8392921223860218,0.8121466947492774,0.8564032069679264,0.649482479979621,0.3474961764766443
letter,0.011297669900435306,0.010360921013499558,0.011636835064927865,0.025336096740826933,0.01748811157926127,0.017504237045060638,0.04130486559367252,0.017660905550646543,0.013789916146287965,0.013010366077706824
libras,0.1639450510696959,0.17573825823203984,0.13966119170166685,0.21453934281959422,0.24074590585160596,0.2444162867510438,0.322662749893122,0.24406432882293277,0.25538051843117515,0.1547885047043794
low-res-spect,0.09306776807795133,0.12267150424951101,0.08357603259645617,0.10273671090338267,0.12660521969638008,0.12601676324425448,0.2676479292829164,0.1260424941811246,0.12415400574455164,0.09002849747297838
lung-cancer,0.9569707108180663,0.6585219122568458,0.7289082547566734,0.7273084348733959,0.8305803958212132,0.9265572759646127,0.5436119470583132,1.0025626309550255,0.8827347488079023,0.30132279520403715
lymphography,0.2833433192970501,0.22315350866901537,0.28965420665408376,0.2377956908196403,0.27368857972962024,0.27053168640607833,0.5076891356009966,0.27259333791630525,0.3142621423387812,0.14425863694105392
magic,0.03371028675356526,0.03583780490173995,0.0340899319877285,0.022374191806995677,0.024610342180122865,0.024770027360908154,0.054434391805890055,0.024766049674588266,0.01510856716207673,0.01060299876806382
mammographic,0.15850786820065635,0.1753901854042907,0.17260048801752043,0.11457370512749256,0.13995887425461423,0.1401531609734754,0.2287973266950519,0.1402092923720034,0.15107848236610302,0.06170132488453414
miniboone,0.007519800472110141,0.007513315363455413,0.0075600455538593295,0.010305673193202093,0.006715389310963874,0.006691699792597391,0.018427740836373604,0.006713227849263083,0.0037845072382502645,0.003098877737077573
molec-biol-promoter,0.7851944920746634,0.5787876235769123,0.4221380397764261,0.22512373951280956,0.3174954329671013,0.3172851308274744,0.5901847624178049,0.31848749368165047,0.22826963786080723,0.1031043245876989
molec-biol-splice,0.03168720626605694,0.04259268515278492,0.03540049818906549,0.044315673365998155,0.03757166811915025,0.03748109511231879,0.09479422596738592,0.03764528824272665,0.046497133778750234,0.022721347324018933
monks-1,0.07031988106647322,0.0629543704026696,0.08200732827970499,0.08138998738095983,0.055046699448157196,0.05366178577581304,0.10067043350346051,0.055604416795685,0.05105875724431573,0.036255584843633976
monks-2,0.38648194687024123,0.3915328255756891,0.37594545953933795,0.18030926417906543,0.15350763205532236,0.1728778734994124,0.10337453865250842,0.17166913943043968,0.17832547129525675,0.05265543141826587
monks-3,0.08648257543382946,0.09293218321262946,0.08760934523964901,0.06683778528983927,0.07176961166612895,0.0716281693081815,0.17762368028424866,0.0722844513993117,0.06126417915450662,0.03325518376899588
mushroom,0.0,0.0,0.0,8.576662940151473E-4,3.865464950205903E-4,3.8594921678218136E-4,6.842671490551081E-9,3.872145588776434E-4,9.755611080864397E-5,0.0014050918427621192
musk-1,0.2014642911764309,0.20753214069364695,0.19173231345679578,0.12467691233014189,0.14342752067663705,0.14358129582246054,0.2826131962387008,0.14368653963988898,0.15501720034514962,0.07198515955422177
musk-2,0.022135941081090925,0.02329956651022367,0.02960855658631138,0.01316462438445813,0.012254698040659,0.012150657650766183,0.037831182073035666,0.012140364610100624,0.015092502800193232,0.00866421451317697
nursery,0.0073109144082849934,0.0021441228278963145,0.0025472320079694666,0.012092478354613348,0.004853040674156833,0.004893275387958702,0.017468600040027347,0.004946760332504521,0.0012764088833012823,0.017963844752467203
oocytes_merluccius_nucleus_4d,0.1420556378002142,0.1977715012529475,0.18133494348077084,0.09372122138166569,0.1214607888050815,0.12082195983863059,0.1674879904188131,0.1208549449058581,0.1277972333870885,0.04779517523583235
oocytes_merluccius_states_2f,0.06504839860490616,0.06640226605450264,0.062141514252032085,0.06350493788114846,0.079990618495141,0.07996635118870171,0.23297097578095458,0.08001318285635274,0.08749805633062396,0.04410515420085668
oocytes_trisopterus_nucleus_2f,0.1428412461580851,0.18331856976360514,0.16092454008669468,0.08156965627222167,0.08811022624669217,0.08784531239211744,0.12868744964108234,0.08790293943718534,0.09578774500183519,0.04297180362667727
oocytes_trisopterus_states_5b,0.07183931024578911,0.07295915270546754,0.07085063734900288,0.07544522497205176,0.08201610271767837,0.08226298489780164,0.18582890461340718,0.08229352875327904,0.09564803815021951,0.0597127671520829
optical,0.02096774719155288,0.014298627752098126,0.009502217778012894,0.03198568220266913,0.011837399011764572,0.011856555486880931,0.043572254922923034,0.0118575869484357,0.01569533223678642,0.008625967328032811
ozone,0.03218742469069291,0.03364236069620588,0.03245827407068663,0.055474159840136074,0.009478776294313995,0.014292649787406754,0.2563773377153212,0.014312446294725499,0.030090068485035815,0.02038981101495683
page-blocks,0.018382439496867964,0.020934622414163117,0.018021838376354776,0.01965095119228935,0.021901983488986705,0.022110715245044658,0.29414859951752365,0.022099809554593595,0.033586703067670066,0.01534830395647883
parkinsons,0.2211521860428662,0.27249398816533077,0.28003095428082886,0.17406450520437913,0.19690029356641128,0.19995740447232965,0.35195590823134004,0.20079150690012015,0.19318227478135425,0.10841450778461065
pendigits,0.04088242828718737,0.009020938286229683,0.03576678163630703,0.012966882323180088,0.009780634183063415,0.009755386932573516,0.029847564063631465,0.009744334861709983,0.010383709756338896,0.009584145209994439
pima,0.21221651137729425,0.24565515461886883,0.18789503471694027,0.1082963417469556,0.15703537236917597,0.16062789440506586,0.20232657347392985,0.1609298376604251,0.18746444623724876,0.0629276789623179
pittsburg-bridges-MATERIAL,0.31925495347652555,0.2520242135323114,0.29690500548534243,0.2686763326929436,0.24665213247916798,0.3238309913734986,0.5534204107066173,0.3245020278184062,0.4140472036157316,0.21342941614621996
pittsburg-bridges-REL-L,0.43594992758769396,0.4811599961912141,0.38945176371502327,0.38015864269698474,0.3983951899844431,0.47222736711102525,0.6679982523059818,0.48097565743846016,0.6127394404898612,0.27145817228923713
pittsburg-bridges-SPAN,0.5656748208190981,0.45037702892040704,0.6390502592269146,0.30910453809241295,0.3921402433372729,0.4014780844595826,0.5856816862711351,0.40505604004183265,0.40323221267064746,0.20490263711567133
pittsburg-bridges-T-OR-D,0.5122782926572989,0.3709124257974572,0.3739206861440565,0.2844132695653981,0.2732187128560644,0.3061174749965935,0.8308746996954143,0.30848306672153347,0.41585533682090664,0.18224077281167148
pittsburg-bridges-TYPE,0.2692797732718617,0.27054825663748283,0.3674142051781572,0.40364362838495704,0.38752636662781725,0.4838556463072712,0.6856029621817558,0.48364024662519717,0.6255182336507267,0.3845310033775392
planning,0.677301207196624,0.46999863834338734,0.3951061390083399,0.11728518038478077,0.09937388955234087,0.16241598705211835,0.11638897716616817,0.16752125502962142,0.34754699082624235,0.07874316421983271
plant-margin,0.24927395252219556,0.1651541956636177,0.21987186999246494,0.1279323867258268,0.11495286876303094,0.10607422692124824,0.09807458633911985,0.10550509987808854,0.09714020571908694,0.12921452537695766
plant-shape,0.18801293563424232,0.2770448216376179,0.14402611405964394,0.11344502873200153,0.1330799171038773,0.1341743867192129,0.10434043995655164,0.1331131107619321,0.12217315829368103,0.12344988977164272
plant-texture,0.3939864909959876,0.1565211528323153,0.1854113017162938,0.1265365244977983,0.12468517001387128,0.12177906846373558,0.10771512192672986,0.12084419288904516,0.08493508755251238,0.11310576234726917
post-operative,1.859241116330774,0.5385435391897783,1.198434560577286,0.14963539812240745,0.16917355965743383,0.24645942342546823,0.22089303432343793,0.2575888770552955,0.5716182455968103,0.10345998153683003
primary-tumor,0.1309136978400023,0.18799664161513316,0.13626734042448369,0.25508146277134147,0.25209668147938136,0.24670668596668482,0.42337974047527144,0.24812343372023538,0.3705333840262293,0.244938950973987
ringnorm,0.020975739661161,0.023415177473685593,0.022373235841958876,0.016821655654842782,0.013559739268713091,0.013559797238499788,0.039744288527319774,0.01355722572908002,0.013409562519006919,0.008524673612223288
seeds,0.18195812164834568,0.2041038764410148,0.1427135323822067,0.13954891953472892,0.1713966259028019,0.17105611346316596,0.43737505463426785,0.17121988203046443,0.1351886610191375,0.11180549111402194
semeion,0.053957374411489914,0.05653544458964782,0.05194599559286973,0.1067198716860042,0.06556451233746065,0.06542924697693134,0.15026949356472188,0.06543916411118583,0.07647755151000546,0.04443167812082417
soybean,0.23178100784641795,0.08527059751252053,0.25933093532094015,0.0873731281192257,0.11009085757445534,0.10974372677834769,0.24853842361175796,0.10995553350234487,0.12756303534038935,0.06593958452330745
spambase,0.03846067600146219,0.04248833573155694,0.04053360009846561,0.024856497595297025,0.02709746320369349,0.027046064352445214,0.0785727915044879,0.02705648130362734,0.031514904136099614,0.01531265259099949
spect,0.4916911133223833,0.5303135491708589,0.3889441720163227,0.234591908637848,0.2715474888733643,0.2728458348295647,0.2924515480252858,0.2725682011146826,0.37344115327716076,0.1466656823784439
spectf,0.2950846304043015,0.4284893625613865,0.3120644562607939,0.18510901027540203,0.21057296487679628,0.2160929842962917,0.45217719009424695,0.21717409538573942,0.22887444711181762,0.1094023125244657
statlog-australian-credit,0.6734050907018891,0.22093525537217903,0.22504520069719483,0.10468609862761223,0.09739734716676193,0.12738216106287018,0.07200311634982803,0.12820593231939587,0.17828672896611428,0.03890351344043181
statlog-german-credit,0.16295802561734518,0.20103648767691673,0.20139362288297746,0.088327524589237,0.09926918475631863,0.10350957274030637,0.12580195707113806,0.10382716601086145,0.1448178200650478,0.05345084890508445
statlog-heart,0.32794080646701607,0.3873168436961115,0.3814244706869808,0.22166628639784852,0.2698281454594529,0.2700226885206627,0.5272001462522706,0.2706461523755243,0.2570832276999479,0.14434468318330976
statlog-image,0.07667045395511218,0.0312101327412953,0.0536874036227114,0.02751917718731705,0.031056731740334353,0.03069989364766697,0.0938210475680726,0.0307877261646637,0.030634675934403426,0.018840455039751715
statlog-landsat,0.03345580800869709,0.034250483843998675,0.03031847986395812,0.03366407246829051,0.04575745442524831,0.04630826719510515,0.08001505813000649,0.046638461754538243,0.0366658275293918,0.03479010523396473
statlog-shuttle,0.019972435002392697,0.00120900975233282,0.0036235559569278795,0.005402459073043211,0.010533603066869261,0.009389889104095455,0.11931695723765971,0.010458109470010328,5.545592362863034E-4,0.0050623100818067744
statlog-vehicle,0.06794447953532656,0.11715142851644131,0.053252608504565986,0.06040503000360498,0.07524014629065814,0.07642631289622931,0.13682586695296878,0.07669157694469966,0.12115863150774948,0.04071835393398241
steel-plates,0.062213307044035354,0.08048497194658617,0.04070763264742511,0.08269742411330092,0.1010296000905521,0.10158227246750304,0.2039955676872305,0.101556569569554,0.07979844752568488,0.046058705926818426
synthetic-control,0.21888547712558962,0.04195445663902346,0.058249303149544907,0.06036993800587833,0.030910674657014543,0.030969925473387377,0.09633597660131159,0.031019748476173687,0.05199077470658969,0.028375592769620987
teaching,0.4232034532721069,0.4114114761663271,0.3570602929209399,0.2570049347297037,0.4431073294544466,0.4399334001927392,0.3599699143658084,0.4449038522254235,0.6570515474696866,0.18975384025051073
thyroid,0.006498039701788248,0.008243492408085943,0.0065552724870759,0.00844718696807258,0.006776084153548003,0.0068787056150195185,0.02165990812594671,0.006878708614282755,0.00979986731860965,0.006472053960110077
tic-tac-toe,0.05624185184340366,0.04877088407047066,0.055964297304350125,0.024156769295362573,0.02901521247760066,0.028926107536287323,0.07141334226075842,0.028943026293124025,0.02403965799216108,0.020076827636794733
titanic,0.20305762212334236,0.09262236600917582,0.08400166274728225,0.076071483858296,0.07908382977945182,0.08250755016117632,0.14804509228001084,0.08251652393763821,0.028964543099154062,0.026240583299054175
trains,1.3428631846048387,0.716809305951269,1.2012105430930093,0.7333137497871968,1.5516880956675725,0.9503371901318525,0.9437676367721094,0.8449046415520408,0.009279878333888464,0.28656963845494093
twonorm,0.02721980478085583,0.03189221305135821,0.029061125035000118,0.05505357408892117,0.017018649627369913,0.017017314106108506,0.052020631688559575,0.017016856169272405,0.017048170230212767,0.02324953921787567
vertebral-column-2clases,0.302064670523967,0.37824087061319994,0.3225304160819952,0.18759407011415663,0.26025904810052514,0.2640797258668654,0.5071290942095082,0.26460735488344106,0.2757489069199332,0.10110675049887881
vertebral-column-3clases,0.11754823076330867,0.12827392632648088,0.13720429603225626,0.15044417015142103,0.1987951042893941,0.200895700944301,0.3183764736238414,0.20081813940034848,0.20461755995260333,0.09921563773165942
wall-following,0.007039573534010087,0.00912850254338411,0.007487402133507309,0.012501266117396381,0.011419060251983863,0.011468175307088543,0.024924237435783474,0.011854272295069232,0.01069374711440412,0.00957103910458507
waveform,0.04489395813853066,0.031250385121344294,0.020769260057315206,0.056570988759169806,0.0500148429444201,0.05016845421358647,0.13541726578895652,0.05014207933803069,0.04662630194699897,0.023041991045853073
waveform-noise,0.06673309905384234,0.07847400872501413,0.05320266811030554,0.044290170339419975,0.04850653893758737,0.048554222634639516,0.13036201979418394,0.048627990260759216,0.04289605184461028,0.02393070034421251
wine,0.1825726714708791,0.08178840833779384,0.08597389512840542,0.07832231053191566,0.07861085087884534,0.07829877301077456,0.20423866317986256,0.07840362408470433,0.06968770156543344,0.05737874625308825
wine-quality-red,0.09701655772211285,0.19137758078576805,0.06495429603859214,0.08277320932125803,0.10075365269226905,0.10454376886770991,0.28115131485028416,0.1042715201296124,0.10756583477877801,0.045407703117573514
wine-quality-white,0.0518046882464978,0.10709691228404768,0.0406272365647811,0.06594523366833699,0.07935147624451715,0.083164118225775,0.2278262508313094,0.08258096042130086,0.055092960271454584,0.026297499233468212
yeast,0.09218209573330093,0.13151608985360486,0.08609880852212404,0.12397821578621515,0.17411340099497627,0.17161110494362275,0.2584012959937458,0.17185814850378378,0.15985234248174449,0.07321031704352379
zoo,0.18019334602675977,0.1175805713501688,0.17481488013147986,0.2245362200975455,0.2251543897143254,0.25759140258081675,0.24729234023802987,0.25706708379174625,0.11469467144905314,0.14334732850398285
