TRAINTESTDIFFSNLL:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
lung-cancer,-2.524544847504948,-1.4435636917196044,-1.3831435366943627,-0.5623764337249668,-0.5224741749885741,-0.3114937180030051,-1.1764512478112532,-0.05325553068336142,0.3497274214646809,-0.10715778754769707
lymphography,-0.6829169389374132,-0.44822514659970986,-0.4972273571351662,-0.07371845852784226,-0.06986692502176813,0.033779503926317934,0.08587848480779134,0.041432945473204794,0.1461736796272362,0.14415403169841834
magic,0.009193130038556348,0.008960392569225817,0.014127164388363827,-0.1914812358089549,0.013338031601614153,0.01324961181116157,-0.03747210543439957,0.013296398781900738,0.006242873941638646,0.007580089140919871
mammographic,-0.09072193347193334,-0.0639899514899514,-3.987987987988273E-4,-0.27410974543211325,0.010586189921714829,0.010696446455006014,-0.009057183977990275,0.011330358462807688,0.10287390075843476,0.021163903901586935
miniboone,0.001069884125494147,0.0019241496441202413,0.001771000292950072,-0.06405863877198074,0.005680956689938238,0.005644336222410492,0.03663968708749611,0.005716310427718041,0.0012428592569831078,0.005863543338529768
molec-biol-promoter,-0.8325223171889835,-0.3835498575498574,-0.3050427350427351,-0.07259071355913181,-0.12120852863904719,-0.12238945180136387,-0.2932073522349209,-0.11643102763022488,0.03064014516729479,0.02059146195246031
molec-biol-splice,-0.013616944253103872,-0.06256640417745261,-0.0028094652168235146,0.1060920875647175,-1.402997838652248E-4,-2.510323006997236E-4,0.09606261117398505,1.0640865129664668E-4,0.008469986040757892,0.014460693166112766
monks-1,-0.04219664268585132,-0.05891606714628296,0.006369304556354915,0.13696626181281715,0.01780618018449008,0.017118353654823622,0.02771369452992384,0.019181542238336,0.01989337062588386,0.025823029427057113
monks-2,-0.0721257438169065,0.12005678848283478,0.14656531561461775,-0.3010819887923019,0.09901327025732184,0.1182464698655428,0.2191266257277811,0.11935734905103897,0.09384559277459785,0.045034782752896976
monks-3,-0.01278459687123947,-0.030363417569193744,0.01358363417569194,0.03228352270363462,0.02189456269785144,0.021874304311098654,0.06634554910747463,0.022230385003576218,0.02208057168920623,0.028500065298986136
mushroom,0.0,0.0,0.0,0.0017670162818821055,4.704711104383332E-4,4.69993447956778E-4,1.2493550806016299E-9,4.710020539499587E-4,1.3926331214952222E-4,0.0021980428969761217
musk-1,-0.020791883669061748,-0.029290727303756203,0.0628914428967391,-0.019150256266511168,0.019806954459143,0.019569131706733845,0.012782222017281013,0.020695828109780094,0.04523718433108463,0.03522341500021962
musk-2,0.00815940165757023,-0.003180225297241666,0.01755381541307554,0.018620888987346786,0.015823799190434397,0.01570424583352565,0.06008821986403702,0.01574053522143098,0.01106655030204454,0.013069553949430428
nursery,-0.0016892686908475745,-0.001724269973102661,1.1570780155265732E-4,0.05302533044958742,0.005372425852418408,0.005551298252421817,0.22690909323481306,0.0056065762437686505,8.973571321356091E-4,0.016787614201880626
oocytes_merluccius_nucleus_4d,-0.06908529411764695,-0.02620365604575157,0.03748731617647054,-0.1709739105562433,0.03047584216224705,0.031961729041561436,0.023138557001662632,0.03211015843501321,0.028035238246197584,0.01313044692304737
oocytes_merluccius_states_2f,-0.07716109083352017,-0.07270590632605899,-0.026687725040602864,-0.07016852603173218,0.001459527731305486,0.0018450196024185628,0.1005334280836507,0.0019633507236022658,0.02117836873003757,0.014511273433874611
oocytes_trisopterus_nucleus_2f,-0.030159706959706965,4.821891456464426E-4,0.04274345989531978,-0.12929931317805826,0.06062069733308866,0.06008435970828761,0.08485653807038723,0.0606488376876968,0.06265594043739066,0.03383633584940535
oocytes_trisopterus_states_5b,-0.07142080454488624,-0.07480339766812073,-0.023868347425900847,-0.008260338254952435,0.02600455509655201,0.02705682926189177,0.11912947645284887,0.027237449077808767,-0.00264147075452205,0.012857763521375994
optical,-0.02217721209419513,-0.046554837726288836,-0.005630150105365256,0.11634683203807351,0.008672382475625092,0.008674339320491109,0.15961497403650246,0.00870130074775014,0.007641312067759234,0.012913943360433036
ozone,-0.035825119224359006,-0.03250791992236288,-0.027094705491006534,0.006040441921511998,-0.008309851463319468,-0.00839774996879366,4.002470977924206,-0.008381198601700371,3.694071564934389E-4,0.007795294472042963
page-blocks,-0.029905315275787932,-0.06014637414659507,-0.012800270649691374,-0.011112041013802079,0.005016500491233035,0.004718422538554218,0.7928198269960431,0.004774096489913091,-0.0020524275743489667,0.004585316284719012
parkinsons,-0.13741945437969003,-0.18924861490988149,-0.06666077565046638,-0.033916106851045354,0.036454459760361546,0.038086658443837046,-0.003824706928552714,0.04020469974305666,0.0374202088130695,0.03889828011526539
pendigits,-0.02224978842008101,-0.029977869126909883,-0.01351045741988095,0.04612731892903948,0.0014626118157990027,0.0014775754311509147,0.09062818152443668,0.001504272056082466,0.00241577311807645,0.006320776975871447
pima,-0.15562499999999968,-0.10432638888888872,-0.020173611111111076,-0.4988310719483084,-0.03483789875762719,-0.034272038745801967,-0.05552892652597673,-0.033591033665976,0.0020691926123247773,-0.006633879249232281
pittsburg-bridges-MATERIAL,-0.7809854937974954,-0.5842045305285744,-0.6375932544709968,-0.28254507546093416,-0.23173092415129204,-0.17286643301983298,-0.6194260946834178,-0.1685991225836503,-0.09437214065536664,-0.08120016109366733
pittsburg-bridges-REL-L,-0.9353131930674756,-1.0701881334321186,-0.9103751888640765,-0.513250503756413,-0.2832109242224731,-0.13282667593410716,-0.2836389500477523,-0.11128589577511043,0.1436947198776974,-0.0931425866557588
pittsburg-bridges-SPAN,-0.9074183361492504,-0.7733635791539241,-0.7379483754445861,-0.4743502871474059,-0.039298961631315285,-0.019478807540159886,-0.41176343779275537,0.0014027215128842234,0.1824891327086817,0.020723560878966422
pittsburg-bridges-T-OR-D,-0.6987189542483658,-0.4470065359477125,-0.4426666666666666,-0.1988067607736327,-0.1611693995557437,-0.14789645902642284,0.19022474410603743,-0.14233391946568544,-0.02817002835060407,-0.06037572393196058
pittsburg-bridges-TYPE,-1.2763176825773315,-1.2858078656648884,-1.2819135057873277,-0.5439541920370792,-0.3993111505009852,-0.055990821938252576,-1.1740610971281962,-0.04474406833245332,0.06546251746345196,-0.08905963545187869
planning,-0.7783150183150168,-0.2626813186813182,-0.19701098901098862,-0.7908788266734412,-0.10728308967928096,-0.1411806329905236,0.3253586378966959,-0.13165824764053471,-0.05847785925651469,-0.03266406374081957
plant-margin,-3.508819026055716,-0.8527367232610977,-1.212042342213613,0.8745883745027873,0.0842831201836344,0.1284881400028385,-0.5237782320504507,0.12947178641051282,0.17456204211398452,0.14422340332634487
plant-shape,-2.922830698811675,-1.778123871493817,-1.4922712328196048,0.19984835761568773,0.040395222718752136,0.14822627485890172,-1.238499549343688,0.1495320992639346,0.1980938539436751,0.12309669729631954
plant-texture,-4.475480099318232,-0.9661992814489863,-1.2360578554650121,0.7408501162172632,0.06528573031485337,0.10363608099640895,-0.7119129749972795,0.10469389709019641,0.14549800324601145,0.12430486471306784
post-operative,-1.6602828596738821,-0.5301774834725317,-0.9777759565211923,-0.6710946716167112,-0.22533745442355013,-0.2393747724498884,0.6628603167608355,-0.21917249481503162,-0.038208145148640425,-0.008713175108626132
primary-tumor,-1.70858494495909,-1.8004672872556364,-1.3403385996203123,-0.5160324641123929,-0.34088069349631794,-0.14145786086688722,-1.678067976207305,-0.1310333711226982,0.11173694170186742,-0.16544128494593152
ringnorm,-0.0031106306306306303,-0.007836396396396382,0.00281153153153153,0.0348666897070108,0.008133856908148341,0.008110250326148923,0.12545265156503024,0.00816012784566375,0.0028173469271366067,0.012486253423944849
seeds,-0.21455834580861483,-0.1711873714380529,-0.0786903754493186,-0.0015867991075678646,0.005382696714741376,0.005663006504075246,0.006167562854937543,0.006478621266543236,0.015005845865962006,0.04584627620146088
semeion,-0.12401391277496338,-0.198229786075913,-0.07007561997972174,0.17816273847043737,-9.615169332367927E-4,-6.629662646418214E-4,0.09627529768503597,-5.630351525615214E-4,0.015562861823700421,0.02158454310064233
soybean,-0.5708109564557072,-0.21102746521697047,-0.3454770147984051,0.040269344589865745,-0.014235889074530762,-0.01233946071910711,-0.1632247157218008,-0.0119045401051869,0.03855633095948145,0.021363999329645864
spambase,-0.004389528938268796,-0.011892521084090698,0.004560454496784625,-0.010297230945718794,0.006000031961109141,0.006219302674112763,0.08058043976081955,0.0062616179412275964,0.006605617348441531,0.007930477667806968
spect,-0.581182805498594,-0.6552505506189704,-0.42937859801017625,-0.7256126396458615,-0.14437216095300798,-0.1419182010913098,-0.1709077029133417,-0.1317633668464076,0.02986186285636184,-0.0734005871708526
spectf,-0.2819261586802826,-0.34959787528522773,-0.1922477836381998,-0.17513582689335797,-0.05468116148626802,-0.050437639763401904,0.0010796040346427228,-0.04848930035057526,0.014799165348121772,-0.019414857558091074
statlog-australian-credit,-0.5388985507246389,-0.1898975845410625,-0.15332946859903362,-0.7590229337416975,-0.026622936352212096,-0.019103906510496295,0.271130041886271,-0.01696868843415626,-0.010291245855003687,-0.015953375392815758
statlog-german-credit,-0.2509919999999994,-0.18946133333333287,-0.1527199999999997,-0.38925739854424213,-0.01363782539063516,-0.01634747951805843,0.08654251015520377,-0.014915590707640317,0.03798535190580502,-0.014135352702600957
statlog-heart,-0.3246222222222217,-0.4082370370370364,-0.24592592592592552,-0.29508636077609446,-0.07447554329670689,-0.07434905283590523,-0.21566564397757315,-0.07004101631505387,-0.018208092591296507,-0.016191991189311965
statlog-image,-0.07535618915391458,-0.05588458245677354,-0.03127158844231979,0.021493872402633073,0.01000086941051748,0.009556534745881418,0.08117710545817479,0.009550757242277134,0.006105540432171858,0.011883074355190693
statlog-landsat,-0.038843648926666925,-0.14415231768261436,-0.009833941365600209,-0.06079472539318463,0.0271571618338123,0.027081371565757073,0.3233229105173244,0.027123230402814846,0.023053336899601394,0.013067480398209355
statlog-shuttle,-0.006607828355917945,-0.00144489645270986,-0.0018536336684447513,0.0023063711816168893,5.456768424826327E-4,7.063761031588029E-4,0.3084751678835371,6.16766859150367E-4,2.7569895839261993E-4,0.0032013823800832847
statlog-vehicle,-0.11733782272035778,-0.1824812451410227,-0.02310901767634006,-0.18361987735211535,0.03845680534860355,0.04110588557466825,0.11867271611151274,0.041808555194747,0.026039054823294494,0.028800583417262486
steel-plates,-0.18444868976865827,-0.3765812809485441,-0.08007223536754354,-0.238373300050336,0.018811365182467496,0.019344325281862515,0.31926859921112855,0.019724712569360214,0.03520118947804954,0.013939073315350355
synthetic-control,-0.1728590663792545,-0.034975358466995156,-0.06795299984951227,0.17591977681978047,0.009686658118248207,0.009737674835227342,0.0034582035781303196,0.009932951246716254,0.02520895549175538,0.05482119902830533
teaching,-1.307875744381967,-1.1986316646931656,-0.5460329426653535,-0.6703626142255281,-0.03170760479270899,-0.011856128714941728,-0.37684835103985764,0.008277404943054992,0.06503739151708864,-0.012462795779949553
thyroid,-0.007857804767042904,-0.012604280913728722,-0.004610345178504269,0.009366704063838965,9.656914649943907E-4,0.0012783906813681907,0.07907458494711121,0.0013267460023397267,-0.0021756912532276923,0.003946747981578771
tic-tac-toe,-0.017096729297146833,-0.02264161447459986,-0.004620737647877525,0.07329285657483574,0.00516708169942973,0.0050494059913035886,0.024385910969040133,0.005207013787522165,0.011097307920507992,0.03443142772417863
titanic,-0.09806157707868983,-0.003348783750309662,0.0032879266782264755,-0.5457482671479319,0.014139678914592158,0.01179901806500349,-0.09689059600893116,0.011894139196559647,0.005610704214457581,0.007027069217243975
trains,-3.430666666666666,-3.5044444444444425,-4.24222222222222,0.028955106415367818,-1.5198000049440605,-1.3085907154485166,-1.753903337336205,0.6637425699952915,0.5871693205166806,-0.08411313907246717
twonorm,-0.014932273016723103,-0.017863298894324208,-0.0102065554083191,0.04341984480959948,-0.0029204504442553957,-0.0029225063677840116,0.20538645892682916,-0.002901653142505209,2.596145403764053E-4,0.022481959211631007
vertebral-column-2clases,-0.1684989247311826,-0.17992258064516112,-0.031415053763440844,-0.1905387204100821,-0.0021080627789970235,7.067999047643714E-4,-0.08816345277872238,0.0022468927983749277,0.0626025638148076,0.023592742920694985
vertebral-column-3clases,-0.27578914596884424,-0.30767298629331363,-0.17260761053331478,-0.2229583180388385,-0.039237246361671044,-0.037610564520161094,-0.07288863283187673,-0.03500734383707912,0.006620886091176577,0.0038647746157980073
wall-following,-0.003204935947731998,-0.01664189330399812,-6.813972799697367E-4,0.028857687603001263,0.006616158654966264,0.0066617281248884256,0.04275027548032733,0.007237836668454075,7.680902548548274E-4,0.012378003851749147
waveform,-0.043357208371300485,-0.03546788328608048,-0.006794000114027495,-0.19529971605078203,-0.012984554126931317,-0.012973213574429546,0.01790226153073274,-0.012749122342985874,0.012353309060075887,0.02515090223922507
waveform-noise,-0.05022782868584137,-0.05480744395149103,-0.02489657531555838,-0.15942675659766709,-0.014370176112712496,-0.014404298664444877,-0.030009762074300336,-0.014166501308351802,0.005564432676749898,0.011569004028536082
wine,-0.1851794888523376,-0.07739386352219585,-0.07321304267952199,0.1581803593178757,0.013102058084886558,0.012753226369420024,0.04634503252987579,0.013550461815878786,0.05235705641562178,0.08896860267744315
wine-quality-red,-0.3338579756521591,-0.4761445421806124,-0.1292827033140667,-0.49612159151116203,0.0030202208116907325,0.013939330682736251,1.8789138637249936,0.014335615599499823,0.05942986695605631,0.0067214748758701965
wine-quality-white,-0.13381447475200323,-0.3583591305583494,-0.04408292835983639,-0.5051596970418482,0.04101887714601141,0.04519404206063282,2.099645113405408,0.04562862573970804,0.03931971626273001,0.015115673304945062
yeast,-0.4455689472541226,-0.8524343341202637,-0.22634110344946676,-0.5368772932075441,-0.03391119196517911,-0.027512190705441295,-0.053524359515959144,-0.026914100049253365,0.030991539688820617,-0.003506146676649591
zoo,-0.6025194445142091,-0.11267926727958505,-0.5415789820256227,0.04665214608085785,-0.04780448310882656,0.046684118925206256,-0.3138458258128144,0.04913537261223517,0.053625583591209273,0.08516580975777079
