TRAINBALACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
ozone,0.539522219213527,0.5344567048770947,0.5344567048770947
page-blocks,0.8125119480710151,0.7997133687667048,0.7976588236826349
parkinsons,0.8446917808219176,0.8289859208523591,0.8257610350076103
pendigits,0.9925579737502523,0.9924499909582901,0.9924257096840089
pima,0.726982089552239,0.721481592039801,0.719868656716418
pittsburg-bridges-MATERIAL,0.6412678062678062,0.6209401709401708,0.6128561253561254
pittsburg-bridges-REL-L,0.5923256482080012,0.5672125260360554,0.5588917618329383
pittsburg-bridges-SPAN,0.6437289562289562,0.6057239057239058,0.5969696969696969
pittsburg-bridges-T-OR-D,0.6775974025974024,0.6496212121212122,0.6492424242424242
pittsburg-bridges-TYPE,0.44807239057239057,0.42115319865319856,0.4101557239057239
planning,0.5270512820512822,0.5111538461538462,0.5093589743589744
plant-margin,0.8142916666666667,0.7976249999999998,0.7955000000000001
plant-shape,0.6404583333333332,0.6330000000000002,0.6315833333333334
plant-texture,0.7978869047619048,0.7884226190476191,0.7875059523809526
post-operative,0.34456018518518516,0.3056712962962963,0.30208333333333337
primary-tumor,0.3141356168198274,0.2990558340295182,0.29498719019771646
ringnorm,0.9785582818261442,0.9780544308650403,0.9780553075002572
seeds,0.9311111111111112,0.9253968253968256,0.9260317460317462
semeion,0.9404057634817129,0.9387667948488975,0.938605527767799
soybean,0.9407399390732725,0.9370694987603199,0.9351316419311587
spambase,0.9491049362188207,0.9467861580641518,0.9458718802225031
spect,0.6990476190476189,0.6748484848484849,0.6665800865800865
spectf,0.7884870719776379,0.7759375727929186,0.7745457721872817
statlog-australian-credit,0.5410352660352659,0.5355990605990606,0.5338453838453838
statlog-german-credit,0.6873015873015872,0.6792380952380951,0.6778571428571429
statlog-heart,0.8409444444444446,0.8281666666666665,0.8256111111111111
statlog-image,0.9765945165945167,0.9748051948051949,0.9745165945165947
statlog-landsat,0.8862372072505118,0.8842639140644245,0.8840810048993191
statlog-shuttle,0.9114425766170551,0.8803684033223609,0.8754798941573342
statlog-vehicle,0.8024687921761805,0.7921302063875343,0.789700194198636
steel-plates,0.7803246290219821,0.777773579950054,0.776973996791016
synthetic-control,0.9871111111111108,0.9858888888888888,0.9854444444444445
teaching,0.5723433048433049,0.5476894586894587,0.5445
thyroid,0.9796014215966733,0.9645338940214959,0.9595487359980981
tic-tac-toe,0.9857064038903217,0.9835386273528619,0.9833849776101208
titanic,0.6968806125342659,0.7049900746762453,0.7048580521158269
trains,0.875,0.7666666666666667,0.7
twonorm,0.9768574696958002,0.9767042384951625,0.9765870677134859
vertebral-column-2clases,0.8198253968253968,0.8057619047619048,0.8033015873015871
vertebral-column-3clases,0.8053333333333335,0.7923703703703704,0.7904444444444446
wall-following,0.9908018723739872,0.9821497878092561,0.9756562100520388
waveform,0.8636741054392119,0.8621659673747188,0.8618426832897467
waveform-noise,0.8636082576263145,0.8627945027347963,0.8626628314510676
wine,0.9845114942528734,0.9831759715380404,0.9825410509031198
wine-quality-red,0.32518903779214803,0.3214149614065098,0.3220347780084089
wine-quality-white,0.33079928824988775,0.33049987521325097,0.32881111459124746
yeast,0.5046111832522484,0.49407234461765553,0.49011351406463144
zoo,0.8433333333333335,0.8150000000000003,0.8150000000000003
