TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
glass,0.05590531793684895,0.06351870468902367,0.060346504972431166
haberman-survival,0.04644188146022472,0.04694441747911749,0.04947924035761268
hayes-roth,0.03965412185454802,0.043426567554290134,0.04639944607273231
heart-cleveland,0.03771095614050419,0.04061670802615146,0.04341462695068634
heart-hungarian,0.028336191089163326,0.02509588018813238,0.02554956633730136
heart-switzerland,0.04934675441340245,0.0568059478295386,0.061666951433535316
heart-va,0.059773039607977564,0.05799318330704212,0.05945856093205264
hepatitis,0.054671748198364796,0.05405970891852671,0.0504025402038232
hill-valley,0.020640070250946465,0.020598477974626522,0.019283466550782908
horse-colic,0.02410827201355079,0.02197362319882118,0.02203430747163975
ilpd-indian-liver,0.03769608323300767,0.03355563610689324,0.03380885652035176
image-segmentation,0.003973131843471411,0.0040012246082135544,0.0037738243233104915
ionosphere,0.01611350837740257,0.01632492235106377,0.017335141652837043
iris,0.0207398284783867,0.021565783409107406,0.021964792447908412
led-display,0.019321151983848064,0.019867151850148125,0.019760089928766177
lenses,0.19548024552334256,0.19298430805190667,0.1871563453080711
letter,0.0015566414639132512,0.002077992173611377,0.002199249075268866
libras,0.0281576830661198,0.030880370390206736,0.0328859936249356
low-res-spect,0.05273497475335103,0.05147759316605446,0.05205121934172039
lung-cancer,0.11978662857045856,0.16690967809389518,0.17292588913534085
lymphography,0.08515033002698054,0.08721917739700935,0.08258587798755751
magic,0.0038542935118935544,0.00323942993134802,0.003244375873695698
mammographic,0.013804528805830918,0.013958591356624018,0.01371980207571095
miniboone,7.336486068245342E-4,0.0012628852084563234,0.0013386251608364938
molec-biol-promoter,0.037019840786366484,0.03843942777361654,0.04505771763851431
molec-biol-splice,0.0056067954520626,0.005431708232227188,0.006276059757667694
monks-1,0.006440503712478706,0.007728450503310529,0.00903529201318975
monks-2,0.030498434506413392,0.02991448626581233,0.02871673767732673
monks-3,0.0073077399435720275,0.008035772059135884,0.007730810816886439
mushroom,0.0,0.0,0.0
musk-1,0.01697288680706365,0.017596313483737403,0.01734636294250626
musk-2,0.004768927660154091,0.004983540525333581,0.004861320650341175
nursery,0.0014448850299340747,0.0033936127644565296,0.0038059221068304345
oocytes_merluccius_nucleus_4d,0.017493333849529294,0.01708606714461799,0.017264037937177224
oocytes_merluccius_states_2f,0.015467679345137203,0.016565535127437435,0.016651573178739183
oocytes_trisopterus_nucleus_2f,0.011351684030173474,0.010456989385255269,0.010925973765739951
oocytes_trisopterus_states_5b,0.03198478008497787,0.0324970185641079,0.03245944347086375
optical,0.0012619677246776132,0.0013291728062689496,0.0013069233453811752
ozone,0.027049826563833375,0.02311964071607,0.02311964071607
page-blocks,0.030352501834744323,0.029568492280920802,0.029779602780695746
parkinsons,0.030706379668455203,0.032072736524200646,0.03495113610593061
pendigits,8.67317075077043E-4,8.905519421857727E-4,8.766876737880052E-4
pima,0.019714745226808546,0.022053258472439996,0.023376240666110597
pittsburg-bridges-MATERIAL,0.09359814981171519,0.09960477314877919,0.10780568013097543
pittsburg-bridges-REL-L,0.06347474285419372,0.0660193088440344,0.07367051145703313
pittsburg-bridges-SPAN,0.05972164998600407,0.06381718452891823,0.06760319904279294
pittsburg-bridges-T-OR-D,0.10714336603714182,0.10045059624481664,0.10645357450044583
pittsburg-bridges-TYPE,0.05721448282754048,0.06844146618871493,0.07266004129678107
planning,0.028825958152839108,0.02919287645832522,0.032879916262410276
plant-margin,0.011788744510185838,0.010470350173638928,0.010094382186351863
plant-shape,0.011316771832666944,0.012519811885774175,0.012304213837580982
plant-texture,0.00888747727020877,0.010093149390260778,0.011124978090788567
post-operative,0.03552336462075346,0.031143167395810134,0.03566721720490347
primary-tumor,0.024411886630437172,0.025709116394570106,0.0281801927018248
ringnorm,0.0018051122597141564,0.0018804507712138765,0.0019376991387778833
seeds,0.021175603471833566,0.02307007188886243,0.02232597563611409
semeion,0.00714220405772703,0.00696798998605562,0.007194669578842921
soybean,0.012246441275907703,0.012059066479781359,0.012466411312838247
spambase,0.003399337764010215,0.0038096319269840194,0.0036925173324154487
spect,0.044278081289911043,0.042552054074687304,0.04511218175181223
spectf,0.04076090275286337,0.046412866000027156,0.047689092974503064
statlog-australian-credit,0.022552407540718453,0.022917938838446086,0.024284000194549467
statlog-german-credit,0.020715308029557625,0.020366721548300475,0.01983974816277679
statlog-heart,0.028181416029909315,0.030403890404422557,0.03079870168599294
statlog-image,0.003732501319963872,0.003900910935435074,0.003863179344335589
statlog-landsat,0.004393119586764273,0.004751334542903874,0.004619330477105336
statlog-shuttle,0.02376073210331425,0.03217468158872192,0.02888661357571368
statlog-vehicle,0.01678233943627211,0.014120018483976267,0.014928733501854693
steel-plates,0.013947428349088473,0.01398628825174794,0.014099800421854346
synthetic-control,0.006110936953282905,0.0059810257666177,0.006032055706048168
teaching,0.058307511251190595,0.06691849021885712,0.06848475662962852
thyroid,0.007615970336337565,0.009916517617680748,0.010094503087997177
tic-tac-toe,0.0035156790577960026,0.004460611815882207,0.004631332640512593
titanic,0.018387403702018745,0.014953874518486362,0.014911259535810335
trains,0.12713690692890195,0.18491998891101682,0.2491364395612199
twonorm,0.0020571524798259767,0.0020454713847853547,0.00204985778706829
vertebral-column-2clases,0.03180927881416851,0.037098485137530474,0.037066979321626975
vertebral-column-3clases,0.038514785161446186,0.04059448961270998,0.04298425068238678
wall-following,0.0023350586830608463,0.0025184804235146973,0.0031499818168649143
waveform,0.004398875718556276,0.004673680555858352,0.004834679275348615
waveform-noise,0.005724655492372098,0.005705404615744553,0.005612935220560914
wine,0.01193166020977954,0.012467910819221729,0.01286477125259486
wine-quality-red,0.022254289859868787,0.019527308220486362,0.019499708924107042
wine-quality-white,0.012232352817901594,0.011789443194295007,0.011694868515205995
yeast,0.03388639630329991,0.03230446458485334,0.029967963920024474
zoo,0.06773539332775574,0.07569406738136546,0.07569406738136546
