TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
dermatology,0.02281720139733149,0.024430715013574047,0.023897542694962418
echocardiogram,0.09093134075241124,0.09148007045992562,0.09500620186041508
ecoli,0.05345955362247794,0.055996310620234364,0.05790174364177342
energy-y1,0.027901462845993215,0.028804939087654587,0.026589846195458868
energy-y2,0.024423886354817632,0.024215473120376453,0.02463275354234485
fertility,0.0949629667162399,0.07906570259360525,0.06920456654478332
flags,0.05879831839496433,0.06138438933404707,0.05137027745870611
glass,0.09080015879097177,0.10012629733921036,0.09685128757353731
haberman-survival,0.05778585459785309,0.05677533811322482,0.05871995144566451
hayes-roth,0.07940415217635066,0.08330380349258616,0.08230210640427436
heart-cleveland,0.04913953548134266,0.05209082721594941,0.058255410483094926
heart-hungarian,0.04055124817693908,0.042260934004472735,0.04237670349745369
heart-switzerland,0.074230454940092,0.0796247585311042,0.08845163497936953
heart-va,0.05875749434159749,0.06232104809894126,0.07011947888926648
hepatitis,0.08918852917302014,0.07928232848635498,0.08220850230179592
hill-valley,0.03400848705549282,0.03468772523783845,0.03405281853822941
horse-colic,0.04052459154917931,0.04001372956090693,0.035491124032324003
ilpd-indian-liver,0.0320291947693797,0.03162684591038863,0.03120134526981807
image-segmentation,0.011596227135510517,0.01151794589239893,0.011196080337235084
ionosphere,0.03865227323297798,0.03824541394332341,0.03907111012017879
iris,0.03628748557278948,0.04135384486735062,0.04138348212261259
led-display,0.03305552809132799,0.03164803557614081,0.03177205081223234
lenses,0.31254120384709966,0.32806739305678423,0.3444393852986143
letter,0.0038019689469501886,0.004124947465892451,0.004540804180118376
libras,0.04411958220226348,0.04629604086775003,0.04601472484754761
low-res-spect,0.09226190772182118,0.08619505724434735,0.08924218016674879
lung-cancer,0.1955949601563388,0.1910997535844014,0.1969226093865999
lymphography,0.1746925414920401,0.1774548526426343,0.16977896679598753
magic,0.006102992279076616,0.006034601653782261,0.005755642142691072
mammographic,0.02755479887895805,0.026456555537799138,0.02659394657390788
miniboone,0.0065792586191034475,0.008974252529806881,0.010168602456671005
molec-biol-promoter,0.07952902966836176,0.08254492802281113,0.08166419412732627
molec-biol-splice,0.011830329774201424,0.014353456512091719,0.014290770660546464
monks-1,0.06303021387696929,0.06292736844787007,0.05335060077047946
monks-2,0.04474196121122958,0.0459116553336551,0.04230155776860003
monks-3,0.01551280556285079,0.017197230872445762,0.02204924975633245
mushroom,7.821307116490314E-4,0.0023536642074344426,0.0026400156442472743
musk-1,0.02655834607731961,0.029834081969737733,0.026478945900928915
musk-2,0.013348090870120172,0.013121478961165008,0.014133021751185958
nursery,0.013125780441601861,0.016444092371525987,0.0159420712674793
oocytes_merluccius_nucleus_4d,0.028751120934176904,0.02832206484833368,0.027784138432414444
oocytes_merluccius_states_2f,0.03823646851081884,0.04003217335174588,0.041205125364361814
oocytes_trisopterus_nucleus_2f,0.025342908786257674,0.02620222199360438,0.0272016070595939
oocytes_trisopterus_states_5b,0.058106801261676846,0.058870533166991104,0.05750063514198813
optical,0.002538378178433252,0.0025209026497639443,0.0025692826700451543
ozone,0.03780438594445178,0.03170069536950505,0.03270676873954297
page-blocks,0.04490845027844759,0.04476159005360337,0.043144569834869244
parkinsons,0.05932726331763873,0.07952214670228876,0.08097215710012803
pendigits,0.001803889978582216,0.002066831622555921,0.0020458765752710637
pima,0.0221620375776358,0.029893360969674702,0.030776084359612696
pittsburg-bridges-MATERIAL,0.14685060824708893,0.13441448994779942,0.12597282520586356
pittsburg-bridges-REL-L,0.08589543308006169,0.08042062602940575,0.08127350725739496
pittsburg-bridges-SPAN,0.10277941626557213,0.09875761184028167,0.10278161810955694
pittsburg-bridges-T-OR-D,0.16007184990727566,0.16800133835808237,0.17075903646222823
pittsburg-bridges-TYPE,0.08398930430913266,0.07733469609925002,0.08365282912261389
planning,0.02311520549971722,0.019974563842731045,0.02213253285112302
plant-margin,0.01524824514116486,0.016964508251932478,0.01731164024380805
plant-shape,0.023090160926446474,0.024099478043186413,0.02438794601682438
plant-texture,0.01747132989625831,0.017160402770180293,0.016484590719069398
post-operative,0.049135106869914534,0.039538460987963625,0.04167148891848151
primary-tumor,0.04475432003307772,0.04876009150416439,0.057818639093955494
ringnorm,0.009210512871971827,0.009390420506018968,0.008370593117873719
seeds,0.0379430457457345,0.03874110409104708,0.0383896668141506
semeion,0.016420903209798086,0.017479125629592952,0.017103712186767952
soybean,0.02175697549666014,0.020747129331448292,0.021287407402147338
spambase,0.009386640827977369,0.010325933686296203,0.010074674973003569
spect,0.06385213043719769,0.06635154762946241,0.06684017858597778
spectf,0.07219781095811524,0.07369280233280896,0.07564895673407337
statlog-australian-credit,0.017500289323566155,0.022145905333340172,0.022881864678589544
statlog-german-credit,0.029719503457514253,0.02695347755490485,0.02681045078073624
statlog-heart,0.04705656089613486,0.05474905015592268,0.05627302991020286
statlog-image,0.007965541037124085,0.00744304024270111,0.007155790227838105
statlog-landsat,0.010829361157367497,0.010500646603845604,0.010437211099475891
statlog-shuttle,0.0687023950706838,0.0674720134030853,0.0677363231691252
statlog-vehicle,0.02303428033847402,0.022915959073424995,0.0248052009050066
steel-plates,0.028198179095874153,0.028347356360715788,0.02819329710045505
synthetic-control,0.010626000065623805,0.010370530011542643,0.010666786397795459
teaching,0.0780409829846006,0.07344631338388886,0.08243816524733459
thyroid,0.03006965664744352,0.03544552817236027,0.03545827604634157
tic-tac-toe,0.0115099260283567,0.011877776208108549,0.011638316094822332
titanic,0.021567481500646975,0.021414523504683956,0.02130314182722092
trains,0.34649540788930816,0.34179863818875633,0.3393729662437974
twonorm,0.003285348419721484,0.003353055298289881,0.0035567694506567597
vertebral-column-2clases,0.06198142699183038,0.06500711008868182,0.0703460109998136
vertebral-column-3clases,0.04847736938715859,0.04930192411932279,0.05071840919588137
wall-following,0.0044029912623409365,0.009428723410004943,0.013322390839869133
waveform,0.009330371874905099,0.010348141084839868,0.010841310796169961
waveform-noise,0.00849211439204898,0.010195951633466552,0.008836711775644716
wine,0.024747334783007717,0.026632201751968298,0.02616807863988623
wine-quality-red,0.025876419367759657,0.02408075967498683,0.023732536441446295
wine-quality-white,0.016779160869726004,0.01701167772659171,0.017886391684113098
yeast,0.05898793081088866,0.06314893479121306,0.06763522436980429
zoo,0.11757294080004878,0.10305499150585652,0.10175897167070551
