TRAINTESTDIFFSACCRANKS:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
image-segmentation,33.0,29.0,44.0,13.0,2.0,26.0,50.0,30.0,51.0,52.0,21.0,5.0,14.0,22.0,48.0,3.0,42.0,11.0,47.0,8.0,9.0,10.0,37.0,28.0,12.0,20.0,27.0,32.0,17.0,40.0,36.0,16.0,31.0,54.0,24.0,39.0,46.0,19.0,34.0,41.0,18.0,1.0,38.0,15.0,4.0,23.0,7.0,35.0,49.0,6.0,25.0,55.0,53.0,45.0,43.0
ionosphere,42.0,25.0,40.0,30.0,7.0,14.0,39.0,43.0,35.0,12.0,1.0,18.0,9.0,26.0,16.0,37.0,41.0,10.0,11.0,29.0,36.0,22.0,13.0,5.0,4.0,44.0,24.0,17.0,47.0,8.0,54.0,38.0,32.0,2.0,3.0,6.0,20.0,34.0,50.0,51.0,55.0,31.0,45.0,15.0,19.0,21.0,23.0,33.0,46.0,53.0,48.0,49.0,28.0,27.0,52.0
iris,8.0,43.0,5.0,2.0,31.0,3.0,48.5,16.0,32.0,47.0,23.0,50.0,41.0,1.0,17.0,9.0,4.0,10.0,21.0,14.0,11.0,24.0,40.0,20.0,6.0,37.0,22.0,7.0,12.0,38.0,25.0,55.0,30.0,13.0,35.0,45.0,39.0,48.5,29.0,46.0,26.0,51.0,15.0,44.0,54.0,42.0,52.0,34.0,27.0,53.0,18.5,28.0,36.0,18.5,33.0
libras,48.0,43.0,47.0,17.0,14.0,1.0,18.0,35.0,9.0,7.0,3.0,40.0,20.0,26.0,38.0,6.0,27.0,37.0,55.0,22.0,4.0,31.0,16.0,8.0,45.0,15.0,12.0,50.0,25.0,53.0,52.0,21.0,54.0,5.0,32.0,51.0,44.0,23.0,10.5,24.0,49.0,10.5,13.0,19.0,39.0,30.0,29.0,42.0,2.0,33.5,28.0,33.5,36.0,46.0,41.0
magic,34.0,28.0,49.0,7.0,18.0,40.0,37.0,42.0,51.0,1.0,14.0,32.0,45.0,11.0,50.0,24.0,47.0,17.0,19.0,9.0,52.0,29.0,6.0,30.0,3.0,44.0,12.0,27.0,41.0,35.0,26.0,48.0,38.0,15.0,5.0,54.0,4.0,43.0,23.0,22.0,36.0,53.0,21.0,39.0,8.0,31.0,13.0,25.0,16.0,20.0,10.0,2.0,55.0,46.0,33.0
miniboone,13.0,30.0,45.0,7.0,40.0,11.0,50.0,52.0,17.0,21.0,20.0,32.0,36.0,44.0,25.0,3.0,43.0,8.0,18.0,9.0,22.0,10.0,12.0,2.0,6.0,19.0,23.0,16.0,4.0,42.0,53.0,28.0,49.0,39.0,55.0,34.0,38.0,27.0,15.0,29.0,46.0,33.0,26.0,35.0,51.0,31.0,37.0,1.0,14.0,54.0,5.0,41.0,24.0,48.0,47.0
oocytes_merluccius_nucleus_4d,28.0,48.0,27.0,11.0,47.0,21.0,4.0,12.0,9.0,7.0,19.0,25.0,46.0,53.0,45.0,50.0,40.0,2.0,29.0,44.0,49.0,32.0,51.0,36.0,1.0,23.0,43.0,8.0,42.0,41.0,13.0,16.0,37.0,24.0,39.0,20.0,22.0,30.0,33.0,5.0,18.0,17.0,14.0,54.0,3.0,31.0,10.0,38.0,55.0,15.0,6.0,52.0,26.0,34.0,35.0
oocytes_trisopterus_states_5b,51.0,5.0,32.0,35.0,20.0,54.0,14.0,22.0,1.0,55.0,44.0,18.0,7.0,49.0,2.0,23.0,43.0,34.0,50.0,3.0,15.0,31.0,4.0,53.0,39.0,38.0,12.0,48.0,27.0,30.0,29.0,9.0,16.0,6.0,24.0,21.0,10.0,36.0,52.0,33.0,25.0,17.0,45.0,8.0,13.0,28.0,42.0,26.0,11.0,19.0,46.0,37.0,40.0,47.0,41.0
optical,16.0,3.0,43.0,25.0,45.0,23.0,21.0,34.0,8.0,5.0,9.0,4.0,6.0,10.0,17.0,35.0,28.0,52.0,54.0,14.0,1.0,22.0,11.0,41.0,44.0,24.0,36.0,20.0,50.0,26.0,51.0,2.0,7.0,13.0,49.0,33.0,40.0,32.0,47.0,19.0,29.0,18.0,39.0,15.0,12.0,42.0,27.0,53.0,30.0,38.0,37.0,46.0,31.0,55.0,48.0
ozone,34.0,28.0,41.0,40.0,17.0,9.0,26.0,2.0,43.0,7.0,19.0,14.0,37.0,5.0,32.0,13.0,24.0,35.0,31.0,52.0,6.0,18.0,20.0,4.0,47.0,8.0,42.0,38.0,15.0,1.0,50.0,29.0,3.0,10.0,36.0,12.0,23.0,11.0,49.0,54.0,27.0,39.0,16.0,30.0,25.0,33.0,44.0,45.0,55.0,46.0,53.0,51.0,21.0,22.0,48.0
page-blocks,37.0,2.0,49.0,16.0,14.0,29.0,48.0,54.0,24.0,36.0,39.0,35.0,4.0,11.0,18.0,7.0,51.0,44.0,41.0,32.0,46.0,23.0,38.0,22.0,17.0,55.0,34.0,25.0,21.0,6.0,19.0,52.0,33.0,10.0,42.0,8.0,43.0,50.0,1.0,9.0,47.0,27.0,3.0,13.0,53.0,28.0,31.0,30.0,20.0,15.0,5.0,45.0,12.0,40.0,26.0
parkinsons,20.0,51.0,19.0,9.0,32.0,5.0,49.0,43.0,36.0,21.0,15.0,14.0,1.0,27.0,13.0,35.0,39.0,7.0,18.0,45.0,54.0,12.0,53.0,2.0,3.0,31.0,28.0,8.0,10.0,6.0,38.0,50.0,55.0,25.0,41.0,4.0,16.0,52.0,42.0,23.0,24.0,47.0,33.0,30.0,44.0,29.0,37.0,48.0,40.0,17.0,11.0,26.0,46.0,22.0,34.0
pendigits,8.0,11.0,16.0,43.0,51.0,32.0,5.0,31.0,3.0,26.0,44.0,7.0,17.0,36.0,50.0,55.0,47.0,48.0,15.0,46.0,27.0,28.0,45.0,49.0,21.0,33.0,2.0,22.0,19.0,13.0,29.0,40.0,9.0,54.0,4.0,34.0,23.0,6.0,24.0,12.0,14.0,25.0,20.0,18.0,10.0,35.0,1.0,39.0,52.0,42.0,41.0,30.0,38.0,53.0,37.0
planning,5.0,2.0,6.0,36.0,39.0,44.0,9.0,13.0,43.0,40.0,29.0,11.0,20.0,33.0,41.0,46.0,27.0,12.0,4.0,42.0,25.0,35.0,21.0,45.0,38.0,17.0,10.0,48.0,53.0,24.0,31.0,1.0,32.0,37.0,7.0,47.0,14.0,34.0,55.0,28.0,54.0,8.0,51.0,18.0,16.0,30.0,3.0,19.0,50.0,15.0,52.0,26.0,22.0,23.0,49.0
post-operative,50.0,52.0,2.0,19.0,28.0,27.0,5.0,11.0,15.0,13.0,26.0,45.0,37.0,31.0,14.0,6.0,8.0,20.0,43.0,10.0,9.0,29.0,3.0,17.0,18.0,4.0,47.0,22.0,41.0,7.0,30.0,44.0,25.0,24.0,38.0,12.0,48.0,21.0,16.0,54.0,40.0,49.0,35.0,1.0,46.0,34.0,51.0,33.0,39.0,55.0,36.0,53.0,23.0,32.0,42.0
ringnorm,17.0,43.0,7.0,36.0,4.0,9.0,22.0,14.0,13.0,38.0,19.0,44.0,40.0,2.0,42.0,20.0,18.0,26.0,23.0,3.0,24.0,12.0,5.0,28.0,34.0,31.0,33.0,21.0,46.0,25.0,52.0,6.0,39.0,27.0,10.0,41.0,35.0,37.0,48.0,53.0,49.0,8.0,50.0,16.0,11.0,30.0,15.0,29.0,51.0,47.0,54.0,45.0,1.0,32.0,55.0
seeds,53.0,13.0,5.0,8.0,9.0,17.0,14.0,12.0,1.0,21.0,35.0,51.0,26.0,30.0,11.0,20.0,15.0,19.0,43.0,3.0,55.0,37.0,18.0,38.0,25.0,32.0,50.0,44.0,24.0,10.0,4.0,45.0,39.0,34.0,48.0,22.0,31.0,54.0,7.0,41.0,47.0,42.0,6.0,16.0,40.0,36.0,29.0,23.0,2.0,52.0,46.0,49.0,27.5,33.0,27.5
spambase,2.0,32.0,46.0,7.0,15.0,6.0,25.0,8.0,33.0,37.0,45.0,13.0,27.0,10.0,14.0,16.0,38.0,53.0,20.0,24.0,28.0,23.0,34.0,21.0,3.0,39.0,18.0,17.0,30.0,42.0,9.0,43.0,51.0,54.0,26.0,11.0,41.0,29.0,4.0,1.0,48.0,47.0,19.0,49.0,52.0,22.0,12.0,35.0,31.0,5.0,44.0,36.0,55.0,40.0,50.0
statlog-landsat,27.0,24.0,2.0,10.0,22.0,8.0,5.0,11.0,21.0,54.0,52.0,16.0,29.0,28.0,55.0,25.0,23.0,1.0,13.0,49.0,7.0,37.0,38.0,50.0,19.0,43.0,45.0,4.0,14.0,35.0,3.0,12.0,31.0,36.0,44.0,51.0,48.0,26.0,15.0,33.0,6.0,41.0,47.0,53.0,39.0,40.0,18.0,42.0,30.0,34.0,9.0,17.0,46.0,20.0,32.0
statlog-shuttle,25.0,11.0,33.0,49.0,8.0,45.0,38.0,2.0,13.0,35.0,50.0,52.0,19.0,53.0,9.0,47.0,10.0,15.0,21.0,12.0,42.0,27.0,55.0,32.0,51.0,17.0,6.0,16.0,22.0,24.0,26.0,5.0,18.0,41.0,40.0,3.0,4.0,54.0,46.0,28.0,31.0,7.0,43.0,34.0,14.0,1.0,20.0,23.0,36.0,44.0,37.0,29.0,48.0,30.0,39.0
statlog-vehicle,4.0,43.0,17.0,11.0,37.0,22.0,23.0,14.0,21.0,29.0,25.0,47.0,28.0,5.0,27.0,6.0,30.0,7.0,16.0,45.0,55.0,39.0,19.0,49.0,13.0,18.0,15.0,8.0,35.0,38.0,34.0,44.0,31.0,41.0,1.0,52.0,12.0,36.0,9.0,33.0,53.0,51.0,10.0,2.0,50.0,42.0,48.0,24.0,3.0,54.0,20.0,46.0,26.0,32.0,40.0
steel-plates,5.0,7.0,22.0,27.0,31.0,19.0,35.0,42.0,15.0,21.0,9.0,6.0,17.0,25.0,34.0,55.0,48.0,14.0,1.0,20.0,13.0,18.0,43.0,16.0,50.0,41.0,2.0,46.0,29.0,12.0,33.0,23.0,49.0,10.0,8.0,36.0,3.0,52.0,53.0,11.0,26.0,32.0,44.0,40.0,47.0,28.0,39.0,30.0,37.0,51.0,54.0,4.0,38.0,24.0,45.0
synthetic-control,2.0,3.0,10.0,48.0,36.0,43.0,5.0,44.0,18.0,8.0,55.0,16.0,9.0,54.0,21.0,22.0,15.0,32.0,46.0,33.0,51.0,39.0,4.0,12.0,24.0,37.0,17.0,45.0,28.0,26.5,29.0,1.0,23.0,34.0,13.5,13.5,19.0,47.0,20.0,6.0,50.0,11.0,38.0,35.0,31.0,25.0,7.0,53.0,26.5,49.0,52.0,40.0,30.0,41.0,42.0
twonorm,2.0,24.0,3.0,25.0,20.0,8.0,46.0,45.0,9.0,1.0,7.0,31.0,17.0,19.0,39.0,10.0,21.0,36.0,4.0,15.0,23.0,5.0,13.0,6.0,33.0,12.0,51.0,43.0,14.0,47.0,54.0,44.0,18.0,26.0,50.0,41.0,48.0,11.0,16.0,42.0,34.0,28.0,22.0,30.0,37.0,29.0,55.0,32.0,38.0,49.0,35.0,52.0,27.0,53.0,40.0
vertebral-column-3clases,49.0,11.0,33.0,15.0,20.0,53.0,18.0,9.0,45.0,39.0,16.0,17.0,35.0,47.0,54.0,30.0,2.0,24.0,6.0,37.0,36.0,13.0,27.0,48.0,51.0,14.0,12.0,44.0,32.0,41.0,7.0,21.0,23.0,46.0,4.0,55.0,3.0,10.0,19.0,8.0,5.0,26.0,40.0,34.0,29.0,31.0,38.0,22.0,43.0,42.0,52.0,1.0,28.0,50.0,25.0
wall-following,35.0,51.0,50.0,14.0,3.0,38.0,10.0,25.0,47.0,36.0,2.0,13.0,4.0,7.0,30.0,19.0,48.0,29.0,40.0,33.0,44.0,8.0,49.0,1.0,11.0,9.0,55.0,43.0,20.0,24.0,12.0,34.0,15.0,37.0,17.0,21.0,42.0,6.0,26.0,28.0,5.0,39.0,54.0,27.0,32.0,18.0,41.0,23.0,31.0,16.0,52.0,46.0,22.0,45.0,53.0
waveform-noise,45.0,26.0,42.0,24.0,10.0,46.0,16.0,19.0,12.0,55.0,20.0,28.0,14.0,5.0,11.0,9.0,17.0,8.0,33.0,39.0,6.0,34.0,32.0,21.0,27.0,1.0,47.0,49.0,29.0,18.0,31.0,48.0,3.0,41.0,44.0,22.0,52.0,2.0,7.0,53.0,4.0,40.0,30.0,36.0,38.0,25.0,35.0,23.0,43.0,54.0,13.0,51.0,15.0,50.0,37.0
wine-quality-white,3.0,16.0,17.0,41.0,23.0,50.0,47.0,43.0,2.0,18.0,27.0,14.0,13.0,48.0,15.0,49.0,44.0,21.0,11.0,28.0,38.0,36.0,12.0,40.0,20.0,39.0,35.0,30.0,29.0,5.0,19.0,52.0,10.0,9.0,31.0,8.0,37.0,4.0,53.0,1.0,24.0,34.0,7.0,26.0,46.0,25.0,22.0,33.0,51.0,45.0,54.0,6.0,32.0,42.0,55.0
yeast,49.0,37.0,1.0,19.0,27.0,52.0,13.0,5.0,51.0,30.0,47.0,29.0,22.0,21.0,43.0,42.0,3.0,28.0,20.0,8.0,15.0,33.0,10.0,41.0,40.0,2.0,38.0,54.0,18.0,45.0,14.0,39.0,7.0,55.0,26.0,35.0,50.0,6.0,46.0,12.0,9.0,25.0,53.0,48.0,4.0,24.0,44.0,32.0,31.0,11.0,16.0,17.0,34.0,36.0,23.0
