TRAINTESTDIFFSNLLRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,WMV-S,NBC-S,PB-S,MV-S
ionosphere,1.0,2.0,3.0,6.0,8.0,7.0,9.0,5.0,4.0,10.0
iris,1.0,3.0,2.0,5.0,6.0,9.0,7.0,4.0,10.0,8.0
led-display,2.0,1.0,4.0,3.0,6.0,9.0,7.0,5.0,10.0,8.0
lenses,1.0,2.0,3.0,6.0,5.0,7.0,8.0,4.0,10.0,9.0
letter,2.0,1.0,3.0,10.0,8.0,9.0,7.0,4.0,5.0,6.0
libras,1.0,2.0,3.0,10.0,5.0,6.0,7.0,4.0,9.0,8.0
low-res-spect,1.0,2.0,3.0,8.0,5.0,9.0,7.0,4.0,10.0,6.0
lung-cancer,1.0,2.0,4.0,6.0,5.0,7.0,8.0,3.0,10.0,9.0
lymphography,1.0,3.0,2.0,5.0,4.0,8.0,6.0,9.0,10.0,7.0
magic,7.0,5.0,10.0,1.0,2.0,9.0,3.0,6.0,8.0,4.0
mammographic,2.0,3.0,5.0,1.0,7.0,6.0,8.0,10.0,4.0,9.0
miniboone,6.0,4.0,7.0,1.0,2.0,8.0,5.0,10.0,9.0,3.0
molec-biol-promoter,1.0,2.0,3.0,4.0,8.0,6.0,7.0,5.0,10.0,9.0
molec-biol-splice,2.0,1.0,3.0,8.0,5.0,4.0,6.0,10.0,9.0,7.0
monks-1,9.0,8.0,10.0,2.0,5.0,3.0,6.0,7.0,1.0,4.0
monks-2,2.0,3.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0,9.0
monks-3,3.0,1.0,5.0,9.0,7.0,4.0,6.0,10.0,2.0,8.0
mushroom,3.0,1.0,2.0,10.0,6.0,8.0,5.0,4.0,9.0,7.0
musk-1,1.0,2.0,10.0,3.0,7.0,4.0,6.0,9.0,5.0,8.0
musk-2,8.0,3.0,9.0,7.0,4.0,2.0,5.0,10.0,1.0,6.0
nursery,2.0,1.0,3.0,9.0,5.0,8.0,6.0,10.0,4.0,7.0
oocytes_merluccius_nucleus_4d,2.0,3.0,4.0,1.0,9.0,6.0,7.0,10.0,5.0,8.0
oocytes_merluccius_states_2f,1.0,2.0,4.0,3.0,7.0,6.0,8.0,10.0,5.0,9.0
oocytes_trisopterus_nucleus_2f,2.0,3.0,4.0,1.0,8.0,5.0,7.0,10.0,6.0,9.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0,4.0,6.0,5.0,7.0,9.0,10.0,8.0
optical,1.0,2.0,3.0,8.0,4.0,6.0,5.0,10.0,9.0,7.0
ozone,1.0,2.0,3.0,7.0,4.0,8.0,5.0,10.0,9.0,6.0
page-blocks,2.0,1.0,3.0,6.0,9.0,5.0,7.0,10.0,4.0,8.0
parkinsons,1.0,2.0,3.0,4.0,5.0,9.0,6.0,10.0,8.0,7.0
pendigits,1.0,2.0,3.0,9.0,4.0,7.0,5.0,10.0,8.0,6.0
pima,2.0,3.0,4.0,1.0,5.0,9.0,6.0,10.0,8.0,7.0
pittsburg-bridges-MATERIAL,1.0,3.0,2.0,5.0,6.0,9.0,7.0,4.0,10.0,8.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,5.0,9.0,7.0,6.0,10.0,8.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.0,5.0,8.0,6.0,9.0,10.0,7.0
pittsburg-bridges-TYPE,2.0,1.0,3.0,5.0,6.0,8.0,7.0,4.0,10.0,9.0
planning,2.0,3.0,4.0,1.0,5.0,8.0,6.0,10.0,9.0,7.0
plant-margin,1.0,3.0,2.0,10.0,5.0,7.0,8.0,4.0,6.0,9.0
plant-shape,4.0,1.0,2.0,10.0,5.0,8.0,6.0,3.0,9.0,7.0
plant-texture,1.0,3.0,2.0,10.0,5.0,7.0,6.0,4.0,9.0,8.0
post-operative,2.0,3.0,4.0,1.0,5.0,8.0,6.0,10.0,9.0,7.0
primary-tumor,2.0,1.0,4.0,8.0,5.0,9.0,6.0,3.0,10.0,7.0
ringnorm,3.0,1.0,2.0,10.0,7.0,5.0,6.0,4.0,9.0,8.0
seeds,1.0,2.0,3.0,4.0,8.0,6.0,7.0,5.0,10.0,9.0
semeion,2.0,1.0,3.0,10.0,6.0,9.0,7.0,4.0,5.0,8.0
soybean,1.0,3.0,2.0,6.0,5.0,7.0,8.0,4.0,10.0,9.0
spambase,3.0,1.0,10.0,2.0,8.0,4.0,6.0,9.0,5.0,7.0
spect,2.0,3.0,4.0,1.0,8.0,7.0,9.0,5.0,6.0,10.0
spectf,1.0,2.0,4.0,3.0,5.0,8.0,6.0,10.0,9.0,7.0
statlog-australian-credit,2.0,3.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0,9.0
statlog-german-credit,2.0,3.0,4.0,1.0,7.0,5.0,8.0,10.0,6.0,9.0
statlog-heart,2.0,3.0,4.0,1.0,9.0,7.0,8.0,5.0,6.0,10.0
statlog-image,2.0,1.0,3.0,10.0,4.0,8.0,5.0,9.0,7.0,6.0
statlog-landsat,3.0,1.0,4.0,2.0,7.0,6.0,8.0,10.0,5.0,9.0
statlog-shuttle,1.0,3.0,2.0,9.0,5.0,4.0,6.0,10.0,8.0,7.0
statlog-vehicle,3.0,1.0,4.0,2.0,8.0,6.0,9.0,5.0,7.0,10.0
steel-plates,2.0,1.0,4.0,3.0,8.0,6.0,7.0,10.0,5.0,9.0
synthetic-control,1.0,2.0,3.0,5.0,8.0,6.0,9.0,4.0,7.0,10.0
teaching,1.0,2.0,4.0,3.0,7.0,6.0,8.0,5.0,9.0,10.0
thyroid,2.0,1.0,3.0,8.0,4.0,5.0,6.0,10.0,9.0,7.0
tic-tac-toe,7.5,2.0,7.5,10.0,5.0,3.0,4.0,1.0,9.0,6.0
titanic,3.0,4.0,7.0,1.0,10.0,6.0,8.0,2.0,5.0,9.0
trains,1.0,3.0,2.0,5.0,6.0,7.0,8.0,4.0,10.0,9.0
twonorm,2.0,3.0,4.0,1.0,8.0,6.0,7.0,10.0,5.0,9.0
vertebral-column-2clases,1.0,3.0,9.0,2.0,6.0,5.0,7.0,10.0,4.0,8.0
vertebral-column-3clases,1.0,2.0,4.0,3.0,8.0,7.0,9.0,5.0,6.0,10.0
wall-following,1.0,2.0,7.0,9.0,5.0,8.0,6.0,10.0,4.0,3.0
waveform,3.0,2.0,5.0,1.0,8.0,7.0,9.0,4.0,6.0,10.0
waveform-noise,3.0,2.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0,9.0
wine,2.0,1.0,3.0,5.0,6.0,4.0,7.0,9.0,10.0,8.0
wine-quality-red,3.0,2.0,4.0,1.0,5.0,8.0,6.0,10.0,9.0,7.0
wine-quality-white,3.0,2.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0,9.0
yeast,3.0,1.0,4.0,2.0,5.0,9.0,6.0,8.0,10.0,7.0
zoo,1.0,3.0,2.0,6.0,5.0,7.0,8.0,4.0,10.0,9.0
