TRAINTESTDIFFSNLLSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,WMV-S,NBC-S,PB-S,MV-S
dermatology,0.07170397445277801,0.09762599423006298,0.0862319539539888,0.06537017672742855,0.06233461208064496,0.05042473523607225,0.063086144905703,0.1599031365277335,0.1306595611165085,0.06293328555430497
echocardiogram,0.5032866829067699,0.47742918521108624,0.5012149852857379,0.3174063215215466,0.40241050059477923,0.24814621746183826,0.41783234222110993,0.5558532327632209,0.24224591268633566,0.42003905610830056
ecoli,0.14876821810810734,0.14643954352515615,0.14479016995867955,0.1589077669417755,0.17261585404748936,0.14930103304789868,0.1706998495603962,0.29792338168690363,0.15008715764290775,0.17079345201366097
energy-y1,0.07676416945735205,0.08598226633718939,0.07597413291381974,0.07768376214031156,0.08741673243985572,0.05214885157404803,0.08489950814780148,0.18562031905587897,0.2796210258873806,0.0844325875998656
energy-y2,0.06639368263252972,0.0625471145836485,0.06124881138676403,0.07820470783342164,0.100930632650953,0.05275036718930188,0.10098107726438446,0.17010154924759202,0.08149071124390612,0.10099545604264568
fertility,0.49625936414917865,0.43046247976189356,0.384785617816156,0.14060235455108783,0.11640970977988285,0.1459677706364872,0.17755911443671077,0.4646931601428258,1.6490232509829523,0.17897314459134747
flags,0.2613666492057207,0.2302836608216188,0.19010468995334145,0.2833066440564112,0.24211433781761574,0.32415954524656754,0.2805832184375057,0.3375364150979591,0.6093001066299407,0.28369336166416165
glass,0.44783370736877476,0.18795115344129684,0.21772537086548693,0.22431612702006581,0.25190665068097334,0.18954503766232908,0.26722512328689685,0.35342349598151407,0.3888227022305448,0.266929799407759
haberman-survival,0.2926661121246809,0.2775767476785758,0.28261093098306506,0.1615210890077693,0.16627720797734075,0.06581025426293796,0.21386380458889923,0.31274594779286846,0.0659762560648348,0.21422868957685004
hayes-roth,0.224087160871129,0.27204256381497993,0.2479640112383992,0.2463872710698249,0.31349435793947855,0.21790782266569647,0.31951533828227424,0.2905575258522489,0.07629634343798157,0.3146312599918019
heart-cleveland,0.14416302131255707,0.18960363756279883,0.16761023932033117,0.1933691947476428,0.2221229107042798,0.15627405514254697,0.24988243925329653,0.30097187184690516,0.1836152603840077,0.25004009452387754
heart-hungarian,0.28239442720641733,0.35684123717129235,0.2732781606600214,0.16737939739739766,0.22085568095030372,0.10921042328086075,0.22499912465334299,0.29850664321518505,0.11153122265142607,0.22488885582648716
heart-switzerland,0.49008671150017175,0.3081692124820618,0.3896303164108279,0.3741113362990076,0.4282102780424956,0.3520753007206782,0.46282055520401694,0.3198816323377417,0.6775654128060645,0.4609549904945333
heart-va,0.23095130279436069,0.306194672971224,0.24281052720204913,0.3332329618078443,0.3358859759642206,0.20451413917420486,0.37516941288327194,0.23843546947610758,0.1828269992100514,0.3754607239013775
hepatitis,0.4242794417332433,0.4118243833877113,0.3998414170761673,0.24901138960892227,0.2664326731178512,0.17228549972302235,0.2662180822694871,0.4622078978989429,0.4417898052569613,0.26524772701118793
hill-valley,0.23880147520113462,0.3009944489718483,0.2051217401966413,0.280041442941355,0.22554475947159183,0.014325992227069286,0.2389072888484187,0.0608009763431445,0.04511372292225162,0.23693254902637736
horse-colic,0.2648591254677986,0.2769028173221901,0.26091608780568265,0.13642061852573992,0.1617070750198068,0.09174412798924438,0.16287631808620576,0.25932229398914575,0.26332207961187426,0.16332151020125335
ilpd-indian-liver,0.2316819627927954,0.25114565592942306,0.23399902481418616,0.15070505062510228,0.10502671892117402,0.033017851309613024,0.16822238789747798,0.10914470201695138,0.09064379026335506,0.16757128276440655
image-segmentation,0.03775688675544672,0.054019526236947085,0.03567416319036913,0.03730796763342172,0.03661479242500216,0.03892933095874693,0.03659127013283475,0.09691315444677058,0.060544814717602,0.03671394498806834
ionosphere,0.2141499223870448,0.20788619078086967,0.20534221800122235,0.09027421065025633,0.08789833629036384,0.07786420044863172,0.09054743437470889,0.21663304330339006,0.15270438515376145,0.09057018682937967
iris,0.18766102822112696,0.18188799404162573,0.2180443664292234,0.130450727520113,0.15431665311841106,0.09198448332349017,0.15445302430816135,0.43472204993678565,0.12908186710881261,0.15453628391048382
led-display,0.10732664999107898,0.1464011978012382,0.09432355667613068,0.17519262986986275,0.20346718098700053,0.11494921412926513,0.2039085272790582,0.38767774408274636,0.11222927667342043,0.203836948275005
lenses,0.791314129043519,0.6655773080951211,0.954694140324883,1.071536825255471,1.1425513467577415,0.8109163907802719,1.3152849930823098,0.9754477622394729,2.917299175226669,1.3099820415176218
letter,0.012708092994856212,0.027882495731653578,0.012606072299543495,0.02767727321673486,0.016930369983391876,0.01680000183752651,0.01699595861491383,0.03922174937526454,0.022154695911238895,0.017314775433010642
libras,0.2778397744291119,0.14731914494353124,0.1415570125119349,0.210786362750528,0.22044961942216398,0.21164294237795678,0.22754335165155615,0.25669596379589027,0.3206375629136025,0.2268665950303123
low-res-spect,0.08985680952979717,0.11942855513790125,0.09452768662969105,0.10379454192996916,0.10535028268585021,0.10046338968758092,0.10498777906050517,0.25478575165063977,0.17221438158458527,0.10533552884541841
lung-cancer,0.80846309571533,0.767777151331848,0.5954115488748254,1.1158112906473907,1.310172226195939,1.0672917975831815,1.3146553081259351,0.6352276127093442,2.179674727995509,1.3554580708852453
lymphography,0.17245134122984404,0.17317424423819633,0.21290200438337548,0.2134625689621338,0.21886096231129581,0.16228335132877109,0.21518380272538865,0.39883267665148425,0.26361550751338275,0.21676345690127186
magic,0.032587152136762526,0.03282222363470334,0.03141591103585252,0.021030192299946848,0.02337172106596008,0.010565613209731432,0.02354954928846611,0.03986552931945167,0.011547462093418916,0.02350966157683517
mammographic,0.18640996815291322,0.1871398718180016,0.17308707448969118,0.1230840564889319,0.14052942281008265,0.05807722531274871,0.14046412157450516,0.23176838179669657,0.060418050527401866,0.14037582914043845
miniboone,0.015067063735125032,0.015624991886964262,0.014228743371799439,0.019819153385596498,0.014231992516445538,0.006785115657462114,0.013159177781534784,0.036101232084774795,0.005294483533885845,0.013347726189117014
molec-biol-promoter,0.5707313469594574,0.5630936872023201,0.5053657505107961,0.306572647908665,0.3283922067977723,0.2365159341282843,0.3254516516640016,0.43429934909707507,1.572446306340439,0.3253261489464253
molec-biol-splice,0.04342878212277382,0.06169415251863309,0.046444444840206926,0.05171033281531722,0.04580417322064675,0.028972588490977724,0.04623051072792436,0.13111408692352325,0.050447347461197015,0.0462095243643142
monks-1,0.4014133979217614,0.38981078517452855,0.3943930366345422,0.16281605819132794,0.17323194269030495,0.09560095648131843,0.1757999266128183,0.25090017708431644,0.052356900970807196,0.16910432597256278
monks-2,0.18580110741988418,0.2524258291334604,0.23471613742141814,0.1397503759817905,0.10158996806477949,0.03643584193441769,0.1126616736111118,0.06799365318496542,0.00864793879555737,0.11120684548378457
monks-3,0.09598430423081247,0.10984646160135884,0.10218352579238268,0.0714436645047173,0.08580813358869838,0.05049318237667057,0.08567319067295219,0.1589831072349492,0.08550911998802109,0.08866947899157954
mushroom,8.585669268228043E-4,0.0011139333758595365,9.089597950114317E-4,0.004625372692529935,0.0035606981099227976,0.002520694875191106,0.0035587905137987154,3.2579532666153087E-4,0.03217638755105848,0.0036734030126338597
musk-1,0.5822657471092693,0.24523266252660644,0.22105101186169046,0.12209866771872036,0.12223642631891456,0.11352086916448288,0.12234764766635774,0.20306083428617336,0.17424492284441007,0.12202220057165551
musk-2,0.026409994255543835,0.029005088383756348,0.02774609854773368,0.019480902766273782,0.014441261395803536,0.012298407160864626,0.01448778572711965,0.037426187525682005,0.02432255813337757,0.014535652201458816
nursery,0.009222357271270333,0.01751860876098664,0.00849788384669947,0.018091965321984513,0.014094303145889575,0.013182989179555083,0.01464462155580296,0.06582084634638917,0.01357626782718884,0.014927832640183289
oocytes_merluccius_nucleus_4d,0.1513187548861584,0.1855034982239491,0.1383432509557082,0.07902383268509586,0.08826912530496323,0.03722971928835735,0.0884324360776854,0.11724497193698845,0.05281196412840189,0.08850335765467476
oocytes_merluccius_states_2f,0.04906793320448869,0.05078409164990871,0.05309701037354093,0.06605246512122695,0.06611257723948982,0.0406673082429072,0.06625145323510663,0.2163681448790815,0.04956162789535929,0.06622552314137606
oocytes_trisopterus_nucleus_2f,0.17509965004018743,0.17792426146989793,0.17505569427744075,0.07981258889071682,0.09746613095705306,0.04751816503639572,0.09760209813703231,0.12497172248443114,0.054445545694965417,0.09731178527213882
oocytes_trisopterus_states_5b,0.06993616589128329,0.05979883836355401,0.06545672467226886,0.07421125019282246,0.06602229840376474,0.06058824731444438,0.0667154983077259,0.17590691110673856,0.29874698356943713,0.06681299622888548
optical,0.5061786650193614,0.015607189981363033,0.011700234298543269,0.012333650152209143,0.0113942454939632,0.013341011436333832,0.011402136090870403,0.035025004029289986,0.03826817922259831,0.011383088940070335
ozone,0.025454311101534382,0.02497309727592607,0.02075978612207891,0.02220713594394382,0.012975606691945052,0.02535747738574204,0.02006774658856581,0.3555444398882296,0.04187805982789124,0.020069552948184133
page-blocks,0.01710834892349013,0.021571025874817535,0.01706075496869695,0.02057496420362716,0.022201047823907114,0.019563870768086803,0.022109755803020523,0.3832936394695838,0.027573675787843442,0.02212683158693007
parkinsons,0.34189353746460993,0.25384239580289775,0.2641882537802485,0.14975379269277586,0.16298433098618315,0.11095375214292617,0.16395581333563475,0.30228935461143497,0.14391724106205322,0.16561609127683252
pendigits,1.158046306274142,0.03524490534410481,0.007191308329385447,0.009502672543598033,0.006301484211990655,0.008440311688155658,0.006308984738675131,0.020968927514916223,0.014699271068927508,0.006324684364094882
pima,0.1604902156678458,0.1455735625958086,0.13978654790463824,0.09676192009847183,0.1380792251987432,0.05120349822751813,0.14280499153568407,0.1550585833567981,0.052403726490698015,0.14335304574556185
pittsburg-bridges-MATERIAL,0.27446729953120685,0.2461356253422041,0.24995200302191625,0.2938581773777515,0.2550162671805665,0.2809321511354618,0.3229031529485693,0.5032452590152656,0.9583565701768709,0.3228273296600134
pittsburg-bridges-REL-L,0.47405640907060764,0.4187524549130907,0.4651621342563013,0.37238942386562185,0.38563528202628805,0.26165668473974263,0.40383439438375884,0.5796067998080559,0.31204914369701786,0.40308424646707786
pittsburg-bridges-SPAN,0.3560976282217781,0.40245112052815124,0.4748845856815333,0.3495579821095243,0.4232116723427689,0.24074037254885308,0.4410346103679819,0.4346959940243635,0.30746959761769327,0.4427047532930136
pittsburg-bridges-T-OR-D,0.3821668968270384,0.32210545734578533,0.3628132151017744,0.24013642786090053,0.26884394298231856,0.23485487300281765,0.2945945230757178,0.7712777488438844,3.67985800568389,0.29524728006032924
pittsburg-bridges-TYPE,0.2688779879586078,0.33281033272117855,0.30643455086748506,0.3860992917613573,0.4179970815513895,0.4339001335824017,0.43298498184701056,0.6981795944618755,0.6249165567420855,0.43782622915961483
planning,0.29706377177913845,0.20578802917521713,0.19008166835757473,0.11463870894640558,0.1063123329955593,0.0522609468291409,0.18879208752317475,0.030402124994839293,0.10323529776612753,0.19325129956247886
plant-margin,0.24736705806236486,0.09084366840654247,0.06087979156520024,0.0824975967478961,0.08641909767160863,0.08414535143918107,0.08424482600887852,0.07599806992959897,0.10003415982328519,0.08034429789989547
plant-shape,0.13173290758024203,0.09092327342092264,0.05718222885094472,0.1313124320154121,0.11632239935789165,0.1211467378927056,0.11816468294825716,0.08521854796051172,0.11726980112765716,0.11724824082524474
plant-texture,0.20730658546752753,0.0953940728465931,0.08592490330490056,0.10475943101272717,0.09149455047631015,0.10137697296983873,0.09272571089886343,0.08587909672736213,0.12107529112973374,0.0940268724286517
post-operative,0.4698761358415072,0.3157870695663656,0.31321286574809826,0.1933343265809609,0.17507244717076298,0.12778874184301298,0.2912702093060212,0.23976470479480536,0.4703975040349856,0.2969149914268958
primary-tumor,0.1785694125321167,0.16672419683675213,0.14131678617851445,0.2556368271832764,0.2739860089037921,0.28966624927883666,0.27770025263683523,0.3371346539859269,0.36440794700210727,0.27785630696224417
ringnorm,0.05938426197073953,0.0484840692647521,0.058585313261958594,0.030354088288139406,0.02600042251468484,0.01856553025645782,0.026129478442569992,0.048401290247432505,0.013970886843633967,0.0260567138006419
seeds,0.17756057311431403,0.15688050720400193,0.1849707174951665,0.1326120225546755,0.13444056686618616,0.09787823074051215,0.1335553341759279,0.37365598033857966,0.1639031178362155,0.1333382576877563
semeion,0.06280145571590331,0.0706748091214544,0.047892512787505295,0.06713573300893104,0.06194613605122142,0.06449088025644588,0.06174282245927108,0.14841103761820143,0.13485008057520698,0.06178217716170471
soybean,0.1309096730158775,0.09453734834667434,0.09070220330424068,0.10117782444147373,0.10366682429490602,0.09021480596229729,0.10450538976564393,0.22272713741409375,0.1382186997427107,0.10442613352609353
spambase,0.04274282472435075,0.05852239300728179,0.04666843289122247,0.02665734049063418,0.02842256666137156,0.019819050573582506,0.028357444924289637,0.07866824130910932,0.03177298462727156,0.028424776518722127
spect,0.328755291005642,0.3951440399266487,0.415464178303569,0.23973726869023748,0.3126013483727631,0.11879983832384693,0.3135067667482389,0.307485157955489,0.15460304195609226,0.31339794745204086
spectf,0.21737018494089735,0.2638317865577857,0.22298270710230764,0.16153904563618346,0.1856012542334963,0.11840809351447686,0.18978915528526813,0.36295675122172805,0.09861064610634998,0.190114534263817
statlog-australian-credit,0.1937041489549286,0.13167355931025132,0.09674816033713354,0.11207789682534591,0.09053274252314478,0.030325072590258923,0.11403259656277352,0.0323285698000471,0.03367718180306627,0.11553296635296949
statlog-german-credit,0.16596733103823147,0.16015684303386665,0.16579135761622124,0.08866971561161474,0.09174672138351249,0.035264084946767305,0.09272793028531244,0.11042973541392127,0.04590350268244431,0.09259692232423018
statlog-heart,0.31611095866738853,0.32878763121638366,0.30948369909422563,0.1803764104171472,0.2313239748206844,0.13947410733908258,0.2308429425917707,0.4059600313520432,0.16144228247868475,0.23180840515701154
statlog-image,0.02750175531165044,0.032318837375022204,0.02780234548439111,0.03035488805818752,0.027205179681949843,0.024264956478468422,0.027230281759109912,0.07655702847655613,0.03805117508555725,0.02722436824885108
statlog-landsat,0.023277967375391763,0.036670844537549645,0.021860682443966304,0.03132718349691504,0.028151191111909914,0.020688491951218736,0.02766602489449824,0.05677835125334848,0.02645210788132543,0.027724592694567913
statlog-shuttle,0.008171700618591612,0.0018744121414182924,0.009200049312646029,0.0028436906146078285,0.004705198915667162,0.0020291425581563825,0.004274595095429675,0.4690474239656562,0.021742939568813537,0.00468211044890375
statlog-vehicle,0.06623098715419487,0.10419584322315632,0.06126576604572469,0.08829698592670127,0.10359839935728812,0.0577629701317388,0.1035251136454816,0.12693340396818775,0.0875222988849338,0.10382252124576521
steel-plates,0.5170361827598802,0.13190288659756064,0.06148760664628427,0.07080224311950832,0.08045764750908156,0.06380398594005397,0.08017344184765457,0.14898102670886804,0.06402358297095129,0.080100436916908
synthetic-control,0.04006899412968662,0.039850614953834705,0.030635175464379945,0.032191275386629116,0.03281209308430798,0.022878195516974918,0.03300660576316477,0.07248903572816352,0.07771771324958787,0.03512561602530909
teaching,0.3473124669925353,0.4978112304745777,0.3597127062623114,0.3259151778168144,0.2996800030965615,0.161080348057123,0.3192606875238378,0.27480198782861676,0.14907925538106112,0.31665005608659946
thyroid,0.009667826881270524,0.009870506423008896,0.009915226272226909,0.009157236140521696,0.007613618289585234,0.007121921632187642,0.008239652623905616,0.07793226160076772,0.018526160600025827,0.008289955867423652
tic-tac-toe,0.014832098769643323,0.01088066237653224,0.014832098769643323,0.017523318455393063,0.01953982346437886,0.01826074068964002,0.01933975277085214,0.04824717208327822,0.04283152910874767,0.01976911612484372
titanic,0.1035290932227456,0.09708242685288473,0.08869848826157122,0.08674643268682945,0.09179019061357997,0.028350313763485013,0.09191478531764787,0.14390020147323643,0.028179751991195448,0.09194498951895667
trains,0.9848425719084075,1.5218545686841354,1.5360105895760974,1.2975824953262365,2.4774280416816596,1.9572918703990754,2.2520607817077662,1.160257105738762,7.20693818296823,2.1328944845808917
twonorm,0.02265934152510719,0.022391648991339122,0.020240591508077804,0.013073652122428725,0.014843969881873514,0.008603642208458493,0.014844841034785146,0.046527069712695046,0.01154779719913948,0.014904621946944302
vertebral-column-2clases,0.3322845958067075,0.37419275874771185,0.35027076249896916,0.16417531553960232,0.20682563973747312,0.09230155921020491,0.20957184830764772,0.4014148575637226,0.09935520883426116,0.20960733199235743
vertebral-column-3clases,0.1118844752896003,0.12453240166260506,0.10516343336021722,0.15118556661102536,0.212564028978427,0.09136137419752645,0.21603632365822487,0.31422374394357133,0.13755780263163442,0.2162727365521186
wall-following,1.0413216112262764,0.08217221937087309,0.016439304207680375,0.038611795546080505,0.0185804908120509,0.013902218091155561,0.018515344304340913,0.032061844002714335,0.026605551646945832,0.020075931416136682
waveform,0.015207081140690493,0.02020532743929548,0.015809280842539342,0.03601675185928778,0.031270856654910244,0.01579261050832794,0.03136809303355508,0.09672875169881652,0.020251831703234784,0.031164687740292896
waveform-noise,0.02332613574718152,0.028135453459622744,0.021017846746971863,0.04793569382520632,0.04086056481113467,0.02002870010495799,0.04077863044714316,0.12823007628370603,0.030332524915280705,0.04044057726781866
wine,0.10085955734343946,0.2057381884023194,0.11711202740083017,0.08855291627868885,0.08873198371987548,0.07374953004926972,0.08911432582437478,0.24801724801937308,0.18742134934716573,0.08945102395745935
wine-quality-red,0.06742397390961144,0.11773603629374856,0.05005403894994946,0.12989049815157763,0.12476501286251195,0.045963605377412224,0.1311463806027242,0.2978856331423016,0.03963399880736078,0.1311649175285785
wine-quality-white,0.03337135247148308,0.044807220184598415,0.02706029327244249,0.06345806557108172,0.05831571207486444,0.03003100346899425,0.061497548537295416,0.18798496270489362,0.028474332222705883,0.0613089640906439
yeast,0.07009594689599952,0.18436518414815725,0.06511556755248406,0.12781702692931324,0.1573448731626575,0.0701189862785071,0.15988240225647118,0.1978289294204043,0.07987778770686789,0.15973483318139603
zoo,0.17231304872051423,0.20838706056540354,0.21463905751715864,0.26147322604950946,0.22523351020696214,0.22911517215403637,0.27035823111579,0.2735181093609679,0.38852946712693875,0.269166816413364
