TRAINBALACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,CAWPE-A,WMV-A,MV-A,RC-A,PB-A
cardiotocography-3clases,0.014380313842912612,0.018979035532297836,0.017168527427376217,0.012010725321385496,0.016455799019113378,0.015899207035485335,0.01700308102998977,0.017907521946084862,0.018841391664988518,0.016586902625017653
cardiotocography-10clases,0.01267982095660551,0.01578911750385717,0.015123590202416756,0.014932500801241092,0.017976047094866946,0.01676387093864688,0.01688007502467398,0.016801432695830495,0.02067032545503742,0.018358350637429497
chess-krvk,0.0058051503387377265,0.006155859047455786,0.0072240938048981915,0.006517203496645094,0.009373673386267288,0.006667999378864784,0.0087116390704395,0.008678540669696831,0.008788247676890397,0.00786940402949535
chess-krvkp,0.0015407204351772946,0.0016609531232704758,0.001443448119429013,0.0017077324996848553,0.0015805765008521854,0.001578019808893944,0.0017077324996848553,0.0017077324996848553,0.0017077324996848553,0.0022463828970516802
congressional-voting,0.04430428559018549,0.0404121255290324,0.037542319247117824,0.030969002120009814,0.02489779602714596,0.023308942942327392,0.02048982243425661,0.02048982243425661,0.01708401288890435,0.020721679295349436
conn-bench-sonar-mines-rocks,0.030982054528152735,0.02742282256437454,0.02659962535306273,0.031140376154295553,0.026176638368287545,0.029339009497311875,0.028196309991653776,0.028196309991653776,0.028196309991653776,0.030138469959194492
conn-bench-vowel-deterding,0.0029886058813901484,0.003766396765247673,0.006467258267243585,0.008183487896042528,0.007984154348501046,0.007663985643464136,0.009281766550398047,0.009892424316074493,0.008979672145638181,0.010843272340709052
connect-4,0.0021420753301851676,0.0027937916534422954,0.002385439426990544,0.0030237088670481142,0.003997692338427381,0.00386002694366339,0.0032249666668041055,0.0032249666668041055,0.0041695224515776366,0.0021667669183248013
contrac,0.019486369485257535,0.026808989569917868,0.021354756200363253,0.0187788999782274,0.02038438681407649,0.017115953603850657,0.019277552462135243,0.01895850330843358,0.01963145574787604,0.016593719697105897
credit-approval,0.017054580055771557,0.020274838965144388,0.017107230617984994,0.012668819313358995,0.016965522635738847,0.015937509009157327,0.012668819313358995,0.012668819313358995,0.012668819313358995,0.019333969810634052
cylinder-bands,0.026258885076687673,0.02757079473796394,0.025308227852451383,0.0257283966778125,0.023859297548019142,0.029056470740916735,0.026756995850644675,0.026756995850644675,0.03360905711134349,0.02316148871592916
dermatology,0.00899905786343229,0.01026864341982381,0.010092717083605426,0.012465056482590466,0.010980635586467075,0.014452869264274146,0.01452193603837866,0.014202469664983348,0.014446415961774447,0.017293088417672384
echocardiogram,0.05353333896704526,0.05398159253297066,0.04820950821241842,0.05282032015284167,0.05187393121518742,0.05369680626913357,0.05227695027915504,0.05227695027915504,0.05335820739816541,0.05895532748869968
ecoli,0.06172154822810322,0.06792848973543628,0.07118712948253789,0.09573522611433205,0.05018416333648059,0.05433169043499864,0.04733183578618687,0.04295786031999208,0.05760918793643262,0.04378246884581439
energy-y1,0.012528874344152,0.01616734491875437,0.0148491340855981,0.016210635245012657,0.016948896584879525,0.016297937415214563,0.01644235475833591,0.016567523892040106,0.01646463425923933,0.017197039449669344
energy-y2,0.013286610266304786,0.015553216804743145,0.01266813268408943,0.014673251711624691,0.015197401585758876,0.01716479164267222,0.015072025009942713,0.014946125051067922,0.015189341059426115,0.01465073370029637
fertility,0.09231156160538462,0.09840410107772793,0.07923374846698554,0.07293188953446068,0.06568096798888276,0.04955724191575236,0.05909395114926783,0.05909395114926783,0.015214515486254628,0.07198504850112471
flags,0.07798841147894288,0.08758966133786476,0.0883366699791419,0.07362527778274722,0.03305965951650258,0.03814789702899923,0.031085410666575147,0.031257467608494384,0.03842780845203132,0.03702908091570269
glass,0.041223371761715526,0.06583791694494324,0.04342751112650124,0.051476389273249115,0.05816340613480842,0.06351870468902367,0.053076242493147845,0.051459968937556,0.063163268535767,0.04235283525412051
haberman-survival,0.05442562694326961,0.07383930246722191,0.05517533475556106,0.09353746238110029,0.051895868349715976,0.04694441747911749,0.0454349274193716,0.0454349274193716,0.040932244352428974,0.05545409038152392
hayes-roth,0.03957626782631618,0.0467826919744537,0.045740241047601216,0.045453387881221795,0.04198873108171988,0.043426567554290134,0.05259855319808038,0.06337234005967315,0.06034033415049825,0.05084383985805246
heart-cleveland,0.060947421269191754,0.07706896306456996,0.06273552064496186,0.04203013747974684,0.03858701750723369,0.04061670802615146,0.03994371160365642,0.042620684964873964,0.032231419707684526,0.03564785202636138
heart-hungarian,0.030337064638262242,0.04619524191891416,0.03504114324754637,0.02647547580395449,0.032471347057622404,0.02509588018813238,0.02731045340535384,0.02731045340535384,0.026645674084593042,0.03586622104478872
heart-switzerland,0.08309785215759562,0.08085277938862648,0.06756686886957099,0.06462153424654997,0.06136282841726364,0.0568059478295386,0.045931677841923015,0.05584466917577016,0.05260370314844533,0.057709278212660996
heart-va,0.07519496654163282,0.06374118709197842,0.04844790586779735,0.04494293604913636,0.06688041143434943,0.05799318330704212,0.052147648719017954,0.04705422661563792,0.04884238588299296,0.04783653770295526
hepatitis,0.05913953189255533,0.0787058675355097,0.061419994180476396,0.04665730887747743,0.06084899717683372,0.05405970891852671,0.04964655939168103,0.04964655939168103,0.05725278400323907,0.05016707649381033
hill-valley,0.01979953008880372,0.02384296962158643,0.022962408392133263,0.025063233945822404,0.045128178812108906,0.020598477974626522,0.01894276688521462,0.01894276688521462,0.026092839322172125,0.02349458588711535
horse-colic,0.025443250812769342,0.03260787301305597,0.024821908368825987,0.020628729540830226,0.024756854129802813,0.02197362319882118,0.022058620862916045,0.022058620862916045,0.022058620862916045,0.024846169087193906
ilpd-indian-liver,0.04421178957659951,0.04154358701208084,0.038815896775248174,0.07815497976620471,0.03614612507554789,0.03355563610689324,0.03533302563328752,0.03533302563328752,0.020079574878740337,0.0295815839288671
image-segmentation,0.00270704545628436,0.004288409955787978,0.0036728128209849087,0.0036271347237643815,0.0035979173023509875,0.0040012246082135544,0.003453861111511516,0.003640294815840861,0.0035102786512189446,0.0038676374605778824
ionosphere,0.01634842278736913,0.020114128252619497,0.015027604394735737,0.016053899173158172,0.017341666202884517,0.01632492235106377,0.015343197722745266,0.015343197722745266,0.015343197722745266,0.018109239148751958
iris,0.015554460826284673,0.015501822906031474,0.017629651094141094,0.01762385472670045,0.022822542686159204,0.021565783409107406,0.016847297042093177,0.016847297042093177,0.016847297042093177,0.019305965568015757
led-display,0.012214653034092639,0.012551976093243968,0.016352447655534907,0.018659002608534956,0.018896232005214186,0.019867151850148125,0.01915777426274059,0.019420085837190865,0.019514258866071974,0.020966574162924554
lenses,0.0,0.19062836012513792,0.18125784432754408,0.14916951530349382,0.18850927527789219,0.19298430805190667,0.1760106480333719,0.16074798446594984,0.17673476189692358,0.1138836203294012
letter,0.0012369620421470242,0.0012460670644270043,0.001555153178291661,0.0019854537458408018,0.0016873109543586895,0.002077992173611377,0.002072038030151471,0.0021669522718656266,0.0022083569051438707,0.0016718964550370044
libras,0.018289451721529536,0.019972309481369008,0.01729242479116863,0.020352366361621594,0.02767926336714454,0.030880370390206736,0.029191970414035012,0.030793512076082687,0.03226029371076919,0.03376949636331223
low-res-spect,0.05461364605077109,0.07145354059397696,0.05673339050802441,0.0826899974130658,0.05026694045343262,0.05147759316605446,0.04448201952305918,0.03941754039165941,0.040409612784487584,0.04800835055778383
lung-cancer,0.18362046480658267,0.07328982996947621,0.14975785762913676,0.08128823013655924,0.19832418386872178,0.16690967809389518,0.1450866214160383,0.18600876887218623,0.14227033130279865,0.18482490496287746
lymphography,0.13703509003311212,0.10666627379597189,0.11748405166079359,0.12572816327644518,0.06604550779286097,0.08721917739700935,0.09348851357860308,0.08506935159116051,0.09257563202741088,0.07026635263694214
magic,0.00394955234931016,0.0041745508502250925,0.003536778917579992,0.0033167750241702132,0.004465251845089464,0.00323942993134802,0.0033629498250787324,0.0033629498250787324,0.0033629498250787324,0.003490806836765877
mammographic,0.013659429864656191,0.016931422568429434,0.013492469872465832,0.013989303641495733,0.01466889056116229,0.013958591356624018,0.014272021615157168,0.014272021615157168,0.014272021615157168,0.01944495663587611
miniboone,9.776345436379225E-4,7.075642077258486E-4,6.753161915306053E-4,8.356418544168979E-4,0.0017468986057828549,0.0012628852084563234,0.0013341948358649657,0.0013341948358649657,0.0013341948358649657,7.336486068245342E-4
molec-biol-promoter,0.037572618933632146,0.04030190258160193,0.03181388653059748,0.04021214910097847,0.04997789077937448,0.03843942777361654,0.04378014017030981,0.04378014017030981,0.04378014017030981,0.04937892164141379
molec-biol-splice,0.006057184248683681,0.005540389924836988,0.005816030990699472,0.006019484341787224,0.005039621587628418,0.005431708232227188,0.005981511862590972,0.0062234514268695584,0.00588929367448852,0.005685702308221814
monks-1,0.005699304944817541,0.004439187786214064,0.007716895375238237,0.008474697016855843,0.00751774128888911,0.007728450503310529,0.010235410177501788,0.010235410177501788,0.010235410177501788,0.00786673345963248
monks-2,0.03757366882524863,0.04457977664811433,0.03979733933321448,0.03753475732832728,0.034364847235865345,0.02991448626581233,0.033624308927209856,0.033624308927209856,0.02682224181327121,0.026903280922204717
monks-3,0.008633596770868897,0.008076382351873091,0.0076085828093673735,0.010034121751972451,0.007271378641412875,0.008035772059135884,0.008486249846826778,0.008486249846826778,0.008486249846826778,0.00867245131270664
mushroom,0.0,0.0,0.0,0.0,4.662262151047035E-5,0.0,0.0,0.0,0.0,0.0
musk-1,0.020390993456204688,0.02217706416061892,0.017726828953472534,0.02067853036613138,0.0172259632754966,0.017596313483737403,0.02067853036613138,0.02067853036613138,0.02067853036613138,0.022932595065990068
musk-2,0.004028180451416012,0.004470401926867123,0.005614308331473017,0.004745202544342562,0.006491729516966328,0.004983540525333581,0.004775095133776819,0.004775095133776819,0.004775095133776819,0.0055570283948263195
nursery,6.816418547244735E-4,4.984395704727153E-4,0.0014704083918980584,0.006927721912833444,0.0022262448527982245,0.0033936127644565296,0.0025342815338986876,0.0025342815338986876,0.0025342815338986876,0.0014448850299340747
oocytes_merluccius_nucleus_4d,0.016132916510793408,0.021585361024936918,0.0205516612021975,0.018345274660082518,0.019373044004385286,0.01708606714461799,0.016333574555786937,0.016333574555786937,0.02179351167493675,0.01852780441859574
oocytes_merluccius_states_2f,0.012393802426850613,0.01525043285612035,0.014042206967711355,0.012949078751768726,0.015614360017301687,0.016565535127437435,0.017219146556981008,0.016774358735500483,0.017194174701466326,0.016291431898065253
oocytes_trisopterus_nucleus_2f,0.010432921897568108,0.01302661250427143,0.011960672651498503,0.010885819314449562,0.011881950683875799,0.010456989385255269,0.010853826192782167,0.010853826192782167,0.010853826192782167,0.015303536819299218
oocytes_trisopterus_states_5b,0.029887981000032107,0.028640438206667417,0.04007496657921918,0.0306650713214161,0.03599366865188992,0.0324970185641079,0.03816301062102334,0.03617462147505605,0.03743649591501715,0.03448966369733382
optical,0.0011947483069544315,0.001222098976587684,0.001428000497479681,0.0015787990265082657,0.0013973713120773743,0.0013291728062689496,0.0015925174298687063,0.0016825356640105048,0.001499625786016795,0.001360935671121053
ozone,0.03731908530565712,0.04653854171720557,0.030545323640939766,0.0,0.022837276969690117,0.02311964071607,0.019331583707081747,0.019331583707081747,0.002535752581042428,0.02820310248426419
page-blocks,0.022290069782985363,0.018092136276738603,0.024444937379519003,0.05224827881138653,0.029189516247509106,0.029568492280920802,0.028110352805759183,0.02638741083408933,0.031170097173324498,0.03054185487529572
parkinsons,0.031065806239987625,0.04358941419894026,0.0331978164218486,0.032661756663354524,0.03247994499929854,0.032072736524200646,0.03532438057960372,0.03532438057960372,0.038375150657406445,0.03589683159660161
pendigits,8.058504826133349E-4,6.43911268517373E-4,8.236813608055379E-4,8.666945734503448E-4,8.037165478045349E-4,8.905519421857727E-4,8.907221298407394E-4,8.263898894905776E-4,8.312190852532928E-4,0.0010213556205666272
pima,0.021170211257641208,0.02493193518177418,0.01753603667381147,0.016786195323423157,0.017846675193350175,0.022053258472439996,0.021729892172899758,0.021729892172899758,0.02682876029362849,0.02842633454562119
pittsburg-bridges-MATERIAL,0.07124334081436028,0.09167185053278903,0.09374356919599909,0.07772577236434633,0.09728620791816699,0.09960477314877919,0.09790849739025485,0.10080580788431108,0.07507163134151124,0.10508388129023116
pittsburg-bridges-REL-L,0.10555315514835019,0.10223147979362637,0.08554221132506287,0.06451180727011828,0.0646840284511337,0.0660193088440344,0.07088184815352615,0.07145119095533604,0.05560203170299006,0.07790009019017241
pittsburg-bridges-SPAN,0.07914237863978031,0.07794953825700011,0.07506279961408452,0.06690185628785793,0.06509114032469224,0.06381718452891823,0.07207841102949843,0.07063422225023096,0.07190080388827692,0.06590989995913565
pittsburg-bridges-T-OR-D,0.09573675309202156,0.13371627856898285,0.1220384031946455,0.1500415722126226,0.10507660802199902,0.10045059624481664,0.09591004838813855,0.09591004838813855,0.0928020483619736,0.09783331708517037
pittsburg-bridges-TYPE,0.10553956658171601,0.08311661690181078,0.0769216232756036,0.055861821784296904,0.07200223438579698,0.06844146618871493,0.07244329521826563,0.06976424640147517,0.05574267989032585,0.06426379408104965
planning,0.0697514558418392,0.08839144957221863,0.05031357834032895,0.05066869047028962,0.035077716109359516,0.02919287645832522,0.02908053907408796,0.02908053907408796,0.0014044168141158055,0.048105650126575805
plant-margin,0.0049800247541276635,0.007289305857559931,0.0031225565159660913,0.006691181578730347,0.013937527382582245,0.010470350173638928,0.011155896332814585,0.01099315683170384,0.010897659376446737,0.014091564791600038
plant-shape,0.00941776643969491,0.008232435150412484,0.004171477108215723,0.012013821063746714,0.012554765088872896,0.012519811885774175,0.011387332269100455,0.011131721784389753,0.01037410846467211,0.011356931146109457
plant-texture,0.0020692049669866807,0.007813179362908446,0.0033905823763145395,0.008894477187061179,0.010239343395868362,0.010093149390260778,0.010797969581338954,0.01207412117393718,0.010462973544276229,0.01388864219031822
post-operative,0.13976416411034048,0.10062519638530168,0.07683467755560965,0.17008862668845326,0.041350170889726943,0.031143167395810134,0.028960876206455922,0.03043085257932175,0.019406206700985047,0.04918655142807234
primary-tumor,0.048713481342171204,0.049578599299259535,0.044489538804452305,0.03756301833526168,0.022607501874256367,0.025709116394570106,0.024349601194800476,0.02568928606317918,0.029527604935176074,0.03441344845481587
ringnorm,0.0016730131849009228,0.002298895261538159,0.001966522178420431,0.0017533889903767503,0.0019191496499437815,0.0018804507712138765,0.0017533889903767503,0.0017533889903767503,0.0017533889903767503,0.002387190101399981
seeds,0.016464090649607646,0.019224683310946476,0.02143981946473987,0.023419910200775558,0.024581889551547217,0.02307007188886243,0.0232478915527135,0.0232478915527135,0.023419910200775565,0.020380307833216135
semeion,0.005866226584014252,0.00607456041193591,0.007214168784360776,0.007998499361764201,0.008227509481521655,0.00696798998605562,0.00735890996048459,0.007177058986117857,0.007210121746415795,0.009418335960537424
soybean,0.0043612565511970645,0.008204595036544107,0.00576843518842797,0.010948291872099709,0.01268977923842651,0.012059066479781359,0.011126573860268234,0.011430776855834272,0.013037406494173955,0.01465388276059361
spambase,0.00361101177808216,0.003985276125848824,0.0034039659530159597,0.003758428542419336,0.00371762214839288,0.0038096319269840194,0.003933436806256108,0.003933436806256108,0.003933436806256108,0.0034792341397867294
spect,0.03341188210158425,0.045970458391942935,0.03803486918328565,0.03785587347766871,0.054048966968682596,0.042552054074687304,0.04370530046820189,0.04370530046820189,0.04057263002483924,0.04133166968843531
spectf,0.04522057315983628,0.051173121907683874,0.04624008858608934,0.037693546418857055,0.04578127064534312,0.046412866000027156,0.04143498234728409,0.04143498234728409,0.06419336598395076,0.055410506874442156
statlog-australian-credit,0.030372498445187374,0.03331191117704374,0.023379362505630257,0.021668388786546103,0.021380606297748718,0.022917938838446086,0.019847603498863164,0.019847603498863164,0.010045721155432818,0.02623897917203798
statlog-german-credit,0.02716953432205255,0.030218037212598532,0.0232919609084077,0.01991958708649238,0.01878819642666022,0.020366721548300475,0.018208823068002727,0.018208823068002727,0.017867674325594534,0.021672821924118697
statlog-heart,0.028054408003540525,0.035430259956172216,0.03261564551034049,0.028652640692373055,0.03209406075323257,0.030403890404422557,0.029850040271573487,0.029850040271573487,0.029850040271573487,0.03211449822383316
statlog-image,0.0026457167499055255,0.0032026158491689953,0.0034293262699525776,0.0042481375650111125,0.0037301921751499473,0.003900910935435074,0.004268775428512956,0.004342319176248833,0.004250063951194348,0.004018736462027347
statlog-landsat,0.004032382039908598,0.00883040460432114,0.004231777361703294,0.005050365416899827,0.004175956349368346,0.004751334542903874,0.005041745857234815,0.005116384219242716,0.007026049589241557,0.004531223481291205
statlog-shuttle,0.021810871883356172,0.021338160975603714,0.022282970676795022,0.014485445181027326,0.028675717171639026,0.03217468158872192,0.028884217531660317,0.033055761248878976,0.03149133882985146,0.023753176414604588
statlog-vehicle,0.014961326831526232,0.02981648113509353,0.014140891856638842,0.013532789792869501,0.014952557278041213,0.014120018483976267,0.015220865686896134,0.014791871059756104,0.015139320525662055,0.020063553011047734
steel-plates,0.014585209635877035,0.027785139088464923,0.013993909620932967,0.015447589469490654,0.013593645495932945,0.01398628825174794,0.014960276864406026,0.015163716972854251,0.016663151934398095,0.01571840025998912
synthetic-control,0.0038307087466832577,0.0036880255648585217,0.005173861015075756,0.006720092439916412,0.006520426691567201,0.0059810257666177,0.007143842296595069,0.007186620177701357,0.007254716174244032,0.009319091487683269
teaching,0.05667320018177216,0.05457942969823887,0.053077842995186204,0.054226528462676844,0.06901191601034198,0.06691849021885712,0.07182455331289055,0.07212604342824402,0.06791153907197367,0.07138651121293521
thyroid,0.0051816750092535295,0.004705168582187446,0.00485758967240738,0.004940713041720757,0.0067180836148585665,0.009916517617680748,0.010204654978454667,0.010222230183480393,0.010821685320095387,0.0059276181199763595
tic-tac-toe,0.003028790697217695,0.0034466270446156817,0.0042003459651263,0.004100360401322373,0.005253887343096184,0.004460611815882207,0.004706100854909887,0.004706100854909887,0.004706100854909887,0.00535668677400662
titanic,0.014568182252520509,0.015333971675358552,0.01421782904246541,0.009640533819601026,0.015822502961125022,0.014953874518486362,0.012030447898474,0.012030447898474,0.010523536238111681,0.01085492668829618
trains,0.0,0.0,0.0,0.0,0.3794278814760182,0.18491998891101682,0.12253312946339022,0.20482681218167148,0.159920957487373,0.0
twonorm,0.0017201134844550682,0.0022073984820279004,0.0019452894129263884,0.0019732422153227193,0.0018400692981310628,0.0020454713847853547,0.0019732422153227193,0.0019732422153227193,0.0019732422153227193,0.002262448281552368
vertebral-column-2clases,0.03876850663733042,0.04130101975817152,0.03313176997170578,0.041252515204363814,0.034044428601844305,0.037098485137530474,0.03985581763152442,0.03985581763152442,0.03985581763152442,0.04434129381885072
vertebral-column-3clases,0.027882153837629393,0.027727003403762097,0.028755562266950942,0.02801497704006581,0.034896591547076916,0.04059448961270998,0.037979627529501854,0.03860193345357818,0.04112708950474102,0.04042515644661754
wall-following,0.002027035736648703,0.002423370303417365,0.0024054005376127913,0.0025696198844103765,0.0024916492228707716,0.0025184804235146973,0.0024929721599449175,0.0024100743733172,0.0025773132436908365,0.0023680665939134573
waveform,0.003833898887224175,0.00565087927994869,0.003920590536292169,0.0049338687311912795,0.004982402040784807,0.004673680555858352,0.0049338687311912795,0.0049338687311912795,0.0049338687311912795,0.005637528947130071
waveform-noise,0.005064895027667051,0.006521603033843302,0.006010204720604307,0.0056352058296817095,0.005873484406848963,0.005705404615744553,0.0056692987675100006,0.005613746613181375,0.005702650577602682,0.005410314497360919
wine,0.007053750933152492,0.008599613175649641,0.00892505056262836,0.0127199779064871,0.012716943513732318,0.012467910819221729,0.012871111280232784,0.012871111280232784,0.012871111280232784,0.016640467242558434
wine-quality-red,0.042790004869043656,0.05905260115353504,0.036476653812417985,0.04410441652372141,0.01928630023130698,0.019527308220486362,0.01589931351350279,0.016260115313589757,0.01446440961216972,0.021144691170315765
wine-quality-white,0.02365485725005601,0.03990240758704773,0.022866224102262963,0.05077556703882122,0.011063086927772681,0.011789443194295007,0.01124594455076426,0.01442247525242997,0.015156835779824617,0.012500995793962438
yeast,0.0253549980097623,0.05045962611888714,0.02805132236617585,0.031657420590739206,0.04346992957535284,0.03230446458485334,0.02566623698625294,0.02532522488967742,0.036719872912044094,0.02411222478805074
zoo,0.006520506636966257,0.09947935069705037,0.01022844850445808,0.05995785915542288,0.07659056999188553,0.07569406738136546,0.0676786607873385,0.07752664067322017,0.06854995900896925,0.06236456120280408
