TRAINBALACC:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,CAWPE-A,WMV-A,MV-A,RC-A,PB-A
oocytes_trisopterus_states_5b,0.9247448630605487,0.9184189131615874,0.9133066633312878,0.9073912516660608,0.9056923582040548,0.905137395459976,0.8970886442075804,0.8921475279761416,0.8937945667199545,0.8642261074174397
optical,0.9897335743372397,0.9912532929372698,0.9868402812173057,0.9834453076500437,0.9843811498681971,0.9837188031155427,0.9828979670620843,0.9823485066384674,0.982634798293748,0.9756924885199364
ozone,0.5548379817673076,0.548833002376869,0.5345894635496584,0.5,0.5247860065589554,0.5344567048770947,0.520646418148449,0.520646418148449,0.500462962962963,0.5468265788127689
page-blocks,0.8849456486582405,0.9004055658694321,0.8596159946940932,0.866318687176109,0.8280974119377252,0.7997133687667048,0.8113657010094228,0.8062088844704575,0.7859667586688467,0.8307162562931256
parkinsons,0.8837614155251141,0.8774923896499238,0.868531202435312,0.8581621004566209,0.8358923135464232,0.8289859208523591,0.8250665905631658,0.8250665905631658,0.8201579147640792,0.8290715372907153
pendigits,0.9954667543416933,0.9961314802435318,0.993784172428884,0.9919719865733823,0.992320594501042,0.9924499909582901,0.9917871174492123,0.991760421364735,0.9916601295792755,0.9892354891260137
pima,0.7416119402985075,0.7359134328358207,0.726171144278607,0.7387681592039802,0.726068656716418,0.721481592039801,0.7226825870646768,0.7226825870646768,0.7165034825870649,0.7021592039800993
pittsburg-bridges-MATERIAL,0.8496866096866099,0.7524216524216526,0.78494301994302,0.717571225071225,0.625391737891738,0.6209401709401708,0.6117735042735042,0.6112037037037036,0.6312749287749289,0.6018660968660969
pittsburg-bridges-REL-L,0.7063348416289592,0.685552682611506,0.6535875888817063,0.6291783380018674,0.5758600876247935,0.5672125260360554,0.5573224161459455,0.5554909143144436,0.5552646699705522,0.5131904043668749
pittsburg-bridges-SPAN,0.7367003367003367,0.7143939393939391,0.6941077441077439,0.6449494949494949,0.6179292929292929,0.6057239057239058,0.6061447811447812,0.6046717171717173,0.6011363636363637,0.5627525252525253
pittsburg-bridges-T-OR-D,0.7784090909090907,0.7288961038961037,0.7305194805194805,0.724512987012987,0.66991341991342,0.6496212121212122,0.6438852813852814,0.6438852813852814,0.5993506493506492,0.6522186147186148
pittsburg-bridges-TYPE,0.7557702020202018,0.6727609427609427,0.7710816498316501,0.6289983164983165,0.42103114478114473,0.42115319865319856,0.4195833333333333,0.4087415824915825,0.43792508417508424,0.38845959595959606
planning,0.6374358974358976,0.5650000000000002,0.5371794871794873,0.5344871794871795,0.5121794871794871,0.5111538461538462,0.5117948717948718,0.5117948717948718,0.49974358974358973,0.4833333333333334
plant-margin,0.9921249999999997,0.9497916666666669,0.992958333333333,0.8979583333333331,0.8182083333333331,0.7976249999999998,0.8178333333333332,0.8079583333333333,0.8160416666666664,0.673125
plant-shape,0.9735416666666669,0.9003333333333331,0.9824583333333333,0.77275,0.6360833333333334,0.6330000000000002,0.613875,0.6065833333333333,0.6206666666666665,0.47091666666666665
plant-texture,0.9968333333333333,0.9435952380952382,0.9922083333333334,0.875136904761905,0.8047261904761905,0.7884226190476191,0.7991785714285714,0.7939583333333331,0.7971309523809523,0.6896904761904762
post-operative,0.5196759259259259,0.41620370370370374,0.40034722222222224,0.4504629629629629,0.3152777777777779,0.3056712962962963,0.31296296296296283,0.3108796296296295,0.33935185185185185,0.30289351851851853
primary-tumor,0.8634500139236979,0.6638212197159564,0.7648113338902813,0.5435192147034253,0.2989054580896686,0.2990558340295182,0.29808493455861884,0.29172222222222227,0.32001141743247014,0.28042495126705663
ringnorm,0.9806787650118912,0.9810520752488086,0.9789144684551586,0.9769813319556523,0.9784039745471887,0.9780544308650403,0.9769813319556523,0.9769813319556523,0.9769813319556523,0.9765690796343224
seeds,0.9682539682539684,0.9603174603174603,0.948888888888889,0.9260317460317462,0.9295238095238096,0.9253968253968256,0.9257142857142858,0.9257142857142858,0.9260317460317462,0.9161904761904763
semeion,0.9633489934168555,0.9665243202062822,0.9482083643683504,0.9414915535706676,0.9382918606566636,0.9387667948488975,0.9380755307748976,0.9355708422041052,0.9368032254769242,0.9101370129193617
soybean,0.9862211486849167,0.9765214660987609,0.9804813025585973,0.9499573838221183,0.9429883084351686,0.9370694987603199,0.94017420582638,0.9368251354120919,0.9368484767156268,0.9028111166879284
spambase,0.9514027319860264,0.9516759517030309,0.9494564373964739,0.9496857128680366,0.9491086312304495,0.9467861580641518,0.946423730209254,0.946423730209254,0.946423730209254,0.9464986069806158
spect,0.7222077922077922,0.7389610389610389,0.7167965367965368,0.6925974025974025,0.6869696969696969,0.6748484848484849,0.6773593073593075,0.6773593073593075,0.681904761904762,0.6218181818181818
spectf,0.7894246447705566,0.799836943862101,0.7869729792685766,0.8034882366643372,0.7770498485907292,0.7759375727929186,0.7867691590962032,0.7867691590962032,0.7672781271837875,0.7510307477288609
statlog-australian-credit,0.5523696773696772,0.5360957110957112,0.5251751751751752,0.5053284053284053,0.5317471317471318,0.5355990605990606,0.5284303534303533,0.5284303534303533,0.5055382305382305,0.5443443443443443
statlog-german-credit,0.6949047619047619,0.6980158730158729,0.6879523809523811,0.7183492063492064,0.6824285714285713,0.6792380952380951,0.6748730158730158,0.6748730158730158,0.6397936507936509,0.6736031746031745
statlog-heart,0.8496666666666665,0.8620555555555555,0.8421111111111111,0.8377222222222221,0.8358333333333334,0.8281666666666665,0.8311666666666666,0.8311666666666666,0.8311666666666666,0.8056666666666666
statlog-image,0.9871861471861471,0.9871861471861473,0.9830014430014429,0.975036075036075,0.9772294372294373,0.9748051948051949,0.9740548340548343,0.9739105339105342,0.9738528138528139,0.975064935064935
statlog-landsat,0.8961626201017455,0.9199674440455273,0.890842609713948,0.888298195560804,0.8859111926899291,0.8842639140644245,0.8817584858944987,0.8819811727863244,0.8768046365192187,0.8850368006706771
statlog-shuttle,0.9749162057417349,0.9658716732617063,0.9620632532772994,0.9777668524564735,0.9141763443952826,0.8803684033223609,0.8826316332647514,0.8658381492400441,0.8659504451282555,0.911474113729187
statlog-vehicle,0.8448273558386938,0.8590269921728004,0.8241186009985416,0.801342934033272,0.8036773914009792,0.7921302063875343,0.7855258912573118,0.7828528648572932,0.7794345154660486,0.7594153141633092
steel-plates,0.8125280339388684,0.8539534975201568,0.7956370405191636,0.8022521977633074,0.7787051785460396,0.777773579950054,0.7723743108085288,0.7741857981874554,0.7691149950274896,0.7713353263373689
synthetic-control,0.9956666666666665,0.9916666666666665,0.9902222222222221,0.9857777777777776,0.9867777777777781,0.9858888888888888,0.9846666666666665,0.9839999999999999,0.984111111111111,0.9555555555555555
teaching,0.7035940170940171,0.7197150997150996,0.605270655270655,0.5866182336182336,0.5485071225071224,0.5476894586894587,0.5479102564102565,0.5464672364672365,0.5514501424501426,0.5045441595441595
thyroid,0.9884447214583516,0.9923400669034951,0.9843831272860132,0.9856221362925537,0.9814287719150823,0.9645338940214959,0.9701018067582904,0.9700551354244904,0.9687093995325847,0.9818215187591746
tic-tac-toe,0.9923357968615676,0.9931451043791779,0.9903566342045497,0.9865202022146092,0.9870571743844386,0.9835386273528619,0.9816309968307735,0.9816309968307735,0.9816309968307735,0.9826395037017075
titanic,0.6971210259318777,0.6895446954658601,0.6888158931215931,0.7099754230078457,0.7026180798437154,0.7049900746762453,0.6859227400195353,0.6859227400195353,0.6804792513470084,0.6835104137127013
trains,1.0,1.0,1.0,1.0,0.45,0.7666666666666667,0.9083333333333333,0.21666666666666667,0.8166666666666667,0.0
twonorm,0.9781372125983144,0.978317894738073,0.977794894417666,0.9763705297943547,0.9779932047962843,0.9767042384951625,0.9763705297943547,0.9763705297943547,0.9763705297943547,0.9712344123101823
vertebral-column-2clases,0.8422380952380953,0.8521587301587299,0.8353968253968254,0.8302063492063492,0.8226349206349207,0.8057619047619048,0.8154761904761904,0.8154761904761904,0.8154761904761904,0.7866825396825396
vertebral-column-3clases,0.8631851851851852,0.8735555555555555,0.8438518518518521,0.8236296296296296,0.803925925925926,0.7923703703703704,0.7995555555555554,0.799259259259259,0.7956296296296297,0.7662222222222222
wall-following,0.9934045908327814,0.9946997438932468,0.9910055162857546,0.9884878075518944,0.989454767977024,0.9821497878092561,0.9709821349345362,0.96900400382113,0.9709237599179369,0.9906566057125917
waveform,0.8701914436918315,0.8699000266692273,0.8671334032169967,0.8622500956687152,0.8676299236039606,0.8621659673747188,0.8622500956687152,0.8622500956687152,0.8622500956687152,0.8483447611716676
waveform-noise,0.8682245633465164,0.8676428157684553,0.8647960991052438,0.8634328786438953,0.8651049726644587,0.8627945027347963,0.8634731849719888,0.8633925723158018,0.8634866204146867,0.8529261355423348
wine,0.9928845101258895,0.9950269111476008,0.9894845831052728,0.9822377303411787,0.9809145228972815,0.9831759715380404,0.9819202700237182,0.9819202700237182,0.9819202700237182,0.9682471264367815
wine-quality-red,0.40402179463538496,0.45577684404594493,0.36074954350985455,0.41466733264231587,0.321917674517404,0.3214149614065098,0.3200311273130746,0.3205668839712113,0.30077944762021847,0.322031244117113
wine-quality-white,0.3620949563060295,0.42321716531599074,0.35327501523643784,0.39239510986969506,0.3286089644194365,0.33049987521325097,0.32472778883360254,0.32697346492076285,0.28063835135709075,0.331466273774424
yeast,0.7069437166234783,0.6830742721571785,0.6235192003020004,0.5876276866262236,0.5191435279094291,0.49407234461765553,0.47450193962769266,0.4670487680535086,0.4798817897517961,0.42836057047889803
zoo,0.9988095238095238,0.8640476190476191,0.9966666666666666,0.9173809523809522,0.8192857142857143,0.8150000000000003,0.8250000000000003,0.8121428571428574,0.8259523809523813,0.8207142857142858
