TRAINTESTDIFFSACCRANKS:,CAWPE,SVML,Logistic,MLP,NN,C4.5
energy-y1,3.0,1.0,4.0,2.0,6.0,5.0
energy-y2,5.0,1.0,2.0,4.0,6.0,3.0
fertility,2.0,1.0,5.0,3.0,6.0,4.0
flags,3.0,5.0,2.0,4.0,1.0,6.0
glass,2.0,3.0,1.0,4.0,5.0,6.0
haberman-survival,5.0,6.0,3.0,4.0,1.0,2.0
hayes-roth,3.0,4.0,2.0,6.0,1.0,5.0
heart-cleveland,1.0,2.0,4.0,5.0,6.0,3.0
heart-hungarian,2.0,6.0,4.0,5.0,1.0,3.0
heart-switzerland,1.0,5.0,3.0,6.0,2.0,4.0
heart-va,1.0,2.0,3.0,6.0,5.0,4.0
hepatitis,3.0,4.0,5.0,2.0,1.0,6.0
hill-valley,2.0,3.0,4.0,5.0,1.0,6.0
horse-colic,3.0,4.0,1.0,2.0,6.0,5.0
ilpd-indian-liver,3.0,4.0,6.0,2.0,5.0,1.0
image-segmentation,4.0,1.0,2.0,6.0,3.0,5.0
ionosphere,2.0,1.0,5.0,4.0,6.0,3.0
iris,2.0,6.0,4.0,5.0,3.0,1.0
led-display,1.0,4.0,5.0,2.0,3.0,6.0
lenses,2.0,3.0,1.0,5.0,4.0,6.0
letter,4.0,3.0,1.0,2.0,5.0,6.0
libras,2.0,1.0,5.0,3.0,4.0,6.0
low-res-spect,3.0,5.0,1.0,2.0,4.0,6.0
lung-cancer,1.0,6.0,2.0,3.0,5.0,4.0
lymphography,4.0,3.0,5.0,6.0,2.0,1.0
magic,4.0,2.0,1.0,6.0,3.0,5.0
mammographic,5.0,6.0,3.0,1.0,4.0,2.0
miniboone,2.0,4.0,1.0,3.0,5.0,6.0
molec-biol-promoter,1.0,3.0,6.0,5.0,4.0,2.0
molec-biol-splice,2.0,5.0,4.0,6.0,1.0,3.0
monks-1,5.0,1.0,2.0,6.0,4.0,3.0
monks-2,6.0,1.0,2.0,3.0,5.0,4.0
monks-3,4.0,1.0,3.0,5.0,6.0,2.0
mushroom,5.0,3.0,1.0,6.0,2.0,4.0
musk-1,2.0,3.0,4.0,5.0,6.0,1.0
musk-2,3.0,1.0,2.0,4.0,6.0,5.0
nursery,5.0,1.0,2.0,6.0,4.0,3.0
oocytes_merluccius_nucleus_4d,3.0,2.0,6.0,1.0,5.0,4.0
oocytes_merluccius_states_2f,3.0,1.0,6.0,2.0,4.0,5.0
oocytes_trisopterus_nucleus_2f,3.0,5.0,1.0,4.0,6.0,2.0
oocytes_trisopterus_states_5b,1.0,3.0,2.0,4.0,5.0,6.0
optical,2.0,3.0,5.0,1.0,4.0,6.0
ozone,2.0,4.0,5.0,1.0,6.0,3.0
page-blocks,5.0,3.0,4.0,1.0,2.0,6.0
parkinsons,4.0,2.0,6.0,5.0,3.0,1.0
pendigits,2.0,1.0,5.0,4.0,3.0,6.0
pima,4.0,1.0,2.0,6.0,3.0,5.0
pittsburg-bridges-MATERIAL,1.0,5.0,3.0,2.0,6.0,4.0
pittsburg-bridges-REL-L,1.0,2.0,5.0,3.0,6.0,4.0
pittsburg-bridges-SPAN,2.0,5.0,6.0,1.0,4.0,3.0
pittsburg-bridges-T-OR-D,3.0,4.0,5.0,2.0,6.0,1.0
pittsburg-bridges-TYPE,2.0,5.0,4.0,1.0,6.0,3.0
planning,2.0,5.0,1.0,3.0,6.0,4.0
plant-margin,4.0,3.0,5.0,2.0,1.0,6.0
plant-shape,5.0,3.0,4.0,1.0,6.0,2.0
plant-texture,3.0,4.0,5.0,1.0,2.0,6.0
post-operative,2.0,3.0,5.0,1.0,6.0,4.0
primary-tumor,2.0,5.0,6.0,3.0,1.0,4.0
ringnorm,2.0,4.0,3.0,1.0,6.0,5.0
seeds,6.0,5.0,1.0,2.5,2.5,4.0
semeion,2.0,3.0,5.0,4.0,1.0,6.0
soybean,2.0,4.0,6.0,3.0,1.0,5.0
spambase,5.0,1.0,2.0,6.0,4.0,3.0
spect,1.0,3.0,5.0,2.0,4.0,6.0
spectf,2.0,4.0,3.0,5.0,1.0,6.0
statlog-australian-credit,5.0,3.0,4.0,2.0,1.0,6.0
statlog-german-credit,3.0,4.0,6.0,1.0,5.0,2.0
statlog-heart,3.0,2.0,1.0,4.0,5.0,6.0
statlog-image,3.0,4.0,2.0,5.0,1.0,6.0
statlog-landsat,4.0,3.0,5.0,6.0,2.0,1.0
statlog-shuttle,3.0,6.0,1.0,5.0,4.0,2.0
statlog-vehicle,3.0,6.0,1.0,2.0,5.0,4.0
steel-plates,4.0,3.0,2.0,5.0,6.0,1.0
synthetic-control,3.0,1.0,6.0,2.0,5.0,4.0
teaching,3.0,6.0,5.0,1.0,2.0,4.0
thyroid,5.0,3.0,2.0,6.0,4.0,1.0
tic-tac-toe,5.0,3.0,4.0,1.0,2.0,6.0
titanic,3.0,2.0,1.0,4.0,5.0,6.0
trains,2.0,5.0,3.0,4.0,1.0,6.0
twonorm,1.0,3.0,4.0,2.0,5.0,6.0
vertebral-column-2clases,4.0,1.0,5.0,3.0,2.0,6.0
vertebral-column-3clases,5.0,4.0,1.0,3.0,2.0,6.0
wall-following,4.0,1.0,3.0,2.0,6.0,5.0
waveform,1.0,2.0,3.0,5.0,6.0,4.0
waveform-noise,3.0,4.0,2.0,1.0,5.0,6.0
wine,3.0,5.0,2.0,4.0,1.0,6.0
wine-quality-red,5.0,3.0,1.0,4.0,2.0,6.0
wine-quality-white,5.0,1.0,3.0,2.0,6.0,4.0
yeast,1.0,3.0,4.0,5.0,2.0,6.0
zoo,3.0,1.0,5.0,4.0,2.0,6.0
