TRAINTESTDIFFSACC:,CAWPE,SVML,Logistic,MLP,NN,C4.5
lenses,-0.052680652680652695,-0.059673659673659694,-0.015617715617715633,-0.12074592074592078,-0.06503496503496507,-0.27832167832167837
letter,-0.0038290538762364027,-0.0035932694273686874,5.637252762253798E-4,-6.493036514921465E-5,-0.0049024017355101795,-0.00625799339975011
libras,-0.011851851851851851,-0.00814814814814816,-0.01611111111111111,-0.01314814814814815,-0.015000000000000003,-0.020370370370370382
low-res-spect,-0.005612302803314048,-0.007724719101123593,0.008758937691521933,-0.00318210191805699,-0.00737714220860286,-0.008455339916014071
lung-cancer,0.03189542483660131,-0.10235294117647059,-0.02235294117647059,-0.03398692810457517,-0.05581699346405226,-0.050196078431372554
lymphography,-0.01875190258751903,-0.013838660578386626,-0.02390258751902589,-0.03452054794520551,-0.00476712328767123,0.007969558599695574
magic,-0.0016614090431125125,-0.001524710830704527,-9.81423063442007E-4,-0.006589554854539078,-0.001615842972309852,-0.0031265334735366226
mammographic,-0.00848102910602913,-0.010048654423654442,-0.0076515939015939305,-0.002473434973434992,-0.008045738045738065,-0.0027926484176484466
miniboone,0.004634154385093026,-2.486257032103848E-4,0.004848933824417619,1.0346857551342495E-4,-6.524176903317376E-4,-7.745171084413046E-4
molec-biol-promoter,0.015313390313390315,0.00465337132003798,-0.005959164292497628,-0.004534662867996216,-6.172839506172904E-4,0.005769230769230775
molec-biol-splice,4.0764814587703017E-4,-0.0020520508716374785,-6.064146145371726E-4,-0.0031244202098722473,0.00583935790962142,1.6325841789762337E-5
monks-1,-0.042925659472422065,0.00875299760191847,0.007913669064748196,-0.043884892086330944,-0.011151079136690651,0.006354916067146277
monks-2,-0.008001476559616083,-0.0011432262827611747,-0.002168696936138803,-0.004923218899963093,-0.007458840900701361,-0.0051044665928386855
monks-3,-0.009265944645006019,-0.004572803850782189,-0.006618531889290021,-0.036221419975932624,-0.04356197352587243,-0.006257521058965102
mushroom,-0.0013211882488101123,-1.0667979648776675E-4,4.923682914820223E-4,-0.002584933530280653,-5.744296733957525E-5,-1.2309207287051574E-4
musk-1,-0.008419398690041135,-0.01086806842857901,-0.01109698756539496,-0.014865620347321525,-0.08404451270824873,-0.004014029388744704
musk-2,-0.0022172237842341125,-2.555267655328578E-4,-0.0022166479837795886,-0.002664387966995563,-0.04383774678256182,-0.0035973500928019133
nursery,-0.004310699588477381,3.7037037037038016E-4,1.1316872427984774E-4,-0.008590534979423865,-0.003492798353909465,-0.0011831275720164513
oocytes_merluccius_nucleus_4d,-7.618464052287648E-4,-5.703635620915063E-4,-0.003076746323529415,0.0030675551470588313,-0.0022347324346405147,-0.0012686376633987047
oocytes_merluccius_states_2f,-0.001418760212418302,-9.99795751633988E-4,-0.005829503676470597,-0.0014156964869281087,-0.001637816584967311,-0.0022906454248365978
oocytes_trisopterus_nucleus_2f,-0.00489736375950817,-0.008490954705396726,-0.004198267086669723,-0.006808377618005631,-0.020606599818853655,-0.0047527672910605
oocytes_trisopterus_states_5b,0.0028395091414785247,0.001386170357723963,0.0023124213496204713,-0.00444049021729546,-0.004881012495892149,-0.008947187021585264
optical,-4.2637509990693195E-4,-4.5438893306681827E-4,-0.0027053190020371763,-7.442915799309077E-5,-0.001435029288935367,-0.005468717316403112
ozone,0.0011075016756612783,-0.0018199142567309776,-0.004025774810618706,0.0011253104352904719,-0.004730371440139821,9.848513590529702E-4
page-blocks,-6.0097154321185155E-5,5.902082724060083E-4,1.0597682024135654E-4,0.002389971373616817,6.443273156055418E-4,-7.297791392855357E-4
parkinsons,-0.007181429272740029,-0.002398485167262809,-0.027536994179114947,-0.02277508941721019,-0.006003226032681123,0.002731608107160388
pendigits,-6.0060901131349835E-5,6.575215320581732E-4,-3.4422954348119667E-4,-3.1825457764080484E-4,-2.764218388746298E-4,-0.0017400181361276893
pima,-0.004079861111111127,-0.0011284722222222247,-0.0013020833333333333,-0.013454861111111108,-0.0017361111111111197,-0.009027777777777768
pittsburg-bridges-MATERIAL,0.01704653371320038,0.007336182336182336,0.014197530864197531,0.015337132003798675,0.002516619183285858,0.00954415954415954
pittsburg-bridges-REL-L,0.03431446540880508,0.01605031446540884,-0.0012830188679245013,0.012641509433962287,-0.008402515723270406,0.005987421383647832
pittsburg-bridges-SPAN,-0.019565217391304353,-0.040579710144927526,-0.04782608695652176,-0.013768115942028977,-0.039855072463768106,-0.024637681159420288
pittsburg-bridges-T-OR-D,0.009150326797385614,0.005882352941176461,6.535947712418277E-4,0.009803921568627446,-0.016993464052287573,0.015686274509803907
pittsburg-bridges-TYPE,0.00896877269426289,-0.006245461147421938,-1.815541031227256E-4,0.009440813362381997,-0.019753086419753086,0.0034132171387073434
planning,-0.00842490842490841,-0.010989010989010983,-0.0010989010989011024,-0.008424908424908438,-0.0608058608058608,-0.008791208791208786
plant-margin,-0.021375,-0.021333333333333322,-0.02833333333333331,-0.019500000000000003,-0.014375000000000004,-0.03825
plant-shape,-0.015291666666666674,-0.014249999999999992,-0.014624999999999999,-0.012916666666666672,-0.018291666666666682,-0.013749999999999997
plant-texture,-0.014210210680016691,-0.02074681894034209,-0.021448581560283717,-0.011694096787651246,-0.0137009282436379,-0.03077138089278264
post-operative,-0.025925925925925918,-0.03259259259259258,-0.04148148148148148,0.014814814814814808,-0.10444444444444446,-0.03333333333333335
primary-tumor,-0.0016310936409389817,-0.00986493271126458,-0.027877986358571197,-0.00747217221997723,0.015399875096432897,-0.008702839719334334
ringnorm,0.004801801801801804,-0.00218018018018018,-0.0015855855855855952,0.007819819819819825,-0.16606306306306307,-0.002333333333333328
seeds,-0.011111111111111108,-0.010476190476190469,-0.0022222222222222105,-0.0060317460317460365,-0.0060317460317460365,-0.009841269841269821
semeion,0.0017238860865910052,0.0014787725935266856,2.0780790248003944E-4,6.522698612862476E-4,0.003199348465741917,-0.004977931904161411
soybean,-0.006194191962499277,-0.009197679071628629,-0.025223803807237186,-0.008391070713999879,-0.003286457440118921,-0.015263819813639749
spambase,-0.003622331815404782,8.57755607202911E-4,-2.2200807462413596E-4,-0.0102406641094924,-0.002469323356574645,-8.189067135271973E-4
spect,0.003742310321257699,0.0013081947292473768,-0.005823270296954508,0.0019632414369256707,-0.001608187134502903,-0.011760461760461752
spectf,0.006390977443609003,8.323046422025045E-4,0.005897205700819197,-0.002268731530318335,0.00755433359518198,-0.005186473646803595
statlog-australian-credit,-0.003864734299516914,-0.001932367149758448,-0.002512077294685988,-1.9323671497585663E-4,0.002898550724637687,-0.007536231884057968
statlog-german-credit,-0.00386666666666667,-0.004733333333333338,-0.010133333333333343,3.9999999999999297E-4,-0.005000000000000001,-0.0016666666666666754
statlog-heart,0.005679012345679002,0.005925925925925934,0.0064197530864197475,-2.469135802469102E-4,-0.0022222222222222253,-0.01037037037037036
statlog-image,-3.7518037518038765E-4,-6.349206349206363E-4,7.792207792207758E-4,-0.002049062049062067,9.235209235209152E-4,-0.0038961038961039013
statlog-landsat,-0.002453927164426406,-0.002317996071212754,-0.003524181670090054,-0.004033208452920226,-0.0016817029329896113,5.20898536209909E-4
statlog-shuttle,-4.507562447123211E-5,-0.0024117133685852333,1.3119904937549295E-4,-1.498533499002197E-4,-6.450543035041075E-5,4.3592073136381844E-5
statlog-vehicle,-0.003615979611910939,-0.012667665206116415,-0.001278354049301041,-0.0016986348326328503,-0.009582252824227252,-0.005389132313928869
steel-plates,3.556761669363991E-5,4.5738893348111763E-4,5.123860243686051E-4,-0.002935655527101481,-0.0069385518989922065,0.0027667358908042322
synthetic-control,-0.003111111111111116,-0.0022222222222222253,-0.017333333333333346,-0.0028888888888888927,-0.009999999999999998,-0.0077777777777777906
teaching,-5.380116959064374E-4,-0.03028070175438596,-0.02845029239766082,0.004263157894736852,0.0030760233918128597,-0.025578947368421055
thyroid,-0.00114814814814815,-5.277777777777826E-4,5.185185185185219E-4,-0.0024722222222222203,-6.75925925925928E-4,8.981481481481516E-4
tic-tac-toe,-0.0013221990257480795,-0.001113430758524699,-0.001252609603340286,-4.175365344467682E-4,-9.046624913013149E-4,-0.0036186499652052896
titanic,1.3519390086147443E-4,3.416728593840383E-4,3.721410288167785E-4,-0.0027757135386563213,-0.004556133542509573,-0.00486089780640188
trains,-0.016666666666666656,-0.18888888888888894,-0.09722222222222224,-0.10833333333333332,0.038888888888888924,-0.5999999999999999
twonorm,1.0432676681227197E-4,-8.4236675254686E-5,-1.0250305107156003E-4,7.419041204215215E-5,-4.905746645172737E-4,-0.001780029348431648
vertebral-column-2clases,-0.01161290322580644,6.45161290322586E-4,-0.013333333333333327,-0.010967741935483862,4.3010752688172894E-4,-0.013333333333333334
vertebral-column-3clases,-0.0034408602150537686,-8.602150537634505E-4,0.004946236559139779,8.602150537634357E-4,0.0034408602150537574,-0.018279569892473105
wall-following,0.0016213465326826771,0.0051499490570367104,0.00414384624814829,0.00458899193937959,-0.002721129569900919,-1.4042404199705963E-4
waveform,5.286507512507995E-4,3.596960575513619E-4,2.131733674410626E-4,-0.004797472767595634,-0.005519590216467766,-0.0025414510732988354
waveform-noise,-0.0011400908490811878,-0.001164538852992895,-8.426081348173058E-4,0.0014421655640798263,-0.003858165950639865,-0.006591057054569127
wine,-0.00916666666666666,-0.017062289562289557,-0.007617845117845097,-0.012651515151515136,-0.006262626262626262,-0.03235690235690235
wine-quality-red,-0.0033058614075763826,0.0012695596669576722,0.0029555787095704427,-8.987825368664863E-4,0.002105138001057586,-0.012090150469807477
wine-quality-white,-0.008057510366235013,-1.463141543743866E-4,-0.001592787911558576,-0.0014347635116753114,-0.012616475120507979,-0.0047690989130035446
yeast,0.003771103704443694,0.0017090632785704033,-3.4577229644024615E-4,-0.0012914241083997265,0.0020559253843848565,-0.0043385916635637345
zoo,-0.012938252223966518,-0.0029173207744636314,-0.03617216117216118,-0.019296180010465735,-0.011250654107796975,-0.06449502878074309
