TRAINTESTDIFFSACCSTDDEVS:,CAWPE,SVML,Logistic,MLP,NN,C4.5
fertility,0.04578811771778713,0.08063255667162177,0.06780974059484543,0.07763456985635722,0.08852559860964175,0.028153928290043637
flags,0.06130724539258462,0.06764588714805488,0.0741574030202735,0.06581846606327522,0.06273386850240832,0.07141875491351805
glass,0.06945173284026183,0.06376193110125385,0.04754290652170413,0.06344152062327564,0.07025242609079924,0.0687755185323306
haberman-survival,0.037347729650105216,0.02898287761153351,0.03285067013700976,0.043634065769391786,0.03860593426422365,0.04668050700588015
hayes-roth,0.08348243176324446,0.08620076192119686,0.07582503229115564,0.09817002768082317,0.09390004110303915,0.09709621202088291
heart-cleveland,0.0368262747760261,0.046035843261683064,0.04319003584657608,0.053917066079831384,0.04082129546960201,0.049731360447813795
heart-hungarian,0.03618012159204407,0.040294313532465535,0.03964018158631103,0.053822745167731494,0.04250488528436518,0.03730640567361377
heart-switzerland,0.08410916078225994,0.08122452688329922,0.0764274405118662,0.09170714176230582,0.09131732605036896,0.0807919505784936
heart-va,0.06995070716886738,0.07495212067018422,0.0786688140483148,0.057647396505620535,0.047617151317819864,0.06509052760773607
hepatitis,0.051321207305740524,0.06382036528535284,0.07692197089073233,0.06788852193992007,0.054627272121811295,0.05709706167408044
hill-valley,0.03236358885685925,0.03733880429362961,0.030988336141636874,0.01047248623678373,0.035357988159503674,0.007405166033912558
horse-colic,0.03646414809090541,0.03601069415068616,0.045545256871423086,0.042172177406492296,0.056373120356195745,0.039246610399791465
ilpd-indian-liver,0.026074252155215267,0.022848791456711235,0.025755958372697424,0.03107113613636312,0.03158888159871731,0.03927441557851611
image-segmentation,0.011480744180370794,0.014277222631181224,0.01139516922880705,0.016679576303643955,0.013379998971826677,0.012537337822471052
ionosphere,0.031376784499768696,0.03398978625902014,0.049886665193154434,0.04359044270928338,0.037886273501701914,0.03385159292196178
iris,0.041813305184133155,0.03569703652052063,0.044419916603478965,0.04456688116249247,0.04428169435174718,0.04115571774915698
led-display,0.0315164865390212,0.034385615377846526,0.03345606628757453,0.03161396141968747,0.03073960794044919,0.035374323172507834
lenses,0.25342216937842194,0.2438733869237908,0.2930722388446685,0.24532252515871858,0.18326067983155422,0.19747982600695732
letter,0.004063958211652855,0.006604208516995028,0.00724340024217569,0.008132229251001391,0.003536547171552932,0.0058876182444402925
libras,0.048006964633557664,0.05000496640582436,0.053013689325055985,0.045426959261928086,0.04687215295738815,0.06193855242897837
low-res-spect,0.029233155321773393,0.025590731510182253,0.039691702528375124,0.027766259979486986,0.03247750506229066,0.040250869444629654
lung-cancer,0.17740338947205073,0.20875163430799878,0.181839010568762,0.1842441810114384,0.22349425801728787,0.20301561905306353
lymphography,0.0702567361519514,0.07343998917654894,0.0638085095623263,0.06460036240221337,0.07276303233285518,0.07306341483529499
magic,0.0050054008311878955,0.005431460249191164,0.005528076617806277,0.007350945556240562,0.004488547868223003,0.005778599876367098
mammographic,0.026817880786325705,0.02553605485312258,0.026438233513808612,0.03308692936632015,0.02942025087359166,0.02793995728166781
miniboone,0.003270495930915959,0.002089991141444519,0.007713107290521616,0.022928489653961666,0.0018849456117980645,0.0014938157652297783
molec-biol-promoter,0.08585007998230594,0.09968294383725564,0.06913817721589897,0.08610536967096492,0.08151668566014068,0.11918018967020834
molec-biol-splice,0.01419722538726323,0.015733760583979448,0.016601362986693905,0.014369800026856288,0.016326023112218827,0.011354902158254136
monks-1,0.06290219236970979,0.034055713047702905,0.0339995484604388,0.0779517063318614,0.04201677998923242,0.06898978900962059
monks-2,0.03564123808876492,0.004453013237006415,0.018567651985574578,0.038738333716090166,0.034143655946594006,0.0270753390253228
monks-3,0.017135615908194207,0.03793349458075161,0.03726594886852064,0.042730980838387465,0.04929855839275427,0.01674430487451091
mushroom,0.0024246182787777803,0.005349537061865897,0.005367600924980887,0.003568572214864232,2.560325999155995E-4,5.360588015210392E-4
musk-1,0.028683937909377816,0.037954565509811765,0.039015619236723816,0.030492299484882458,0.055738553704183444,0.04404988407917751
musk-2,0.0048557186456719735,0.007265773993741562,0.006671663575017574,0.004059141154414622,0.010305645960361405,0.007977108669554471
nursery,0.007441908854827059,0.006361087641078742,0.00657718540695096,0.011980712040534185,0.0038921402084764354,0.0024266422927239455
oocytes_merluccius_nucleus_4d,0.019338441229899653,0.024930464364633375,0.02448266007645137,0.032868228550056944,0.03074848508748804,0.030818676202969957
oocytes_merluccius_states_2f,0.01789763217688182,0.018516774628706652,0.019739423325883812,0.016513996985129845,0.019713131987024974,0.02108272835135766
oocytes_trisopterus_nucleus_2f,0.024923806171486696,0.026271399283812603,0.025662842339356198,0.03147028909376105,0.03235726169982997,0.037345964004861794
oocytes_trisopterus_states_5b,0.015380518445505137,0.019391252572215793,0.018436425882205208,0.027315202578159177,0.022166235765680314,0.028179105664664302
optical,0.0025440959597569372,0.004635408416626524,0.009494451193509201,0.004005469248785421,0.003213310857734002,0.006788928305221087
ozone,0.0031323590070095296,0.005218804741232234,0.007416740231029949,0.007422149080529137,0.006769028201499795,0.007236011026079216
page-blocks,0.004845719671995863,0.005577591606469903,0.004846831976524785,0.007987692284640377,0.00688426341483166,0.004833075050869808
parkinsons,0.05009590005274821,0.05636619970244839,0.08475403114260802,0.06251605115745182,0.04126667719737815,0.0517004954454996
pendigits,0.002001522435891104,0.004256370965380411,0.0039242517791707445,0.004202325797995598,0.0015212340293863451,0.004961418047918113
pima,0.025948858810498958,0.02419535559522674,0.022273645061101934,0.0355034758815069,0.027824508704421016,0.036328106224847174
pittsburg-bridges-MATERIAL,0.06016667001934085,0.053812496270679695,0.08684664739782111,0.06639000185171862,0.0435784464962363,0.06255726554999964
pittsburg-bridges-REL-L,0.07679471051103492,0.087422214313084,0.0699674422335908,0.11755214594224601,0.07186467885177972,0.08559645153578899
pittsburg-bridges-SPAN,0.08121004881911342,0.10079750652988902,0.08627922133943405,0.10059521272569319,0.09224604213935983,0.10691698135136667
pittsburg-bridges-T-OR-D,0.07295508554112443,0.06393189644330002,0.06974998739388996,0.0910635301287426,0.08409776788469155,0.06877700308776166
pittsburg-bridges-TYPE,0.08552014473889862,0.0955539953599727,0.09991530571934848,0.09928273105420102,0.0714419496514035,0.10094027993340199
planning,0.01863184348249935,0.02379737547269054,0.05803010151315284,0.0717808860590616,0.04886677724269287,0.031001129049980192
plant-margin,0.016687899549653048,0.019989041538032652,0.0229747174885386,0.017544893156188474,0.021697245773091376,0.02481743686229086
plant-shape,0.02377762307707402,0.028847473444617838,0.02472728407217838,0.025294245404334805,0.02738314383141488,0.022081842283212916
plant-texture,0.01735746300959552,0.02514024622482213,0.019074760729094475,0.020795015173206987,0.021071040149698093,0.0282015550358157
post-operative,0.06782727501937966,0.07647698971592469,0.06595619722021975,0.09270236149874662,0.06580542030750655,0.03947289999445068
primary-tumor,0.04561695964670626,0.04605983254490225,0.049847617356934076,0.04653815475107469,0.04550156315469878,0.04719313415092007
ringnorm,0.008712972393445043,0.007568211040853658,0.007311171558485665,0.00987004889598348,0.005580881182356808,0.010246325973559546
seeds,0.03801990361808975,0.03566553870812828,0.03130675834455162,0.04655516543271187,0.030063225614351603,0.049422868794327786
semeion,0.017522523126457013,0.015728055648587334,0.02323108305793037,0.017498716744133253,0.015322590376018701,0.025721569020007398
soybean,0.021654347705506838,0.022077638396958532,0.04220878354284093,0.028683019933598286,0.024517170381508982,0.028782792861991535
spambase,0.00889005859452012,0.008845899190954935,0.0064126990508001315,0.02193953729754314,0.01080593623920207,0.008899057588983445
spect,0.06565120240943377,0.07025223227821532,0.07241889809227459,0.06131085876384776,0.06891466571307735,0.06176185437596832
spectf,0.04745664573917685,0.043939015926641276,0.058856678074587575,0.05114806599011296,0.04378538783221499,0.05534426301436931
statlog-australian-credit,0.021547828390530665,0.011451731676449833,0.01980184643367557,0.04174061114962903,0.01730781224606863,0.03464574104483279
statlog-german-credit,0.019447069335689814,0.024727387208537028,0.0209032802793433,0.028252067364085514,0.024289915602982225,0.025949996124288232
statlog-heart,0.05428285359870935,0.04551291237389031,0.04947033521086303,0.05817928194451143,0.04280280183412338,0.06341136999589769
statlog-image,0.0074398561037507666,0.011240320434079758,0.010395455389244542,0.010914926119506146,0.011336493765646232,0.01101221995167467
statlog-landsat,0.007704595540961021,0.007709461999380892,0.008953863261467762,0.007445000740921811,0.008105955967928433,0.009748098992101136
statlog-shuttle,3.371402631689139E-4,0.013946870281455921,0.001478787391132053,4.597194951181593E-4,2.6366011933543154E-4,1.9941069590623736E-4
statlog-vehicle,0.023737906528502228,0.028525199977065444,0.02775019912370773,0.028217415658420536,0.03280678529986979,0.026288213672215874
steel-plates,0.020747711782640853,0.01624951471970406,0.01589614234834586,0.02205600401766454,0.01876375564452818,0.026781269845600107
synthetic-control,0.010280857983089486,0.013598888092176888,0.04680111993944384,0.010310628869684828,0.013701805122009757,0.028084892290483686
teaching,0.07504135670485572,0.09566726901833698,0.09436392381617575,0.08413584546455027,0.0732464415345098,0.0796222334958275
thyroid,0.004426889019224913,0.0035530627636067135,0.004288905101247166,0.0055767555275184864,0.0027359721295519847,0.002562213687639389
tic-tac-toe,0.008232613154680685,0.007670309381786364,0.007388195988542049,0.007799840818203045,0.0023054863339339597,0.02782040705854633
titanic,0.016910010155507995,0.016652240939254232,0.016752709028203687,0.016504346024477746,0.014486538720828236,0.015292648542417306
trains,0.3754945653166973,0.39871280759140426,0.37910166383147886,0.378511654770279,0.2559009826067614,0.14250092424248234
twonorm,0.003365806073435934,0.002958891001584564,0.0030859092691723523,0.004552958005892784,0.0034521124050598904,0.007700770944365375
vertebral-column-2clases,0.05875012358338347,0.05522276040792363,0.05578090893675769,0.0583517798288365,0.06132095325768437,0.05426800683274239
vertebral-column-3clases,0.038921678766413226,0.04001267635562691,0.040616135736141395,0.050961780908595385,0.06270502034217074,0.04398869675414414
wall-following,0.005504739898447681,0.011625015385862521,0.011157534786268202,0.015406182209882406,0.013876529259484339,0.00313315380811516
waveform,0.010436033481714771,0.009549492504337422,0.008495880411959622,0.010843614518980157,0.007121936461474976,0.014157689051943274
waveform-noise,0.010110399722443188,0.0096984221986676,0.01028248996718255,0.01000168617175857,0.009225567385363922,0.009707809937256263
wine,0.02778182659451301,0.02588528751398201,0.04100514432517475,0.02936949885863708,0.03130831358090867,0.04823953661465391
wine-quality-red,0.02412311823016865,0.01787285295229557,0.020691678334627095,0.02571834820306776,0.02247040812513488,0.017725259151685775
wine-quality-white,0.00978878286691627,0.011436163459495463,0.01203744430766512,0.013908579074725655,0.01845594216153709,0.013616664658569453
yeast,0.02952125510899488,0.0287386607752109,0.029421654799622117,0.024268832630016342,0.029185981475506568,0.030100084590299527
zoo,0.04603481205370334,0.05094067483702892,0.05318190600687873,0.04764729241129699,0.04770747702891566,0.03607412833291292
