TESTAvgPredTimes:,AdaBoost,LogitBoost,Bagging,XGBoost,CAWPE-S,RandF
congressional-voting,0.0083755,3.24E-4,0.0446955,0.042783,0.055044499999999996,0.18310300000000002
conn-bench-sonar-mines-rocks,0.0190465,0.0050095,0.043345,0.035452,0.0823725,0.10542750000000001
conn-bench-vowel-deterding,1.765E-4,0.040459999999999996,0.12652950000000002,0.229014,0.22920449999999998,0.1612835
connect-4,0.007949000000000001,0.018001,0.5574895,0.046664,4.400933,0.6958664999999999
contrac,1.7250000000000002E-4,0.0015245,0.1300165,0.103074,0.0877425,0.4489425
credit-approval,0.010237,6.04E-4,0.0481125,0.0582855,0.09340000000000001,0.12055450000000001
cylinder-bands,0.009769,0.0012705,0.0843865,0.057331,0.090529,0.170264
dermatology,4.7900000000000004E-4,0.0012425000000000001,0.064831,0.0644285,0.28917550000000003,0.1190785
echocardiogram,0.034627,4.125E-4,0.0588755,0.056216,0.0344405,0.1110975
ecoli,4.225E-4,0.0013224999999999999,0.070411,0.114043,0.17356850000000001,0.12194050000000001
energy-y1,5.65E-4,0.0079635,0.0738145,0.0752125,0.055002999999999996,0.1009865
energy-y2,7.43E-4,0.0030225,0.060376,0.0777085,0.058004,0.0783615
fertility,0.034604499999999996,3.94E-4,0.041846,0.039965,0.0348885,0.107287
flags,4.695E-4,0.0031045,0.074201,0.12935799999999997,0.144844,0.1432685
glass,5.005E-4,0.004947999999999999,0.081628,0.09644749999999999,0.0793025,0.140676
haberman-survival,0.012569,5.25E-4,0.048943,0.06626850000000001,0.0291555,0.1379205
hayes-roth,4.745E-4,0.0098575,0.07187450000000001,0.0800955,0.0408365,0.10448299999999999
heart-cleveland,0.001486,0.0010085,0.080356,0.105478,0.059889,0.1314225
heart-hungarian,0.017938000000000003,5.785E-4,0.0496215,0.05566,0.040767,0.119035
heart-switzerland,4.895E-4,0.001797,0.0578645,0.1091625,0.0700215,0.21364650000000002
heart-va,4.72E-4,0.0012850000000000001,0.084957,0.1176735,0.071108,0.18438949999999998
hepatitis,0.032757999999999995,6.475E-4,0.053656,0.049630999999999995,0.044588,0.127138
hill-valley,0.006255500000000001,0.004,0.1302235,0.053842,0.423655,0.2212275
horse-colic,0.012826,4.04E-4,0.0482495,0.045691999999999997,0.0603435,0.112917
ilpd-indian-liver,0.008522499999999999,6.895E-4,0.097186,0.064347,0.051565,0.14263599999999999
image-segmentation,1.2E-4,0.012345499999999999,0.0762985,0.1199075,0.17335299999999998,0.1118555
ionosphere,0.016917500000000002,0.002105,0.054304,0.034892,0.0700085,0.1134725
iris,0.040334499999999995,5.304999999999999E-4,0.0509905,0.0376145,0.06789049999999999,0.0817165
led-display,2.24E-4,0.001335,0.09152199999999999,0.2929985,0.158142,0.17642750000000001
lenses,0.0032335000000000003,7.52E-4,0.1816265,0.066161,0.423626,0.159641
letter,1.18E-4,0.1074335,0.23937049999999999,3.822047,2.7162574999999998,0.430504
libras,4.115E-4,0.0173555,0.10300799999999999,0.271323,0.689883,0.19764700000000002
low-res-spect,8.645E-4,0.073874,0.057179,0.1104975,0.42377699999999996,0.1115625
lung-cancer,0.0337125,6.58E-4,0.10276350000000001,0.037037,0.5079800000000001,0.172733
lymphography,0.0022770000000000004,0.0023610000000000003,0.053048,0.07739750000000001,0.0733125,0.13595200000000002
magic,0.005526,0.009423,0.182925,0.060635,0.7617125,0.3274295
mammographic,0.0091605,3.7E-4,0.0596465,0.06410350000000001,0.053266,0.1786035
miniboone,0.005664,0.017242,0.19845200000000002,0.0623025,18.343681500000002,0.4064535
molec-biol-promoter,0.038822499999999996,0.0012585,0.048024,0.0338595,0.0986735,0.10300200000000001
molec-biol-splice,4.65E-4,0.003249,0.084537,0.0902685,1.054106,0.2822695
monks-1,0.0077695,0.001028,0.1107635,0.0605975,0.037519,0.182843
monks-2,0.010628,3.12E-4,0.0934645,0.0718225,0.027893,0.2750925
monks-3,0.008653999999999998,0.004705,0.05386,0.050155000000000005,0.028872500000000002,0.089391
mushroom,0.0070215,0.0025325,0.061093,0.0346215,0.29266349999999997,0.069275
musk-1,0.007349,0.0107365,0.053541,0.044080499999999995,0.3655335,0.139121
musk-2,0.0090055,0.018831,0.0708785,0.06304850000000001,1.4717419999999999,0.115451
nursery,7.125E-4,0.0047665,0.0849,0.1156935,0.523796,0.15277400000000002
oocytes_merluccius_nucleus_4d,0.006014,0.011582499999999999,0.07785500000000001,0.066102,0.1216095,0.1459485
oocytes_merluccius_states_2f,5.39E-4,0.0034764999999999996,0.046175,0.0516885,0.11337050000000001,0.0794885
oocytes_trisopterus_nucleus_2f,0.0068465,0.009459,0.0913085,0.06243699999999999,0.0794605,0.18734800000000001
oocytes_trisopterus_states_5b,0.003981999999999999,0.0145905,0.0666615,0.056035,0.08920600000000001,0.119085
optical,1.245E-4,0.0416365,0.101907,0.213703,1.603795,0.20804050000000002
ozone,0.008362999999999999,8.005E-4,0.0270105,0.039855,0.491588,0.0671695
page-blocks,5.62E-4,0.0033095,0.070933,0.11361399999999999,0.17830849999999998,0.0984315
parkinsons,0.0309485,0.0040835,0.0387855,0.0327735,0.0386455,0.07917099999999999
pendigits,1.21E-4,0.06661249999999999,0.10646749999999999,0.232858,0.9047985000000001,0.149288
pima,0.0098245,8.835E-4,0.0791745,0.064239,0.049973000000000004,0.18355549999999998
pittsburg-bridges-MATERIAL,0.001644,5.455E-4,0.0555,0.086043,0.0794265,0.0952785
pittsburg-bridges-REL-L,0.0013289999999999999,7.35E-4,0.06660350000000001,0.123628,0.057666999999999996,0.1497685
pittsburg-bridges-SPAN,0.001497,0.0010885,0.068028,0.1145315,0.060034000000000004,0.15353050000000001
pittsburg-bridges-T-OR-D,0.0342545,5.01E-4,0.0432565,0.0414895,0.032246,0.0885455
pittsburg-bridges-TYPE,4.775E-4,9.854999999999998E-4,0.061111,0.10911799999999999,0.0885385,0.14538649999999997
planning,0.0334145,3.15E-4,0.045871999999999996,0.051860500000000004,0.0430595,0.1233725
plant-margin,2.585E-4,0.0994955,0.2896105,11.9435145,39.376414499999996,0.4387855
plant-shape,2.34E-4,0.096547,0.272182,12.2863655,19.422297,0.454835
plant-texture,2.44E-4,0.107937,0.2834375,11.107880000000002,32.346687,0.4511445
post-operative,0.004247,7.435E-4,0.051059,0.1130075,0.0553255,0.1675165
primary-tumor,4.71E-4,0.003253,0.10429050000000001,0.42272,0.26022449999999997,0.3290765
ringnorm,0.005777,0.011620499999999999,0.12522899999999998,0.064577,0.545571,0.16599950000000002
seeds,0.015245,0.001063,0.053043,0.0335455,0.052746,0.0766575
semeion,1.985E-4,0.0348775,0.107354,0.1996615,2.3761425000000003,0.2551465
soybean,2.29E-4,0.012167,0.1074695,0.362033,1.787233,0.2120835
spambase,0.0050265,0.003786,0.08346600000000001,0.056193999999999994,0.432122,0.176648
spect,0.0145165,3.7799999999999997E-4,0.062243,0.0682545,0.04879,0.1785475
spectf,0.017834,8.875E-4,0.0402995,0.034030500000000005,0.07745550000000001,0.08516399999999999
statlog-australian-credit,0.008754499999999998,5.939999999999999E-4,0.102793,0.06738050000000001,0.06904350000000001,0.288806
statlog-german-credit,0.008751499999999999,0.0017645,0.08466499999999999,0.06769349999999999,0.13204749999999998,0.336926
statlog-heart,0.01779,7.55E-4,0.0553175,0.046869499999999994,0.0437665,0.1220955
statlog-image,1.2E-4,0.0079035,0.073194,0.1066245,0.27977799999999997,0.103171
statlog-landsat,1.2E-4,0.0157125,0.090524,0.161173,0.555417,0.14074
statlog-shuttle,7.27E-4,0.002874,0.06341,0.07521749999999999,1.135989,0.0817015
statlog-vehicle,1.71E-4,0.013531499999999998,0.09337899999999999,0.099377,0.07910049999999999,0.157668
steel-plates,1.21E-4,0.009892,0.13374350000000002,0.177199,0.1974645,0.19393749999999998
synthetic-control,1.77E-4,0.008578,0.067843,0.058221999999999996,0.3908825,0.0966835
teaching,4.7349999999999996E-4,0.0026195,0.0686785,0.084052,0.04604,0.1745865
thyroid,0.004819,0.0022424999999999997,0.028878,0.0526315,0.24889699999999998,0.0745565
tic-tac-toe,0.010113,0.0071695,0.112762,0.0576705,0.045150499999999996,0.1920735
titanic,0.0024714999999999997,4.89E-4,0.0525945,0.043711,0.069832,0.090968
trains,0.0012715,2.44E-4,0.004145,0.038086999999999996,0.3207205,0.2322795
twonorm,0.0068175,0.008664999999999999,0.1071075,0.0605265,0.824713,0.1771005
vertebral-column-2clases,0.015308,0.0011034999999999999,0.0574485,0.047722,0.029478,0.100134
vertebral-column-3clases,0.0013705,9.375E-4,0.0610295,0.052294,0.0414555,0.1038345
wall-following,3.0250000000000003E-4,0.0057405,0.07352149999999999,0.0623805,0.267992,0.104209
waveform,4.905E-4,0.0024275,0.1142945,0.10053100000000001,0.5297805,0.15087499999999998
waveform-noise,4.59E-4,0.0027285,0.10148599999999999,0.104029,1.057721,0.188934
wine,0.034389,0.001202,0.043988,0.044232999999999995,0.07954800000000001,0.077421
wine-quality-red,1.285E-4,0.015721,0.12471,0.1695355,0.14142500000000002,0.2878315
wine-quality-white,1.205E-4,0.029874500000000002,0.269615,0.222602,0.2225625,0.4502585
yeast,2.1E-4,0.001985,0.17680600000000002,0.29219799999999996,0.1405,0.368602
zoo,4.8550000000000004E-4,0.001651,0.069487,0.07214000000000001,0.33253449999999996,0.08906449999999999
