TRAINTESTDIFFSACCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
dermatology,0.020852350022868185,0.02215038956094978,0.021527827294359456
echocardiogram,0.07382949937799457,0.07441332775010262,0.07862234887947375
ecoli,0.03560540458592998,0.03488250143472794,0.033633761857520504
energy-y1,0.017720059730988166,0.017253651168439122,0.01654372382162102
energy-y2,0.019480852111011342,0.019552300972685236,0.019807809034581368
fertility,0.051120772033815515,0.044173118158175026,0.042067269609683426
flags,0.05728842178902689,0.05799347279969698,0.06239880179799947
glass,0.06631846783677367,0.06858029187225466,0.07036153158361043
haberman-survival,0.03792873214150421,0.03775201362104655,0.03857989443746679
hayes-roth,0.08171502267958233,0.08440196066187435,0.08218294558254156
heart-cleveland,0.03436714016955599,0.038548756526407595,0.041410842744153735
heart-hungarian,0.03738545456448827,0.037275024582000126,0.03700577355948682
heart-switzerland,0.0858784275449488,0.08869600834736632,0.09382137638379727
heart-va,0.06685789723173347,0.06447237836321501,0.06599724874896534
hepatitis,0.057197752063793565,0.05243147835909781,0.054175037010887106
hill-valley,0.034008487055492836,0.03468772523783847,0.034052818538229446
horse-colic,0.03773254098804404,0.03828987814948757,0.03423600685402214
ilpd-indian-liver,0.02532060789508457,0.027268285603544582,0.02690098899820771
image-segmentation,0.011596227135510515,0.01151794589239892,0.011196080337235063
ionosphere,0.0298559516932735,0.028073441631980518,0.029816677008449657
iris,0.03628748557278945,0.0413538448673506,0.04138348212261255
led-display,0.03300775679367374,0.03146435266897124,0.03158405655823017
lenses,0.23777453076302713,0.2574715160551584,0.25703451932215343
letter,0.0037600619477521683,0.004089928685939289,0.004515449940450873
libras,0.04411958220226347,0.04629604086775003,0.04601472484754761
low-res-spect,0.02566064535182378,0.029499529084104373,0.03030800795500015
lung-cancer,0.18844346538800139,0.18614438594663452,0.19352057114718288
lymphography,0.06368296306041459,0.06948891138038595,0.0739393380629096
magic,0.005217756192399214,0.00499126980187805,0.005023518840473985
mammographic,0.027787739642188915,0.026829469773997684,0.026902459063305448
miniboone,0.0026021417656393866,0.0032758690317625104,0.0037575929910546673
molec-biol-promoter,0.07952902966836174,0.08254492802281113,0.08166419412732624
molec-biol-splice,0.011107952672663285,0.014070446378297229,0.014555219744795976
monks-1,0.06303021387696928,0.06292736844787007,0.05335060077047942
monks-2,0.03644407888488723,0.03572555668696797,0.030641527710932762
monks-3,0.015776978960960777,0.017517333094040303,0.022207369260589506
mushroom,8.090436595349698E-4,0.0024246182787777803,0.002721292707462163
musk-1,0.02660772313813276,0.03004643553137986,0.026400122563629898
musk-2,0.004985057722685643,0.004939710786693524,0.005290265224010796
nursery,0.0032521700718857547,0.007417370965725998,0.008121477611359784
oocytes_merluccius_nucleus_4d,0.021139244130293344,0.01978011307192485,0.019103274342622864
oocytes_merluccius_states_2f,0.017233006264011818,0.01790577196063981,0.018352527090341984
oocytes_trisopterus_nucleus_2f,0.024076476930769763,0.024881160474782834,0.026540582988950647
oocytes_trisopterus_states_5b,0.015677520785678505,0.015391249410025402,0.015708634843655762
optical,0.00253150326559818,0.0025118212796978456,0.0025621261012049377
ozone,0.003040466097766123,0.003208185945652483,0.0031050451508603705
page-blocks,0.0046509858737172356,0.004884353962964364,0.004731003870324752
parkinsons,0.035604662614819364,0.049276671616188955,0.04998335721842964
pendigits,0.001805417841364246,0.002059983635763484,0.0020394468266189104
pima,0.02020576572541727,0.02569452534418248,0.026459766305057607
pittsburg-bridges-MATERIAL,0.059504724546625684,0.05983629105637919,0.05702460128895015
pittsburg-bridges-REL-L,0.07779638245050834,0.07957002581523441,0.08019736541930156
pittsburg-bridges-SPAN,0.0950991463757519,0.08493719808658214,0.08683149432473351
pittsburg-bridges-T-OR-D,0.0687930646005767,0.07259073291122846,0.07549144003494339
pittsburg-bridges-TYPE,0.08064511517152555,0.07829147372746507,0.08346095362433975
planning,0.01921497393510147,0.016761166315191957,0.02108847791042281
plant-margin,0.01524824514116486,0.016964508251932478,0.01731164024380805
plant-shape,0.023090160926446474,0.024099478043186413,0.02438794601682438
plant-texture,0.017401436201094172,0.017110922954134064,0.01643197084572083
post-operative,0.06405705559503658,0.05668582051770096,0.062017543305046385
primary-tumor,0.04209217775682506,0.048043181955512514,0.048531335156968454
ringnorm,0.009144290288782352,0.009318733100399176,0.00830839403963016
seeds,0.037943045745734455,0.03874110409104706,0.03838966681415057
semeion,0.016357958911321874,0.01742204464775398,0.017039863063716527
soybean,0.021497075921891033,0.021206543609194613,0.022156282264033576
spambase,0.008045264365541835,0.008828272516529742,0.00856975982843409
spect,0.06287237532635302,0.06422739538348649,0.06495029387398278
spectf,0.04508746471572637,0.04725297497961351,0.04905049426095771
statlog-australian-credit,0.014104751194464263,0.02099141690286409,0.021366906058731136
statlog-german-credit,0.021420905032556253,0.019976537962457807,0.020339757794193062
statlog-heart,0.04622787621923707,0.05429911708029284,0.05566131553891079
statlog-image,0.007965541037124064,0.00744304024270112,0.0071557902278381125
statlog-landsat,0.00771041139530283,0.0076448131938450185,0.007498698183237319
statlog-shuttle,2.869366720937056E-4,3.3062250648142064E-4,3.5963930731855665E-4
statlog-vehicle,0.023349559109412592,0.023263945853024874,0.02516044528701313
steel-plates,0.02032178503057554,0.020796019221560824,0.02031896737143522
synthetic-control,0.010626000065623736,0.010370530011542648,0.010666786397795463
teaching,0.07651144648622811,0.07233836268584083,0.08154969043033296
thyroid,0.003859873971433662,0.004299283735857367,0.004298200573264915
tic-tac-toe,0.007977652278527005,0.008232613154680685,0.00806664080058669
titanic,0.016710487199217503,0.016910010155507995,0.016910010155507995
trains,0.3464954078893082,0.34179863818875633,0.3393729662437974
twonorm,0.003285482501915583,0.0033531101733626756,0.0035572048427451536
vertebral-column-2clases,0.05366873378860754,0.05710323633380403,0.061166668776902834
vertebral-column-3clases,0.037670516075650765,0.03805464826876006,0.03947821916165459
wall-following,0.0032636853109920313,0.005503890687707538,0.008243843805014703
waveform,0.009343806191251658,0.010357592367980695,0.010853073251398875
waveform-noise,0.008509930303938701,0.01019785503500238,0.008843318731263185
wine,0.026030318280999578,0.02829374198548259,0.027839686981925366
wine-quality-red,0.02140755137979254,0.0235404724627667,0.023125226590247877
wine-quality-white,0.009428025984919213,0.010211570285371547,0.009078418916576821
yeast,0.026003615108244182,0.029223013617470876,0.029716120304219194
zoo,0.05045509755922546,0.04603481205370334,0.045424165061719965
