TRAINBuildTimes:,CAWPE,MLP,SVML,Logistic,C4.5,NN
miniboone,1.8101739643780667E7,617657.2505829666,32315.816521,5252.211173,26948.592565966672,17.444141600000002
molec-biol-promoter,7950.483415,669.0836648666666,12.737966300000002,7.841050066666669,3.6372633000000003,0.24015243333333336
molec-biol-splice,250509.87015783324,21565.011787800002,563.4685661999999,317.0040640666667,57.63805476666666,1.380581033333333
monks-1,4581.285678133333,159.8088298333333,25.117743399999995,10.413440033333332,7.651802433333333,0.45537826666666653
monks-2,4715.9780349,176.17818266666663,16.502542566666666,13.645789599999997,5.6861398,0.6128655999999999
monks-3,4441.516186133334,159.23383619999998,23.178490900000003,12.882565300000003,4.651238666666667,0.48047936666666663
mushroom,164635.14344613333,9010.923930333332,3808.7218919333322,220.65052956666668,57.64555840000001,3.928893466666666
musk-1,237261.38265629997,22257.299890400005,75.03816966666666,70.28960153333334,60.543340233333325,0.5065908999999998
musk-2,3007018.860426367,295988.0027997,3297.461725133334,1226.3593759,836.5914787666663,3.044382866666666
nursery,145851.50447853332,7019.9017889,819.3902180666668,1925.4465062000004,44.86420126666666,3.3436122999999998
oocytes_merluccius_nucleus_4d,44577.875446533326,3530.1261722,58.8391205,73.39562219999998,60.81860186666666,0.6269601666666664
oocytes_merluccius_states_2f,23821.072258799995,1682.3432523000001,77.03480856666665,106.38893166666666,41.273797666666674,0.6775945333333333
oocytes_trisopterus_nucleus_2f,18979.44019343333,1388.551397433333,55.93994053333333,48.534074466666674,67.55958583333334,0.5771832666666667
oocytes_trisopterus_states_5b,28464.791085533343,2237.3379412333334,74.65012386666666,110.20889680000002,55.457139700000006,0.7635054000000002
optical,646792.4186582335,54594.143936099994,685.3079261333334,6874.811383899999,217.45812870000006,3.4764211666666673
ozone,366022.49527243327,26548.72594133334,99.83990733333334,4330.5665659,51.41555436666667,1.5294271000000002
page-blocks,65897.6211642,3575.0509348666665,266.70814276666664,1409.1500938,68.42220379999999,2.9196874666666663
parkinsons,5405.3614636,255.19629773333335,20.66097713333334,24.881430366666667,7.847835766666665,0.5027999999999999
pendigits,413681.9628147333,19024.24207043333,1128.3608753,23353.017275600003,136.33914403333335,5.547874833333332
pima,5447.987343633334,279.2377676666667,28.791196366666664,19.261975566666667,8.892221666666666,0.5179238
pittsburg-bridges-MATERIAL,2282.691461466667,42.54116623333333,28.927218666666665,10.561014800000002,2.2479794666666666,0.2490925666666666
pittsburg-bridges-REL-L,2203.740945366667,44.95060796666665,22.370448,10.786109200000002,4.2105128333333335,0.5015529666666666
pittsburg-bridges-SPAN,2048.1461860333334,42.32784673333334,34.170373033333334,11.277940933333335,3.390611133333334,0.29939603333333337
pittsburg-bridges-T-OR-D,1772.7761418666666,33.140412700000006,14.277785300000001,5.156832566666666,1.9876177666666668,0.32810029999999996
pittsburg-bridges-TYPE,4223.130584066666,67.17137729999997,83.78293616666664,48.92766176666667,3.380056366666666,0.36798356666666676
planning,3050.567920166666,104.0718549,23.804536300000002,13.215763500000003,3.3624193,0.38603453333333326
plant-margin,5279842.504637967,86240.02437493332,35633.42619376666,362886.69448440004,155.19625576666667,2.1602001
plant-shape,1.0726133559943102E7,94479.28116696664,26772.97146493333,1137270.483215767,732.6304967333333,0.9394003333333333
plant-texture,4505600.4132004,87669.50411310002,26254.740210666667,311014.0587408,227.23934233333335,0.9197636666666668
post-operative,2064.2141008666667,41.14327770000001,32.10282363333334,5.444050299999999,3.4310708666666665,0.32086013333333335
primary-tumor,25146.75112173333,876.8966504666666,697.3708450333335,338.18136573333334,13.690433,0.30742226666666667
ringnorm,117318.00780203333,8214.042740000003,300.07272063333335,133.95528786666665,343.52228883333333,2.7666913666666675
seeds,3601.4427807333327,88.68997900000001,32.95963613333334,35.98444416666668,2.360091833333333,0.4042766666666667
semeion,2274397.5165760666,167523.94411516664,447.5104256333332,33832.50470706667,161.26176290000006,1.351458033333333
soybean,71478.51958846668,3894.6267129,1184.3555078,1874.5038299999999,30.982274566666664,0.47088623333333346
spambase,333595.6642606334,29162.391532266673,117.39857526666668,295.4064165333333,140.1783631333333,1.9669980999999994
spect,6524.769944033334,335.33158313333325,15.60265356666667,11.726871700000002,10.210606566666666,0.29124779999999995
spectf,13755.919564433332,1130.1286050999997,18.551224499999996,28.896986333333334,12.516455666666666,0.3643257999999999
statlog-australian-credit,8077.971515366666,468.9993404,55.5881433,22.411079033333337,22.810217733333335,0.6095818000000001
statlog-german-credit,21478.815269466664,1465.2324249,60.61994139999999,59.92363013333333,42.32479750000002,0.7325972666666666
statlog-heart,4304.692983800001,168.89591896666667,23.88505586666666,22.16985026666667,7.122278200000001,0.40261190000000013
statlog-image,68336.71241800001,3432.4094483,245.12265463333327,2289.4789485000006,67.0004186,1.8448750999999997
statlog-landsat,268834.60032173345,21983.278127066667,410.4494678333333,1314.4887348999998,199.05172689999998,4.912888866666666
statlog-shuttle,1470295.0674031,47354.54747620001,2702.1228005666676,58076.995857600006,288.9320707333334,5.5384351999999994
statlog-vehicle,17020.200762733333,988.4157984333334,58.264130633333345,131.46668366666668,31.2833107,0.5947183333333331
steel-plates,1411886.1484508333,4699.3552458999975,403.92019096666655,147262.39759623332,70.29348346666667,1.5872678000000002
synthetic-control,57876.3577024,4841.937835933333,116.13952593333335,211.3799367,56.29087156666667,0.5840021666666666
teaching,2826.2780170333335,49.45428883333334,18.38330356666666,6.381827133333332,3.3486226666666665,0.5664824666666668
thyroid,134110.42644263332,8936.996084266668,1325.7596368333334,400.81750256666675,38.02943056666666,3.711036466666667
tic-tac-toe,7679.759230066668,374.1122987666667,64.82106846666667,26.719320233333335,6.6905323333333335,0.6264352
titanic,9242.140460933333,341.33708513333323,65.76519896666666,19.99062993333334,14.4941139,1.6616809333333333
trains,938.2212762666667,21.781607933333337,8.087445,4.379718233333333,5.661048966666666,0.3687680666666665
twonorm,117792.42760256668,8185.981158900001,155.36950193333328,197.29465756666667,210.6519548,4.384500533333334
vertebral-column-2clases,2204.4502929,84.51214430000003,16.2301995,12.124055,4.821789133333334,0.3295802
vertebral-column-3clases,2914.4922491666657,110.14994506666667,28.408125399999996,21.483656499999995,5.2013522,0.44753360000000003
wall-following,125875.01148196668,9169.023003366667,886.4245222999999,525.2083263333333,93.78831673333333,2.795609433333334
waveform,88189.79037973334,6438.0648477666655,188.6552469,224.4301153333334,124.10777716666665,2.9026298
waveform-noise,212422.4098813001,17749.305731299995,272.5986382999999,386.68262880000003,206.30580583333338,2.9614300999999994
wine,3106.1247316666663,134.18046863333333,26.431646266666675,10.047460766666667,4.653614166666666,0.3051583666666666
wine-quality-red,23951.06736943333,1402.0191650000004,122.52074673333333,189.00583220000001,34.69023986666665,1.3617153666666666
wine-quality-white,74389.66530986667,4765.142533733334,464.3156771666667,903.9023062333332,109.23224346666669,2.8180277
yeast,28536.3746502,1610.6476271666668,349.9199359,285.5113286333333,46.35172323333334,1.0981994666666668
zoo,2782.8415395999996,126.48666440000001,107.81374860000001,14.109924266666669,1.7869476666666662,0.3502301333333333
