TRAINAUROC:,CAWPE-A,PB-A
oocytes_merluccius_states_2f,0.978598864766276,0.975250213523643
oocytes_trisopterus_nucleus_2f,0.8974182773553036,0.8740243451626549
oocytes_trisopterus_states_5b,0.9756759421110167,0.9644846486574677
optical,0.9996733645195828,0.9994356757927374
ozone,0.8928498360261162,0.884474380960978
page-blocks,0.9913760418932434,0.9897038683492632
parkinsons,0.9382039573820403,0.9368150684931515
pendigits,0.9996902378524489,0.9996754183740848
pima,0.829847761194031,0.7915751243781105
pittsburg-bridges-MATERIAL,0.9175705023290949,0.9088093814259935
pittsburg-bridges-REL-L,0.7493379727507636,0.707435870331219
pittsburg-bridges-SPAN,0.7635243741765478,0.7509316770186334
pittsburg-bridges-T-OR-D,0.8293290043290046,0.8148268398268399
pittsburg-bridges-TYPE,0.7955908011439891,0.7800609856190618
planning,0.41096646942800835,0.42244575936883666
plant-margin,0.9960619212962961,0.9893684238215488
plant-shape,0.9817523674242425,0.9476456755050506
plant-texture,0.991994704751387,0.9859530663835272
post-operative,0.415271518604852,0.39528490028490043
primary-tumor,0.8136722074227286,0.8022479716346645
ringnorm,0.9973473115740805,0.997381928924756
seeds,0.9874829931972791,0.9853832199546486
semeion,0.9964879912346315,0.9940601187982229
soybean,0.9943646487879663,0.9891684392364131
spambase,0.9864429231553743,0.9852236221037742
spect,0.7240062967335695,0.651310507674144
spectf,0.8566853016538551,0.8269974376892613
statlog-australian-credit,0.5770462770462758,0.5776083776083762
statlog-german-credit,0.7867974603174613,0.758982222222223
statlog-heart,0.8981037037037044,0.8835629629629638
statlog-image,0.9988011135889925,0.9990532744472139
statlog-landsat,0.9905973618444655,0.9903796439640086
statlog-shuttle,0.9999966697177116,0.9999996082626742
statlog-vehicle,0.9428571224914468,0.9216716876640398
steel-plates,0.9344633805069392,0.9318798193976945
synthetic-control,0.9997195555555555,0.9983244444444442
teaching,0.7054485225201188,0.6790322351162684
thyroid,0.9991048023964665,0.9992324478813437
tic-tac-toe,0.9991974286924056,0.9985744896518985
titanic,0.7527316381510551,0.742938904118223
trains,0.9416666666666667,0.0
twonorm,0.997348406890539,0.9964364939040714
vertebral-column-2clases,0.9195809523809525,0.8858285714285719
vertebral-column-3clases,0.9596792780337942,0.9441377470558113
wall-following,0.9994928250566344,0.9998848944619564
waveform,0.9700400582665052,0.9654020621496712
waveform-noise,0.9704152956959554,0.9671035661364797
wine,0.9983556925083098,0.9965625749520307
wine-quality-red,0.8113895923824379,0.7913586875818949
wine-quality-white,0.8156648849023038,0.7933315005692992
yeast,0.8418074913181304,0.8104651821039565
zoo,0.9949415196983585,0.9955060671044319
