TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
SwedishLeaf,0.013732047175117768,0.01443981671955024,0.013623342210514129
Symbols,0.08434759519788482,0.09192386225780054,0.10417763884316467
SyntheticControl,0.010345870530653117,0.009626485389023475,0.010603741598493014
ToeSegmentation1,0.07418619786741325,0.10010411246963499,0.08806671974382138
ToeSegmentation2,0.08322150862402448,0.111147024847257,0.09548484121993142
Trace,0.03413017797278527,0.03916410674782921,0.03967229967643334
TwoLeadECG,0.049547257313415506,0.058728761925317674,0.05819673285700514
TwoPatterns,0.007815757357783868,0.007983495071439225,0.008389198327529273
UWaveGestureLibraryAll,0.006864460837387033,0.006634936698189498,0.006501516689254255
UWaveGestureLibraryX,0.010492207618867027,0.01048699676281687,0.011374538309782852
UWaveGestureLibraryY,0.016141783385167863,0.017003583092106894,0.01714733344484227
UWaveGestureLibraryZ,0.014152496493347948,0.014913741263452598,0.014110943308799565
Wafer,0.009213896275073599,0.018070013090801116,0.032931684100326174
Wine,0.03687731631209902,0.03864557262065121,0.04166186529263465
WordSynonyms,0.0416848918895243,0.04262754122661202,0.041120468469383435
Worms,0.05441774711917046,0.05974402775082408,0.05586609166475004
WormsTwoClass,0.033105472255332745,0.034607633833469556,0.03368867912667042
Yoga,0.0224047201673646,0.022196431095206973,0.02473335572253018
