TRAINTrainTimesSTDDEVS:,PB-A,CAWPE-A
plant-texture,8.75490010577328,45.06898926205743
post-operative,0.6396838299494919,10.30483649421056
primary-tumor,0.6989318615762463,11.485322967951792
ringnorm,2.2491377658238667,18.262611765729105
seeds,0.651258728182957,4.678146798815142
semeion,1.6333450621206842,38.1204382987913
soybean,0.9278574999588489,17.274125225285665
spambase,1.118804780974337,14.167674068305889
spect,0.461133037377414,2.9827087896973667
spectf,0.7111590022187596,6.328552339409361
statlog-australian-credit,0.8502873077655143,4.717416982682976
statlog-german-credit,0.8172001541568769,7.378206491721599
statlog-heart,0.5959634332684376,5.772407613394295
statlog-image,1.028892943728925,18.336854416312995
statlog-landsat,3.2215153141868242,20.992500029088113
statlog-shuttle,28.903803989396813,56.24986334593873
statlog-vehicle,0.6914918072835209,0.6617635789938568
steel-plates,1.4479474176011817,2.582211473128029
synthetic-control,0.7239737088005908,39.01228807298612
teaching,1.1121068335350703,3.7078667535483207
thyroid,2.2702473408212036,13.435627709713568
tic-tac-toe,0.7022132498578064,4.920634479227341
titanic,0.563241847975046,10.681867760395404
trains,1.473521078171634,3.7146804135366263
twonorm,1.1957780134587124,16.724405733132546
vertebral-column-2clases,0.6260623155792925,1.9666764075348093
vertebral-column-3clases,0.44977644510880355,8.018943089700915
wall-following,3.4509702117373964,16.123232327596572
waveform,1.3152509484776145,13.537517047675028
waveform-noise,1.4064710873459958,8.75883790118931
wine,0.8550055454548939,1.604949241865772
wine-quality-red,0.5074162634049248,11.151465034415573
wine-quality-white,2.1186093899363407,35.111055337265945
yeast,2.4823514991872604,16.614804366525988
zoo,0.4341724854553048,3.9368579571420454
