TRAINBuildTimesSTDDEVS:,CAWPE,RandF,LogitBoost,XGBoost,Bagging,AdaBoost
credit-approval,1324.9984205679277,600.1604966166856,369.37306432869053,40.69076537938842,124.34318799570309,13.890091228235974
cylinder-bands,1560.99175346174,724.8974175117418,820.9949444458877,78.0008379770657,79.51008327174098,23.373980463718574
dermatology,1385.9511344738708,381.080556553769,581.1455309038092,89.62699197247413,66.6194056533258,10.545710446483477
echocardiogram,253.7830211379553,800.6518085369897,224.88208468406975,36.1001327271222,62.19415974867476,19.6536824050046
ecoli,1041.2302673878871,586.8705025564278,1040.2647019752985,122.91811439172884,31.444023652905074,15.075223892929126
energy-y1,1037.503769535278,1277.8298370279404,527.6110260654424,56.04041220372449,23.6975471068366,21.871343184003063
energy-y2,772.1778399248706,740.0944884635175,388.9563975811571,56.446054565011835,43.39996664036159,16.202189805770445
fertility,313.19831238470016,701.9759452818687,77.28543995316966,36.39697784741257,28.988984639803537,18.869360688608246
flags,1622.4534258151364,855.4431637024757,719.4569537626483,69.68857235510252,43.472871778618085,8.15107789900815
glass,1087.6045849716927,885.858118436975,269.4733969993533,52.97335960375874,12.727851106568282,5.937323266542729
haberman-survival,552.4555973458084,662.2814362328528,127.26565544455163,28.21117480729349,37.04181928794184,7.404497604271159
hayes-roth,568.1781619353986,642.0264309379581,86.31953780206304,32.15204132754446,38.708053292488266,9.753378743086948
heart-cleveland,1024.5634775034564,855.1460410768641,770.5830384162775,63.66115684375301,14.253384224990697,17.22858540156077
heart-hungarian,658.4628248555337,1030.9434678519308,125.94848178324234,28.931250144821295,71.85383440771407,7.735459928194937
heart-switzerland,790.8062213135618,876.4088001780926,314.32335602961615,38.87673615990732,30.6718340305072,6.426467296132537
heart-va,904.4095397358193,755.2524435549635,382.7985437734932,53.69361205648265,21.803183700228878,5.1765025259925475
hepatitis,799.6143888381133,568.9563765479119,90.31416461747273,28.093958184293083,29.061313895668658,29.924362146051003
hill-valley,23959.128109865647,9518.905771638187,11858.205448866514,294.50582149859986,2827.235140930678,262.34417491641466
horse-colic,863.5615214583547,724.1940408898771,527.4862292998399,51.44591277901382,62.52196846083661,11.024926328477601
ilpd-indian-liver,683.5739165840156,848.1325665280332,295.13333707504063,37.75564142278864,136.48342817879748,11.432040834141977
image-segmentation,215123.88831000827,1366.5443264942783,8879.378198715518,306.0103382419476,476.9237910249206,23.20987729731425
ionosphere,1197.2373072412697,1212.3097241146477,645.1730628927469,37.03531917916046,231.2943419512408,21.66750226250068
iris,709.3246933522778,530.7797929218669,107.2959327227161,28.04274142444379,43.82441729155009,32.786930024535195
led-display,1685.4563005557263,1065.490249554173,2306.3965089189624,145.39181491749366,84.50509176982742,12.34396589327127
lenses,202.8167329481543,242.41487596934405,529.7030250345484,25.38609755554354,61.37180294049436,10.00428342982419
letter,104806.2301411637,59546.78586985013,333109.0093969739,7612.792782627372,1280.2987128767122,29.662252092375528
libras,18147.849684362252,766.9766868579482,11482.06504569879,233.10053760426052,361.84187148011614,18.65676831594192
low-res-spect,15207.536847196721,2451.7643557581882,4542.403498968575,278.4968604739956,261.8136298893998,9.893761622349619
lung-cancer,541.8422479631574,640.6797619874194,81.28356142064372,42.776888351655295,14.360776426146654,23.04229852201001
lymphography,877.6184582537711,483.56519659027015,193.89638301065423,62.04156769148086,14.025525375124642,14.589520551090832
magic,11366.963171589945,16239.02738595166,22784.875646955592,1286.083361609073,23582.738954143653,1646.2775782340843
mammographic,908.8963989723159,1572.619237364975,214.0434497821316,40.16614131529046,15.519081842234796,7.32392398191349
miniboone,763481.7604042323,925937.395557157,2171661.9997422546,7983.972065082721,495473.1419003851,102993.72590392837
molec-biol-promoter,809.2831416007477,626.7921454877902,75.7873771917949,20.806668535381164,16.933255603281008,12.842069521726552
molec-biol-splice,25526.520631355066,1454.0836510892414,31245.080214788482,275.518768481735,450.84636937624884,20.293024021157013
monks-1,478.9074736614393,802.3135859865525,140.96063854737736,25.084017561185405,15.114361303344776,33.85171396727146
monks-2,449.456051794874,1011.8324065648629,92.6441461537816,37.37241757338556,10.54208011131255,29.399292678690802
monks-3,230.00594352582385,680.0617367862137,111.18666703534446,34.14127666722873,7.605287156847954,18.80370629053909
mushroom,21012.553220167723,2427.6900705249927,5418.4850145652,248.15570872817918,404.5772356939162,154.64157982277345
musk-1,17673.557560734866,1397.1483662605542,3173.937471242113,69.15922566422343,375.53452604805864,176.28073700779714
musk-2,160429.6454293588,9432.145889283378,64609.757890870904,869.3579782347076,8037.609260659099,1429.3055868762626
nursery,9291.66415279725,5298.413114090267,7380.25481348839,453.9308202293916,285.0654710986033,20.28626903619624
oocytes_merluccius_nucleus_4d,5342.213814075876,1474.5316515275997,1523.24560933635,82.03510101695592,1215.8117908155896,135.2810028836825
oocytes_merluccius_states_2f,1559.6667495000777,1058.907482657557,2286.1211651557105,350.43479547910925,123.25040996737741,29.1969875989035
oocytes_trisopterus_nucleus_2f,1730.3272279811658,2192.049180203814,1399.6822076163933,43.49406857055467,175.67436395702228,90.38147882024974
oocytes_trisopterus_states_5b,2180.3556472540586,1305.9118962422149,1697.6348059382576,67.34321911408641,519.7753267755118,1053.6923394300582
optical,48476.77886125073,4902.080238836828,25200.57720585691,869.1896988635516,14134.296665418793,8.46269654675945
ozone,162694.71585887572,2181.906120246068,4162.547027287879,218.43927187320614,990.825306291786,293.3970005560075
page-blocks,4295.840810331551,3136.126077879057,39640.04636629218,320.97458507601095,211.74624340806068,24.405407224815914
parkinsons,564.8889044857689,866.5480545618339,74.10593642858659,40.567814986817176,15.28929920521596,10.589972504267418
pendigits,221327.2269347847,5108.4701060708685,19305.204181156572,844.3314460341624,645.8161289563802,28.268145021047026
pima,973.648114930021,1402.1966189780117,135.56165293934916,36.90514785047576,28.375796593933824,21.534346337036883
pittsburg-bridges-MATERIAL,366.78163971791804,476.33221893149533,36.52389377198519,48.01611789016833,11.652241957329581,7.709819697313123
pittsburg-bridges-REL-L,452.07946028633495,619.0447244741088,48.286941465451626,48.77938236063197,11.892698596271586,4.346369902187262
pittsburg-bridges-SPAN,376.2565656873305,636.5975288510464,26.61758696325093,57.8528066940456,12.08286787961141,7.55971912757061
pittsburg-bridges-T-OR-D,264.7295561439382,477.61355175462415,24.122565520630314,46.60700057604209,16.090693434986207,24.06461522612124
pittsburg-bridges-TYPE,937.9591722936899,741.4241471997931,81.29353652630974,116.76073423309789,12.791246444170598,4.289002243519544
planning,446.52134557006224,967.2810516355962,61.8270231453503,43.945971520964584,7.547553877357422,7.341664916166142
plant-margin,431874.6119236894,9284.625692983545,160821.663555601,2868.281122407516,7228.712042599801,21.785603242880136
plant-shape,1640786.6789441942,20988.485920173076,126369.2433502096,1795.669176508463,2489.279778742687,10.956109374775464
plant-texture,508033.45091236517,15080.877900432883,379872.0121733982,2454.3529957930086,1869.3278746571639,19.151335540694284
post-operative,579.3541507627915,654.8643488009998,28.16175706537436,26.820817944685313,5.796410735742955,15.519018822373432
primary-tumor,3321.861367587037,1382.9653858424558,1936.639971113155,167.3297034002885,27.206684553004976,8.902348691167399
ringnorm,6033.520279539172,10633.269573409023,7777.200343436836,625.319171353537,9635.21837163259,545.4378074492271
seeds,468.6892054527282,899.8749115043149,126.16132913043784,27.084397707390494,13.073180269625277,46.51593797664522
semeion,102945.78335560377,2797.1642459248433,62538.484556043026,1449.7069527846775,1333.6642434107712,11.966803750786605
soybean,5568.730348956871,1561.2158243684735,7052.474997887329,268.7443288223667,60.52293870426576,18.482644348032952
spambase,31778.290084031007,5508.126615913981,6269.739780225903,305.32926093490534,1513.3445057589809,267.1941368365007
spect,509.97163192177874,570.4570570896786,116.01567324859515,57.81852026477951,34.21899093559242,12.20642246224793
spectf,1111.5815925487275,959.7490914366971,330.33309401363,36.437125550667886,39.32092322602924,21.597759549736
statlog-australian-credit,1662.8639315777978,1080.0112062689088,337.7764560929055,98.54526659807333,97.31577805079118,11.955584607824607
statlog-german-credit,1645.947114469529,775.0634109759225,459.9564721324989,99.30942762159036,52.87249734290437,28.887359861245816
statlog-heart,395.6192431183807,885.239183240322,94.17462384073583,37.96495027645875,18.577435027919726,23.4305130311919
statlog-image,28246.032287105423,1367.2498323375555,8266.834935196583,217.35907330115523,183.2671093870979,13.017844422056786
statlog-landsat,16214.450045013624,2063.267761866531,11430.912830828825,524.7718330389807,3169.619167217266,14.54928889487887
statlog-shuttle,312657.18578736065,15751.24761170066,563691.4609911505,2795.068898547276,1219.3074143081892,320.23096348343114
statlog-vehicle,2143.526267738905,944.2154962874031,804.7062803339941,155.99131334124286,76.77905146016865,16.915427760632316
steel-plates,1305627.2966288766,2937.862410428887,5068.5529365157,282.5120868842954,341.136963490023,20.10353134777786
synthetic-control,5137.148491698309,1561.5808785536628,2051.553853310236,96.2184447988571,238.96697928686856,18.433461651361036
teaching,588.7072299944857,859.1322004714874,99.7748878980625,46.40317339565467,13.125812430386265,5.289910827681816
thyroid,12846.991766810508,1631.1010540386949,9442.266711544375,238.6565084062227,151.42710106005978,1851.7263467189184
tic-tac-toe,999.3539249024961,1484.128402408595,186.08568865438866,71.5010816954004,36.128292695733855,17.059816953669365
titanic,1232.7165680411656,1108.6611527842772,371.58886285136845,44.4950660492082,16.503107284448195,18.191667733516084
trains,287.25292990920093,148.67221484120103,37.76884598317777,4.3726938111808344,19.035188020535386,4.770519185971623
twonorm,6831.202767154496,9123.495373782496,4610.572780890978,434.17877506631504,888.5170632166846,479.83585080976707
vertebral-column-2clases,694.1641456648628,534.7316527824762,118.90152700503003,34.48523140665609,13.13092397353386,12.42831183617463
vertebral-column-3clases,743.0643561351465,553.6982928344306,158.30666396948695,41.83185907761714,10.553376382259815,18.68522005772053
wall-following,6442.929991267814,5273.29661903226,7983.660175218958,298.4028846331352,1207.8993689030224,30.501925408695183
waveform,5732.301666210869,4088.514226789496,7607.650620300585,296.15256436832135,554.6902240445343,51.695202659921854
waveform-noise,15873.769442755602,5502.237202489985,11044.609146922638,539.9750447920019,1115.928583891489,60.85616076865698
wine,797.9691297346311,380.27145398313934,226.2255843938816,12.394964358125996,16.57870013279793,10.141423111536923
wine-quality-red,1921.9138273268268,2124.349176125318,5117.90055895624,179.58102087089014,80.45559353200818,20.534738756126632
wine-quality-white,2824.9399874335286,1361.2964714169982,6303.609562729521,424.06115144647885,1078.5523483038796,18.51906116022067
yeast,2679.121455689277,1664.1054292297927,2091.7116282246448,200.35900666305798,72.48704764045354,20.054856556711766
zoo,219.93325508596067,134.29798958612164,120.65625654073094,56.37480886743172,8.905628070118938,6.490882549678636
