TRAINAUROC:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
oocytes_merluccius_nucleus_4d,0.8829933630372175,0.8755018332869163,0.6281455954701527,0.7963955026454973,0.6429209598069202,0.6180979068040432,0.7799608976144018,0.7961999907175294,0.7974032302979619,0.7615978603917151
oocytes_merluccius_states_2f,0.9774622501722714,0.9768241358148727,0.9826669607244302,0.9522913153388386,0.9818840041232785,0.9783058864312285,0.9721064495995951,0.9516351699360927,0.9517501078845629,0.9493032027292789
oocytes_trisopterus_nucleus_2f,0.8810182984790892,0.8807337874947208,0.6552208755809055,0.8400229721166054,0.6666752482044795,0.6543204742289833,0.8119712452471498,0.8395905946345606,0.840272496831434,0.8103460340092964
oocytes_trisopterus_states_5b,0.9767200633859509,0.9757519144568655,0.9860381120146863,0.9671457799024127,0.981204697793831,0.9786180307124267,0.9543683540911653,0.9675133079980667,0.9674756871110286,0.9666469269760685
optical,0.9993737571595677,0.9993337089783682,0.9999212454579143,0.9993790939924944,0.9996920412734808,0.9996404963339905,0.9979082346725716,0.9968666972063326,0.9968668581972453,0.9967874096581364
ozone,0.8577127899629942,0.8580520203387803,0.09601498330174205,0.4591359027589735,0.12562430423925144,0.06924737491350003,0.8634405933146805,0.4583807202816139,0.458367933327316,0.45293272557691744
page-blocks,0.9889568960720905,0.9884023536591603,0.9963174347153344,0.9843516032509408,0.9904579383046318,0.9900439883741129,0.9580793420031993,0.9843135335199786,0.9839692044237244,0.9847839292428474
parkinsons,0.9456621004566219,0.9412290715372914,0.8071537290715388,0.9030631659056324,0.817313546423137,0.7971841704718433,0.8551560121765608,0.8981164383561653,0.8981354642313554,0.871328006088281
pendigits,0.9994233111184313,0.9994127084086426,0.9999437769175799,0.9995247234996268,0.9997326614031802,0.9996247241375844,0.9984424026749197,0.9988605289192771,0.998854925779862,0.9988287427820246
pima,0.8292079601990062,0.8262000000000014,0.5032169154228862,0.6886109452736328,0.5241900497512445,0.5038855721393041,0.825226865671643,0.6884407960199016,0.6878298507462698,0.6762616915422895
pittsburg-bridges-MATERIAL,0.8936801128495073,0.8969609223291712,0.9726176374089633,0.8769941324360311,0.9636784246849714,0.9492848667971419,0.8785514165321863,0.8643087443107903,0.8663852582224104,0.8619174878585681
pittsburg-bridges-REL-L,0.7447807141179233,0.7466701315480385,0.8949033944092083,0.796459654686399,0.904447263330984,0.8544489076814655,0.7354233615221989,0.7365187925769318,0.7405149166079398,0.725309901338971
pittsburg-bridges-SPAN,0.7447590814982121,0.7447421419160546,0.8928816111424805,0.7737022397891963,0.8882825145868625,0.8291040843214754,0.7404498400150572,0.7291134952004517,0.7300752870318086,0.7233662714097496
pittsburg-bridges-T-OR-D,0.7606060606060605,0.7615800865800865,0.4664502164502163,0.558982683982684,0.5196969696969697,0.47435064935064924,0.7463203463203463,0.553138528138528,0.5557359307359307,0.5432900432900432
pittsburg-bridges-TYPE,0.7519548129871833,0.7570978431339632,0.9591435082479028,0.8817518957499515,0.9391429453738451,0.9427647426729963,0.7471444834405008,0.7248640398349744,0.7291309065029726,0.7226099019193852
planning,0.4088757396449708,0.40061143984220954,0.12080867850098621,0.3385996055226831,0.22552268244575935,0.09944773175542408,0.41684418145956653,0.22043392504930964,0.22737672583826432,0.20832347140039448
plant-margin,0.9943383312289563,0.9943572180134681,0.9993738952020209,0.9991507260101016,0.9724550189393945,0.9998618476430982,0.9920674978956229,0.9496460437710434,0.9498855218855217,0.9494246632996629
plant-shape,0.9790751788720542,0.9791527251683502,0.9986005892255893,0.9985644991582492,0.6422323232323232,0.9997603640572393,0.9708125000000002,0.8839150883838379,0.8845144675925921,0.8836069549663298
plant-texture,0.9900341218156911,0.9901024221312584,0.9992107221862068,0.9988160576741998,0.9992240106056341,0.9999197797565796,0.9847312386837734,0.9504866434609923,0.9506344791082629,0.9503318950333749
post-operative,0.43027713027713027,0.4263554346887681,0.7686700336700336,0.6438457221790557,0.7893762410429075,0.7314655097988433,0.4604122420789088,0.5410981610981611,0.5463282396615731,0.5437399637399637
primary-tumor,0.7910911153626852,0.7922333029136636,0.9754231331635076,0.9217192780584329,0.9859161634461971,0.9672158952326058,0.7703749502528258,0.7205511653884998,0.7210371988793348,0.7230632584011416
ringnorm,0.9720597752229422,0.9744137063669468,0.8895560699780943,0.9569271714838794,0.8735149896829834,0.8598577435331651,0.818467304623341,0.9500869914346948,0.9499089078605786,0.9274712931187695
seeds,0.9917823129251702,0.991537414965986,0.9961224489795917,0.9856961451247164,0.9971201814058959,0.992344671201814,0.9775464852607708,0.984235827664399,0.9840498866213153,0.9836281179138324
semeion,0.9945153925603901,0.9944143934282366,0.9992741117767814,0.9953912711590639,0.9980284788179522,0.9970791727146614,0.9909997679931526,0.9815192471930713,0.9814087581334067,0.9809874455406703
soybean,0.9915501321702592,0.9914825861595272,0.9985641136426895,0.9934922544382736,0.9970015134323504,0.9959046347875903,0.9886396131601958,0.9695643380259448,0.9698354952381646,0.9692652664232396
spambase,0.9785150117765331,0.9781466719030293,0.8801337435852,0.9462724194830616,0.8757510902923641,0.8687149171842365,0.9538341816024349,0.9462920030446942,0.9462730529136265,0.9424330384714098
spect,0.7287052341597797,0.7288469106650926,0.5050688705234161,0.6564580873671785,0.5286816214088942,0.48022038567493114,0.7322943722943723,0.6544667453758364,0.6551908697363245,0.6329948839039751
spectf,0.842301420917773,0.8391800605637081,0.5966457023060798,0.754530631260191,0.5800372699743767,0.5768460284183553,0.8625669694852084,0.7537852317726532,0.7540298159795015,0.7389121826228743
statlog-australian-credit,0.5350645517312171,0.5347783681117002,0.05175688509021777,0.38927902261235475,0.1268101434768088,0.030860347527013634,0.5102243268909923,0.3560303893637213,0.35774749108082304,0.3203729370396024
statlog-german-credit,0.779346031746033,0.773662222222223,0.4015606349206343,0.6387949206349209,0.42439746031745973,0.38912761904761856,0.7755041269841282,0.638076825396826,0.6370857142857148,0.6170273015873021
statlog-heart,0.8931703703703712,0.8907111111111121,0.6961407407407414,0.8152592592592605,0.7105555555555564,0.6958666666666675,0.8968666666666677,0.815000000000001,0.8147407407407417,0.8041407407407419
statlog-image,0.9979372075735713,0.9980090952818225,0.9995248006763158,0.9980067923098226,0.9986270788695031,0.9983844214147246,0.9906216275307188,0.9948111708717776,0.9948132114798784,0.9944809713294569
statlog-landsat,0.9888477171607276,0.9884091071287531,0.9942114780132758,0.9818917883378908,0.9887669487293528,0.988290225848596,0.9807949616900115,0.967239397079954,0.9671716860607585,0.9663129153568158
statlog-shuttle,0.9999731700179276,0.9999525168141719,0.9999994841577753,0.9999674409029811,0.9999825601556319,0.9999780860069687,0.9911841741191335,0.9999460895463079,0.9999363929283878,0.9999432332922656
statlog-vehicle,0.9438096240143916,0.941836965746381,0.9614307081520785,0.9444723298765477,0.958830186579176,0.9508895489197298,0.8904511576023839,0.9221009843190153,0.9224842387078019,0.9170356289973332
steel-plates,0.9178210347585434,0.9182319982426648,0.9503201732813101,0.9118576861353097,0.935593807207249,0.9260409451901995,0.8937299448973234,0.8893919477722372,0.8893597615607748,0.8822195762632504
synthetic-control,0.9998488888888889,0.9998280000000002,0.9999315555555556,0.999734222222222,0.9999951111111112,0.9999720000000001,0.9991462222222223,0.9988324444444445,0.998832,0.998482222222222
teaching,0.670214521364101,0.6722135040682938,0.8124924814370189,0.7218657418522963,0.8271162260459737,0.7500445404828597,0.6365797234449334,0.6666891432128407,0.668575586679116,0.6599940064914853
thyroid,0.997596023526728,0.996542786966509,0.9994726960974438,0.9886236813522573,0.9985023708019097,0.9981907500306472,0.9898281005469092,0.9883946405221798,0.9885159889982262,0.9859750261569611
tic-tac-toe,0.999090290875964,0.9991531621694446,0.9978854715988558,0.9981581277185421,0.9948734234060848,0.9948734234060848,0.9664992237319886,0.9981581277185421,0.9981581277185421,0.9962411948111939
titanic,0.7374581088319642,0.7370336200649099,0.4008250307212398,0.4877696064530355,0.4096477927970504,0.3989507514887982,0.6652685509027341,0.48764735167155016,0.48721870372120824,0.4871143460314456
trains,0.55,0.625,0.9833333333333333,1.0,1.0,0.9,0.5583333333333333,0.5416666666666666,0.5416666666666666,0.35
twonorm,0.9975107153186502,0.9967383957659413,0.956605697711838,0.9798189407386941,0.9575443015475245,0.9559415350541585,0.9976925814446019,0.9798189894624058,0.9798188043123017,0.9788885517207848
vertebral-column-2clases,0.9220063492063493,0.9180825396825398,0.6852190476190481,0.8370412698412705,0.7022793650793653,0.6786158730158733,0.8669015873015874,0.8367746031746035,0.8367936507936514,0.8240253968253973
vertebral-column-3clases,0.9590791193036351,0.9582531490015361,0.9741389144905274,0.9485919508448538,0.9731680491551458,0.9607217562724009,0.9254210906298002,0.9463821095750123,0.9461782130056322,0.9442674091141828
wall-following,0.9966976584980451,0.9969846984436516,0.9997235043221139,0.9954583385167302,0.9986569501227514,0.998464414131617,0.8753225733488255,0.9874500222533541,0.9872296124028584,0.9803067886882094
waveform,0.9709059192179833,0.9691483193637611,0.9727667787236425,0.9389186389960255,0.9723650020161417,0.9719703518818873,0.9686973056728647,0.9471087843024549,0.9468688404129034,0.9462634126817079
waveform-noise,0.9706017454270548,0.968477370996604,0.9727614680807923,0.9396872367253899,0.9721657958236898,0.9717019071737908,0.9682988247020441,0.947477767755174,0.9472548491468434,0.9463474262882366
wine,0.9973506823057486,0.997004165440179,0.9987068257375885,0.9943157610190084,0.9984404753684913,0.9981567554340978,0.988944372949797,0.9939389283282942,0.9938847130260876,0.9933790650498833
wine-quality-red,0.7655580705385451,0.7695556434015154,0.8288888162387865,0.7331437656253281,0.8107411781512784,0.7876243899417885,0.7469358530553414,0.7246298520698621,0.7237087111787359,0.7253373666010073
wine-quality-white,0.7763681689066659,0.7784162926679542,0.8045401204373429,0.7416431933265547,0.7933493323436892,0.7869190813255693,0.6982345103013278,0.7361192644959748,0.7280213792456177,0.7316095140380038
yeast,0.8343658095699306,0.8336624845723345,0.9247694325364442,0.8248639655918962,0.8771621338242193,0.8539280398543314,0.8262905430971844,0.7754210681516638,0.7741723260078566,0.7783567600273978
zoo,0.9896570235709274,0.9903453074810961,0.998548168031451,0.9973579941025338,0.9992369270940701,0.9982680108364,0.9823347433833757,0.9588021553569017,0.9589735782257163,0.9584758715885455
