TRAINAUROCRANKS:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
plant-margin,5.0,4.0,2.0,3.0,7.0,1.0,6.0,9.0,8.0,10.0
plant-shape,5.0,4.0,2.0,3.0,10.0,1.0,6.0,8.0,7.0,9.0
plant-texture,6.0,5.0,3.0,4.0,2.0,1.0,7.0,9.0,8.0,10.0
post-operative,9.0,10.0,2.0,4.0,1.0,3.0,8.0,7.0,5.0,6.0
primary-tumor,6.0,5.0,2.0,4.0,1.0,3.0,7.0,10.0,9.0,8.0
ringnorm,2.0,1.0,7.0,3.0,8.0,9.0,10.0,4.0,5.0,6.0
seeds,4.0,5.0,2.0,6.0,1.0,3.0,10.0,7.0,8.0,9.0
semeion,5.0,6.0,1.0,4.0,2.0,3.0,7.0,8.0,9.0,10.0
soybean,5.0,6.0,1.0,4.0,2.0,3.0,7.0,9.0,8.0,10.0
spambase,1.0,2.0,8.0,6.0,9.0,10.0,3.0,4.0,5.0,7.0
spect,3.0,2.0,9.0,4.0,8.0,10.0,1.0,6.0,5.0,7.0
spectf,2.0,3.0,8.0,4.0,9.0,10.0,1.0,6.0,5.0,7.0
statlog-australian-credit,1.0,2.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
statlog-german-credit,1.0,3.0,9.0,4.0,8.0,10.0,2.0,5.0,6.0,7.0
statlog-heart,2.0,3.0,9.0,4.0,8.0,10.0,1.0,5.0,6.0,7.0
statlog-image,6.0,4.0,1.0,5.0,2.0,3.0,10.0,8.0,7.0,9.0
statlog-landsat,2.0,4.0,1.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0
statlog-shuttle,4.0,6.0,1.0,5.0,2.0,3.0,10.0,7.0,9.0,8.0
statlog-vehicle,5.0,6.0,1.0,4.0,2.0,3.0,10.0,8.0,7.0,9.0
steel-plates,5.0,4.0,1.0,6.0,2.0,3.0,7.0,8.0,9.0,10.0
synthetic-control,4.0,5.0,3.0,6.0,1.0,2.0,7.0,8.0,9.0,10.0
teaching,6.0,5.0,2.0,4.0,1.0,3.0,10.0,8.0,7.0,9.0
thyroid,4.0,5.0,1.0,7.0,2.0,3.0,6.0,9.0,8.0,10.0
tic-tac-toe,2.0,1.0,6.0,4.0,8.5,8.5,10.0,4.0,4.0,7.0
titanic,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
trains,7.0,5.0,3.0,1.5,1.5,4.0,6.0,8.5,8.5,10.0
twonorm,2.0,3.0,9.0,5.0,8.0,10.0,1.0,4.0,6.0,7.0
vertebral-column-2clases,1.0,2.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
vertebral-column-3clases,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
wall-following,5.0,4.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
waveform,4.0,5.0,1.0,10.0,2.0,3.0,6.0,7.0,8.0,9.0
waveform-noise,4.0,5.0,1.0,10.0,2.0,3.0,6.0,7.0,8.0,9.0
wine,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
wine-quality-red,5.0,4.0,1.0,7.0,2.0,3.0,6.0,9.0,10.0,8.0
wine-quality-white,5.0,4.0,1.0,6.0,2.0,3.0,10.0,7.0,9.0,8.0
yeast,4.0,5.0,1.0,7.0,2.0,3.0,6.0,9.0,10.0,8.0
zoo,6.0,5.0,2.0,4.0,1.0,3.0,7.0,9.0,8.0,10.0
