TRAINNLLSTDDEVS:,CAWPE-A,PB-A
twonorm,0.0235447341314211,0.008773538209324125
vertebral-column-2clases,0.05889053190799996,0.16904627968373495
vertebral-column-3clases,0.058949008846402175,0.1471554831507943
wall-following,0.004760816536383734,0.004582047460790756
waveform,0.015885002997567788,0.02106733090228076
waveform-noise,0.01563342119294225,0.01934365573288574
wine,0.04066008277555041,0.03947414320774734
wine-quality-red,0.0296596874529919,0.06690765492354542
wine-quality-white,0.015003468494257587,0.02898507088644714
yeast,0.037428418992352934,0.07950130024571025
zoo,0.08787795369582278,0.05907087203017012
