TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-S,PB-S
musk-2,0.013121478961165008,0.017703856002042564
nursery,0.016444092371525987,0.10238245139968367
oocytes_merluccius_nucleus_4d,0.02832206484833368,0.03079071120094619
oocytes_merluccius_states_2f,0.04003217335174588,0.041855375827616
oocytes_trisopterus_nucleus_2f,0.02620222199360438,0.026415298646619505
oocytes_trisopterus_states_5b,0.058870533166991104,0.07561434575914834
optical,0.0025209026497639443,0.0044965922310254616
ozone,0.03170069536950505,0.04856461216944331
page-blocks,0.04476159005360337,0.03850126939155072
parkinsons,0.07952214670228876,0.08071504259420181
pendigits,0.002066831622555921,0.002200914954487595
pima,0.029893360969674702,0.02662552528923829
pittsburg-bridges-MATERIAL,0.13441448994779942,0.12255348770882075
pittsburg-bridges-REL-L,0.08042062602940575,0.0960636807237551
pittsburg-bridges-SPAN,0.09875761184028167,0.11149077584448586
pittsburg-bridges-T-OR-D,0.16800133835808237,0.13900970427215345
pittsburg-bridges-TYPE,0.07733469609925002,0.10576647751512369
planning,0.019974563842731045,0.026753921046626203
plant-margin,0.016964508251932478,0.019989041538032652
plant-shape,0.024099478043186413,0.028847473444617838
plant-texture,0.017160402770180293,0.025158143957090817
post-operative,0.039538460987963625,0.052070826510281984
primary-tumor,0.04876009150416439,0.0479759842124746
ringnorm,0.009390420506018968,0.007567374313015092
seeds,0.03874110409104708,0.03566553870812825
semeion,0.017479125629592952,0.015780513452350934
soybean,0.020747129331448292,0.030463869133981747
spambase,0.010325933686296203,0.009887761204164543
spect,0.06635154762946241,0.07262999456916075
spectf,0.07369280233280896,0.0658920927288919
statlog-australian-credit,0.022145905333340172,0.009832671654375876
statlog-german-credit,0.02695347755490485,0.032068053402107895
statlog-heart,0.05474905015592268,0.04634677580021454
statlog-image,0.00744304024270111,0.01124032043407974
statlog-landsat,0.010500646603845604,0.009110718632104987
statlog-shuttle,0.0674720134030853,0.04490457192238147
statlog-vehicle,0.022915959073424995,0.028452352615882092
steel-plates,0.028347356360715788,0.030980067271917728
synthetic-control,0.010370530011542643,0.013598888092176874
teaching,0.07344631338388886,0.09570276296133291
thyroid,0.03544552817236027,0.02952247780967007
tic-tac-toe,0.011877776208108549,0.011066500583962807
titanic,0.021414523504683956,0.020558035416919595
trains,0.34179863818875633,0.39871280759140426
twonorm,0.003353055298289881,0.0029586425093937304
vertebral-column-2clases,0.06500711008868182,0.06478010143918728
vertebral-column-3clases,0.04930192411932279,0.04480194658139997
wall-following,0.009428723410004943,0.018942103540421203
waveform,0.010348141084839868,0.009538344271753787
waveform-noise,0.010195951633466552,0.009665789996890946
wine,0.026632201751968298,0.0242934203240388
wine-quality-red,0.02408075967498683,0.02792618629483022
wine-quality-white,0.01701167772659171,0.030594460643894227
yeast,0.06314893479121306,0.04618637858568587
zoo,0.10305499150585652,0.12533594442639587
