TRAINTESTDIFFSBALACC:,CAWPE-S,PB-S
monks-3,-0.009932818156502347,-0.0048289125591757095
mushroom,-0.0012859805600759166,-8.643975966785937E-5
musk-1,-0.00743130098821303,-0.00939483425403342
musk-2,-0.007239385235144073,-5.292543036868029E-4
nursery,-0.007201195525875962,-0.09713165691611345
oocytes_merluccius_nucleus_4d,-0.0022266399404299014,-0.004132573699003509
oocytes_merluccius_states_2f,7.980057692486108E-4,0.002217123606637635
oocytes_trisopterus_nucleus_2f,-0.008015597534974635,-0.009585226377229998
oocytes_trisopterus_states_5b,0.007341508002224462,0.01740354768389663
optical,-4.3399789927284216E-4,-3.811319014213869E-4
ozone,0.017027337922443528,-0.006156757644369348
page-blocks,-0.007504674894972067,-0.0036984064380203483
parkinsons,-0.012372989427783965,-0.007034688798387426
pendigits,-2.263182890645717E-5,6.366664261947171E-5
pima,0.0010706467661691587,0.0011532338308457642
pittsburg-bridges-MATERIAL,0.017008547008547,0.006282051282051308
pittsburg-bridges-REL-L,0.039949450815463874,0.023625608838027164
pittsburg-bridges-SPAN,-0.029461279461279445,-0.04617003367003365
pittsburg-bridges-T-OR-D,0.04734848484848487,0.03944805194805197
pittsburg-bridges-TYPE,-0.030467171717171712,-0.031468855218855216
planning,-0.004487179487179486,-0.005384615384615395
plant-margin,-0.02141666666666666,-0.021333333333333322
plant-shape,-0.015291666666666667,-0.014249999999999992
plant-texture,-0.01414880952380948,-0.02072619047619043
post-operative,-0.00590277777777777,-0.006018518518518511
primary-tumor,-0.009399610136452225,-0.024648705096073517
ringnorm,0.005479866221569748,-0.002172146221195703
seeds,-0.010158730158730155,-0.010476190476190462
semeion,0.0017424648071623916,0.0015771916003983534
soybean,-0.012556790588191513,-0.016698872785829304
spambase,-0.004655984692425234,8.967357026483584E-4
spect,0.007455322455322448,0.0064330114330114485
spectf,0.010502562310738395,-0.006071761339056943
statlog-australian-credit,-0.002288827288827285,1.540001540001538E-4
statlog-german-credit,-0.004857142857142864,-0.004777777777777766
statlog-heart,0.00422222222222222,0.0042777777777777805
statlog-image,-3.4632034632035754E-4,-6.34920634920629E-4
statlog-landsat,-0.0029183530270747863,-0.0032847768360003433
statlog-shuttle,-0.028131722900288224,-0.016259850706705024
statlog-vehicle,-0.0033349038633211665,-0.012489560026242867
steel-plates,-0.0036881808554440785,-0.001804278400679186
synthetic-control,-0.0030000000000000213,-0.002222222222222185
teaching,2.635327635327441E-4,-0.027679487179487174
thyroid,-0.0038539404839733134,-0.001224733744546084
tic-tac-toe,-0.0019076305220883587,-0.0016064257028112427
titanic,-0.0011161802780082016,-4.213447742736872E-4
trains,0.022222222222222265,-0.18888888888888886
twonorm,1.220544172122473E-4,-8.458845759524343E-5
vertebral-column-2clases,-0.009301587301587304,0.002920634920634942
vertebral-column-3clases,-3.703703703704061E-4,-5.185185185185329E-4
wall-following,0.0022830803552813307,0.004570671360931492
waveform,5.002849190153702E-4,3.272793684350406E-4
waveform-noise,-0.0011562155519545389,-0.001168487054700688
wine,-0.0072644894483975,-0.015299215471629275
wine-quality-red,-0.007528074241626705,-0.005178648358114278
wine-quality-white,-0.011363862257198487,-7.901312302893908E-4
yeast,-0.03187853871448019,0.009950909796228863
zoo,-0.04896825396825395,-0.02587301587301584
