TRAINTESTDIFFSAUROCSTDDEVS:,ES-A,SMLRE-A,SMM5-A,SMLR-A,NBC-A,RC-A,WMV-A,CAWPE-A,PB-A,MV-A
ecoli,0.020840213180883645,0.026621829100530243,0.01506411113987284,0.021762432512639807,0.017117598837092487,0.026101143127999604,0.025742367545586536,0.013699716932321391,0.017227788664865764,0.025610693520678414
energy-y1,0.009323967353759227,0.008784908142449822,0.004415383000598568,0.007053157529937913,0.009455555663431495,0.011283252442704946,0.01127745164928492,0.005598627294913892,0.005541465619725451,0.011205500705530022
energy-y2,0.012276832550647786,0.009616878685737882,0.00848413717767671,0.008518990260895034,0.0075238473488413605,0.013621710777468194,0.013629182406206385,0.0055848009074143,0.00682684056405246,0.013717077410000339
fertility,0.21670198961615528,0.20699173804927096,0.19812215600205146,0.1644888046159631,0.21229486877071757,0.19046116067968333,0.2156050980376429,0.16535080477835426,0.21952109247850937,0.21219101826956738
flags,0.03714956097331788,0.05375514647050323,0.030247933264417444,0.03973132815921339,0.03326608552768914,0.04279579138144073,0.04433298541640495,0.037499895231323924,0.040837873498508565,0.04405801244825815
glass,0.027205383739678533,0.04357466202015665,0.033722696783565764,0.04126414433088124,0.028048235264900984,0.03127027883128084,0.028608297026286082,0.02397481635472009,0.027836348460771577,0.029377746780495845
haberman-survival,0.0877345830250327,0.11215989838210005,0.10232075861196097,0.07993337558651877,0.10417300091413333,0.1121987720271579,0.11458813459402219,0.08128695836718129,0.0792731863647448,0.11028249138525514
hayes-roth,0.04369579735395105,0.08280690931985486,0.04643892525952636,0.07161104174162737,0.049523450407576414,0.058111605528745516,0.055917430710742955,0.0401277721291775,0.03845041583528886,0.057180789667718904
heart-cleveland,0.03988884782161172,0.030943083570264738,0.03808283209094045,0.03149683660430835,0.02949208335189671,0.0398520124692845,0.04277530314007019,0.03512511689988272,0.043065999295827564,0.042059767393938415
heart-hungarian,0.06794912560712102,0.09037134193102683,0.10518306118278012,0.08772548505818187,0.08350487944845827,0.08347092664222516,0.08344373830028871,0.04364112758398506,0.055494845762739296,0.08254168031480318
heart-switzerland,0.09905695974231489,0.08071634593598377,0.05653170072892991,0.0667696825132305,0.06253736438397266,0.0793207073192208,0.08523488107290529,0.08884674724209539,0.07669556052524057,0.08624670846498998
heart-va,0.06177441508303419,0.058685307382648925,0.049594917299565375,0.06146128079375401,0.050527642740301214,0.06274526723705787,0.06357426906309459,0.05410084227840092,0.06010155375009628,0.06431866687926552
hepatitis,0.11624609475892939,0.16780157209857183,0.17041685201664689,0.179551262741635,0.13785001162211183,0.13769664125916503,0.13889342088904613,0.0616390728423969,0.0778362221192385,0.13924629856509613
hill-valley,0.05447769935208284,0.04896492095365548,0.0401652713154384,0.03962542629286993,0.03860369479637177,0.03599531041302295,0.03580953567671668,0.04090100283232206,0.03717117321912971,0.03480998164279817
horse-colic,0.04232134088875107,0.06892212844951762,0.08165385335461574,0.06690660296769253,0.04611776202000809,0.047359172052272074,0.04634309630443277,0.03222071696963533,0.03648301768028134,0.047245756529062266
ilpd-indian-liver,0.06275476805224312,0.08707654997322356,0.0925254777240809,0.09391596071365552,0.07082235605333224,0.06672951580617256,0.07127362943523785,0.04808063798510376,0.05136486072731451,0.06863908155559242
image-segmentation,0.0029570206971049513,0.0019922322434877595,0.0014932926689005435,0.0013464287756078134,0.0015102566577731697,0.0034235917634682714,0.003423539708629871,8.28858620172441E-4,0.0010498171412042755,0.003483003169939177
ionosphere,0.03313891598843573,0.05844208915194203,0.06812105717450684,0.06408381948468912,0.04381950807449514,0.04384138373430698,0.04379862369995276,0.014685619609727541,0.022400286875288947,0.04363016525161037
iris,0.019390675169392718,0.014976732230410105,0.0214989528985566,0.014306025130856524,0.015415799561407635,0.027581110384896655,0.027562754219758172,0.005199422308022745,0.020808142624682842,0.02746605065708055
led-display,0.014611347299186419,0.01285077327212018,0.011465423717449087,0.01135610999300177,0.009754757386786,0.019173212255913827,0.019169545635050203,0.008852104422518608,0.008039902784123126,0.019195757689503493
lenses,0.24602151885664575,0.17834418155512133,0.18851414994078386,0.2670110584440107,0.13587844250080056,0.1630986234441366,0.211558459778636,0.24370403941537105,0.25685384572991565,0.22514065517754925
letter,6.299807197004519E-4,2.1357661429241548E-4,4.1885596177976877E-4,2.7862796209036944E-4,6.53902020909394E-4,0.001078774942567652,0.0010777773960396228,8.54286312226662E-5,1.1694539160938027E-4,0.001083435524947474
libras,0.02053647077061345,0.01986392789865271,0.013041115633548822,0.015480664503006097,0.008429017796170278,0.025798063875524007,0.025788785529888836,0.007849586220620574,0.016729461865096995,0.02569158315713248
low-res-spect,0.011696508996117766,0.01029164765887725,0.012047102332241788,0.01026337391279886,0.011863116020107629,0.015218703509878792,0.016043776300840626,0.0064385299089255955,0.008738676908207954,0.01597897411572505
lung-cancer,0.2046925033693654,0.1523410160204761,0.09977301893266982,0.13311302394026975,0.09554964942786257,0.16068261607224577,0.17741784290312057,0.17390166069642107,0.21548007563057917,0.19163688952553679
lymphography,0.052852007623797166,0.0559180999954166,0.04435578402704775,0.062452227345190015,0.052256989541523066,0.05330789895052411,0.050489705864656564,0.04707231889966845,0.04677620101842044,0.051022805066431795
magic,0.007860075430661626,0.009787061659904566,0.010289066327944445,0.010180689204565212,0.008978545277111102,0.008970559525581795,0.008971469070570637,0.004143411338300335,0.004307251478979805,0.008928736167666255
mammographic,0.03579621354747935,0.03959268732482899,0.04448114516008082,0.043243366893221516,0.03821409700791814,0.038102266992699425,0.03823120379295826,0.022102766819180813,0.029188764922608742,0.03825680840554178
miniboone,0.0031419628749206306,0.0024855482768014053,0.002560723718351766,0.0025973589971344455,0.0031442022657135527,0.0031447313299101175,0.0031436415261180705,7.28158238466011E-4,5.967116741194301E-4,0.0031085509209629924
molec-biol-promoter,0.06885853039467815,0.20368543583316145,0.1598297503591572,0.10783008295905175,0.09029629827589719,0.09050252781675831,0.0902617464191845,0.05005223859301905,0.06036314268661817,0.0927474930802381
molec-biol-splice,0.004488836819189681,0.0038367324529644023,0.002910343172045635,0.003960208451368196,0.005156545435720522,0.005400710342065002,0.00539387368619119,0.0033126625496418018,0.002776129152093154,0.005395140277424268
monks-1,0.007394173753192927,0.0209674096288861,0.01882338376610845,0.02437539013942775,0.007929238188910712,0.007894879727288515,0.007937573180526961,0.004769240273132336,0.008273776048321392,0.00951085170807011
monks-2,0.08418150324476206,0.1676218254879614,0.14072143769609768,0.13223605958789464,0.08941975759432857,0.08647655062510312,0.08603344162989122,0.05569195776987504,0.05544363194073932,0.07996962623884671
monks-3,0.017047337428861435,0.025162397281435794,0.027238605401740765,0.025501973326233333,0.018768845687374934,0.01883536218783084,0.01883667081930395,0.004776972825166118,0.005720409928395432,0.01924895341806564
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.03774367482376124,0.05675500204284302,0.05989736686172016,0.05242999736650264,0.04429983859923644,0.04428134946835748,0.044345261817543544,0.02628671900680042,0.030663784329301166,0.044585057008482
musk-2,0.008381372744219006,0.014642723244378498,0.017355183670548748,0.018882750824794868,0.00921135040175311,0.009267021996810796,0.009274499982026743,0.0010866324406906443,8.825326191807094E-4,0.009235217522710476
nursery,1.1487393909068608E-4,7.675742152296575E-5,3.929422690467535E-5,8.861815143715626E-5,2.0737805970778137E-4,1.4947797070057498E-4,1.5215990967173704E-4,1.3243345917518672E-5,1.6148352876176567E-5,1.5375149264342246E-4
oocytes_merluccius_nucleus_4d,0.03798774722976607,0.054101165847685824,0.06834371915808009,0.06448963884121328,0.049645497631375365,0.04965800499054445,0.04970638321755622,0.02226766945944377,0.030756653342988986,0.04909660391586661
oocytes_merluccius_states_2f,0.015690590419382013,0.011553767500783093,0.009679088214353196,0.009236266868984183,0.019627074946191685,0.019780603207262604,0.019774550823537438,0.00668049102653976,0.008172146780708678,0.019784178315978094
oocytes_trisopterus_nucleus_2f,0.02745777595112023,0.04244198553445545,0.05069719670121395,0.044019131472149184,0.028281694102870028,0.028436594504279707,0.028299279748380632,0.019441244763481136,0.0208008616420662,0.028690229157295456
oocytes_trisopterus_states_5b,0.012943029268553103,0.014217245904363832,0.01197632032029054,0.012952955092371527,0.013465119245764443,0.013905974056219782,0.013989397554901984,0.011762898987864727,0.012616242802702406,0.013948024954479669
optical,8.386072319227459E-4,5.593311505501758E-4,5.507881386222631E-4,4.964944646627861E-4,0.0011099280641847394,0.0013734888360697527,0.0013744995514448875,1.1329353375573572E-4,1.6255230513404463E-4,0.0013743003040292176
ozone,0.08464358246640319,0.06490073528524204,0.08115776228260463,0.06366160320486894,0.09199142355428655,0.09239592002690768,0.09202719311291514,0.03493319828369292,0.03964191814711837,0.09182033062240291
page-blocks,0.0027144411605670793,0.0037337106654179203,0.002322997993107613,0.0029486140830547666,0.0031944970752565915,0.003330630740821667,0.0033350588817581627,0.0023872538778830932,0.003270173997805898,0.0033269970847913783
parkinsons,0.07746062973433727,0.11383351935792281,0.12162614352533611,0.11152976487102886,0.10341006194001927,0.10355409859325959,0.10324188169816839,0.03566020085600731,0.044130751726776316,0.1045089006934499
pendigits,4.672552798663748E-4,2.471231618010799E-4,5.55228609844574E-4,3.9251828940724807E-4,5.192379007775583E-4,6.586045464298663E-4,6.587331332188265E-4,2.675676740308656E-4,2.270355510075702E-4,6.58157522313385E-4
pima,0.04056718909827056,0.06521029265204746,0.0521264428402303,0.04619272868399357,0.05045419732144866,0.05009748004496686,0.05044335186968173,0.035514389780163164,0.03882105232334399,0.050213102832266085
pittsburg-bridges-MATERIAL,0.09208659604925767,0.09210807897207647,0.08152546332537615,0.06048823818278455,0.10571442355149896,0.10159120021306481,0.1071645771326513,0.06317635917637715,0.08259346453055809,0.10684284508001832
pittsburg-bridges-REL-L,0.09196964033555691,0.08696297378736684,0.09418084895742446,0.07891048854310063,0.0801172921485224,0.08134673685821535,0.09299837355201492,0.08957831202567326,0.11570625794530492,0.09186107251109694
pittsburg-bridges-SPAN,0.06707926677631121,0.10188645680630928,0.09792093758097023,0.09575925034160625,0.06259392573966704,0.06999222054551404,0.06927231754902163,0.06766022423763662,0.07246508841483294,0.06933988362760858
pittsburg-bridges-T-OR-D,0.2306905063075212,0.28819038023467763,0.2840036011960924,0.3007481290267959,0.265360366002173,0.26706679301635133,0.2695625638347496,0.17070186210828486,0.18154554869321998,0.27178057029107416
pittsburg-bridges-TYPE,0.07446185337500161,0.05854713811113821,0.04427479514637107,0.07072027893170804,0.0624319539122303,0.07231574929232167,0.07743568129278253,0.0724511902142207,0.07748026227845595,0.07662773297153555
planning,0.1272792768956063,0.1626534143901092,0.16267438851994415,0.09855997329591816,0.09075697468448303,0.09371766993301751,0.09546934801213429,0.10741388537039337,0.10969984028609857,0.08972564887378866
plant-margin,0.004564439527040632,0.012499339231786148,0.00647427370339309,0.010153644595754366,0.001685004271496892,0.0064201652798437465,0.006783608254310147,6.284104362054769E-4,0.0015417603377305298,0.006766529117075183
plant-shape,0.010713951423328863,0.02079848683276844,0.015883578309191494,0.01850332700130394,0.004162342610718002,0.01070365418063068,0.012051913095186566,0.0031360193367768697,0.006200809753877078,0.012037977696682276
plant-texture,0.005766198877544775,0.012651355304660617,0.005709913227618838,0.008096382390214383,0.003132616898824508,0.008849134046918599,0.008849177115398068,0.00173082633064335,0.0022251383207223764,0.008854538348677016
post-operative,0.12821911551670437,0.1809910266711748,0.1951343470696035,0.19427882159720353,0.10631477947240742,0.10887714639165767,0.09780319322048804,0.1252933293507429,0.1708877243723714,0.09717806645835056
primary-tumor,0.032070390905439755,0.030284039009667613,0.025562611809972678,0.027287222993281506,0.021432895851254342,0.031431135530605364,0.02941497096764723,0.028163947293099546,0.02975216665443976,0.029294013110293723
ringnorm,0.001986714338357724,0.006202458838565143,0.0069131979940967,0.006651345785330169,0.003201740770159816,0.003221637078400456,0.003215016260159505,8.109058186661995E-4,7.448312953686184E-4,0.003225942290039799
seeds,0.015356820668143145,0.023244660623946492,0.017584172895286777,0.01765173514651967,0.018475762774896196,0.019470375814927478,0.01947542761621559,0.008782570725479258,0.009442076369580561,0.019384925435468117
semeion,0.004002082324207747,0.002981658391175132,0.0020466115116672037,0.002759948705677726,0.003329717114102379,0.005900375769385101,0.005891588229138199,0.0013192573676813087,0.0022078013461374123,0.005893367713343367
soybean,0.009851456576936703,0.007045007678563768,0.0038887220368601107,0.006504409191986097,0.004346788619341933,0.014356735672008666,0.01435534304082242,0.003024854457503549,0.005304139120282036,0.014350975178706687
spambase,0.007374551089637797,0.01299035978632957,0.013642120787610363,0.013495734890402806,0.00891356366572398,0.008910141965284533,0.008912952659916146,0.0031220947002112247,0.0033456893752756922,0.009074865199151993
spect,0.08025755638198166,0.12832433028389062,0.1470739992152713,0.13759706577027325,0.07867764081776138,0.07937534422721569,0.07988742918656513,0.0655440448951167,0.06777295755778286,0.07953717262097225
spectf,0.07908408710048004,0.17477759508595114,0.22128879053936606,0.1432380359390647,0.1010393267195583,0.1021087186121673,0.10108089996675194,0.061373676105968125,0.07361729329815402,0.10239778480784013
statlog-australian-credit,0.06434050896557914,0.09976673702645303,0.06532511134591057,0.054873831614063236,0.05597679848689263,0.06723425405749718,0.06496520863616889,0.047948462745126534,0.057119069472275796,0.06270705326875818
statlog-german-credit,0.04482126204045318,0.10320814287876423,0.06820851963964795,0.05484469548010664,0.04843165798569501,0.04938627605541394,0.04830655468227625,0.033285523019669576,0.039476872197221784,0.04923594373204876
statlog-heart,0.06586273249505852,0.08904228909056587,0.10498067179372866,0.09980581571945688,0.07714924471427442,0.07714034138536524,0.07709378828688039,0.04430898642317063,0.04259470304061189,0.0767215214570851
statlog-image,0.0018267957278722156,0.001696601456800209,0.0014644358117670711,0.0014523769095324134,0.0016935953332367607,0.002683571474733497,0.0026857522715786606,5.696114976015962E-4,4.750978110416872E-4,0.002716064206867889
statlog-landsat,0.0034238361304026574,0.0017236315824228129,0.0022251739741350027,0.0014200345025017944,0.0029376399532622635,0.0045027008193896795,0.004663372170950049,0.0011983320296293839,0.0012443911869466128,0.0046564452354134235
statlog-shuttle,5.128377546717166E-5,4.1880580708063076E-5,2.0601354257043613E-5,2.9260172845056638E-5,5.9039807872282E-5,5.915967091689802E-5,5.9853450259095624E-5,3.4573458875300576E-6,4.500053833763583E-7,5.98210143005123E-5
statlog-vehicle,0.00849517145515722,0.010795376205216202,0.01349248250565699,0.007967261224211448,0.006441884198760476,0.00999067471541057,0.010242939810968238,0.006988625998902499,0.012456091459323323,0.010165493385737693
steel-plates,0.011867067113774178,0.008974151758118833,0.014038355732733172,0.0071068777294155255,0.01002089274139252,0.013797541773786929,0.01399984290922722,0.006855796509320596,0.007607425667161541,0.013938954491576378
synthetic-control,0.0014755664496666277,0.028086030229431368,0.0014662084968795046,0.004405184476068939,0.0010998208608341152,0.0021917899051929284,0.0022007278025216307,3.3779511953871264E-4,0.0011470305935897443,0.0022181112626366117
teaching,0.06407618756691474,0.08152300393868903,0.08285900522757234,0.056285928140256396,0.061826298351049164,0.07135732319949897,0.06987874561555753,0.06806483906588959,0.09338298375250283,0.07270144178764242
thyroid,0.005196520835851384,9.120761199382869E-4,4.973205782544748E-4,6.548302568579141E-4,0.006643910587506942,0.006588353102365137,0.0066000685994708685,5.103474811749846E-4,0.0010578178872390682,0.006626089660410501
tic-tac-toe,0.008726050173769668,0.019178883038983782,0.017686802777097763,0.02005003991916203,0.011155624785555209,0.011133331860263907,0.011134588374345927,0.0011668769817434466,0.0012433378973715325,0.011139504674478884
titanic,0.02829393113287823,0.10092731542172889,0.03649716223547931,0.03738028002593953,0.032121723492891344,0.03220439684114826,0.03218747217866143,0.0247257538901907,0.025242119530694197,0.03224123035625338
trains,0.39766595886899314,0.2310199741710961,0.1535262635793231,0.17768995276374777,0.2838043564303071,0.2202659743922195,0.23193952128821238,0.28193095709141663,0.13897187814344122,0.2191356525701164
twonorm,0.0026632030458320346,0.007999064091824857,0.009379400322152131,0.00854123444884625,0.004873543721565223,0.004872371234306291,0.004873763251718478,6.520174141727067E-4,7.971076321977645E-4,0.004868257465380278
vertebral-column-2clases,0.06435996879212132,0.09391001405301538,0.11051153597238147,0.0920447273026758,0.08849297135420771,0.08796770401381286,0.08834163031597306,0.03853731941403772,0.053146331397244506,0.08897108343030376
vertebral-column-3clases,0.020249647049610884,0.01624202991559535,0.016321419583363753,0.01866528036366324,0.02131916449639309,0.02050962763574988,0.020605938869031944,0.017012286485376525,0.019079882577705275,0.02084635504557155
wall-following,8.693208273544169E-4,5.130971616514438E-4,3.605690541446115E-4,3.946473568184028E-4,9.404794978503266E-4,0.001089441449669569,0.001084015505642578,2.5096405830772123E-4,1.6120118300953158E-4,0.0010933160512802554
waveform,0.00519364102606571,0.006225718031212893,0.0034379895286862122,0.002584395145985508,0.00648436265098769,0.006012003754458864,0.006002051809273553,0.002780412435500744,0.003361045673466305,0.006034566722920397
waveform-noise,0.0054996161727017935,0.009307280346445497,0.006580328978156714,0.006740622107283559,0.007156057447464597,0.006514593874242872,0.00648472858063175,0.0033651260442156797,0.0032924733228670514,0.006568697108078357
wine,0.005596097790975578,0.011852436747822288,0.006795404658002775,0.008816462840026152,0.007329347403744652,0.006866991975193339,0.006858181800131202,0.0017556810449886962,0.003143007575056123,0.006897957339747779
wine-quality-red,0.017525592635485733,0.02287800109213396,0.054258110931908105,0.020093682589162953,0.023004901585956007,0.01702244167387786,0.01784778172744373,0.017264932336056985,0.017842711638333578,0.017473508394779593
wine-quality-white,0.012305035850189366,0.009878325749050705,0.03024571293976865,0.01055958279367096,0.013715921807556713,0.014376236355932565,0.014588468807815518,0.009859583457016251,0.011967142938856373,0.014318837908574468
yeast,0.0176902244926971,0.019248612915743566,0.02468505497917329,0.018042413963431498,0.016199120142675313,0.02277729642740283,0.02214236817734284,0.014801278472201838,0.018226266063380115,0.02197144590832532
zoo,0.026104771891759172,0.02369749335186184,0.011075078419439326,0.02076995143127416,0.00654262776170301,0.032311287148730126,0.0354707159195921,0.005231346213673569,0.005736808372922063,0.0354875209828632
