TRAINTrainTimesRANKS:,PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
parkinsons,2.0,2.0,4.5,2.0,4.5,8.0,7.0,6.0,9.0,10.0
pendigits,1.0,3.0,2.0,8.0,10.0,4.0,5.0,9.0,6.0,7.0
pima,1.5,1.5,4.0,3.0,5.0,9.0,7.0,6.0,8.0,10.0
pittsburg-bridges-MATERIAL,1.5,3.5,3.5,1.5,5.5,8.0,8.0,5.5,8.0,10.0
pittsburg-bridges-REL-L,2.0,2.0,2.0,4.0,5.0,7.5,7.5,6.0,9.0,10.0
pittsburg-bridges-SPAN,2.5,2.5,2.5,2.5,5.0,7.5,7.5,6.0,9.0,10.0
pittsburg-bridges-T-OR-D,2.5,2.5,2.5,2.5,5.5,8.0,8.0,5.5,8.0,10.0
pittsburg-bridges-TYPE,1.5,1.5,3.0,4.0,6.0,7.5,7.5,5.0,9.0,10.0
planning,2.0,2.0,4.5,2.0,4.5,8.0,8.0,6.0,8.0,10.0
plant-margin,2.0,1.0,3.0,9.0,10.0,4.0,5.0,8.0,6.0,7.0
plant-shape,3.0,2.0,1.0,9.0,10.0,5.0,4.0,8.0,6.0,7.0
plant-texture,1.0,2.0,3.0,9.0,10.0,4.0,5.0,8.0,6.0,7.0
post-operative,2.5,2.5,2.5,2.5,5.5,7.5,7.5,5.5,9.0,10.0
primary-tumor,2.0,2.0,2.0,9.0,10.0,4.0,5.0,8.0,6.0,7.0
ringnorm,1.0,3.0,2.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
seeds,1.5,1.5,3.5,3.5,5.0,8.0,7.0,6.0,9.0,10.0
semeion,1.0,2.5,2.5,8.0,10.0,5.0,4.0,9.0,6.0,7.0
soybean,1.0,2.5,2.5,9.0,10.0,4.0,5.5,8.0,5.5,7.0
spambase,1.0,2.5,2.5,4.0,5.0,6.0,7.0,9.0,8.0,10.0
spect,1.0,2.0,3.5,3.5,5.0,8.0,8.0,6.0,8.0,10.0
spectf,1.0,2.0,3.5,3.5,5.0,8.5,7.0,6.0,8.5,10.0
statlog-australian-credit,1.0,3.5,2.0,3.5,5.0,7.5,7.5,6.0,9.0,10.0
statlog-german-credit,1.0,2.5,2.5,4.0,5.0,8.0,7.0,6.0,9.0,10.0
statlog-heart,1.0,3.0,3.0,3.0,5.0,8.0,7.0,6.0,9.0,10.0
statlog-image,1.0,2.0,3.0,4.0,10.0,5.5,5.5,8.5,7.0,8.5
statlog-landsat,1.0,3.0,2.0,7.0,9.0,4.5,4.5,10.0,6.0,8.0
statlog-shuttle,1.0,2.0,3.0,8.0,10.0,5.0,4.0,9.0,6.0,7.0
statlog-vehicle,2.0,4.5,2.0,6.0,7.0,4.5,2.0,8.0,9.0,10.0
steel-plates,1.0,3.5,3.5,6.0,10.0,3.5,3.5,9.0,7.0,8.0
synthetic-control,1.0,3.5,3.5,5.0,8.0,7.0,2.0,6.0,9.0,10.0
teaching,1.5,1.5,3.5,3.5,5.0,9.0,7.5,6.0,7.5,10.0
thyroid,1.0,3.0,2.0,4.0,7.0,6.0,5.0,9.0,8.0,10.0
tic-tac-toe,1.5,1.5,3.5,3.5,5.0,8.0,7.0,6.0,9.0,10.0
titanic,1.0,2.5,2.5,4.0,5.0,6.0,7.5,9.0,7.5,10.0
trains,1.5,5.0,3.0,1.5,5.0,8.0,8.0,5.0,8.0,10.0
twonorm,1.0,2.5,2.5,4.0,5.0,6.0,7.0,9.0,8.0,10.0
vertebral-column-2clases,1.0,3.0,3.0,3.0,5.0,8.0,8.0,6.0,8.0,10.0
vertebral-column-3clases,2.0,2.0,2.0,4.0,5.0,7.5,7.5,6.0,9.0,10.0
wall-following,1.0,2.0,3.0,4.0,8.0,5.0,6.0,9.0,7.0,10.0
waveform,1.0,2.5,2.5,4.0,7.0,5.0,6.0,10.0,8.0,9.0
waveform-noise,1.5,1.5,3.0,4.0,8.0,5.5,5.5,10.0,7.0,9.0
wine,2.5,1.0,2.5,4.0,6.0,7.5,7.5,5.0,9.0,10.0
wine-quality-red,1.5,3.0,1.5,4.0,9.0,5.0,6.0,10.0,7.0,8.0
wine-quality-white,1.0,3.0,2.0,8.0,9.0,5.0,4.0,10.0,6.0,7.0
yeast,1.5,3.0,1.5,8.0,10.0,4.0,5.0,9.0,6.0,7.0
zoo,1.0,2.5,2.5,4.5,6.0,7.5,7.5,4.5,9.0,10.0
