TRAINTESTDIFFSACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
breast-tissue,0.10604206543683473,0.07585620559480187,0.08063407102402541,0.0847378332398825,0.08258416677284758,0.07897389481863555,0.06948852786086585,0.07381378063044235,0.07390786896036361,0.07852989070850296
car,0.010772056193785504,0.012089177508547598,0.011163034065003243,0.011130138306126578,0.012351220486567328,0.011758444394325678,0.010430665122157748,0.016823648946698938,0.010908537694215558,0.012371964574662228
cardiotocography-3clases,0.010450679633168654,0.011813731212818477,0.010937681364777846,0.009688103812968406,0.010499065600854738,0.011352173917975937,0.013171127865057381,0.011410147239496937,0.010847675730597387,0.010626839990193227
cardiotocography-10clases,0.018355522182980404,0.017195873083481753,0.01753076036864577,0.018239254172096448,0.01688225583461021,0.018075420766530365,0.017177158193494108,0.012294103053404832,0.016952841087231628,0.016124364606670157
chess-krvk,0.005969028916961496,0.00858610144529104,0.005176940790819388,0.0488593824222464,0.007560195122326314,0.004940886532835652,0.007569449146046012,0.006027909464428784,0.005660156610375359,0.009782788470866045
chess-krvkp,0.003782103901539301,0.00290492570106867,0.0037132561275639566,0.0042035779579010285,0.004995916569074167,0.0044220319243913585,0.004369618638774476,0.00862208676152852,0.004995916569074167,0.004995916569074167
congressional-voting,0.043861904390635184,0.04107765075947223,0.03159502571692135,0.03109683035876675,0.010276376075563904,0.029084012909526318,0.07086915443195375,0.029567280367564158,0.022041084090074905,0.022041084090074905
conn-bench-sonar-mines-rocks,0.11564079738095916,0.06558590494469155,0.04578835622696334,0.05234753258809833,0.05509224399676119,0.04997239376675622,0.052526348848564594,0.05235772368784148,0.05509224399676119,0.05509224399676119
conn-bench-vowel-deterding,0.03448186496349288,0.00981601909137091,0.0092422608712108,0.022742915524335668,0.01885202573682222,0.012531468141621392,0.015351977042406486,0.025811302992063898,0.018916984303962683,0.018775103052054265
connect-4,0.00260783513991834,0.0026251808440729925,0.002671594978391634,0.009138421276073951,2.3241800037183827E-4,0.0029088905112016686,0.003278328366949416,5.405121257470446E-6,0.003470289126593555,0.003470289126593555
contrac,0.019970153394648364,0.02958963675106027,0.02385550728177877,0.030972767598526275,0.03160442070604035,0.02647443079383458,0.025883435791257556,0.03308053849137969,0.02941365226857254,0.029083771513283497
credit-approval,0.02447746040969767,0.029790084248564486,0.025266991474147387,0.02503714222422699,0.023089068760827513,0.02513467782689435,0.023089068760827513,0.02406574754888433,0.023089068760827513,0.023089068760827513
cylinder-bands,0.044831692805171866,0.04899280777544051,0.04886448000041755,0.04204324261140676,0.032105139317418895,0.04336408716110708,0.04269152011707488,0.03672634390476394,0.04276130370823118,0.04276130370823118
dermatology,0.019630335176871704,0.017643078332289525,0.01752273070465718,0.02388104754027096,0.02022065572252615,0.02215038956094978,0.02027793541739408,0.021554883868853843,0.02240032928593293,0.020803446599414785
echocardiogram,0.07579618718475452,0.0719019857245612,0.07548418453098461,0.07224428095690039,0.07025129804072777,0.07441332775010262,0.10329529939944565,0.07284851191938346,0.07999430087009246,0.07999430087009246
ecoli,0.03388564315181015,0.03305928967992421,0.034789478398410414,0.0388471112259419,0.0339943611231136,0.03488250143472794,0.032999357989949844,0.03231149123513867,0.034807566956895034,0.032155798356592234
energy-y1,0.019310153667431502,0.01874840473769784,0.020570860906494026,0.02788109713795973,0.019045090325758796,0.017253651168439122,0.019550918906454252,0.02173323586587088,0.019873677343697868,0.02052677594947122
energy-y2,0.021001083605031577,0.018928128522690397,0.018748800849836048,0.019934911307505774,0.023207679511313813,0.019552300972685236,0.021394050318029417,0.028033968339592097,0.02324222662639641,0.023232215463891166
fertility,0.07473785604656302,0.06482868671112854,0.05794964123737289,0.05583226109795612,0.01214850636483975,0.044173118158175026,0.2035873672209404,0.08063255667162177,0.05644242310918961,0.05644242310918961
flags,0.09184419613451235,0.07308409860215109,0.07093011285618266,0.06993156276675172,0.04672356079827207,0.05799347279969698,0.06953302824991887,0.06764588714805488,0.0666368508606913,0.06599027610745391
glass,0.11941133503353994,0.05191352017153924,0.048222172568738474,0.07583451913136015,0.06262976347196611,0.06858029187225466,0.07503906266625378,0.06376193110125385,0.06852790128799484,0.06587852959507037
haberman-survival,0.04407622170552432,0.04180372706002654,0.04256188719624482,0.04109307709554925,0.027898397492177172,0.03775201362104655,0.2555461165518239,0.02898287761153351,0.03143386916383,0.03143386916383
hayes-roth,0.07136634358595774,0.07367483930890663,0.08138789483528117,0.09538467183977262,0.09063030700559249,0.08440196066187435,0.08206144402965773,0.08620076192119686,0.10266603949209953,0.10104985806828157
heart-cleveland,0.03118452187273912,0.04678111448135831,0.03217489521903509,0.04489237656986618,0.0325476600733617,0.038548756526407595,0.03636984671783447,0.046035843261683064,0.04314587757550168,0.04345936858894708
heart-hungarian,0.04252928120578583,0.053741150176399535,0.04115634949699127,0.033726207821617255,0.031369594379415944,0.037275024582000126,0.04102690226970482,0.040294313532465535,0.03183164845327428,0.03183164845327428
heart-switzerland,0.1358631418332403,0.12168076965909612,0.08832542026735321,0.081170739812454,0.07996483413184474,0.08869600834736632,0.08907623589488432,0.08122452688329922,0.08429292380037182,0.08091358608005285
heart-va,0.06167432656339992,0.09243031871207014,0.0634363982479221,0.0626559026441892,0.05682835001762463,0.06447237836321501,0.06136847890707637,0.07495212067018422,0.06492041462227373,0.06276914718893016
hepatitis,0.06389750628512698,0.06202174448610109,0.06021708088496494,0.05906003745547003,0.06153888660039439,0.05243147835909781,0.08471678102045828,0.06382036528535284,0.05304990949554546,0.05304990949554546
hill-valley,0.03596407759053178,0.04533048930298882,0.030891828342867206,0.05293046525643228,0.030410510499786783,0.03468772523783847,0.03361078367291141,0.03733880429362961,0.04200485318960687,0.04200485318960687
horse-colic,0.0398884225102107,0.04170223152442629,0.039294591537000476,0.03517753141273598,0.03859896449349408,0.03828987814948757,0.03793355290274778,0.03601069415068616,0.03859896449349408,0.03859896449349408
ilpd-indian-liver,0.0348918618663849,0.037823140953226426,0.03524081699008834,0.024593107277582283,0.009844813286002684,0.027268285603544582,0.15899157899345312,0.022848791456711235,0.025742759407668493,0.025742759407668493
image-segmentation,0.009992234847936238,0.012584394505002454,0.010315704696116954,0.010856631291040319,0.01000262006466783,0.01151794589239892,0.009950282523384955,0.014903781563124363,0.009977737833026669,0.01071636256053042
ionosphere,0.03225149433539835,0.03130816126217918,0.030925032831509415,0.03527923861787821,0.030827436720719237,0.028073441631980518,0.030828242530348025,0.03398978625902014,0.030790392112525322,0.030790392112525322
iris,0.0332827201953436,0.03637747327593344,0.0427628226831604,0.04534189686977907,0.044392306583239546,0.0413538448673506,0.04516805571092232,0.03569703652052063,0.044392306583239546,0.044392306583239546
led-display,0.030114178543140753,0.029680018692013727,0.03367008457170189,0.035088541351992665,0.03187560720708993,0.03146435266897124,0.03337785733972609,0.034400106770528585,0.0335105185887405,0.03296507324713014
lenses,0.17927775773045238,0.2011238122613842,0.17552052055770542,0.2627713137115138,0.1960889050465409,0.2574715160551584,0.22885103013367125,0.2438733869237908,0.2674354020789651,0.2680253549790026
letter,0.003339009509056887,0.0039162213598989025,0.003373046757374889,0.03017568165774661,0.005751464693526146,0.004089928685939289,0.0050543518303678946,0.00640327554645453,0.005457880206941231,0.006150006256036264
libras,0.11816618285988546,0.04782928110009607,0.04392415770940924,0.04959606955135186,0.0451099597837338,0.04629604086775003,0.03938472445638258,0.05000496640582436,0.04529204540578705,0.04112957370803016
low-res-spect,0.0234800892120719,0.026647204165187902,0.021233829748175753,0.024269201498645164,0.023467591633088935,0.029499529084104373,0.025274041069517993,0.025590731510182253,0.026639427777969144,0.02562871318505826
lung-cancer,0.18753626496321582,0.1587371111899098,0.15050303727664824,0.22902878484612874,0.19379901135963049,0.18614438594663452,0.14139097969715325,0.20875163430799878,0.20728681590119108,0.20363466060000673
lymphography,0.04925716901772063,0.04991664316149086,0.05692121791641512,0.07148627793290198,0.06628215027464701,0.06948891138038595,0.06737831145845503,0.07343998917654894,0.06650874081740789,0.06798925306888189
magic,0.004907703635055018,0.00494310596908227,0.004731311902990252,0.006964226969660689,0.005452547723198532,0.00499126980187805,0.005710195069053058,0.005431460249191164,0.005608216018198268,0.005608216018198268
mammographic,0.02807379038447493,0.028183715635241247,0.026067330495435442,0.028235748261211994,0.026452129626915427,0.026829469773997684,0.026595621091606812,0.02553605485312258,0.026452129626915427,0.026452129626915427
miniboone,0.0022691361046877035,0.002353161428759873,0.002142883037921789,0.006316980216105924,0.005673287567998398,0.0032758690317625104,0.005594687479225793,0.002089991141444519,0.005673287567998398,0.005673287567998398
molec-biol-promoter,0.08595351610835204,0.08480326614492771,0.07610929977572231,0.08787703095766573,0.07624465998213892,0.08254492802281113,0.08067447048405044,0.09968294383725564,0.077757953773804,0.077757953773804
molec-biol-splice,0.010595040428809273,0.011544860121623288,0.010696430787005395,0.017513924689568458,0.013618208660963051,0.014070446378297229,0.014313503714905326,0.015733760583979448,0.01387487934424989,0.013716406719917406
monks-1,0.06045382498821714,0.05870644355038086,0.05939654166182872,0.06302266263531321,0.039892338545889694,0.06292736844787007,0.04970633787877922,0.034055713047702905,0.0370057150101384,0.0370057150101384
monks-2,0.02798209449094645,0.03801593812250917,0.03534881587671966,0.048950618726232374,0.007573867279260375,0.03572555668696797,0.03633451616072041,0.004453013237006415,0.01960365667328344,0.01960365667328344
monks-3,0.014455467504640416,0.01654314180743357,0.01538908520969617,0.025608175794249004,0.04115811012178129,0.017517333094040303,0.022013598163289832,0.03793349458075161,0.04115811012178129,0.04115811012178129
mushroom,1.293022480154965E-4,1.6776105058127712E-4,1.3689153539330455E-4,0.002154865057030693,0.003184179982990972,0.0024246182787777803,1.3689153539330455E-4,0.005349537061865897,0.003184179982990972,0.003184179982990972
musk-1,0.08769062456464917,0.03693262989858537,0.03329081503941127,0.02745669374336263,0.023035295123583526,0.03004643553137986,0.027035029117518934,0.037954565509811765,0.023035295123583526,0.023035295123583526
musk-2,0.003977408773425295,0.004368236202372955,0.004178629299357503,0.007812745531147225,0.004950328113846611,0.004939710786693524,0.004963390251543772,0.007265773993741562,0.004950328113846611,0.004950328113846611
nursery,0.002389865839955625,0.002773852926233909,0.0023926132209891337,0.00792935614143807,0.007221335644595614,0.007417370965725998,0.012029348095315355,0.006361087641078742,0.007860303678706255,0.007889070486622693
oocytes_merluccius_nucleus_4d,0.022788969109361245,0.027937273828908055,0.020834826951160908,0.020768157449511136,0.019948406070496926,0.01978011307192485,0.027358111706687616,0.024930464364633375,0.02099280384910178,0.02099280384910178
oocytes_merluccius_states_2f,0.01665555729097903,0.01973340675434556,0.019264612454014826,0.018244290212201343,0.018472938604650407,0.01790577196063981,0.019564965314148558,0.018516774628706652,0.01863642685668557,0.01901611584234335
oocytes_trisopterus_nucleus_2f,0.02637042922291982,0.026795822510526833,0.026363809379132675,0.023221439207129466,0.02520739645070005,0.024881160474782834,0.025505716278735584,0.026271399283812603,0.02520739645070005,0.02520739645070005
oocytes_trisopterus_states_5b,0.017255033411569632,0.016895369582472706,0.01719180368026919,0.01726605587232414,0.01498510346455138,0.015391249410025402,0.02129894781883968,0.019391252572215793,0.015045293075579915,0.015234982327575225
optical,0.018448130350008692,0.002782487528660039,0.0023953574071640116,0.0030592825879745163,0.002580693130998268,0.0025118212796978456,0.0027027701270715613,0.004532785932161582,0.0027418804464590775,0.002417767748893177
ozone,0.0038334805875804927,0.0037610086258924804,0.00312647381356611,0.003980943954621877,0.0011027862103390887,0.003208185945652483,0.004951488794950471,0.005218804741232234,0.003728736084980207,0.003728736084980207
page-blocks,0.004705221988613296,0.004328436827276636,0.004801825960370152,0.004455112881713121,0.005114186730940589,0.004884353962964364,0.42501549191318927,0.005577591606469903,0.005205673524278104,0.005426660739965718
parkinsons,0.051489990582019605,0.03822927647634006,0.039787387617507324,0.05242580283714466,0.05106654708231336,0.049276671616188955,0.05048299623681363,0.05636619970244839,0.05104713302239312,0.05104713302239312
pendigits,0.3010459841480923,0.0021782733816966496,0.0013451939046291393,0.0034729678841812464,0.001627718525213123,0.002059983635763484,0.0019429282141040006,0.002217488614166613,0.0018252947366107603,0.002084682573506325
pima,0.024170213202988875,0.021923729306597715,0.021052190949493736,0.02154499440945874,0.021945584898101833,0.02569452534418248,0.024968300864343214,0.02419535559522674,0.023831629187460266,0.023831629187460266
pittsburg-bridges-MATERIAL,0.06003952385123499,0.06140841949200013,0.05958844966523238,0.05631810145770424,0.041024602029265556,0.05983629105637919,0.05843823932973573,0.053812496270679695,0.059081758279158514,0.055433401357166484
pittsburg-bridges-REL-L,0.08073728420993574,0.08142622583254032,0.0850505368947455,0.08742016977636928,0.0791071531122228,0.07957002581523441,0.15307626905671745,0.087422214313084,0.08673412276201638,0.0892301387011084
pittsburg-bridges-SPAN,0.10163472733173319,0.09646028632041412,0.11050714396895166,0.0790234378845224,0.058911351495515143,0.08493719808658214,0.10458493799893674,0.10079750652988902,0.08127691038882817,0.08265208361095944
pittsburg-bridges-T-OR-D,0.05755525554624073,0.048509858034003844,0.05464054444303832,0.06500127219768762,0.05219170836313468,0.07259073291122846,0.35999573302364785,0.06393189644330002,0.0699871737715203,0.0699871737715203
pittsburg-bridges-TYPE,0.1052050602736999,0.07336133196577012,0.08953527238624509,0.08462155961580144,0.07228824065120755,0.07829147372746507,0.1127987470182904,0.0955539953599727,0.09043498519193224,0.09367120825579654
planning,0.04473851984625588,0.030992173068556852,0.02862675728276734,0.022832936726458183,0.0020063097344511505,0.016761166315191957,0.04285115078769843,0.02379737547269054,0.01624388999699754,0.01624388999699754
plant-margin,0.0831470727327366,0.019424182108256523,0.01246611787316269,0.021313545959771932,0.013894163270542983,0.016964508251932478,0.013806701271484086,0.019989041538032652,0.015211865831283321,0.013545434931048345
plant-shape,0.007099457644818702,0.024601018867322237,0.01684658633861375,0.03521322570239507,0.020889006072875835,0.024099478043186413,0.017078303857341277,0.028847473444617838,0.021113107071908787,0.02437715507714494
plant-texture,0.09094399603067356,0.020064455892730634,0.014087539098736246,0.02327975741600981,0.015596553214476191,0.017110922954134064,0.014040749571588499,0.02514024622482213,0.016891684943931184,0.015239535758346587
post-operative,0.11275916964553886,0.09196775121022023,0.06481025344285275,0.06375061387250804,0.01691387544683083,0.05668582051770096,0.12978680491356662,0.07647698971592469,0.04395645251394078,0.042358454682950505
primary-tumor,0.05565646998065606,0.0443490185390044,0.051641468420484324,0.04651884342496544,0.03833448311907366,0.048043181955512514,0.04552564933738277,0.04605983254490225,0.04348308909916537,0.044645639501195634
ringnorm,0.008943412947400411,0.00730181766035411,0.008823089346680435,0.016294622504098376,0.007049031192389671,0.009318733100399176,0.007821811984347827,0.007568211040853658,0.007049031192389671,0.007049031192389671
seeds,0.053545788427143935,0.03311918071696353,0.03928625333427928,0.04100034105641379,0.038073337985296364,0.03874110409104706,0.039933742397825656,0.03566553870812828,0.03812396289779702,0.03856308234080406
semeion,0.014933747781706272,0.014777486562113862,0.01562042314489448,0.01579149732428343,0.015658756041921303,0.01742204464775398,0.017093915362904732,0.015728055648587334,0.015882258709912594,0.016387535890331865
soybean,0.019902437787953947,0.017685077254491793,0.023285415967889307,0.018263981134010926,0.019251817407081703,0.021206543609194613,0.0225002188478245,0.022077638396958532,0.018916964871572392,0.019392569320925968
spambase,0.006437172398245611,0.008813613404711117,0.007028378447473278,0.007784671265589671,0.008250208013939338,0.008828272516529742,0.0076550721663636925,0.008845899190954935,0.008250208013939338,0.008250208013939338
spect,0.04951133900687387,0.059509644567266456,0.06256990637101953,0.06590794236200997,0.06554762324051297,0.06422739538348649,0.06523158859042173,0.07025223227821532,0.06714272748546175,0.06714272748546175
spectf,0.03273647363567734,0.03973370279484727,0.03358173299733553,0.04783150035600968,0.04477575348677407,0.04725297497961351,0.0653705379585667,0.043939015926641276,0.048702808517623965,0.048702808517623965
statlog-australian-credit,0.029172311589597762,0.019830355317808985,0.014570506074869564,0.015313744282235505,0.0010584010773046896,0.02099141690286409,0.027654951560045427,0.011451731676449833,0.013204806807325274,0.013204806807325274
statlog-german-credit,0.02499507997563735,0.024120006481004087,0.024968577954250268,0.020667482371740584,0.01624085949823407,0.019976537962457807,0.03930201363622566,0.024727387208537028,0.021489906746052292,0.021489906746052292
statlog-heart,0.047607072088462196,0.04951620952053979,0.04660899082744369,0.045888970148817675,0.04940399711740324,0.05429911708029284,0.049838678308532273,0.04551291237389031,0.04940399711740324,0.04940399711740324
statlog-image,0.007752632080112076,0.007857779207758256,0.008555143523868654,0.008562945294923527,0.007139878540777804,0.00744304024270112,0.006793330250626263,0.011240320434079758,0.007155489198847823,0.007076848076509048
statlog-landsat,0.007755257302245081,0.009197735776743111,0.007531735480855965,0.007221983926823888,0.006847817250464692,0.0076448131938450185,0.008199337318119856,0.007709461999380892,0.007730533126610389,0.007877572172264164
statlog-shuttle,3.5680675197183814E-4,1.8022861046520052E-4,1.9931242628397136E-4,2.2000777757661918E-4,4.1043573831287265E-4,3.3062250648142064E-4,0.3145501207691963,0.013946870281455921,3.582045125483572E-4,4.390611732605827E-4
statlog-vehicle,0.02249375846786631,0.036589824914653186,0.017233799989210454,0.01971292154613171,0.023328738289366227,0.023263945853024874,0.025683836084599083,0.028525199977065444,0.025932030160095525,0.025908794270363907
steel-plates,0.09999353088762308,0.03868067225599993,0.020667336858440837,0.01946338823802637,0.02095641388954614,0.020796019221560824,0.02179863110174815,0.01624951471970406,0.02000712665255121,0.023015378276004514
synthetic-control,0.00682194640449844,0.00795019618704569,0.010022325015826467,0.010706820971963167,0.010419673895417538,0.010370530011542648,0.009083829822277739,0.013598888092176888,0.010243522701861445,0.012470143142210859
teaching,0.07838322873082532,0.09854119483867319,0.08622472785164567,0.08355252606802242,0.0871176211263048,0.07233836268584083,0.07646059372013629,0.09566726901833698,0.08907875169673803,0.08669187479807759
thyroid,0.00238552288923985,0.0017863826315213777,0.002512933057775171,0.007819537592253298,0.0037970360304737925,0.004299283735857367,0.005352316948949243,0.0035530627636067135,0.004015952385576605,0.004094944655627495
tic-tac-toe,0.002233749814705302,0.0016386539723692998,0.002233749814705302,0.008357926494397096,0.007938938569680698,0.008232613154680685,0.00640501713361122,0.007670309381786364,0.007938938569680698,0.007938938569680698
titanic,0.01559173090703977,0.014620847417602912,0.013358206063489446,0.016139496937680162,0.014706773935111833,0.016910010155507995,0.017344373876799834,0.016652240939254232,0.0176283169475509,0.0176283169475509
trains,0.14831966444403738,0.22919496516327345,0.2313268960204966,0.3710036093637359,0.35446657349338023,0.34179863818875633,0.2404630484088228,0.39871280759140426,0.3342898154523975,0.39177568385789896
twonorm,0.0034125514345041017,0.0033722362938763727,0.0030482818536261757,0.00291409711700879,0.002976787080436093,0.0033531101733626756,0.002976787080436093,0.002958891001584564,0.002976787080436093,0.002976787080436093
vertebral-column-2clases,0.05004286081426327,0.056354331136703684,0.052751620858278586,0.053944818262899014,0.0659786038762529,0.05710323633380403,0.06189561193416945,0.05522276040792363,0.06579380017539077,0.06579380017539077
vertebral-column-3clases,0.03391657857378502,0.0369543945967518,0.04067675379360399,0.04226702178162232,0.041429594558400916,0.03805464826876006,0.042144029523372,0.04001267635562691,0.04071026091259685,0.041283833379584356
wall-following,0.338696783425029,0.01853673392329192,0.0031523345784783344,0.021972819096850043,0.01048514211241258,0.005503890687707538,0.007144933815667363,0.011625015385862521,0.010982455056905881,0.012634107117422183
waveform,0.009342388843134757,0.009230519188751875,0.009232170286144337,0.00811549064608132,0.009079122315253216,0.010357592367980695,0.009084926668071524,0.009549492504337422,0.00909755800957622,0.009075141519305233
waveform-noise,0.0096321069767001,0.009286586505836305,0.009735083850207497,0.008918569863224611,0.00944636778943859,0.01019785503500238,0.009483067606249155,0.0096984221986676,0.009483346323893964,0.009522009301946403
wine,0.02721084266377011,0.04872874792299268,0.02828153245443333,0.027171519978377176,0.02587863656304438,0.02829374198548259,0.02519899702357868,0.02588528751398201,0.026013452861843242,0.0256951870187044
wine-quality-red,0.023752120918062846,0.04998466964701539,0.017597159849482007,0.02083512447972203,0.018540761353441265,0.0235404724627667,0.053940581724364396,0.01787285295229557,0.020182129704361815,0.019027096263697987
wine-quality-white,0.011275433254092214,0.011354061823032929,0.010720586474583805,0.018728055133669975,0.010549356847946986,0.010211570285371547,0.022101956242598825,0.011436163459495463,0.010609565993326403,0.011073302653833404
yeast,0.02667386229083862,0.05996483533414268,0.02608114389753294,0.02847347391624845,0.026055776673139987,0.029223013617470876,0.03129102671656783,0.0287386607752109,0.027495478151442654,0.026380325223115758
zoo,0.0433773957035321,0.0464598424156494,0.04094136974209686,0.04751821160147626,0.044184005913463206,0.04603481205370334,0.046457647403591075,0.05094067483702892,0.04885294992261823,0.049334358040246204
