TRAINTESTDIFFSACCRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
hayes-roth,1.0,2.0,3.0,4.0,9.0,6.0,5.0,8.0,7.0,10.0
heart-cleveland,1.0,2.0,3.0,6.0,5.0,7.0,4.0,10.0,8.0,9.0
heart-hungarian,1.0,2.0,3.0,4.0,6.0,5.0,9.0,10.0,7.5,7.5
heart-switzerland,1.0,2.0,3.0,6.0,4.0,5.0,9.0,10.0,7.0,8.0
heart-va,1.0,2.0,3.0,8.0,6.0,5.0,4.0,7.0,9.0,10.0
hepatitis,1.0,2.0,3.0,4.0,5.0,7.0,10.0,6.0,8.5,8.5
hill-valley,2.0,1.0,4.0,5.0,10.0,6.0,3.0,7.0,8.5,8.5
horse-colic,1.0,2.0,3.0,4.0,6.0,8.0,10.0,9.0,6.0,6.0
ilpd-indian-liver,1.0,2.0,4.0,5.0,6.0,3.0,10.0,7.0,8.5,8.5
image-segmentation,2.0,1.0,3.0,4.0,7.0,10.0,6.0,5.0,9.0,8.0
ionosphere,1.0,2.0,3.0,4.0,9.0,6.0,10.0,5.0,7.5,7.5
iris,1.0,3.0,2.0,4.0,8.0,5.0,6.0,10.0,8.0,8.0
led-display,1.0,2.0,3.0,5.0,6.0,9.0,4.0,10.0,7.0,8.0
lenses,1.0,2.0,3.0,8.0,5.0,6.0,4.0,7.0,9.0,10.0
letter,9.0,2.0,10.0,1.0,8.0,7.0,3.0,4.0,5.0,6.0
libras,1.0,2.0,3.0,5.0,6.0,9.0,4.0,7.0,8.0,10.0
low-res-spect,1.0,3.0,2.0,6.0,5.0,9.0,4.0,10.0,8.0,7.0
lung-cancer,2.0,1.0,4.0,7.0,6.0,5.0,3.0,10.0,8.0,9.0
lymphography,1.0,3.0,2.0,8.0,4.0,6.0,10.0,5.0,7.0,9.0
magic,3.0,2.0,6.0,1.0,7.0,5.0,10.0,4.0,8.5,8.5
mammographic,1.0,2.0,4.0,3.0,7.0,9.0,5.0,10.0,7.0,7.0
miniboone,7.0,6.0,8.0,1.0,3.0,5.0,10.0,9.0,3.0,3.0
molec-biol-promoter,1.0,2.0,3.0,4.0,7.0,5.0,6.0,8.0,9.5,9.5
molec-biol-splice,3.0,2.0,5.0,1.0,9.0,6.0,4.0,10.0,7.0,8.0
monks-1,8.0,7.0,9.0,1.0,5.0,10.0,6.0,2.0,3.5,3.5
monks-2,1.0,3.0,4.0,2.0,7.0,9.0,10.0,8.0,5.5,5.5
monks-3,3.0,1.0,5.0,2.0,9.0,6.0,7.0,4.0,9.0,9.0
mushroom,4.0,1.0,2.5,6.0,9.0,7.0,2.5,5.0,9.0,9.0
musk-1,1.0,2.0,4.0,3.0,8.0,5.0,6.0,10.0,8.0,8.0
musk-2,7.0,3.0,9.0,1.0,5.0,8.0,10.0,2.0,5.0,5.0
nursery,5.0,2.0,4.0,1.0,8.0,9.0,10.0,3.0,6.0,7.0
oocytes_merluccius_nucleus_4d,1.0,3.0,4.0,2.0,7.0,5.0,10.0,6.0,8.5,8.5
oocytes_merluccius_states_2f,1.0,2.0,3.0,4.0,5.0,9.0,10.0,7.0,6.0,8.0
oocytes_trisopterus_nucleus_2f,1.0,3.0,4.0,2.0,7.0,5.0,10.0,9.0,7.0,7.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0,4.0,5.0,8.0,10.0,9.0,7.0,6.0
optical,1.0,2.0,3.0,4.0,6.0,9.0,5.0,7.0,8.0,10.0
ozone,1.0,2.0,3.0,5.0,6.0,4.0,10.0,9.0,7.5,7.5
page-blocks,2.0,1.0,3.0,4.0,7.0,6.0,10.0,5.0,8.0,9.0
parkinsons,1.0,2.0,3.0,4.0,6.0,7.0,10.0,5.0,8.5,8.5
pendigits,1.0,2.0,5.0,3.0,6.0,10.0,4.0,9.0,7.0,8.0
pima,1.0,2.0,3.0,4.0,8.0,9.0,10.0,7.0,5.5,5.5
pittsburg-bridges-MATERIAL,1.0,3.0,2.0,5.0,8.0,6.0,4.0,10.0,7.0,9.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,7.0,5.0,10.0,6.0,8.0,9.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,5.0,4.0,6.0,9.0,10.0,8.0,7.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,5.0,4.0,6.0,10.0,9.0,7.5,7.5
pittsburg-bridges-TYPE,1.0,3.0,2.0,6.0,5.0,7.0,4.0,10.0,8.0,9.0
planning,1.0,2.0,3.0,6.0,4.0,5.0,10.0,9.0,7.5,7.5
plant-margin,1.0,3.0,2.0,5.0,6.0,8.0,4.0,7.0,10.0,9.0
plant-shape,4.0,2.0,1.0,6.0,5.0,8.0,3.0,7.0,10.0,9.0
plant-texture,1.0,3.0,2.0,5.0,6.0,8.0,4.0,10.0,7.0,9.0
post-operative,1.0,2.0,3.0,9.0,4.0,5.0,10.0,6.0,7.0,8.0
primary-tumor,1.0,3.0,2.0,9.0,5.0,8.0,4.0,10.0,6.0,7.0
ringnorm,4.0,2.0,3.0,1.0,8.0,5.0,6.0,10.0,8.0,8.0
seeds,1.0,2.0,3.0,4.0,9.5,6.0,5.0,7.0,8.0,9.5
semeion,1.0,2.0,3.0,5.0,10.0,6.0,4.0,7.0,8.0,9.0
soybean,1.0,3.0,2.0,5.0,8.0,7.0,4.0,10.0,6.0,9.0
spambase,4.0,1.0,6.0,2.0,8.0,10.0,5.0,3.0,8.0,8.0
spect,1.0,2.0,3.0,6.0,5.0,4.0,10.0,7.0,8.5,8.5
spectf,1.0,2.0,3.0,5.0,6.0,4.0,10.0,9.0,7.5,7.5
statlog-australian-credit,1.0,2.0,3.0,7.0,6.0,9.0,10.0,8.0,4.5,4.5
statlog-german-credit,1.0,2.0,3.0,7.0,4.0,5.0,10.0,6.0,8.5,8.5
statlog-heart,1.0,2.0,4.0,3.0,7.0,10.0,5.0,9.0,7.0,7.0
statlog-image,2.0,1.0,3.0,4.0,7.0,9.0,6.0,10.0,8.0,5.0
statlog-landsat,2.0,1.0,4.0,3.0,6.0,9.0,10.0,8.0,5.0,7.0
statlog-shuttle,1.0,2.0,3.0,4.0,6.0,7.0,10.0,9.0,8.0,5.0
statlog-vehicle,2.0,1.0,3.0,5.0,8.0,6.0,4.0,10.0,7.0,9.0
steel-plates,2.0,1.0,3.0,4.0,6.0,8.0,10.0,9.0,5.0,7.0
synthetic-control,1.0,2.0,3.0,5.0,9.0,7.0,4.0,6.0,10.0,8.0
teaching,1.0,2.0,3.0,5.0,8.0,6.0,4.0,10.0,7.0,9.0
thyroid,3.0,2.0,4.0,1.0,6.0,9.0,10.0,8.0,5.0,7.0
tic-tac-toe,3.5,2.0,3.5,10.0,7.0,9.0,1.0,5.0,7.0,7.0
titanic,1.0,2.0,6.0,3.0,10.0,5.0,7.0,4.0,8.5,8.5
trains,1.0,3.0,2.0,8.0,7.0,5.0,4.0,9.0,6.0,10.0
twonorm,1.0,2.0,3.0,5.0,7.5,4.0,7.5,10.0,7.5,7.5
vertebral-column-2clases,1.0,2.0,5.0,4.0,6.0,9.0,10.0,3.0,7.5,7.5
vertebral-column-3clases,1.0,2.0,3.0,4.0,10.0,7.0,5.0,6.0,9.0,8.0
wall-following,1.0,3.0,10.0,2.0,7.0,8.0,9.0,4.0,6.0,5.0
waveform,1.0,2.0,3.0,4.0,7.0,5.0,10.0,6.0,8.0,9.0
waveform-noise,1.0,2.0,3.0,4.0,7.0,5.0,9.0,6.0,8.0,10.0
wine,1.0,2.0,3.0,5.0,9.0,4.0,7.0,10.0,6.0,8.0
wine-quality-red,2.0,1.0,3.0,4.0,5.0,9.0,10.0,8.0,7.0,6.0
wine-quality-white,3.0,2.0,4.0,1.0,6.0,9.0,10.0,5.0,8.0,7.0
yeast,2.0,1.0,3.0,4.0,5.0,8.0,10.0,9.0,6.0,7.0
zoo,2.0,3.0,1.0,6.0,7.0,8.0,4.0,5.0,10.0,9.0
