TRAINTESTDIFFSACC:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
cardiotocography-3clases,0.01203969197947787,0.0237148898611878,0.0047302224487773105,0.008347670022513916,-2.5039057153240324E-4,-0.0014586253770018432,-0.011419143432970383,-0.003186579914947448,-2.1811827119588473E-4,-9.422095728965167E-5
cardiotocography-10clases,0.03660973249790553,0.06941567253118101,0.012816972872196072,0.004381453030785757,-0.0063619361157327215,-0.008801019505115215,-0.01698579300742208,-0.004214485468512141,-0.007099484347528518,-0.007644164395199811
chess-krvk,-0.009620767667004256,0.09705259572394004,-0.012592705007195148,0.07076523998713831,-0.013156015544184134,-0.015472038974073458,-0.036490335132713804,-5.552746846747744E-4,-0.01782567507121961,-0.007194594790317651
chess-krvkp,0.002033388379739024,0.0033900466647843667,0.001532318584107791,0.0021155206976182523,-8.726101903858918E-4,4.956395597386365E-5,-1.1788572199096606E-4,-0.0033774631373788186,-8.726101903858918E-4,-8.726101903858918E-4
congressional-voting,0.049444749785087186,0.019662058371735815,0.012001296523344484,-0.008395693287673145,-0.005467946278837051,-0.00824349272114882,-0.18278865260220686,5.834355050099401E-4,-0.00730562719316787,-0.00730562719316787
conn-bench-sonar-mines-rocks,0.0851749113885036,0.047347819386654305,0.02973955925412232,0.015296655879180117,0.00826629680998611,0.010944675604869744,0.013367236862382467,-0.0047341655108645376,0.00826629680998611,0.00826629680998611
conn-bench-vowel-deterding,0.01393939393939394,0.005387205387205385,-0.001279461279461284,0.012592592592592596,-0.0072053872053872035,-0.005521885521885521,0.003838383838383819,-0.016161616161616165,-0.006464646464646459,-0.0076767676767676785
connect-4,-0.0019088849230088985,-0.0018299323479387046,-0.002116134249382077,0.0071497322552462215,9.437182674497299E-5,-0.0016509836638270547,-0.026014581224059467,2.3301724929399488E-5,-0.0011030753767945192,-0.0011030753767945192
contrac,0.039953542392566786,0.01882897332374683,0.014153900042401779,0.014433751820511412,-0.0031320170344560565,-0.005679811219880916,-0.009374850211087147,-0.005103700016592006,-0.003350847113913306,-0.005482735099459834
credit-approval,0.012358851996236046,0.010998902182192941,0.0032464040865707645,0.0015940762647309148,-0.0034239593135278207,-0.004004234440112923,-0.0034239593135278207,0.0017671506026795643,-0.0034239593135278207,-0.0034239593135278207
cylinder-bands,0.028385416666666666,0.014583333333333334,0.00390625,-0.0020833333333333333,-0.0037760416666666667,-0.016666666666666666,-0.023177083333333334,-0.009765625,-0.0171875,-0.0171875
dermatology,0.028732680363115146,0.01834089823220256,0.01926063067367416,0.0018772893772893596,2.627806975632918E-4,-0.0015746934225195168,0.002086319477623803,-0.004720098741837871,-4.8176461219940904E-4,-2.787068004459455E-4
echocardiogram,0.061810411810411824,0.06075369075369076,0.04990675990675994,0.01616938616938618,0.0162859362859363,0.021165501165501165,0.0026184926184926404,0.014156954156954178,0.01461538461538463,0.01461538461538463
ecoli,0.13037089534609025,0.07458303803449087,0.10819513347507677,0.013501063075832749,5.62248995983942E-4,0.003961729270021275,0.017932908103000248,0.001979683439640926,0.0011693834160170261,-0.002832506496574516
energy-y1,0.006017202988482392,0.013052795768200494,-3.352435206220935E-4,0.025129926644286992,0.0028729668938546524,0.0063056525719711355,0.006564036485707536,0.0038784713980536956,0.0029346806370305475,0.0026681586472709572
energy-y2,0.015618098176844956,0.022221694754331865,0.008558995399726507,0.005326596814847502,-3.3230477094704135E-4,-0.0013572502345348052,9.654922970850096E-4,-9.186983599515827E-4,-2.452725690323324E-4,-2.452725690323324E-4
fertility,0.05933333333333333,0.038000000000000006,0.030666666666666672,-1.1102230246251566E-17,-0.0020000000000000018,-0.0026666666666666726,-0.6806666666666668,0.004666666666666664,-6.66666666666671E-4,-6.66666666666671E-4
flags,0.4263463718820862,0.26264880952380953,0.2650864512471655,0.030746882086167788,0.01809807256235827,0.007001133786848074,0.14547193877551026,-0.0016510770975056654,0.00483985260770974,-0.0030257936507936565
glass,0.2506888015144896,0.15241007718071936,0.13730013106159897,0.0029445172564438386,-0.0010164555118683674,-0.005830784913353737,-0.002743556138051549,-0.00966360856269113,-0.01201106742391148,-0.017349643221202863
haberman-survival,0.06963716108452953,0.042905559352927794,0.02804454317612214,0.01825871496924129,0.012297789929368882,0.008643768512189568,-0.2745670995670996,0.009301663249031663,0.010822510822510829,0.010822510822510829
hayes-roth,0.12748867010470388,0.11536698442464971,0.060535500338594575,0.030879824972651997,-0.020826170755847254,-0.0055269052456112765,0.01153305203938116,-0.01327290722508723,-0.0077043288013752004,-0.02921289784862218
heart-cleveland,0.28728976034858383,0.22205664488017432,0.15291503267973858,0.012461873638344226,0.03147712418300653,0.010448801742919404,0.043712418300653595,0.0041089324618736375,0.009891067538126368,0.0044052287581699285
heart-hungarian,0.03764172335600906,0.025396825396825373,0.009977324263038538,-0.008163265306122458,-0.02267573696145126,-0.019727891156462594,-0.02585034013605443,-0.02811791383219956,-0.022902494331065774,-0.022902494331065774
heart-switzerland,0.3540454785827605,0.3377313590692755,0.28728186144896883,0.04054292261589986,0.054644808743169376,0.0432487220165697,0.00937775427463423,-0.0013925612550678664,0.027551560021152825,0.017750749162700516
heart-va,0.4222188885555222,0.3627196052938627,0.22525252525252532,-0.019825315864919823,-0.00506383971730506,-0.0034403440344034364,0.09993332666599992,-0.006864019735306859,-0.02187218721872187,-0.02962962962962962
hepatitis,0.08026418026418027,0.0543734043734044,0.04143079143079144,0.018537018537018567,0.007364857364857402,0.0030747030747031003,-0.04156399156399152,0.0034132534132534365,0.002170052170052213,0.002170052170052213
hill-valley,0.01705170517051706,0.20638063806380638,0.007590759075907601,0.003245324532453264,-0.02304730473047305,4.950495049505029E-4,0.009845984598459848,1.1001100110011505E-4,-0.02255225522552256,-0.02255225522552256
horse-colic,0.02626811594202898,0.02427536231884057,0.01086956521739132,0.010688405797101442,0.00434782608695653,0.0025362318840579713,-0.0010869565217391242,0.0021739130434782444,0.00434782608695653,0.00434782608695653
ilpd-indian-liver,0.04065849142462616,0.014123083682467952,0.006004330838393827,0.005883114437697131,0.005533979820803758,0.007701360448147632,-0.35814346686751714,-2.039887649264771E-4,-0.0013274961163677397,-0.0013274961163677397
image-segmentation,0.01587301587301588,0.02692640692640691,0.009350649350649347,0.0034054834054834003,-9.523809523809453E-4,-0.001991341991341992,0.0014718614718614686,0.0031168831168831143,-0.0012698412698412763,-0.0010389610389610357
ionosphere,0.022082251082251085,0.018124458874458866,0.010660173160173148,-9.718614718614904E-4,-0.009155844155844162,-0.007446969696969704,-0.015350649350649347,-0.004915584415584421,-0.008966450216450225,-0.008966450216450225
iris,0.05200000000000002,0.02755555555555556,0.03600000000000002,0.007555555555555567,0.001777777777777778,0.004888888888888887,0.002666666666666669,-0.00355555555555556,0.001777777777777778,0.001777777777777778
led-display,0.11317524321556578,0.0795090885816692,0.06638611537805084,0.009275260283324805,0.008147721454173062,0.006821769926608623,0.010562809353131926,0.005743300904591234,0.007959976105137394,0.007075652841781869
lenses,0.3356643356643357,0.14568764568764575,0.14079254079254075,-0.06829836829836831,-0.015151515151515171,-0.04405594405594407,0.10606060606060604,-0.059673659673659694,-0.08344988344988344,-0.09510489510489512
letter,-0.003923767589312773,0.03144750207594267,-0.004454502849373073,0.03430152647441463,-0.003868300895467443,-0.0038191122046983125,0.003496461046599242,-0.0030628981674867715,-0.0035046223839316436,-0.0037474621695897953
libras,0.4225925925925925,0.18037037037037038,0.16777777777777786,0.0022222222222222105,-0.005555555555555536,-0.012592592592592593,0.06962962962962964,-0.00814814814814816,-0.0085185185185185,-0.014074074074074072
low-res-spect,0.0840511860174782,0.05086539552831685,0.0694288389513109,-4.468845760980685E-4,0.004341164453523993,-0.006115934627170591,0.027840199750312083,-0.007724719101123593,-0.005032062194983544,-0.004453240267847014
lung-cancer,0.3934640522875816,0.42941176470588244,0.05986928104575166,-6.535947712418463E-4,0.015032679738562083,0.015424836601307187,0.2913725490196078,-0.10235294117647059,-0.03725490196078433,-0.06078431372549021
lymphography,0.13262100456621004,0.08677625570776251,0.10182648401826484,-0.02012176560121767,-0.010788432267884344,-0.017394216133942167,-0.05764992389649925,-0.013838660578386626,-0.019147640791476416,-0.02465144596651446
magic,-2.2082018927446211E-4,3.3999298983525457E-4,-0.002043463021380987,0.0035120925341745562,-0.0025727304591658027,-0.001650893796004212,-0.024360322467577984,-0.001524710830704527,-0.002758499824745904,-0.002758499824745904
mammographic,0.006659159159159126,0.0049932143682143455,-0.0019466100716100962,-4.956398706398931E-4,-0.008008200508200525,-0.008481173481173514,-0.0076609782859783,-0.010048654423654442,-0.008008200508200525,-0.008008200508200525
miniboone,0.0014631755959035172,0.0019921649441848005,9.167763642908796E-4,0.01052915566259189,0.005842495702013377,0.004637229872940988,-0.0035246964553013347,-2.486257032103848E-4,0.005842495702013377,0.005842495702013377
molec-biol-promoter,0.10367996201329535,0.08150522317188984,0.05985280151946819,0.025023741690408354,0.005033238366571683,0.014696106362773036,0.013461538461538454,0.00465337132003798,0.0037749287749287578,0.0037749287749287578
molec-biol-splice,0.00206882220188697,0.012403420722446016,0.0011057809727161934,0.03485223933946117,-0.0019539385896778765,5.121807026977731E-4,0.0014183304350378215,-0.0020520508716374785,-7.195162729072649E-4,-0.0018925135926390483
monks-1,-0.03609112709832134,-0.026258992805755388,-0.04088729016786571,0.03333333333333333,-0.011151079136690637,-0.04304556354916067,-0.014868105515587544,0.00875299760191847,-0.009352517985611505,-0.009352517985611505
monks-2,0.030114802510151355,0.007243632336655603,0.0031314138058324134,0.021359542266519007,-1.3990402362495564E-4,-0.007221483942414179,-0.0414485049833887,-0.0011432262827611747,0.0015743816906607644,0.0015743816906607644
monks-3,-0.0022864019253910866,0.0022864019253910906,-0.0058965102286401986,0.0014440433212996521,-0.01961492178098676,-0.010108303249097469,-0.013357400722021668,-0.004572803850782189,-0.01961492178098676,-0.01961492178098676
mushroom,-3.7007434154171884E-18,3.28245527654684E-5,8.20613819136525E-6,-5.580173970129665E-4,-0.0020022977186935835,-0.0013211882488101123,8.20613819136525E-6,-1.0667979648776675E-4,-0.0020022977186935835,-0.0020022977186935835
musk-1,0.019489316126146804,0.014240064968310288,-0.007918601298189254,-0.0057576988036179754,-0.010296064827074824,-0.008690099982934055,-0.00916500420763965,-0.01086806842857901,-0.010296064827074824,-0.010296064827074824
musk-2,-0.002219649496787135,-0.001239379850659387,-0.002815866365290224,0.0015259875896625327,-0.0016146302319740753,-0.0023081757539004616,-0.005125469369253525,-2.555267655328578E-4,-0.0016146302319740753,-0.0016146302319740753
nursery,-0.001177983539094644,0.0027057613168724346,-0.0011368312757201627,0.01156378600823046,-0.003461934156378606,-0.004279835390946515,-0.09547325102880659,3.7037037037038016E-4,-0.0030606995884773706,-0.0030967078189300446
oocytes_merluccius_nucleus_4d,0.016173406862745102,0.010880565767973853,0.003313163807189538,0.012024356617647062,-0.0011861723856209057,-3.712214052287647E-4,-0.027464767156862746,-5.703635620915063E-4,-0.0021147365196078406,-0.0021147365196078406
oocytes_merluccius_states_2f,0.02344311683006536,0.018227379493464053,0.008954503676470597,0.003857230392156859,-7.730800653594845E-4,-0.0012885518790849684,-0.007445618872549035,-9.99795751633988E-4,-7.735906862745168E-4,-0.0011677900326797423
oocytes_trisopterus_nucleus_2f,0.009382258878976606,5.283702439063398E-4,-0.001594248202563305,0.007211869093707161,-0.006990325502360495,-0.004971585671804483,-0.01013858497447118,-0.008490954705396726,-0.006990325502360495,-0.006990325502360495
oocytes_trisopterus_states_5b,0.019738219475637416,0.02273771451014338,0.011911574931268579,0.008097562539575684,0.004724713652503595,0.0028395091414785208,-0.010585359206803395,0.001386170357723963,0.0041395949054592466,0.004211893139683083
optical,0.009730192930289578,0.008805086325960883,0.003087621706195261,0.0010447732903720438,-2.3693134208846445E-4,-4.3824171910711676E-4,7.717481759030605E-4,-3.713225986654911E-4,-4.147955422882451E-4,-6.052271296666116E-4
ozone,0.004791613670576141,0.0038446603471485466,0.0023199900320703365,0.0010296531396802348,6.639412422885497E-4,0.0013178482125624188,-0.9345231201859079,-0.0018199142567309776,6.085039626045415E-4,6.085039626045415E-4
page-blocks,0.006158295753137396,0.009911637018707538,0.0025152179206233177,0.0023282895524607125,-2.5879924096239293E-4,1.3002280406785675E-5,-0.3300782585045642,5.902082724060083E-4,-5.485662548758707E-4,-5.85703545335936E-4
parkinsons,0.03131004979311311,0.019016060032260317,0.007374289922154416,-2.945508100147413E-4,-0.0069114243635598665,-0.007865207938845643,-0.024412651658601583,-0.002398485167262809,-0.009741216074058498,-0.009741216074058498
pendigits,0.15894260370131016,0.004668306539159576,5.857841455178277E-4,0.003390540828517985,2.6509958764163363E-4,-6.0080764730000937E-5,6.42229871694063E-4,5.149637951152863E-5,9.626562027876817E-5,7.071441120967878E-5
pima,0.01866319444444445,0.006684027777777783,0.006250000000000004,0.0016493055555555616,-0.0013888888888888987,-0.004166666666666678,-0.0071180555555555615,-0.0011284722222222247,-8.680555555555654E-4,-8.680555555555654E-4
pittsburg-bridges-MATERIAL,0.15681386514719847,0.09278252611585944,0.12046533713200382,0.017165242165242164,0.012701804368471034,0.015764482431149102,0.03558879392212725,0.007336182336182336,0.013414055080721759,0.01137226970560304
pittsburg-bridges-REL-L,0.21182389937106919,0.1648930817610063,0.16394968553459124,0.035723270440251594,0.011144654088050343,0.034943396226415145,-0.14168553459119496,0.01605031446540884,0.006540880503144686,0.0012075471698113516
pittsburg-bridges-SPAN,0.16811594202898553,0.11666666666666665,0.07753623188405798,-0.013043478260869565,-0.007971014492753614,-0.019565217391304353,-0.03478260869565217,-0.040579710144927526,-0.031159420289855057,-0.030434782608695636
pittsburg-bridges-T-OR-D,0.08366013071895423,0.06862745098039215,0.06666666666666664,0.017647058823529405,0.02222222222222222,0.009150326797385607,-0.2699346405228758,0.005882352941176461,0.009150326797385604,0.009150326797385604
pittsburg-bridges-TYPE,0.3744734931009441,0.2713144517066085,0.36949891067538126,0.02683369644153957,0.030682643427741445,0.011074800290486556,0.17062454611474212,-0.006245461147421938,0.0021786492374727645,0.0017792302106027446
planning,0.06227106227106227,0.025641025641025623,0.024175824175824152,-0.0065934065934065925,-3.66300366300365E-4,-0.005860805860805858,-0.3915750915750917,-0.010989010989010983,-0.008424908424908424,-0.008424908424908424
plant-margin,0.24304166666666663,0.18583333333333335,0.24212499999999998,-0.0069999999999999915,-0.008791666666666665,-0.02141666666666666,0.09375000000000003,-0.021333333333333322,-0.02225,-0.02220833333333334
plant-shape,0.02433333333333334,0.38762500000000005,0.4098333333333333,0.011166666666666662,0.01583333333333332,-0.015291666666666667,0.2290416666666667,-0.014249999999999992,-0.021791666666666664,-0.019500000000000014
plant-texture,0.49840086566541514,0.2121538381309971,0.24706841885690445,-0.003253858990404679,-0.006877659574468105,-0.014126929495202344,0.07668742177722154,-0.02074681894034209,-0.014044743429286593,-0.018218658740091796
post-operative,0.14074074074074072,0.0688888888888889,0.05925925925925924,-0.037037037037037056,-0.004444444444444447,-0.019999999999999997,-0.40888888888888897,-0.03259259259259258,-0.03407407407407407,-0.03481481481481481
primary-tumor,0.5345688990117924,0.3736024882749837,0.4029682965357628,-0.0016310936409389871,0.029429484589103997,0.0012171975068268374,0.20419161676646708,-0.00986493271126458,0.007430537697610906,0.0017339554020792737
ringnorm,0.005972972972972971,0.009567567567567567,0.006216216216216216,0.01297297297297297,0.0015225225225225217,0.00542342342342342,0.0028198198198198317,-0.00218018018018018,0.0015225225225225217,0.0015225225225225217
seeds,0.05619047619047619,0.02761904761904761,0.027301587301587292,0.00507936507936508,-0.01079365079365079,-0.010158730158730152,-0.008888888888888884,-0.010476190476190469,-0.010476190476190472,-0.01079365079365079
semeion,0.04134216057166877,0.03983417402269861,0.021061948297604025,0.005092633459436742,1.399222362337101E-4,0.0016390815468684372,0.006802700714585959,0.0014787725935266856,7.088062211012953E-4,6.266813787305647E-4
soybean,0.08397101697821986,0.05375207225747443,0.0639450065740582,6.059566683816354E-4,-0.00699308294746469,-0.006098725204367457,0.005948093523123536,-0.009197679071628629,-0.005719430629394606,-0.008073229291716682
spambase,-4.898311383204401E-4,0.0049002576069635834,-0.0019973672442353337,0.0023032141035088734,-0.003073521909188833,-0.003622325516946012,-0.0011603902525052204,8.57755607202911E-4,-0.003073521909188833,-0.003073521909188833
spect,0.06878939773676616,0.041848940533151094,0.024941140730614427,0.002240449608870687,0.0025290498974709624,0.002726513252829055,-0.004296726665147702,0.0013081947292473768,-0.0017524872788030536,-0.0017524872788030536
spectf,0.032173717876781506,0.03020985299068565,0.01917106198331648,0.004625369393633331,0.004161523211012585,0.006390977443609006,-0.05352934575244081,8.323046422025045E-4,0.003125350690158209,0.003125350690158209
statlog-australian-credit,0.030434782608695674,0.00937198067632851,0.003478260869565227,-0.0015458937198067643,1.9323671497584923E-4,-0.003961352657004831,-0.33700483091787437,-0.001932367149758448,1.9323671497585294E-4,1.9323671497585294E-4
statlog-german-credit,0.01693333333333335,0.005866666666666672,0.004133333333333337,-0.005600000000000005,-0.0026000000000000025,-0.0028000000000000026,-0.06420000000000001,-0.004733333333333338,-0.007666666666666673,-0.007666666666666673
statlog-heart,0.031604938271604925,0.015308641975308646,0.013580246913580252,0.014567901234567889,0.007407407407407407,0.005185185185185178,0.00888888888888889,0.005925925925925934,0.007407407407407407,0.007407407407407407
statlog-image,0.012467532467532468,0.02000000000000001,0.008225108225108227,0.004617604617604624,1.4430014430015422E-4,-3.4632034632036123E-4,2.020202020201996E-4,-6.349206349206363E-4,-1.7316017316018061E-4,4.3290043290043306E-4
statlog-landsat,0.004878720717629622,0.024837987756155516,2.7661475165337014E-4,0.001793214341464459,-0.0017676934525879373,-0.0023502980592533048,-0.0032997485390691807,-0.002317996071212754,-0.0012996913537315024,-0.0019022721898429426
statlog-shuttle,6.010768954470503E-4,3.2063297814014885E-4,2.6316377453743377E-4,4.585303232271428E-5,-2.3296393293529653E-5,-4.047792329993453E-5,-0.6419754205722176,-0.0024117133685852333,-5.082980602851469E-5,2.0190249798712756E-6
statlog-vehicle,0.03807900384512206,0.045968955855614176,0.014862589048853918,0.007152970282273689,-0.006882097827058938,-0.0034580017288145712,0.008756594831440596,-0.012667665206116415,-0.005590703150615521,-0.008210378848847955
steel-plates,0.062065172614421536,0.07284141726866186,0.01989249024279411,0.017631345368990137,0.0017586328445174974,6.541256311924926E-4,-0.02289333537183554,4.5738893348111763E-4,0.002626588863832291,0.0010413348791975011
synthetic-control,0.011555555555555574,0.0065555555555555775,0.0038888888888888935,-0.001999999999999987,-0.00411111111111111,-0.0030000000000000027,-7.777777777777884E-4,-0.0022222222222222253,-0.0042222222222222305,-0.003555555555555556
teaching,0.2104912280701754,0.1794795321637427,0.11014619883040938,0.011333333333333338,-0.012994152046783624,-9.415204678362524E-4,0.04200000000000002,-0.03028070175438596,-0.012567251461988312,-0.016578947368421058
thyroid,0.0011666666666666713,0.002009259259259255,9.537037037037121E-4,0.009777777777777778,-4.6296296296297984E-4,-9.351851851852019E-4,-0.0028333333333333283,-5.277777777777826E-4,-4.166666666666578E-4,-4.7222222222221465E-4
tic-tac-toe,-8.350730688935215E-4,1.3917884481558693E-4,-8.350730688935215E-4,-0.0025052192066805905,-0.0011830201809324924,-0.0013221990257480795,0.002157272094641612,-0.001113430758524699,-0.0011830201809324924,-0.0011830201809324924
titanic,0.0061681666804282555,0.0017450527069055625,-6.486389783392554E-4,0.0011961852861035313,-0.0045631244323342535,1.3519390086147443E-4,-7.432636996669702E-4,3.416728593840383E-4,-0.0017749428893843084,-0.0017749428893843084
trains,0.6055555555555556,0.5361111111111112,0.5444444444444444,-0.1,-0.07499999999999997,0.022222222222222233,0.4611111111111111,-0.18888888888888894,-0.027777777777777776,-0.19722222222222224
twonorm,0.00130336508181386,7.086730490873938E-4,2.49152684379302E-4,9.597273649667449E-5,5.712199102447801E-6,1.2233991641148097E-4,5.712199102447801E-6,-8.4236675254686E-5,5.712199102447801E-6,5.712199102447801E-6
vertebral-column-2clases,0.03096774193548387,0.0043010752688171965,-0.005161290322580651,-0.0032258064516128967,-0.006236559139784951,-0.011182795698924722,-0.02193548387096776,6.45161290322586E-4,-0.006451612903225812,-0.006451612903225812
vertebral-column-3clases,0.0653763440860215,0.04817204301075268,0.0270967741935484,0.007096774193548387,-0.006021505376344076,-0.0023655913978494684,0.003440860215053772,-8.602150537634505E-4,-0.005806451612903218,-0.005591397849462361
wall-following,0.2335471562709384,0.007958362710583996,-1.4042404199705595E-4,0.02092870050003249,0.002951395257599136,0.0016213465326826734,4.280221190148629E-5,0.0051499490570367104,0.003071049745746527,0.004003413247965411
waveform,0.004748267426389452,0.003147829836986101,0.0016543255980254264,0.0010936108416443953,1.7233602757377547E-4,5.019627469807183E-4,1.1901335237547809E-4,3.596960575513619E-4,1.456906899771848E-4,1.323413545079514E-4
waveform-noise,0.00515885415875,0.0031857765097242437,0.001184869522912461,6.373867686486993E-5,-0.0013641815516023726,-0.0011534081845453014,-0.0014841975708049459,-0.001164538852992895,-0.0014308748956066487,-0.0015242349105442532
wine,0.02053872053872054,0.019360269360269373,0.012289562289562288,-0.008796296296296286,-0.013686868686868676,-0.008787878787878782,-0.01365319865319864,-0.017062289562289557,-0.012550505050505038,-0.013678451178451163
wine-quality-red,0.05474563437307375,0.06585737126837068,0.02623052637836791,0.010039142800822283,0.005832152165682632,-0.0030108041639679618,-0.514249575248984,0.0012695596669576722,0.0018333912183705243,0.0023362088116671213
wine-quality-white,0.01326404002580812,0.015375691297698068,0.001487662475488105,0.027664129483858286,-0.005123029551112993,-0.008289197601417142,-0.5311219587889394,-1.463141543743866E-4,-0.007043026287583716,-0.006712632853902434
yeast,0.10627657545567654,0.15837545749289356,0.04603076289683438,0.011264209146527903,0.0096756908937345,0.0037725567836092637,-1.9634732224756238E-4,0.0017090632785704033,0.006090460232553207,0.00594969318838869
zoo,0.0903584510727368,0.06283359497645212,0.09136577708006278,-0.010374149659863944,-0.01060962846677133,-0.012938252223966518,0.047998430141287254,-0.0029173207744636314,-0.020983778126635266,-0.02042124542124542
