TRAINBALACCSTDDEVS:,CAWPE-S,PB-S
statlog-german-credit,0.01956399138487324,0.023268628939193674
statlog-heart,0.029132848484002154,0.028630735746295485
statlog-image,0.004796833902284356,0.009076609998586649
statlog-landsat,0.006106768533993957,0.006905372809392873
statlog-shuttle,0.03889840229559232,0.025744993675005712
statlog-vehicle,0.013161274184069163,0.017951426158673137
steel-plates,0.014617213916046942,0.015339398597713896
synthetic-control,0.006189844605901733,0.008438796255851018
teaching,0.06924307896090265,0.06913443023652953
thyroid,0.028692898949173352,0.0367601130495901
tic-tac-toe,0.005648888508885387,0.005533250291981403
titanic,0.011448094687197477,0.010290700338548824
trains,0.2856732318616829,0.35314677356328905
twonorm,0.001962915803237032,0.0016398172479952014
vertebral-column-2clases,0.04130012362110954,0.042753154873934336
vertebral-column-3clases,0.028244106116083422,0.03577962601224715
wall-following,0.005068324843666265,0.013352661015514158
waveform,0.0056842215599251095,0.005358246758999076
waveform-noise,0.005547686724550558,0.00573965784504013
wine,0.01525405375438382,0.017407258550736847
wine-quality-red,0.017943179420399368,0.02376199930850628
wine-quality-white,0.014967386734766164,0.019657872475437398
yeast,0.04762059464404138,0.023866005049084895
zoo,0.07067293246069828,0.07655802152067553
