TRAINBALACC:,CAWPE-S,PB-S
trains,0.6833333333333333,0.5166666666666667
twonorm,0.976389225082499,0.9774521669578395
vertebral-column-2clases,0.813809523809524,0.7726349206349208
vertebral-column-3clases,0.8051851851851851,0.7620740740740742
wall-following,0.9543946500038961,0.6466022699353661
waveform,0.8608194985024832,0.8662668393798165
waveform-noise,0.8579346425372764,0.8606555794344039
wine,0.9741552636380223,0.967478562306148
wine-quality-red,0.28920337675746743,0.2768408697330267
wine-quality-white,0.31347445042754957,0.2127315711339066
yeast,0.524886211949893,0.557342272091513
zoo,0.8283333333333334,0.8180952380952379
