@relation teaching

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute clase {0,1,2}

@data
-2.04427,-0.094112,-0.726939,-2.35125,-1.15308,0
0.485933,-1.26614,-0.86931,0.42249,0.708285,0
0.485933,0.345399,-0.015086,0.42249,0.630728,0
0.485933,-1.41264,1.12388,0.42249,-0.532626,0
0.485933,-1.26614,-0.86931,0.42249,1.56141,0
0.485933,0.052392,0.98151,0.42249,0.785841,0
-2.04427,1.37092,-0.726939,-2.35125,-0.68774,2
0.485933,0.198895,-0.726939,-2.35125,-0.842854,2
-2.04427,1.37092,-0.726939,0.42249,1.63897,2
-2.04427,-1.26614,-0.86931,0.42249,0.398057,2
0.485933,-0.973132,0.412027,0.42249,2.10431,2
0.485933,1.37092,-0.726939,-2.35125,-0.610183,2
0.485933,-0.680125,-0.442198,0.42249,-0.68774,2
0.485933,-0.533622,-0.726939,0.42249,-0.067285,2
-2.04427,1.22442,-0.726939,0.42249,2.33698,2
0.485933,0.198895,-0.726939,-2.35125,-0.610183,2
0.485933,-0.533622,1.97811,0.42249,-1.46331,2
0.485933,-0.094112,-1.01168,0.42249,0.165386,2
0.485933,0.638406,1.83573,0.42249,0.087829,2
0.485933,-1.11964,1.26625,0.42249,0.863398,2
0.485933,-1.11964,1.26625,0.42249,1.09607,1
0.485933,-1.11964,1.26625,0.42249,1.17363,1
0.485933,-0.973132,0.412027,0.42249,-1.38575,1
0.485933,1.22442,-0.726939,0.42249,1.4063,1
0.485933,-0.094112,-0.726939,-2.35125,-1.38575,1
0.485933,-0.973132,2.40522,0.42249,1.09607,1
0.485933,1.66393,-0.157456,0.42249,-0.067285,1
0.485933,1.66393,-0.157456,0.42249,-0.377512,1
0.485933,-1.70565,0.127285,0.42249,0.242943,1
0.485933,-1.85215,0.98151,-2.35125,-0.455069,1
0.485933,0.198895,0.696768,0.42249,0.708285,1
0.485933,-0.973132,0.412027,0.42249,-1.15308,1
0.485933,-0.826629,-0.726939,0.42249,-0.299955,1
0.485933,0.052392,0.98151,0.42249,0.785841,1
0.485933,1.07792,-0.86931,0.42249,1.09607,0
0.485933,1.22442,-0.726939,0.42249,0.010272,0
0.485933,-0.387118,-1.01168,0.42249,1.79408,0
0.485933,0.638406,-0.442198,0.42249,-0.68774,0
0.485933,-0.094112,-1.01168,0.42249,0.242943,0
-2.04427,-0.094112,-0.726939,-2.35125,-1.15308,0
0.485933,-1.26614,-0.86931,0.42249,0.708285,0
0.485933,0.345399,-0.015086,0.42249,0.630728,0
0.485933,-1.41264,1.12388,0.42249,-0.532626,0
0.485933,-1.26614,-0.86931,0.42249,1.56141,0
0.485933,0.052392,0.98151,0.42249,0.785841,0
-2.04427,1.37092,-0.726939,-2.35125,-0.222398,2
-2.04427,-0.094112,-0.726939,-2.35125,-0.842854,2
0.485933,0.345399,1.55099,0.42249,-1.30819,2
0.485933,-0.680125,-0.86931,0.42249,0.863398,2
0.485933,-0.094112,-0.726939,-2.35125,-1.30819,2
0.485933,0.638406,1.83573,0.42249,-0.68774,2
-2.04427,1.22442,-0.726939,0.42249,1.32874,2
0.485933,-0.973132,0.412027,-2.35125,-0.610183,2
0.485933,1.37092,-0.726939,-2.35125,-0.610183,2
-2.04427,1.37092,-0.726939,-2.35125,-0.610183,2
-2.04427,1.37092,-0.726939,0.42249,0.785841,2
0.485933,0.052392,1.97811,0.42249,-0.842854,2
-2.04427,0.491902,1.26625,0.42249,-0.68774,2
0.485933,-0.680125,-0.442198,0.42249,-0.299955,2
0.485933,0.638406,2.40522,0.42249,-0.222398,2
-2.04427,0.491902,1.26625,0.42249,0.242943,2
0.485933,-1.85215,0.98151,0.42249,0.242943,2
0.485933,-1.85215,-0.015086,0.42249,-0.765297,1
-2.04427,-0.387118,1.12388,0.42249,-0.455069,1
-2.04427,1.22442,0.696768,0.42249,-0.067285,1
0.485933,-0.680125,-0.86931,0.42249,-1.07552,1
0.485933,-0.094112,-1.01168,0.42249,-0.610183,1
-2.04427,-1.11964,1.26625,0.42249,0.553171,1
0.485933,1.37092,-0.726939,-2.35125,-0.610183,1
-2.04427,1.37092,-0.726939,-2.35125,-0.610183,1
0.485933,-1.11964,1.26625,0.42249,0.708285,1
-2.04427,1.22442,-0.726939,0.42249,-0.997967,1
0.485933,0.931413,-0.86931,0.42249,-0.222398,1
0.485933,1.37092,-0.726939,0.42249,-1.38575,1
0.485933,0.931413,-0.86931,0.42249,-1.07552,0
-2.04427,1.37092,-0.726939,0.42249,0.785841,0
0.485933,-0.094112,-1.01168,0.42249,0.087829,0
0.485933,-0.533622,-0.726939,0.42249,-0.68774,0
0.485933,-0.973132,0.412027,0.42249,0.165386,0
-2.04427,0.052392,0.98151,0.42249,0.3205,0
0.485933,-0.826629,-0.726939,0.42249,-0.067285,0
0.485933,-0.240615,-0.157456,0.42249,0.475614,0
0.485933,-0.826629,-0.157456,0.42249,-0.377512,0
0.485933,0.198895,-1.01168,0.42249,2.95743,0
0.485933,1.37092,-0.726939,0.42249,-1.23064,0
0.485933,-1.70565,0.127285,0.42249,0.087829,0
0.485933,0.198895,-1.01168,0.42249,-0.68774,0
0.485933,0.931413,-0.86931,0.42249,-1.92865,0
0.485933,-0.094112,0.839139,0.42249,-0.842854,2
0.485933,-0.680125,-0.299827,0.42249,-1.61842,2
-2.04427,-0.533622,-0.726939,0.42249,-0.532626,2
0.485933,0.052392,0.98151,0.42249,0.630728,2
-2.04427,-0.094112,-1.01168,0.42249,2.02675,2
-2.04427,-0.826629,-0.726939,0.42249,0.087829,2
0.485933,0.931413,-0.86931,0.42249,1.32874,2
0.485933,1.22442,-1.01168,0.42249,-1.30819,1
0.485933,0.638406,0.554397,0.42249,-0.92041,1
0.485933,0.931413,0.98151,0.42249,-0.765297,1
-2.04427,0.491902,1.40862,0.42249,1.25118,1
0.485933,0.052392,2.12048,0.42249,-0.842854,1
0.485933,1.51743,2.54759,0.42249,-0.532626,1
0.485933,-0.680125,2.26285,0.42249,-0.610183,1
0.485933,-0.240615,-0.015086,0.42249,-0.299955,1
0.485933,-0.680125,-0.299827,0.42249,-1.77354,1
0.485933,1.22442,-1.01168,0.42249,1.09607,1
0.485933,-0.973132,0.412027,0.42249,0.165386,0
0.485933,-0.533622,-0.726939,0.42249,-0.68774,0
0.485933,1.37092,-0.726939,0.42249,-1.30819,0
0.485933,0.491902,1.40862,0.42249,0.087829,0
0.485933,0.345399,1.69336,0.42249,-0.997967,0
0.485933,-1.55915,-0.86931,0.42249,0.708285,0
0.485933,0.784909,-0.584569,0.42249,-1.38575,0
0.485933,1.37092,-0.726939,0.42249,-0.299955,0
0.485933,-1.55915,-0.86931,0.42249,-0.144841,0
0.485933,-0.533622,-0.726939,0.42249,-1.23064,0
-2.04427,0.638406,-0.157456,0.42249,1.56141,0
0.485933,1.22442,-1.01168,0.42249,1.79408,0
0.485933,-1.70565,0.269656,0.42249,-0.067285,0
