TRAINACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
lymphography,0.8210045662100459,0.7977168949771689,0.7926940639269406
magic,0.8585524009814232,0.8544023834560112,0.8519348054679284
mammographic,0.8262499999999997,0.8205555555555555,0.8200000000000001
miniboone,0.9069941002496245,0.9031518301527991,0.9017801766337079
molec-biol-promoter,0.8333333333333335,0.7967948717948722,0.7910256410256412
molec-biol-splice,0.9190715181932245,0.8920535340861566,0.8810121288163946
monks-1,0.9081534772182251,0.8959232613908873,0.8652278177458033
monks-2,0.7419999999999998,0.7263333333333333,0.7184444444444444
monks-3,0.9669073405535495,0.9542719614921776,0.9405535499398313
mushroom,0.9998933202035122,0.9983998030526833,0.9982110618742818
musk-1,0.8890295358649791,0.8781997187060476,0.8729957805907171
musk-2,0.9788053365676163,0.9748433393976145,0.9738124115625627
nursery,0.9857716049382717,0.9720010288065843,0.9677417695473253
oocytes_merluccius_nucleus_4d,0.8333986928104575,0.8216339869281045,0.8184313725490199
oocytes_merluccius_states_2f,0.9228104575163396,0.9201307189542481,0.9192810457516337
oocytes_trisopterus_nucleus_2f,0.8200732600732604,0.8139926739926744,0.8087912087912092
oocytes_trisopterus_states_5b,0.9364102564102565,0.9321611721611723,0.9317216117216118
optical,0.9852735255725645,0.9840512637949449,0.9837071318381393
ozone,0.9700605103920018,0.9695080242041565,0.9693501710076293
page-blocks,0.9680560633759902,0.9674223034734919,0.9671541742839732
parkinsons,0.9216494845360826,0.8958762886597941,0.8896907216494848
pendigits,0.990764002670065,0.9893804235693915,0.9888828205594999
pima,0.7723090277777777,0.7630208333333334,0.7626736111111112
pittsburg-bridges-MATERIAL,0.8653846153846153,0.8423076923076922,0.8378205128205127
pittsburg-bridges-REL-L,0.714,0.6839999999999999,0.6686666666666667
pittsburg-bridges-SPAN,0.6789855072463767,0.6608695652173914,0.6492753623188405
pittsburg-bridges-T-OR-D,0.8888888888888892,0.8725490196078435,0.8679738562091507
pittsburg-bridges-TYPE,0.5849673202614379,0.5549019607843138,0.5509803921568627
planning,0.7120879120879121,0.7021978021978023,0.6915750915750916
plant-margin,0.7976666666666665,0.79075,0.78825
plant-shape,0.6290416666666668,0.6123750000000001,0.6274583333333335
plant-texture,0.8047559449311639,0.798456403838131,0.8003754693366709
post-operative,0.6962962962962963,0.6622222222222223,0.6303703703703704
primary-tumor,0.45439672801635994,0.4341513292433537,0.41840490797546015
ringnorm,0.927828828828829,0.921,0.9089099099099099
seeds,0.9444444444444445,0.9390476190476191,0.9346031746031748
semeion,0.9325346784363174,0.9301807482135352,0.9289617486338798
soybean,0.917647058823529,0.9138235294117647,0.9136274509803921
spambase,0.9336376811594201,0.9316956521739129,0.9312753623188407
spect,0.7191919191919193,0.695959595959596,0.6934343434343436
spectf,0.8664160401002504,0.8563909774436088,0.8531328320802004
statlog-australian-credit,0.6810628019323672,0.6638647342995169,0.6600000000000001
statlog-german-credit,0.7622000000000001,0.7497333333333336,0.746
statlog-heart,0.8414814814814814,0.8237037037037037,0.8192592592592592
statlog-image,0.9704761904761903,0.968975468975469,0.9687445887445885
statlog-landsat,0.902808872305141,0.9003524046434495,0.8987458540630182
statlog-shuttle,0.9983585074832749,0.9981814837804908,0.9981309055796953
statlog-vehicle,0.8090047393364926,0.8002369668246447,0.7911532385466037
steel-plates,0.7506019951840385,0.7452700378396975,0.7434124527003784
synthetic-control,0.989,0.9866666666666666,0.9867777777777778
teaching,0.5586666666666668,0.5284444444444444,0.5177777777777777
thyroid,0.9739351851851852,0.9683148148148149,0.9670092592592592
tic-tac-toe,0.9837160751565759,0.9832985386221292,0.983368128044537
titanic,0.7823333333333332,0.7821818181818181,0.7821818181818181
trains,0.7083333333333334,0.6833333333333333,0.6583333333333333
twonorm,0.9778228350004506,0.9763900153194556,0.9759845003154005
vertebral-column-2clases,0.850752688172043,0.8400000000000002,0.838494623655914
vertebral-column-3clases,0.8572043010752688,0.8466666666666666,0.8438709677419356
wall-following,0.9918225155848919,0.9623273438454958,0.939738418286273
waveform,0.8672135520875017,0.8610377484327064,0.8592903828197944
waveform-noise,0.862251567293584,0.8576630652260903,0.8557823129251699
wine,0.9757575757575754,0.9712121212121211,0.9704545454545452
wine-quality-red,0.6119465329991647,0.6072263993316624,0.6055973266499581
wine-quality-white,0.6070698814875358,0.6041275030649774,0.6047949870589837
yeast,0.6070816418583672,0.6017591339648173,0.5988272440234551
zoo,0.9360544217687071,0.9312925170068026,0.9299319727891153
