TRAINACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
musk-2,0.0018983368566141282,0.0020741250635522824,0.0020725959988163512
nursery,0.0018216279152358508,0.0020471722291006723,0.002035021697009643
oocytes_merluccius_nucleus_4d,0.012491451513115495,0.01300110423490121,0.011916977159307894
oocytes_merluccius_states_2f,0.00826266954755932,0.009210338000872668,0.009811806610515662
oocytes_trisopterus_nucleus_2f,0.014925575577751865,0.01613483254178093,0.017496950288176567
oocytes_trisopterus_states_5b,0.007975271554459198,0.00782345482781734,0.00778503806745873
optical,0.0016205948477645688,0.0015373317737253456,0.0015409755861592904
ozone,0.002113084245492534,0.0021488690325015053,0.0021247424967552214
page-blocks,0.002745352541172498,0.002723210426973118,0.0027074783536286395
parkinsons,0.0268833088874336,0.035023304738950205,0.03306403815708279
pendigits,0.001052803739088698,0.0011092566368219859,0.0011191035168976401
pima,0.01220856022911694,0.013711905169990228,0.014454695720369014
pittsburg-bridges-MATERIAL,0.03606598047980677,0.035134626091966915,0.03337878625865435
pittsburg-bridges-REL-L,0.05096313745552118,0.05314910710639358,0.05322258616565828
pittsburg-bridges-SPAN,0.05406472994686107,0.056688716566979554,0.0555660565584951
pittsburg-bridges-T-OR-D,0.04225332402731166,0.04269550689761693,0.04689325542975343
pittsburg-bridges-TYPE,0.05303583387436575,0.0578348282500103,0.06229342161187877
planning,0.01056396626704225,0.015365657132947238,0.018909145808882487
plant-margin,0.008732947258290984,0.009136182331050917,0.010062305898749064
plant-shape,0.015216410624679225,0.016378306457439165,0.0157413199033261
plant-texture,0.010574002152222388,0.011340465440091003,0.01093931426453362
post-operative,0.03051053225366867,0.04143036441772435,0.04864562722783402
primary-tumor,0.024055583698334274,0.0274214331574245,0.026978475140580865
ringnorm,0.004952856173881221,0.0051944627987078225,0.005077413030938099
seeds,0.022100692001897914,0.024454323098604923,0.023954675231613577
semeion,0.009977596581075986,0.010594566688212256,0.010100947234746978
soybean,0.011790033588487315,0.011250157431716066,0.011776954408192349
spambase,0.004570723221368357,0.005268799702933092,0.005445935582714436
spect,0.03826518352062229,0.04438542993065502,0.04643378042840573
spectf,0.030949397992115626,0.0340485270808833,0.036873222023339376
statlog-australian-credit,0.00918128619764607,0.014452384222188924,0.01702342886789547
statlog-german-credit,0.013353031426453785,0.013367313023613407,0.013896166675593036
statlog-heart,0.02570421529039916,0.0288793906512858,0.03182183979164738
statlog-image,0.004672725444462269,0.0047968339022843465,0.004830485002333427
statlog-landsat,0.005113711467515175,0.004949413894834345,0.004775773244166658
statlog-shuttle,1.8328542349953393E-4,1.6249160429586922E-4,1.6610241504644483E-4
statlog-vehicle,0.013312099523370742,0.013305552409900032,0.01571531558476382
steel-plates,0.01300962783465763,0.013296513680655321,0.013514033715893992
synthetic-control,0.0057502290475786085,0.006189844605901727,0.006032055706048182
teaching,0.06450281410000593,0.06883671241230478,0.07337163750587648
thyroid,0.003703923205500661,0.004045777151203665,0.004082276515920213
tic-tac-toe,0.003734560296450589,0.003915304770250422,0.003817479564533825
titanic,0.008526970382289743,0.008708574535905459,0.008708574535905459
trains,0.2868026274747789,0.2856732318616829,0.3113051871399349
twonorm,0.0015739323620258803,0.001962786524045792,0.0020392974435096563
vertebral-column-2clases,0.03177540280284011,0.03415553956097325,0.03702230115523871
vertebral-column-3clases,0.020593186336786758,0.021003790921606747,0.02198646173496858
wall-following,0.0020431934523807292,0.003334482007515569,0.004359504828291649
waveform,0.004862577410237061,0.005686307412125281,0.006126216137353611
waveform-noise,0.005366327435978361,0.005553884864814249,0.005097107452718458
wine,0.015138447865641782,0.01627253171163787,0.015677899196830887
wine-quality-red,0.012446055619229068,0.01301330207662129,0.014192594559858959
wine-quality-white,0.0072453151273699275,0.007915666106880824,0.006790870495740724
yeast,0.016861877454866926,0.0186290958560601,0.01918869595019736
zoo,0.028728498255146565,0.027580760831006048,0.027160991086937425
