TRAINNLLRANKS:,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
plant-shape,2.0,7.0,6.0,8.0,4.0,3.0,5.0,10.0,9.0,1.0
plant-texture,6.0,8.0,7.0,2.0,4.0,3.0,5.0,10.0,9.0,1.0
post-operative,2.0,4.0,5.0,1.0,7.0,6.0,8.0,3.0,10.0,9.0
primary-tumor,1.0,5.0,6.0,2.0,8.0,7.0,9.0,3.0,10.0,4.0
ringnorm,5.0,6.0,8.0,7.0,2.0,3.0,4.0,9.0,1.0,10.0
seeds,1.0,5.0,4.0,2.0,6.0,7.0,8.0,3.0,9.0,10.0
semeion,1.0,7.0,6.0,9.0,2.0,3.0,4.0,8.0,5.0,10.0
soybean,1.0,6.0,5.0,9.0,2.0,3.0,4.0,10.0,8.0,7.0
spambase,7.0,1.0,2.0,8.0,4.0,5.0,6.0,9.0,3.0,10.0
spect,7.0,1.0,2.0,9.0,5.0,4.0,6.0,10.0,8.0,3.0
spectf,8.0,1.0,2.0,7.0,4.0,3.0,5.0,9.0,6.0,10.0
statlog-australian-credit,9.0,1.0,2.0,8.0,5.0,7.0,6.0,10.0,4.0,3.0
statlog-german-credit,9.0,1.0,2.0,8.0,3.0,5.0,4.0,10.0,6.0,7.0
statlog-heart,7.0,2.0,1.0,8.0,4.0,3.0,5.0,9.0,6.0,10.0
statlog-image,1.0,6.0,7.0,9.0,4.0,3.0,5.0,8.0,2.0,10.0
statlog-landsat,1.0,2.0,3.0,5.0,7.0,9.0,8.0,4.0,6.0,10.0
statlog-shuttle,1.0,5.0,9.0,4.0,6.0,7.0,8.0,3.0,2.0,10.0
statlog-vehicle,1.0,4.0,5.0,2.0,6.0,8.0,7.0,3.0,10.0,9.0
steel-plates,1.0,4.0,5.0,3.0,7.0,9.0,8.0,2.0,6.0,10.0
synthetic-control,4.0,10.0,9.0,6.0,1.0,2.0,3.0,7.0,8.0,5.0
teaching,1.0,4.0,3.0,2.0,8.0,7.0,9.0,6.0,10.0,5.0
thyroid,1.0,6.0,9.0,2.0,7.0,5.0,8.0,4.0,3.0,10.0
tic-tac-toe,1.0,9.0,10.0,2.0,4.0,6.0,5.0,3.0,7.0,8.0
titanic,9.0,3.0,2.0,8.0,5.0,7.0,6.0,10.0,1.0,4.0
trains,2.0,8.0,7.0,2.0,5.0,6.0,10.0,2.0,9.0,4.0
twonorm,5.0,9.0,8.0,6.0,1.0,2.0,3.0,7.0,4.0,10.0
vertebral-column-2clases,7.0,1.0,2.0,8.0,4.0,3.0,5.0,9.0,6.0,10.0
vertebral-column-3clases,1.0,4.0,5.0,2.0,7.0,6.0,8.0,3.0,9.0,10.0
wall-following,1.0,5.0,10.0,4.0,7.0,6.0,9.0,3.0,2.0,8.0
waveform,1.0,5.0,4.0,2.0,7.0,8.0,9.0,3.0,6.0,10.0
waveform-noise,1.0,5.0,4.0,2.0,7.0,9.0,8.0,3.0,6.0,10.0
wine,1.0,10.0,9.0,5.0,2.0,4.0,3.0,6.0,7.0,8.0
wine-quality-red,1.0,4.0,5.0,2.0,7.0,9.0,8.0,3.0,6.0,10.0
wine-quality-white,1.0,4.0,5.0,2.0,7.0,9.0,8.0,3.0,6.0,10.0
yeast,1.0,2.0,3.0,4.0,6.0,8.0,7.0,5.0,9.0,10.0
zoo,4.0,8.0,9.0,1.0,6.0,5.0,7.0,3.0,10.0,2.0
